gene_callers_id,pnps,COG_accession,COG_category,sample_id,bin,ocean,depth,total_pnps,rank
ERR594414,EAC-39,EAC,DCM,4747,0.2889200331184625,L,"Replication, recombination and repair",25,266
ERR598942,NP-2,NP,DCM,133198,0.1793063721595429,V,Defense mechanisms,1,8
ERR598944,NAT-101,NAT,MES,433399,0.0008022619878255285,K,Transcription,1212,1252
ERR598944,NAT-101,NAT,MES,433400,1.7938163190632963,,,9,1252
ERR598944,NAT-101,NAT,MES,433401,0.05985806284236825,,,901,1252
ERR598944,NAT-30,NAT,MES,395897,0.2127647629825551,Q,"Secondary metabolites biosynthesis, transport and catabolism",42,232
ERR598947,SAT-109,SAT,MES,291070,0.16575503857821916,V,Defense mechanisms,2,7
ERR598947,SAT-1462,SAT,MES,128401,0.0648986334754984,P,Inorganic ion transport and metabolism,589,2011
ERR598947,SAT-1462,SAT,MES,128402,0.013529836044774238,M,Cell wall/membrane/envelope biogenesis,1501,2011
ERR598947,SAT-1462,SAT,MES,128404,0.047368261048617084,O!!!S,Function unknown,814,2011
ERR598947,SAT-1462,SAT,MES,366843,0.07760515578245396,L,"Replication, recombination and repair",474,2011
ERR598947,SAT-1462,SAT,MES,366844,0.030856312885803008,L,"Replication, recombination and repair",1104,2011
ERR598947,SAT-1462,SAT,MES,418444,1.3511572353677657,,,17,2011
ERR598948,SP-1,SP,DCM,628147,0.4891743020762054,J,"Translation, ribosomal structure and biogenesis",21,2023
ERR598948,SP-1,SP,DCM,628148,0.12114337568057995,J,"Translation, ribosomal structure and biogenesis",399,2023
ERR598948,SP-1,SP,DCM,628149,0.38898877744162585,K!!!S,Function unknown,31,2023
ERR598948,SP-133,SP,DCM,340003,0.0,X,"Mobilome: prophages, transposons",17,17
ERR598948,SP-182,SP,DCM,790836,0.08762900784367714,,,26,76
ERR598949,ARS-1037,ARS,DCM,15587,0.0,X,"Mobilome: prophages, transposons",1,1
ERR598949,IN-924,IN,DCM,51829,0.0,H,Coenzyme transport and metabolism,211,254
ERR598951,MED-592,MED,SRF,86666,0.1179606200198065,X,"Mobilome: prophages, transposons",2,3
ERR598960,IN-32,IN,MES,79551,1.7570968639453135,V,Defense mechanisms,21,3093
ERR598960,IN-32,IN,MES,79552,0.08644756994584295,X,"Mobilome: prophages, transposons",1051,3093
ERR598964,NAT-101,NAT,MES,433399,0.002399783702291405,K,Transcription,1556,1598
ERR598964,NAT-101,NAT,MES,433401,0.04618473072472782,,,1337,1598
ERR598965,CPC-16,CPC,DCM,78137,0.09714548799333796,,,5,6
ERR598965,CPC-327,CPC,DCM,181696,0.7365745856353612,,,7,237
ERR598965,CPC-33,CPC,DCM,71595,0.2294768925011854,,,1,24
ERR598965,CPC-6,CPC,DCM,73258,0.04225304724373232,X,"Mobilome: prophages, transposons",11,16
ERR598968,NAT-280,NAT,SRF,94200,0.042295528879446674,J,"Translation, ribosomal structure and biogenesis",342,517
ERR598971,CPC-327,CPC,MES,181696,0.7402690638948737,,,6,485
ERR598971,CPC-48,CPC,MES,70371,0.07883358471593753,,,1216,3099
ERR598971,CPC-48,CPC,MES,70373,0.4662992602459382,Q,"Secondary metabolites biosynthesis, transport and catabolism",78,3099
ERR598971,CPC-48,CPC,MES,70374,0.0,Q,"Secondary metabolites biosynthesis, transport and catabolism",2988,3099
ERR598971,CPC-48,CPC,MES,70375,0.11701104520481286,J!!!O,"Posttranslational modification, protein turnover, chaperones",792,3099
ERR598971,NP-1,NP,MES,316842,0.06976693180010309,K,Transcription,600,1628
ERR598971,NP-1,NP,MES,316843,0.09712619592926852,X,"Mobilome: prophages, transposons",406,1628
ERR598971,NP-15,NP,MES,428687,0.008816048450972079,,,370,503
ERR598971,NP-15,NP,MES,428785,0.19741886824320784,,,43,503
ERR598971,NP-15,NP,MES,428787,0.08880917247077748,X,"Mobilome: prophages, transposons",110,503
ERR598971,NP-2,NP,MES,133198,0.10445985795905348,V,Defense mechanisms,23,120
ERR598980,NP-125,NP,MES,272997,0.07192083064158405,X,"Mobilome: prophages, transposons",8,15
ERR598980,NP-15,NP,MES,428687,0.00314934565784761,,,315,429
ERR598980,NP-2,NP,MES,133198,0.12279689270907655,V,Defense mechanisms,14,102
ERR598985,NAT-101,NAT,MES,433399,0.0041092659853516475,K,Transcription,1952,1968
ERR598985,NAT-101,NAT,MES,433400,0.5378701643037276,,,39,1968
ERR598985,NAT-101,NAT,MES,433401,0.031664800895570375,,,1885,1968
ERR598985,NAT-276,NAT,MES,427557,0.08124355104495548,X,"Mobilome: prophages, transposons",1237,2795
ERR598986,NAT-101,NAT,DCM,433399,0.06562050590246145,K,Transcription,1,1
ERR598986,NAT-280,NAT,DCM,94200,0.14105735439625666,J,"Translation, ribosomal structure and biogenesis",29,139
ERR598993,MED-581,MED,SRF,306776,0.5092485526628147,L,"Replication, recombination and repair",53,363
ERR598993,MED-581,MED,SRF,306777,0.6025649886686683,D,"Cell cycle control, cell division, chromosome partitioning",43,363
ERR598993,MED-581,MED,SRF,306778,0.43527252556866175,D,"Cell cycle control, cell division, chromosome partitioning",60,363
ERR598996,NAT-101,NAT,DCM,433399,0.06777571449589558,K,Transcription,1,1
ERR598999,SP-133,SP,MES,340003,0.0,X,"Mobilome: prophages, transposons",3,3
ERR599000,SAT-1,SAT,MES,416928,0.11734356653953194,C,Energy production and conversion,479,2826
ERR599000,SAT-109,SAT,MES,265425,0.0,V,Defense mechanisms,599,638
ERR599000,SAT-109,SAT,MES,265426,0.049052869765943335,V,Defense mechanisms,291,638
ERR599000,SAT-109,SAT,MES,291070,0.02301674324321199,V,Defense mechanisms,443,638
ERR599000,SAT-109,SAT,MES,291071,0.23311353881450936,X,"Mobilome: prophages, transposons",29,638
ERR599000,SAT-112,SAT,MES,202550,0.0,C,Energy production and conversion,20,21
ERR599000,SAT-126,SAT,MES,405965,1.1078519082516365,S,Function unknown,1,22
ERR599000,SAT-26,SAT,MES,244906,0.2806496815304899,L,"Replication, recombination and repair",3,16
ERR599004,NP-1,NP,MES,316843,0.086861155041817,X,"Mobilome: prophages, transposons",16,27
ERR599004,NP-2,NP,MES,133198,0.06811363994929924,V,Defense mechanisms,6,28
ERR599005,SAT-109,SAT,MES,291070,0.13785883977404234,V,Defense mechanisms,2,10
ERR599005,SAT-69,SAT,MES,421407,0.0668367346938774,K,Transcription,88,276
ERR599015,NP-2,NP,MES,133198,0.1818388195509333,V,Defense mechanisms,2,15
ERR599020,SP-133,SP,MES,340003,0.014416699381719952,X,"Mobilome: prophages, transposons",28,36
ERR599023,IN-924,IN,DCM,51828,0.2498129875747445,O,"Posttranslational modification, protein turnover, chaperones",101,1740
ERR599023,IN-924,IN,DCM,51829,0.035926640830158486,H,Coenzyme transport and metabolism,1323,1740
ERR599023,IN-924,IN,DCM,51830,0.06015435267717275,H,Coenzyme transport and metabolism,1029,1740
ERR599023,IN-924,IN,DCM,51831,0.013615830069507484,K!!!J,"Translation, ribosomal structure and biogenesis",1613,1740
ERR599026,IN-924,IN,DCM,51828,0.2923232637277629,O,"Posttranslational modification, protein turnover, chaperones",76,1878
ERR599026,IN-924,IN,DCM,51829,0.05439257697053227,H,Coenzyme transport and metabolism,1359,1878
ERR599026,IN-924,IN,DCM,51830,0.06173373852074721,H,Coenzyme transport and metabolism,1255,1878
ERR599026,IN-924,IN,DCM,51831,0.04525026731736207,K!!!J,"Translation, ribosomal structure and biogenesis",1464,1878
ERR599028,IN-924,IN,DCM,51828,0.370546135953077,O,"Posttranslational modification, protein turnover, chaperones",50,1620
ERR599028,IN-924,IN,DCM,51829,0.04465169484209381,H,Coenzyme transport and metabolism,1184,1620
ERR599028,IN-924,IN,DCM,51830,0.05019084695942196,H,Coenzyme transport and metabolism,1127,1620
ERR599028,IN-924,IN,DCM,51831,0.042411754543305966,K!!!J,"Translation, ribosomal structure and biogenesis",1208,1620
ERR599033,SP-133,SP,MES,340003,0.0,X,"Mobilome: prophages, transposons",1,2
ERR599043,MED-592,MED,SRF,86666,0.14230605977591532,X,"Mobilome: prophages, transposons",73,450
ERR599043,MED-592,MED,SRF,86732,0.02785101861478577,X,"Mobilome: prophages, transposons",257,450
ERR599043,MED-592,MED,SRF,88583,0.0284246427635359,H!!!H,Coenzyme transport and metabolism,253,450
ERR599043,MED-592,MED,SRF,88584,0.0,H,Coenzyme transport and metabolism,365,450
ERR599043,MED-592,MED,SRF,88585,0.09658098833154867,K,Transcription,113,450
ERR599044,SAT-1,SAT,MES,416928,0.30547312904418555,C,Energy production and conversion,89,2730
ERR599044,SAT-109,SAT,MES,265425,0.0,V,Defense mechanisms,159,177
ERR599044,SAT-109,SAT,MES,265426,0.0339390456838816,V,Defense mechanisms,108,177
ERR599044,SAT-109,SAT,MES,291070,0.03783512115638122,V,Defense mechanisms,104,177
ERR599044,SAT-109,SAT,MES,291071,0.13835722018280736,X,"Mobilome: prophages, transposons",26,177
ERR599044,SAT-109,SAT,MES,291072,0.4067037761254146,,,8,177
ERR599044,SAT-112,SAT,MES,202550,0.05601936876556963,C,Energy production and conversion,29,46
ERR599044,SAT-112,SAT,MES,202552,1.246387564690252,,,2,46
ERR599044,SAT-126,SAT,MES,405965,0.8314946028593782,S,Function unknown,1,17
ERR599044,SAT-126,SAT,MES,405967,0.31647189430206163,,,4,17
ERR599044,SAT-230,SAT,MES,259245,0.23159110836182786,,,224,1173
ERR599044,SAT-26,SAT,MES,244906,0.455164040089425,L,"Replication, recombination and repair",3,12
ERR599044,SAT-69,SAT,MES,53885,0.1919200799201394,P,Inorganic ion transport and metabolism,155,1379
ERR599044,SAT-69,SAT,MES,421407,0.0656275836800135,K,Transcription,527,1379
ERR599044,SAT-69,SAT,MES,421409,0.09505646824647317,I,Lipid transport and metabolism,370,1379
ERR599044,SAT-69,SAT,MES,421410,0.057288438140121564,T!!!T,Signal transduction mechanisms,586,1379
ERR599047,NAT-101,NAT,MES,433399,0.0010349103713707287,K,Transcription,837,875
ERR599051,NP-1,NP,MES,316843,0.0,X,"Mobilome: prophages, transposons",26,26
ERR599051,NP-2,NP,MES,133198,0.1053782034581778,V,Defense mechanisms,3,27
ERR599052,NP-125,NP,SRF,272997,0.0622081586002666,X,"Mobilome: prophages, transposons",1,1
ERR599057,IN-924,IN,SRF,51828,0.2654181939972096,O,"Posttranslational modification, protein turnover, chaperones",124,1759
ERR599057,IN-924,IN,SRF,51829,0.06939822073963273,H,Coenzyme transport and metabolism,1041,1759
ERR599057,IN-924,IN,SRF,51830,0.12072801875889586,H,Coenzyme transport and metabolism,591,1759
ERR599057,IN-924,IN,SRF,51831,0.047800047791675536,K!!!J,"Translation, ribosomal structure and biogenesis",1307,1759
ERR599060,NP-1,NP,MES,316843,0.062109863554183076,X,"Mobilome: prophages, transposons",20,27
ERR599060,NP-2,NP,MES,133198,0.10262812371505467,V,Defense mechanisms,5,28
ERR599062,IN-32,IN,MES,79550,0.024949140330589925,V,Defense mechanisms,2146,2997
ERR599062,IN-32,IN,MES,79551,0.19099640046227048,V,Defense mechanisms,428,2997
ERR599062,IN-32,IN,MES,79552,1.3547341472212546,X,"Mobilome: prophages, transposons",20,2997
ERR599064,CPC-16,CPC,SRF,78137,0.279967282887578,,,115,851
ERR599064,CPC-327,CPC,SRF,181696,0.5666154070713029,,,5,237
ERR599064,CPC-64,CPC,SRF,87795,1.1242794684993898,,,15,1089
ERR599064,CPC-64,CPC,SRF,87817,0.7048757438324039,,,33,1089
ERR599065,NP-15,NP,DCM,428785,0.19893428063943128,,,7,117
ERR599071,SP-133,SP,MES,340003,0.0,X,"Mobilome: prophages, transposons",3,3
ERR599076,NP-2,NP,MES,133198,0.13663974891508024,V,Defense mechanisms,2,16
ERR599082,ARS-1037,ARS,DCM,15587,0.06294645750522296,X,"Mobilome: prophages, transposons",17,26
ERR599082,IN-32,IN,DCM,79552,0.4408041401106999,X,"Mobilome: prophages, transposons",96,2946
ERR599082,IN-924,IN,DCM,51828,0.3594128753574936,O,"Posttranslational modification, protein turnover, chaperones",40,1856
ERR599082,IN-924,IN,DCM,51829,0.04394149134584187,H,Coenzyme transport and metabolism,1431,1856
ERR599082,IN-924,IN,DCM,51830,0.05629896395161424,H,Coenzyme transport and metabolism,1277,1856
ERR599082,IN-924,IN,DCM,51831,0.04306595727971287,K!!!J,"Translation, ribosomal structure and biogenesis",1437,1856
ERR599083,SP-133,SP,MES,340003,0.0017246798215836865,X,"Mobilome: prophages, transposons",2,2
ERR599087,NP-125,NP,DCM,272997,0.11745462220346255,X,"Mobilome: prophages, transposons",2,3
ERR599087,NP-15,NP,DCM,428785,0.2661430563278272,,,10,195
ERR599087,NP-2,NP,DCM,133198,0.1093839671904539,V,Defense mechanisms,3,24
ERR599092,MED-581,MED,DCM,306776,0.4265203158929483,L,"Replication, recombination and repair",128,800
ERR599092,MED-581,MED,DCM,306778,0.2818396503431859,D,"Cell cycle control, cell division, chromosome partitioning",224,800
ERR599094,MED-592,MED,DCM,86666,0.11980367919304258,X,"Mobilome: prophages, transposons",3,6
ERR599095,NAT-101,NAT,DCM,433399,0.0,K,Transcription,2,2
ERR599095,NAT-143,NAT,DCM,328131,0.14679522736408193,E,Amino acid transport and metabolism,321,1020
ERR599095,NAT-143,NAT,DCM,328132,0.0,,,921,1020
ERR599096,SP-133,SP,MES,340003,0.0,X,"Mobilome: prophages, transposons",1,2
ERR599102,IN-924,IN,SRF,51828,0.3669107756820184,O,"Posttranslational modification, protein turnover, chaperones",59,1606
ERR599102,IN-924,IN,SRF,51830,0.04525035251411602,H,Coenzyme transport and metabolism,1146,1606
ERR599102,IN-924,IN,SRF,51831,0.011127655771169202,K!!!J,"Translation, ribosomal structure and biogenesis",1447,1606
ERR599110,IN-924,IN,DCM,51828,0.37866736011120783,O,"Posttranslational modification, protein turnover, chaperones",48,1733
ERR599110,IN-924,IN,DCM,51829,0.05940834946072737,H,Coenzyme transport and metabolism,1165,1733
ERR599110,IN-924,IN,DCM,51830,0.08375774712098044,H,Coenzyme transport and metabolism,876,1733
ERR599110,IN-924,IN,DCM,51831,0.06557761619733513,K!!!J,"Translation, ribosomal structure and biogenesis",1078,1733
ERR599115,NP-1,NP,MES,316843,0.05427109237838042,X,"Mobilome: prophages, transposons",34,68
ERR599115,NP-125,NP,MES,272997,0.06609916708677413,X,"Mobilome: prophages, transposons",23,41
ERR599115,NP-151,NP,MES,420000,0.25810376227016435,C,Energy production and conversion,72,2000
ERR599115,NP-2,NP,MES,133198,0.12339318506427295,V,Defense mechanisms,1,18
ERR599127,NP-2,NP,MES,133198,0.1373599057510175,V,Defense mechanisms,1,15
ERR599128,CPC-327,CPC,MES,181696,0.6340306258873879,,,6,232
ERR599132,CPC-327,CPC,MES,181696,0.3180776936462338,,,15,432
ERR599146,IN-924,IN,SRF,51828,0.4116088177884752,O,"Posttranslational modification, protein turnover, chaperones",39,1646
ERR599146,IN-924,IN,SRF,51829,0.0,H,Coenzyme transport and metabolism,1596,1646
ERR599146,IN-924,IN,SRF,51830,0.0322463447478041,H,Coenzyme transport and metabolism,1261,1646
ERR599146,IN-924,IN,SRF,51831,0.032701273238441096,K!!!J,"Translation, ribosomal structure and biogenesis",1256,1646
ERR599148,SAT-1,SAT,DCM,416928,0.11201308396553056,C,Energy production and conversion,479,2665
ERR599148,SAT-109,SAT,DCM,291070,0.0,V,Defense mechanisms,109,127
ERR599148,SAT-112,SAT,DCM,202550,0.11220072573575056,C,Energy production and conversion,4,17
ERR599148,SAT-126,SAT,DCM,405965,0.5689202367503763,S,Function unknown,7,61
ERR599148,SAT-126,SAT,DCM,405967,0.752343490813881,,,2,61
ERR599148,SAT-26,SAT,DCM,244906,0.5181229027382935,L,"Replication, recombination and repair",3,7
ERR599150,IN-924,IN,SRF,51828,0.2717471263330641,O,"Posttranslational modification, protein turnover, chaperones",74,1894
ERR599150,IN-924,IN,SRF,51829,0.03969494912447742,H,Coenzyme transport and metabolism,1499,1894
ERR599150,IN-924,IN,SRF,51830,0.06760129402504647,H,Coenzyme transport and metabolism,1142,1894
ERR599150,IN-924,IN,SRF,51831,0.04164792791987493,K!!!J,"Translation, ribosomal structure and biogenesis",1471,1894
ERR599152,NP-2,NP,MES,133198,0.13227076622378864,V,Defense mechanisms,1,11
ERR599158,IN-924,IN,SRF,51828,0.6569489709362064,O,"Posttranslational modification, protein turnover, chaperones",6,191
ERR599159,SAT-1,SAT,MES,416928,0.3625818732159676,C,Energy production and conversion,5,99
ERR599159,SAT-109,SAT,MES,291070,0.04355887489376652,V,Defense mechanisms,30,50
ERR599159,SAT-109,SAT,MES,291071,0.1916737320491016,X,"Mobilome: prophages, transposons",6,50
ERR599159,SAT-26,SAT,MES,244906,0.3965136987734259,L,"Replication, recombination and repair",3,6
ERR599159,SAT-62,SAT,MES,303748,0.2462995235807512,L,"Replication, recombination and repair",48,250
ERR599166,NAT-101,NAT,MES,433400,0.6644775092095572,,,46,1960
ERR599166,NAT-101,NAT,MES,433401,0.159526746994887,,,831,1960
ERR599175,NP-1,NP,MES,316843,0.0645187464868504,X,"Mobilome: prophages, transposons",19,24
ERR599175,NP-2,NP,MES,133198,0.10503034534668276,V,Defense mechanisms,6,29
ERR599346,CPC-12,CPC,MES,186755,0.12976369724288914,O,"Posttranslational modification, protein turnover, chaperones",459,1913
ERR599346,CPC-69,CPC,MES,191743,0.1312975432392264,L,"Replication, recombination and repair",16,45
ERR599376,EAC-50,EAC,SRF,276767,0.04208339409861795,C,Energy production and conversion,214,475
ERR599376,EAC-50,EAC,SRF,277458,0.010792181551962907,H,Coenzyme transport and metabolism,364,475
ERR599376,EAC-50,EAC,SRF,277461,0.003073268226211688,L,"Replication, recombination and repair",438,475
ERR599376,EAC-50,EAC,SRF,278793,0.06900117174992444,X,"Mobilome: prophages, transposons",133,475
ERR599376,EAC-69,EAC,SRF,158011,0.03675165486855021,K,Transcription,2,3
SRR3960572,deep-0108,NAT,deep,164330,0.0745009000736299,X,"Mobilome: prophages, transposons",43,140
SRR3960572,deep-0108,NAT,deep,164331,0.11236633824883996,K,Transcription,29,140
SRR3960575,deep-0052,NAT,deep,672889,0.22475520062953835,,,101,278
SRR3960575,deep-0094,NAT,deep,557848,1.3203738050231648,S,Function unknown,395,954
SRR3960575,deep-0094,NAT,deep,559810,2.1063162101275625,,,243,954
SRR3960575,deep-0108,NAT,deep,164330,0.7429216300940464,X,"Mobilome: prophages, transposons",3,114
SRR3960575,deep-0108,NAT,deep,164331,0.05767472057174153,K,Transcription,54,114
SRR3960575,deep-0275,NAT,deep,338480,0.5224054356250698,C!!!C,Energy production and conversion,620,1841
SRR3960575,deep-0455,NAT,deep,758642,0.3326209641149887,H,Coenzyme transport and metabolism,146,526
SRR3960576,deep-0052,NAT,deep,672889,0.27268414785837525,,,31,127
SRR3960576,deep-0108,NAT,deep,164330,0.11210024321218692,X,"Mobilome: prophages, transposons",219,520
SRR3960576,deep-0108,NAT,deep,164331,0.10280680687379616,K,Transcription,228,520
SRR3960576,deep-0455,NAT,deep,758642,0.301833116484146,H,Coenzyme transport and metabolism,14,57
SRR3960577,deep-0052,NAT,deep,672889,0.2472549397910932,,,84,251
SRR3960577,deep-0094,NAT,deep,557498,0.12728551393504625,X,"Mobilome: prophages, transposons",53,68
SRR3960577,deep-0108,NAT,deep,164330,0.4069378720055107,X,"Mobilome: prophages, transposons",4,136
SRR3960577,deep-0228,NAT,deep,700341,0.8468584400843215,,,1044,1510
SRR3960577,deep-0455,NAT,deep,758642,0.49580896891170295,H,Coenzyme transport and metabolism,25,154
SRR3960578,deep-0052,NAT,deep,672889,0.2142184845139604,,,7,10
SRR3960578,deep-0108,NAT,deep,164329,0.5358348678518086,Q,"Secondary metabolites biosynthesis, transport and catabolism",377,2752
SRR3960578,deep-0108,NAT,deep,164330,0.14365455977917485,X,"Mobilome: prophages, transposons",1861,2752
SRR3960578,deep-0108,NAT,deep,164331,0.11724408810591505,K,Transcription,2072,2752
SRR3960578,deep-0228,NAT,deep,700341,0.7217137713646988,,,1245,1597
SRR3960579,deep-0052,NP,deep,672889,0.2242432414509845,,,67,202
SRR3960580,deep-0052,NAT,deep,672889,0.17044639545997056,,,5,5
SRR3960580,deep-0108,NAT,deep,164331,0.04192875899713781,K,Transcription,73,146
SRR3960581,deep-0527,NAT,deep,415841,1.1948828541825172,,,2221,2514
SRR3960684,deep-0036,NP,deep,92682,0.14347430825268434,,,3602,4187
SRR3960684,deep-0036,NP,deep,92683,1.8424840351141905,,,193,4187
SRR3960684,deep-0036,NP,deep,92684,0.4439587280214147,,,1616,4187
SRR3960684,deep-0036,NP,deep,92685,0.7224866634113071,F!!!H,Coenzyme transport and metabolism,992,4187
SRR3960684,deep-0036,NP,deep,94966,1.7477016602566386,,,214,4187
SRR3960684,deep-0036,NP,deep,94981,0.19792178100668287,J!!!J,"Translation, ribosomal structure and biogenesis",3073,4187
SRR3960684,deep-0036,NP,deep,95731,2.251594279545852,,,140,4187
SRR3960684,deep-0036,NP,deep,95732,0.8043477065078088,V,Defense mechanisms,855,4187
SRR3960684,deep-0036,NP,deep,96589,1.2771090777394845,,,400,4187
SRR3960684,deep-0108,NP,deep,164330,0.08205390046483507,X,"Mobilome: prophages, transposons",39,81
SRR3960684,deep-0108,NP,deep,164331,0.25397496501857303,K,Transcription,14,81
SRR3960684,deep-0378,NP,deep,466437,0.21485138414669386,,,104,171
SRR3961047,deep-0052,NP,deep,672889,0.1619852598665686,,,71,140
SRR3961906,deep-0052,NP,deep,672889,0.21590976772820766,,,22,54
SRR3961906,deep-0455,NP,deep,758642,0.2510306972901848,H,Coenzyme transport and metabolism,31,81
SRR3961935,deep-0052,NP,deep,672889,0.18963783469235612,,,70,162
SRR3961935,deep-0455,NP,deep,758642,0.2766366427366995,H,Coenzyme transport and metabolism,36,116
SRR3961936,deep-0345,NP,deep,542113,0.8906544234031437,,,795,1674
SRR3961936,deep-0345,NP,deep,542196,0.3172886264857917,M,Cell wall/membrane/envelope biogenesis,1426,1674
SRR3962293,deep-0052,NP,deep,672889,0.21511389439399992,,,34,99
SRR3962293,deep-0455,NP,deep,758642,0.3843900487264778,H,Coenzyme transport and metabolism,16,97
SRR3962293,deep-0548,NP,deep,520110,4.087765562620267,,,1,3
SRR3962680,deep-0052,SP,deep,672889,0.16879426126999894,,,57,122
SRR3962771,deep-0250,NP,deep,603237,1.1612787356321808,,,1,1
SRR3962771,deep-0345,NP,deep,542113,1.4630101178593968,,,500,2701
SRR3962771,deep-0345,NP,deep,542114,0.8512174800134923,,,971,2701
SRR3962771,deep-0345,NP,deep,542117,0.6180726720789002,R,General function prediction only,1323,2701
SRR3962771,deep-0345,NP,deep,542196,0.9011123565823976,M,Cell wall/membrane/envelope biogenesis,904,2701
SRR3962772,deep-0345,SP,deep,542196,0.2680568247811875,M,Cell wall/membrane/envelope biogenesis,97,111
SRR3962773,deep-0052,SP,deep,672889,0.19844124574913508,,,50,145
SRR3962773,deep-0455,SP,deep,758642,0.3393313815258698,H,Coenzyme transport and metabolism,50,223
