gene_callers_id,contig,start,stop,bin,bin_contig,source,integron,ocean,category_accession,COG_category,e_value
120714,ARS-120_MHASMcontig_402458,28292,28946,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,K!!!L,Transcription,0
120714,ARS-120_MHASMcontig_402458,28292,28946,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,K!!!L,"Replication, recombination and repair",0
120715,ARS-120_MHASMcontig_402458,29184,29724,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,,,
120716,ARS-120_MHASMcontig_402458,29901,30126,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,V,Defense mechanisms,0
120717,ARS-120_MHASMcontig_402458,30122,30464,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,R,General function prediction only,0
120718,ARS-120_MHASMcontig_402458,30604,31603,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,V,Defense mechanisms,0
120719,ARS-120_MHASMcontig_402458,31972,32248,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,V,Defense mechanisms,0
120720,ARS-120_MHASMcontig_402458,32490,32868,ARS-120,MHASMcontig_402458,tara,CALIN,ARS,,,
123040,ARS-120_MHASMcontig_444418,153,837,ARS-120,MHASMcontig_444418,tara,complete,ARS,,,
123041,ARS-120_MHASMcontig_444418,1520,2453,ARS-120,MHASMcontig_444418,tara,complete,ARS,L,"Replication, recombination and repair",0
123053,ARS-120_MHASMcontig_444418,16209,16863,ARS-120,MHASMcontig_444418,tara,complete,ARS,V,Defense mechanisms,0
130283,ARS-112_49089,42878,43538,ARS-112,49089,tara,CALIN,ARS,,,
130284,ARS-112_49089,43634,45524,ARS-112,49089,tara,CALIN,ARS,L,"Replication, recombination and repair",0
130285,ARS-112_49089,45946,46978,ARS-112,49089,tara,CALIN,ARS,,,
130286,ARS-112_49089,47091,49086,ARS-112,49089,tara,CALIN,ARS,K!!!N!!!W,Transcription,0
130286,ARS-112_49089,47091,49086,ARS-112,49089,tara,CALIN,ARS,K!!!N!!!W,Cell motility,0
130286,ARS-112_49089,47091,49086,ARS-112,49089,tara,CALIN,ARS,K!!!N!!!W,Extracellular structures,0
130287,ARS-112_49089,49181,50126,ARS-112,49089,tara,CALIN,ARS,,,
130550,ARS-112_56321,193258,194188,ARS-112,56321,tara,CALIN,ARS,,,
130551,ARS-112_56321,194210,194732,ARS-112,56321,tara,CALIN,ARS,,,
130552,ARS-112_56321,194893,195175,ARS-112,56321,tara,CALIN,ARS,V,Defense mechanisms,0
130553,ARS-112_56321,195185,195482,ARS-112,56321,tara,CALIN,ARS,V,Defense mechanisms,0
130554,ARS-112_56321,195587,195872,ARS-112,56321,tara,CALIN,ARS,,,
131137,ARS-112_57442,177820,178192,ARS-112,57442,tara,CALIN,ARS,,,
131138,ARS-112_57442,178279,178945,ARS-112,57442,tara,CALIN,ARS,,,
131139,ARS-112_57442,179026,179644,ARS-112,57442,tara,CALIN,ARS,,,
131140,ARS-112_57442,179764,179983,ARS-112,57442,tara,CALIN,ARS,,,
131141,ARS-112_57442,180056,180575,ARS-112,57442,tara,CALIN,ARS,,,
131142,ARS-112_57442,180674,181364,ARS-112,57442,tara,CALIN,ARS,,,
131143,ARS-112_57442,181456,182185,ARS-112,57442,tara,CALIN,ARS,,,
131144,ARS-112_57442,182267,183407,ARS-112,57442,tara,CALIN,ARS,S,Function unknown,0
131145,ARS-112_57442,183482,184460,ARS-112,57442,tara,CALIN,ARS,,,
131146,ARS-112_57442,184449,185688,ARS-112,57442,tara,CALIN,ARS,,,
131147,ARS-112_57442,185756,186770,ARS-112,57442,tara,CALIN,ARS,V,Defense mechanisms,0
131148,ARS-112_57442,187476,188112,ARS-112,57442,tara,CALIN,ARS,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,L,"Replication, recombination and repair",0
168737,ARS-71_MHASMcontig_514205,20536,22087,ARS-71,MHASMcontig_514205,tara,CALIN,ARS,T,Signal transduction mechanisms,0
168738,ARS-71_MHASMcontig_514205,22559,23618,ARS-71,MHASMcontig_514205,tara,CALIN,ARS,O,"Posttranslational modification, protein turnover, chaperones",0
168739,ARS-71_MHASMcontig_514205,23726,25457,ARS-71,MHASMcontig_514205,tara,CALIN,ARS,L,"Replication, recombination and repair",0
188466,ARS-7_71584,51712,52357,ARS-7,71584,tara,CALIN,ARS,,,
188467,ARS-7_71584,52590,52971,ARS-7,71584,tara,CALIN,ARS,E,Amino acid transport and metabolism,0
195035,ARS-66_MHASMcontig_430583,338,533,ARS-66,MHASMcontig_430583,tara,complete,ARS,,,
195036,ARS-66_MHASMcontig_430583,771,1068,ARS-66,MHASMcontig_430583,tara,complete,ARS,,,
195037,ARS-66_MHASMcontig_430583,1283,2468,ARS-66,MHASMcontig_430583,tara,complete,ARS,L,"Replication, recombination and repair",0
27316,CPC-62_MHASMcontig_14167,1523,2345,CPC-62,MHASMcontig_14167,tara,CALIN,CPC,,,
27317,CPC-62_MHASMcontig_14167,2414,3149,CPC-62,MHASMcontig_14167,tara,CALIN,CPC,,,
27318,CPC-62_MHASMcontig_14167,3248,3548,CPC-62,MHASMcontig_14167,tara,CALIN,CPC,,,
27319,CPC-62_MHASMcontig_14167,3699,4284,CPC-62,MHASMcontig_14167,tara,CALIN,CPC,,,
27320,CPC-62_MHASMcontig_14167,4390,4969,CPC-62,MHASMcontig_14167,tara,CALIN,CPC,,,
27321,CPC-62_MHASMcontig_14167,5121,5451,CPC-62,MHASMcontig_14167,tara,CALIN,CPC,,,
32858,CPC-17_11926,336198,336726,CPC-17,11926,tara,complete,CPC,L,"Replication, recombination and repair",0
32859,CPC-17_11926,336694,337180,CPC-17,11926,tara,complete,CPC,L,"Replication, recombination and repair",0
32860,CPC-17_11926,337432,337675,CPC-17,11926,tara,complete,CPC,,,
32861,CPC-17_11926,337751,338414,CPC-17,11926,tara,complete,CPC,,,
32862,CPC-17_11926,338545,339145,CPC-17,11926,tara,complete,CPC,,,
32943,CPC-17_30501,850,2419,CPC-17,30501,tara,complete,CPC,X,"Mobilome: prophages, transposons",0
32944,CPC-17_30501,2607,2967,CPC-17,30501,tara,complete,CPC,,,
32945,CPC-17_30501,3082,3448,CPC-17,30501,tara,complete,CPC,,,
32946,CPC-17_30501,3529,4024,CPC-17,30501,tara,complete,CPC,R,General function prediction only,0
32947,CPC-17_30501,4115,5612,CPC-17,30501,tara,complete,CPC,T,Signal transduction mechanisms,0
32948,CPC-17_30501,5899,6385,CPC-17,30501,tara,complete,CPC,L,"Replication, recombination and repair",0
32949,CPC-17_30501,6353,6881,CPC-17,30501,tara,complete,CPC,L,"Replication, recombination and repair",0
47043,CPC-8_93983,34675,35392,CPC-8,93983,tara,CALIN,CPC,,,
47044,CPC-8_93983,35514,36393,CPC-8,93983,tara,CALIN,CPC,,,
47045,CPC-8_93983,36392,36899,CPC-8,93983,tara,CALIN,CPC,,,
47046,CPC-8_93983,36933,37194,CPC-8,93983,tara,CALIN,CPC,,,
47047,CPC-8_93983,37260,37665,CPC-8,93983,tara,CALIN,CPC,,,
47049,CPC-8_93983,38242,38836,CPC-8,93983,tara,CALIN,CPC,,,
47050,CPC-8_93983,38934,39282,CPC-8,93983,tara,CALIN,CPC,,,
47053,CPC-8_93983,41088,41400,CPC-8,93983,tara,CALIN,CPC,S,Function unknown,0
47054,CPC-8_93983,41392,41680,CPC-8,93983,tara,CALIN,CPC,K,Transcription,0
49647,CPC-8_MHASMcontig_742984,205,625,CPC-8,MHASMcontig_742984,tara,complete,CPC,S,Function unknown,0
49648,CPC-8_MHASMcontig_742984,991,1984,CPC-8,MHASMcontig_742984,tara,complete,CPC,L,"Replication, recombination and repair",0
55795,CPC-34_MHASMcontig_743357,54810,55440,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55796,CPC-34_MHASMcontig_743357,55558,56074,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55797,CPC-34_MHASMcontig_743357,56183,57542,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55798,CPC-34_MHASMcontig_743357,57642,58047,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55799,CPC-34_MHASMcontig_743357,58193,58721,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55800,CPC-34_MHASMcontig_743357,59167,59923,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55801,CPC-34_MHASMcontig_743357,60093,60525,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55802,CPC-34_MHASMcontig_743357,60771,61692,CPC-34,MHASMcontig_743357,tara,complete,CPC,L,"Replication, recombination and repair",0
55805,CPC-34_MHASMcontig_743357,62698,63619,CPC-34,MHASMcontig_743357,tara,complete,CPC,L,"Replication, recombination and repair",0
55806,CPC-34_MHASMcontig_743357,63865,64297,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55807,CPC-34_MHASMcontig_743357,64467,65223,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55808,CPC-34_MHASMcontig_743357,65669,66197,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55809,CPC-34_MHASMcontig_743357,66343,66748,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55810,CPC-34_MHASMcontig_743357,66848,68207,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55811,CPC-34_MHASMcontig_743357,68316,68832,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
55812,CPC-34_MHASMcontig_743357,68950,69580,CPC-34,MHASMcontig_743357,tara,complete,CPC,,,
68491,CPC-48_25101,1440,2409,CPC-48,25101,tara,In0,CPC,L,"Replication, recombination and repair",0
70369,CPC-48_MHASMcontig_120922,444,1467,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,R,General function prediction only,0
70370,CPC-48_MHASMcontig_120922,1550,1946,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,,,
70371,CPC-48_MHASMcontig_120922,2075,2474,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,,,
70372,CPC-48_MHASMcontig_120922,2582,3281,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,M,Cell wall/membrane/envelope biogenesis,0
70373,CPC-48_MHASMcontig_120922,3781,4324,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,Q,"Secondary metabolites biosynthesis, transport and catabolism",0
70374,CPC-48_MHASMcontig_120922,4411,4798,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,Q,"Secondary metabolites biosynthesis, transport and catabolism",0
70375,CPC-48_MHASMcontig_120922,4953,5427,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,J!!!O,"Translation, ribosomal structure and biogenesis",0
70375,CPC-48_MHASMcontig_120922,4953,5427,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,J!!!O,"Posttranslational modification, protein turnover, chaperones",0
70376,CPC-48_MHASMcontig_120922,5561,5750,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,,,
70544,CPC-33_144,1438,2314,CPC-33,144,tara,CALIN,CPC,,,
70545,CPC-33_144,2414,2969,CPC-33,144,tara,CALIN,CPC,,,
70546,CPC-33_144,3042,4659,CPC-33,144,tara,CALIN,CPC,L,"Replication, recombination and repair",0
70575,CPC-33_90996,1940,2819,CPC-33,90996,tara,CALIN,CPC,,,
70576,CPC-33_90996,2823,3426,CPC-33,90996,tara,CALIN,CPC,I,Lipid transport and metabolism,0
70577,CPC-33_90996,3422,4070,CPC-33,90996,tara,CALIN,CPC,,,
71442,CPC-33_93467,33155,33953,CPC-33,93467,tara,CALIN,CPC,M,Cell wall/membrane/envelope biogenesis,0
71443,CPC-33_93467,34352,34685,CPC-33,93467,tara,CALIN,CPC,,,
71444,CPC-33_93467,34800,35196,CPC-33,93467,tara,CALIN,CPC,,,
71445,CPC-33_93467,35287,35719,CPC-33,93467,tara,CALIN,CPC,J,"Translation, ribosomal structure and biogenesis",0
71446,CPC-33_93467,35822,36191,CPC-33,93467,tara,CALIN,CPC,,,
71447,CPC-33_93467,36162,36288,CPC-33,93467,tara,CALIN,CPC,,,
71448,CPC-33_93467,36290,36770,CPC-33,93467,tara,CALIN,CPC,,,
71449,CPC-33_93467,36930,37212,CPC-33,93467,tara,CALIN,CPC,V,Defense mechanisms,0
71592,CPC-33_93899,1647,2181,CPC-33,93899,tara,CALIN,CPC,,,
71593,CPC-33_93899,2399,2816,CPC-33,93899,tara,CALIN,CPC,,,
71594,CPC-33_93899,2950,3253,CPC-33,93899,tara,CALIN,CPC,C,Energy production and conversion,0
71595,CPC-33_93899,3366,3828,CPC-33,93899,tara,CALIN,CPC,,,
71667,CPC-33_94091,5361,6783,CPC-33,94091,tara,CALIN,CPC,R,General function prediction only,0
71668,CPC-33_94091,6779,7607,CPC-33,94091,tara,CALIN,CPC,C,Energy production and conversion,0
71669,CPC-33_94091,7548,8940,CPC-33,94091,tara,CALIN,CPC,S,Function unknown,0
72932,CPC-6_91494,7901,8729,CPC-6,91494,tara,CALIN,CPC,M,Cell wall/membrane/envelope biogenesis,0
72933,CPC-6_91494,8961,10095,CPC-6,91494,tara,CALIN,CPC,R,General function prediction only,0
72934,CPC-6_91494,10199,11276,CPC-6,91494,tara,CALIN,CPC,,,
73258,CPC-6_92276,794,1838,CPC-6,92276,tara,CALIN,CPC,X,"Mobilome: prophages, transposons",0
73259,CPC-6_92276,2025,2352,CPC-6,92276,tara,CALIN,CPC,,,
74772,CPC-6_MHASMcontig_710863,13749,14718,CPC-6,MHASMcontig_710863,tara,In0,CPC,L,"Replication, recombination and repair",0
78132,CPC-16_24677,176,767,CPC-16,24677,tara,CALIN,CPC,,,
78133,CPC-16_24677,836,1271,CPC-16,24677,tara,CALIN,CPC,,,
78134,CPC-16_24677,1451,1835,CPC-16,24677,tara,CALIN,CPC,,,
78135,CPC-16_24677,1955,2246,CPC-16,24677,tara,CALIN,CPC,,,
78136,CPC-16_24677,2316,2784,CPC-16,24677,tara,CALIN,CPC,X,"Mobilome: prophages, transposons",0
78137,CPC-16_24677,2819,3257,CPC-16,24677,tara,CALIN,CPC,,,
78138,CPC-16_24677,3253,4615,CPC-16,24677,tara,CALIN,CPC,X,"Mobilome: prophages, transposons",0
78139,CPC-16_24677,4618,7843,CPC-16,24677,tara,CALIN,CPC,V,Defense mechanisms,0
78169,CPC-16_25153,14818,14968,CPC-16,25153,tara,CALIN,CPC,R,General function prediction only,0
78170,CPC-16_25153,15178,15271,CPC-16,25153,tara,CALIN,CPC,,,
78171,CPC-16_25153,15597,16284,CPC-16,25153,tara,CALIN,CPC,K,Transcription,0
78172,CPC-16_25153,16301,16469,CPC-16,25153,tara,CALIN,CPC,,,
78173,CPC-16_25153,16539,18045,CPC-16,25153,tara,CALIN,CPC,,,
78174,CPC-16_25153,18111,18408,CPC-16,25153,tara,CALIN,CPC,X,"Mobilome: prophages, transposons",0
78175,CPC-16_25153,18394,18652,CPC-16,25153,tara,CALIN,CPC,,,
78176,CPC-16_25153,18722,18881,CPC-16,25153,tara,CALIN,CPC,,,
78177,CPC-16_25153,18884,19073,CPC-16,25153,tara,CALIN,CPC,,,
78178,CPC-16_25153,19260,20985,CPC-16,25153,tara,CALIN,CPC,V,Defense mechanisms,0
78179,CPC-16_25153,21123,21684,CPC-16,25153,tara,CALIN,CPC,,,
78184,CPC-16_25153,27760,28723,CPC-16,25153,tara,In0,CPC,L,"Replication, recombination and repair",0
87174,CPC-11_118333,60545,60746,CPC-11,118333,tara,CALIN,CPC,,,
87175,CPC-11_118333,60861,61479,CPC-11,118333,tara,CALIN,CPC,,,
87176,CPC-11_118333,61604,63284,CPC-11,118333,tara,CALIN,CPC,L,"Replication, recombination and repair",0
87177,CPC-11_118333,63377,64235,CPC-11,118333,tara,CALIN,CPC,R!!!R,General function prediction only,0
87177,CPC-11_118333,63377,64235,CPC-11,118333,tara,CALIN,CPC,R!!!R,General function prediction only,0
87795,CPC-64_21130,38263,38701,CPC-64,21130,tara,CALIN,CPC,,,
87796,CPC-64_21130,38771,39401,CPC-64,21130,tara,CALIN,CPC,,,
87797,CPC-64_21130,39418,40009,CPC-64,21130,tara,CALIN,CPC,,,
87817,CPC-64_21257,9550,10300,CPC-64,21257,tara,CALIN,CPC,,,
87818,CPC-64_21257,10384,10843,CPC-64,21257,tara,CALIN,CPC,,,
87819,CPC-64_21257,10913,11354,CPC-64,21257,tara,CALIN,CPC,L,"Replication, recombination and repair",0
91589,CPC-80_8533,12486,13473,CPC-80,8533,tara,complete,CPC,L,"Replication, recombination and repair",0
91590,CPC-80_8533,13772,14096,CPC-80,8533,tara,complete,CPC,,,
91591,CPC-80_8533,14655,16191,CPC-80,8533,tara,complete,CPC,T,Signal transduction mechanisms,0
91592,CPC-80_8533,16382,16943,CPC-80,8533,tara,complete,CPC,V,Defense mechanisms,0
91593,CPC-80_8533,17037,17628,CPC-80,8533,tara,complete,CPC,,,
91594,CPC-80_8533,17723,19322,CPC-80,8533,tara,complete,CPC,,,
145377,CPC-309_MHASMcontig_91883,6419,6524,CPC-309,MHASMcontig_91883,tara,CALIN,CPC,,,
145541,CPC-309_MHASMcontig_95280,56808,57438,CPC-309,MHASMcontig_95280,tara,complete,CPC,,,
145542,CPC-309_MHASMcontig_95280,57573,58560,CPC-309,MHASMcontig_95280,tara,complete,CPC,,,
145543,CPC-309_MHASMcontig_95280,58634,59387,CPC-309,MHASMcontig_95280,tara,complete,CPC,H,Coenzyme transport and metabolism,0
145544,CPC-309_MHASMcontig_95280,59390,59939,CPC-309,MHASMcontig_95280,tara,complete,CPC,R,General function prediction only,0
145545,CPC-309_MHASMcontig_95280,60006,60858,CPC-309,MHASMcontig_95280,tara,complete,CPC,K,Transcription,0
145546,CPC-309_MHASMcontig_95280,61079,62102,CPC-309,MHASMcontig_95280,tara,complete,CPC,L,"Replication, recombination and repair",0
151572,CPC-72_MHASMcontig_975499,398,779,CPC-72,MHASMcontig_975499,tara,complete,CPC,,,
151573,CPC-72_MHASMcontig_975499,764,1355,CPC-72,MHASMcontig_975499,tara,complete,CPC,,,
151574,CPC-72_MHASMcontig_975499,1444,2350,CPC-72,MHASMcontig_975499,tara,complete,CPC,S,Function unknown,0
151575,CPC-72_MHASMcontig_975499,3143,4079,CPC-72,MHASMcontig_975499,tara,complete,CPC,L,"Replication, recombination and repair",0
151630,CPC-72_MHASMcontig_977432,33143,33953,CPC-72,MHASMcontig_977432,tara,CALIN,CPC,L,"Replication, recombination and repair",0
151631,CPC-72_MHASMcontig_977432,34403,35585,CPC-72,MHASMcontig_977432,tara,CALIN,CPC,L,"Replication, recombination and repair",0
152153,CPC-72_MHASMcontig_994183,102877,103498,CPC-72,MHASMcontig_994183,tara,CALIN,CPC,E,Amino acid transport and metabolism,0
172150,CPC-95_87575,263,773,CPC-95,87575,tara,CALIN,CPC,,,
172151,CPC-95_87575,888,1161,CPC-95,87575,tara,CALIN,CPC,,,
173110,CPC-95_89100,89137,89473,CPC-95,89100,tara,CALIN,CPC,,,
173111,CPC-95_89100,89568,89784,CPC-95,89100,tara,CALIN,CPC,,,
173326,CPC-95_89110,98690,99074,CPC-95,89110,tara,CALIN,CPC,K,Transcription,0
174118,CPC-95_90427,88835,89615,CPC-95,90427,tara,CALIN,CPC,,,
174119,CPC-95_90427,89685,90180,CPC-95,90427,tara,CALIN,CPC,,,
174120,CPC-95_90427,90224,90761,CPC-95,90427,tara,CALIN,CPC,,,
174121,CPC-95_90427,90857,91361,CPC-95,90427,tara,CALIN,CPC,,,
174288,CPC-95_90777,19676,20378,CPC-95,90777,tara,CALIN,CPC,I,Lipid transport and metabolism,0
174290,CPC-95_90777,21394,22282,CPC-95,90777,tara,CALIN,CPC,P,Inorganic ion transport and metabolism,0
174434,CPC-95_90777,183165,184152,CPC-95,90777,tara,complete,CPC,L,"Replication, recombination and repair",0
174435,CPC-95_90777,184486,185311,CPC-95,90777,tara,complete,CPC,H!!!R,Coenzyme transport and metabolism,0
174435,CPC-95_90777,184486,185311,CPC-95,90777,tara,complete,CPC,H!!!R,General function prediction only,0
181688,CPC-327_4478,40063,40558,CPC-327,4478,tara,CALIN,CPC,E,Amino acid transport and metabolism,0
181689,CPC-327_4478,40636,41155,CPC-327,4478,tara,CALIN,CPC,,,
181690,CPC-327_4478,41464,41710,CPC-327,4478,tara,CALIN,CPC,S,Function unknown,0
181691,CPC-327_4478,41724,41901,CPC-327,4478,tara,CALIN,CPC,,,
181692,CPC-327_4478,41848,42262,CPC-327,4478,tara,CALIN,CPC,S,Function unknown,0
181693,CPC-327_4478,42398,42836,CPC-327,4478,tara,CALIN,CPC,J,"Translation, ribosomal structure and biogenesis",0
181694,CPC-327_4478,43125,43320,CPC-327,4478,tara,CALIN,CPC,,,
181695,CPC-327_4478,43401,43497,CPC-327,4478,tara,CALIN,CPC,,,
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,,,
183918,CPC-327_MHASMcontig_547286,1098,1566,CPC-327,MHASMcontig_547286,tara,CALIN,CPC,,,
183919,CPC-327_MHASMcontig_547286,1663,2071,CPC-327,MHASMcontig_547286,tara,CALIN,CPC,,,
183920,CPC-327_MHASMcontig_547286,2136,2925,CPC-327,MHASMcontig_547286,tara,CALIN,CPC,J,"Translation, ribosomal structure and biogenesis",0
186748,CPC-12_118202,141617,141911,CPC-12,118202,tara,CALIN,CPC,H,Coenzyme transport and metabolism,0
186749,CPC-12_118202,142045,142381,CPC-12,118202,tara,CALIN,CPC,,,
186750,CPC-12_118202,142463,142718,CPC-12,118202,tara,CALIN,CPC,V,Defense mechanisms,0
186751,CPC-12_118202,142714,142966,CPC-12,118202,tara,CALIN,CPC,V,Defense mechanisms,0
186752,CPC-12_118202,143109,143310,CPC-12,118202,tara,CALIN,CPC,,,
186753,CPC-12_118202,143569,144562,CPC-12,118202,tara,CALIN,CPC,I,Lipid transport and metabolism,0
186755,CPC-12_118202,145243,146083,CPC-12,118202,tara,CALIN,CPC,O,"Posttranslational modification, protein turnover, chaperones",0
187810,CPC-12_MHASMcontig_1043827,33472,33820,CPC-12,MHASMcontig_1043827,tara,complete,CPC,V,Defense mechanisms,0
187811,CPC-12_MHASMcontig_1043827,34384,35398,CPC-12,MHASMcontig_1043827,tara,complete,CPC,L,"Replication, recombination and repair",0
191741,CPC-69_MHASMcontig_743989,16302,16581,CPC-69,MHASMcontig_743989,tara,CALIN,CPC,V,Defense mechanisms,0
191742,CPC-69_MHASMcontig_743989,16749,17043,CPC-69,MHASMcontig_743989,tara,CALIN,CPC,,,
191743,CPC-69_MHASMcontig_743989,17060,17864,CPC-69,MHASMcontig_743989,tara,CALIN,CPC,L,"Replication, recombination and repair",0
191744,CPC-69_MHASMcontig_743989,17919,18681,CPC-69,MHASMcontig_743989,tara,CALIN,CPC,,,
211085,CPC-79_MHASMcontig_267549,698,1469,CPC-79,MHASMcontig_267549,tara,CALIN,CPC,,,
211086,CPC-79_MHASMcontig_267549,1938,2355,CPC-79,MHASMcontig_267549,tara,CALIN,CPC,,,
211087,CPC-79_MHASMcontig_267549,2620,2911,CPC-79,MHASMcontig_267549,tara,CALIN,CPC,,,
