gene_callers_id,pnps,sample_id,ocean,depth,bin,COG_accession,COG_category,MAG_pnps_median,total_count,scg_pnps_median,scg_count
70371,0.07883358471593753,ERR598971,CPC,MES,CPC-48,nan,nan,0.06025282786986382,3091.0,0.04691453109447697,65.0
70373,0.4662992602459382,ERR598971,CPC,MES,CPC-48,Q,"Secondary metabolites biosynthesis, transport and catabolism",0.06025282786986382,3091.0,0.04691453109447697,65.0
70374,0.0,ERR598971,CPC,MES,CPC-48,Q,"Secondary metabolites biosynthesis, transport and catabolism",0.06025282786986382,3091.0,0.04691453109447697,65.0
70375,0.11701104520481286,ERR598971,CPC,MES,CPC-48,J!!!O,"Posttranslational modification, protein turnover, chaperones",0.06025282786986382,3091.0,0.04691453109447697,65.0
181696,0.7402690638948737,ERR598971,CPC,MES,CPC-327,nan,nan,0.03138679282832012,485.0,0.041039332956503874,38.0
181696,0.6340306258873879,ERR599128,CPC,MES,CPC-327,nan,nan,0.017753962753758918,232.0,0.042224973730815435,31.0
181696,0.3180776936462338,ERR599132,CPC,MES,CPC-327,nan,nan,0.026922877142750084,432.0,0.040845576498950265,36.0
186755,0.12976369724288914,ERR599346,CPC,MES,CPC-12,O,"Posttranslational modification, protein turnover, chaperones",0.06440011465038673,1912.0,0.04849429945817345,26.0
191743,0.1312975432392264,ERR599346,CPC,MES,CPC-69,L,"Replication, recombination and repair",0.0935425532741558,45.0,nan,nan
60550,1.3952919783779154,ERR315857,MED,SRF,MED-668,nan,nan,0.06964007150228696,509.0,0.0864788526246054,29.0
60550,2.447308116441654,ERR594288,MED,SRF,MED-668,nan,nan,0.0472586853325958,129.0,0.04195696464399285,18.0
86666,0.11170695210254383,ERR315858,MED,SRF,MED-592,X,"Mobilome: prophages, transposons",0.2637737333602511,15.0,nan,nan
86666,0.11911329086825898,ERR315861,MED,SRF,MED-592,X,"Mobilome: prophages, transposons",0.27604512195939857,14.0,nan,nan
86666,0.1179606200198065,ERR598951,MED,SRF,MED-592,X,"Mobilome: prophages, transposons",0.1179606200198065,3.0,nan,nan
86666,0.14230605977591532,ERR599043,MED,SRF,MED-592,X,"Mobilome: prophages, transposons",0.03816572590872835,448.0,0.05176443247388827,43.0
86732,0.02785101861478577,ERR599043,MED,SRF,MED-592,X,"Mobilome: prophages, transposons",0.03816572590872835,448.0,0.05176443247388827,43.0
88583,0.0284246427635359,ERR599043,MED,SRF,MED-592,H!!!H,Coenzyme transport and metabolism,0.03816572590872835,448.0,0.05176443247388827,43.0
88584,0.0,ERR599043,MED,SRF,MED-592,H,Coenzyme transport and metabolism,0.03816572590872835,448.0,0.05176443247388827,43.0
88585,0.09658098833154867,ERR599043,MED,SRF,MED-592,K,Transcription,0.03816572590872835,448.0,0.05176443247388827,43.0
306776,0.5092485526628147,ERR598993,MED,SRF,MED-581,L,"Replication, recombination and repair",0.14083353650303934,361.0,0.05333203640015613,10.0
306777,0.6025649886686683,ERR598993,MED,SRF,MED-581,D,"Cell cycle control, cell division, chromosome partitioning",0.14083353650303934,361.0,0.05333203640015613,10.0
306778,0.43527252556866175,ERR598993,MED,SRF,MED-581,D,"Cell cycle control, cell division, chromosome partitioning",0.14083353650303934,361.0,0.05333203640015613,10.0
60550,3.896760816277818,ERR315856,MED,DCM,MED-668,nan,nan,0.672496323291201,2611.0,0.09968580746241383,36.0
60551,0.04954230284019595,ERR315856,MED,DCM,MED-668,L,"Replication, recombination and repair",0.672496323291201,2611.0,0.09968580746241383,36.0
61659,0.8183343962640095,ERR315856,MED,DCM,MED-668,Q,"Secondary metabolites biosynthesis, transport and catabolism",0.672496323291201,2611.0,0.09968580746241383,36.0
61661,0.9174475299621122,ERR315856,MED,DCM,MED-668,E,Amino acid transport and metabolism,0.672496323291201,2611.0,0.09968580746241383,36.0
60550,0.7342678010049281,ERR594405,MED,DCM,MED-668,nan,nan,0.041917345093507086,264.0,0.042206742383174484,24.0
60550,2.16935235758056,ERR594408,MED,DCM,MED-668,nan,nan,0.07874378927290128,11.0,0.0,1.0
86666,0.1225309592269554,ERR315859,MED,DCM,MED-592,X,"Mobilome: prophages, transposons",0.07810615370176095,17.0,0.06366093902013546,1.0
86666,0.12265996163476828,ERR315860,MED,DCM,MED-592,X,"Mobilome: prophages, transposons",0.09843454704950227,15.0,nan,nan
86666,0.0993535671252863,ERR594405,MED,DCM,MED-592,X,"Mobilome: prophages, transposons",0.056981593079274126,19.0,0.10934960039303644,2.0
86666,0.11980367919304258,ERR599094,MED,DCM,MED-592,X,"Mobilome: prophages, transposons",0.03876546229568825,5.0,0.00738247414487949,1.0
125810,0.027587940480779446,ERR594315,MED,DCM,MED-870,L,"Replication, recombination and repair",0.05540636744761728,78.0,0.05590530587267488,5.0
125810,0.011949639134824285,ERR594329,MED,DCM,MED-870,L,"Replication, recombination and repair",0.04373076643522966,1336.0,0.04386661771352066,38.0
125811,0.03028246359363015,ERR594329,MED,DCM,MED-870,M,Cell wall/membrane/envelope biogenesis,0.04373076643522966,1336.0,0.04386661771352066,38.0
125812,0.5943252298011779,ERR594329,MED,DCM,MED-870,R,General function prediction only,0.04373076643522966,1336.0,0.04386661771352066,38.0
125813,0.05163801473233924,ERR594329,MED,DCM,MED-870,nan,nan,0.04373076643522966,1336.0,0.04386661771352066,38.0
283605,0.2591713439785609,ERR315856,MED,DCM,MED-698,N,Cell motility,0.31408608048763365,1653.0,0.27612092909594244,36.0
283607,0.025427781478877042,ERR315856,MED,DCM,MED-698,N,Cell motility,0.31408608048763365,1653.0,0.27612092909594244,36.0
283608,0.06255364104643088,ERR315856,MED,DCM,MED-698,N,Cell motility,0.31408608048763365,1653.0,0.27612092909594244,36.0
306776,0.4265203158929483,ERR599092,MED,DCM,MED-581,L,"Replication, recombination and repair",0.14918836016734802,795.0,0.06663740861260099,24.0
306778,0.2818396503431859,ERR599092,MED,DCM,MED-581,D,"Cell cycle control, cell division, chromosome partitioning",0.14918836016734802,795.0,0.06663740861260099,24.0
363039,0.031356992776055144,ERR594405,MED,DCM,MED-697,nan,nan,0.1276568227538098,3.0,nan,nan
17577,0.22211375180216208,ERR594362,EAC,SRF,EAC-102,L,"Replication, recombination and repair",0.0943068594670011,423.0,0.3521328275123549,2.0
18024,0.033485193046974865,ERR594362,EAC,SRF,EAC-102,X,"Mobilome: prophages, transposons",0.0943068594670011,423.0,0.3521328275123549,2.0
18024,0.03163317002247265,ERR594359,EAC,SRF,EAC-102,X,"Mobilome: prophages, transposons",0.06621732644867713,706.0,0.05919516558515722,13.0
18024,0.03039451223473214,ERR594361,EAC,SRF,EAC-102,X,"Mobilome: prophages, transposons",0.06799630225889303,719.0,0.026041617024689285,14.0
134010,0.05790135734535061,ERR594359,EAC,SRF,EAC-44,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0.035237608009702305,1244.0,0.02398205104234745,28.0
134010,0.0,ERR594361,EAC,SRF,EAC-44,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0.03585398595670738,1239.0,0.02153056911116744,26.0
158011,0.06619778990394384,ERR594392,EAC,SRF,EAC-69,K,Transcription,0.10264466124136563,45.0,nan,nan
158011,0.03675165486855021,ERR599376,EAC,SRF,EAC-69,K,Transcription,0.03675165486855021,3.0,nan,nan
241232,0.7232926851202309,ERR594392,EAC,SRF,EAC-47,J!!!O,"Posttranslational modification, protein turnover, chaperones",0.04569078899509702,1194.0,0.014821028919004706,17.0
244110,0.12009584850028747,ERR594392,EAC,SRF,EAC-47,V,Defense mechanisms,0.04569078899509702,1194.0,0.014821028919004706,17.0
276751,0.8673802247862672,ERR594392,EAC,SRF,EAC-50,nan,nan,0.05384188914174536,215.0,0.03061936494639237,8.0
276767,0.025663039981706787,ERR594392,EAC,SRF,EAC-50,C,Energy production and conversion,0.05384188914174536,215.0,0.03061936494639237,8.0
278286,0.004743147664428598,ERR594392,EAC,SRF,EAC-50,V,Defense mechanisms,0.05384188914174536,215.0,0.03061936494639237,8.0
278793,0.0528383437523462,ERR594392,EAC,SRF,EAC-50,X,"Mobilome: prophages, transposons",0.05384188914174536,215.0,0.03061936494639237,8.0
276767,0.04208339409861795,ERR599376,EAC,SRF,EAC-50,C,Energy production and conversion,0.03429347997398792,475.0,0.04738843685302114,30.0
277458,0.010792181551962909,ERR599376,EAC,SRF,EAC-50,H,Coenzyme transport and metabolism,0.03429347997398792,475.0,0.04738843685302114,30.0
277461,0.003073268226211688,ERR599376,EAC,SRF,EAC-50,L,"Replication, recombination and repair",0.03429347997398792,475.0,0.04738843685302114,30.0
278793,0.06900117174992444,ERR599376,EAC,SRF,EAC-50,X,"Mobilome: prophages, transposons",0.03429347997398792,475.0,0.04738843685302114,30.0
278793,0.07698818847366709,ERR594362,EAC,SRF,EAC-50,X,"Mobilome: prophages, transposons",0.06993746079395524,21.0,0.04920668204375496,1.0
485,0.05195719705651565,ERR594382,EAC,DCM,EAC-39,L,"Replication, recombination and repair",0.07565790934148957,273.0,nan,nan
485,0.0,ERR594414,EAC,DCM,EAC-39,L,"Replication, recombination and repair",0.07248209324807646,263.0,nan,nan
4745,0.055413311841633964,ERR594414,EAC,DCM,EAC-39,K,Transcription,0.07248209324807646,263.0,nan,nan
4746,0.0,ERR594414,EAC,DCM,EAC-39,nan,nan,0.07248209324807646,263.0,nan,nan
4747,0.2889200331184625,ERR594414,EAC,DCM,EAC-39,L,"Replication, recombination and repair",0.07248209324807646,263.0,nan,nan
18024,0.035944363896833184,ERR594382,EAC,DCM,EAC-102,X,"Mobilome: prophages, transposons",0.07770634487017478,102.0,nan,nan
18024,0.032392170438966035,ERR594389,EAC,DCM,EAC-102,X,"Mobilome: prophages, transposons",0.06360890058809915,742.0,0.05646755749473716,19.0
18024,0.03041113622634105,ERR594414,EAC,DCM,EAC-102,X,"Mobilome: prophages, transposons",0.0900108683669587,83.0,nan,nan
143645,0.0864420165850256,ERR594389,EAC,DCM,EAC-52,nan,nan,0.055127922959939485,15.0,nan,nan
51828,0.2654181939972096,ERR599057,IN,SRF,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.08601214441434785,1758.0,0.05028608413294574,61.0
51829,0.06939822073963273,ERR599057,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.08601214441434785,1758.0,0.05028608413294574,61.0
51830,0.12072801875889586,ERR599057,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.08601214441434785,1758.0,0.05028608413294574,61.0
51831,0.047800047791675536,ERR599057,IN,SRF,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.08601214441434785,1758.0,0.05028608413294574,61.0
51828,0.3669107756820184,ERR599102,IN,SRF,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.0821932651094373,1602.0,0.0376991112767511,58.0
51830,0.045250352514116014,ERR599102,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.0821932651094373,1602.0,0.0376991112767511,58.0
51831,0.011127655771169202,ERR599102,IN,SRF,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.0821932651094373,1602.0,0.0376991112767511,58.0
51828,0.4116088177884752,ERR599146,IN,SRF,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.07322095523404007,1645.0,0.0324902720812711,58.0
51829,0.0,ERR599146,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.07322095523404007,1645.0,0.0324902720812711,58.0
51830,0.0322463447478041,ERR599146,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.07322095523404007,1645.0,0.0324902720812711,58.0
51831,0.032701273238441096,ERR599146,IN,SRF,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.07322095523404007,1645.0,0.0324902720812711,58.0
51828,0.2717471263330641,ERR599150,IN,SRF,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.08425303562447298,1893.0,0.03959688578114405,67.0
51829,0.03969494912447742,ERR599150,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.08425303562447298,1893.0,0.03959688578114405,67.0
51830,0.06760129402504647,ERR599150,IN,SRF,IN-924,H,Coenzyme transport and metabolism,0.08425303562447298,1893.0,0.03959688578114405,67.0
51831,0.041647927919874934,ERR599150,IN,SRF,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.08425303562447298,1893.0,0.03959688578114405,67.0
51828,0.6569489709362064,ERR599158,IN,SRF,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.05175805932903591,191.0,0.02150888202705394,6.0
51828,0.2498129875747445,ERR599023,IN,DCM,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.07267202555949437,1738.0,0.03233286138902535,60.0
51829,0.035926640830158486,ERR599023,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.07267202555949437,1738.0,0.03233286138902535,60.0
51830,0.06015435267717275,ERR599023,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.07267202555949437,1738.0,0.03233286138902535,60.0
51831,0.013615830069507484,ERR599023,IN,DCM,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.07267202555949437,1738.0,0.03233286138902535,60.0
51828,0.2923232637277629,ERR599026,IN,DCM,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.08964965027420521,1877.0,0.04981647392775782,67.0
51829,0.05439257697053227,ERR599026,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.08964965027420521,1877.0,0.04981647392775782,67.0
51830,0.06173373852074721,ERR599026,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.08964965027420521,1877.0,0.04981647392775782,67.0
51831,0.04525026731736207,ERR599026,IN,DCM,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.08964965027420521,1877.0,0.04981647392775782,67.0
51828,0.370546135953077,ERR599028,IN,DCM,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.08406357423382269,1617.0,0.030412828970234205,55.0
51829,0.04465169484209381,ERR599028,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.08406357423382269,1617.0,0.030412828970234205,55.0
51830,0.05019084695942196,ERR599028,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.08406357423382269,1617.0,0.030412828970234205,55.0
51831,0.042411754543305966,ERR599028,IN,DCM,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.08406357423382269,1617.0,0.030412828970234205,55.0
51828,0.3594128753574936,ERR599082,IN,DCM,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.0909148705781282,1855.0,0.04509722885851848,66.0
51829,0.04394149134584187,ERR599082,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.0909148705781282,1855.0,0.04509722885851848,66.0
51830,0.05629896395161424,ERR599082,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.0909148705781282,1855.0,0.04509722885851848,66.0
51831,0.043065957279712866,ERR599082,IN,DCM,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.0909148705781282,1855.0,0.04509722885851848,66.0
51828,0.37866736011120783,ERR599110,IN,DCM,IN-924,O,"Posttranslational modification, protein turnover, chaperones",0.08465209331092505,1730.0,0.056819948943557776,61.0
51829,0.05940834946072737,ERR599110,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.08465209331092505,1730.0,0.056819948943557776,61.0
51830,0.08375774712098044,ERR599110,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.08465209331092505,1730.0,0.056819948943557776,61.0
51831,0.06557761619733513,ERR599110,IN,DCM,IN-924,K!!!J,"Translation, ribosomal structure and biogenesis",0.08465209331092505,1730.0,0.056819948943557776,61.0
51829,0.0,ERR598949,IN,DCM,IN-924,H,Coenzyme transport and metabolism,0.05400720086782768,252.0,0.003070382616910734,7.0
79552,0.4408041401106999,ERR599082,IN,DCM,IN-32,X,"Mobilome: prophages, transposons",0.05644652669690925,2943.0,0.042827954932944716,32.0
79550,0.024949140330589925,ERR599062,IN,MES,IN-32,V,Defense mechanisms,0.05653646347857419,2989.0,0.04445033679072069,40.0
79551,0.19099640046227048,ERR599062,IN,MES,IN-32,V,Defense mechanisms,0.05653646347857419,2989.0,0.04445033679072069,40.0
79552,1.3547341472212546,ERR599062,IN,MES,IN-32,X,"Mobilome: prophages, transposons",0.05653646347857419,2989.0,0.04445033679072069,40.0
79551,1.7570968639453135,ERR598960,IN,MES,IN-32,V,Defense mechanisms,0.054734612257184435,3083.0,0.03809369790432311,56.0
79552,0.08644756994584295,ERR598960,IN,MES,IN-32,X,"Mobilome: prophages, transposons",0.054734612257184435,3083.0,0.03809369790432311,56.0
132508,0.16122054257647694,ERR599112,IN,MES,IN-928,L,"Replication, recombination and repair",0.057825888315963365,1985.0,0.02869216067771212,25.0
202550,0.11220072573575056,ERR599148,SAT,DCM,SAT-112,C,Energy production and conversion,0.06411040708530884,17.0,0.07384289633160987,2.0
244906,0.5181229027382935,ERR599148,SAT,DCM,SAT-26,L,"Replication, recombination and repair",0.22919108786471526,6.0,nan,nan
291070,0.0,ERR599148,SAT,DCM,SAT-109,V,Defense mechanisms,0.04036053480816286,126.0,0.08901323140105091,22.0
405965,0.5689202367503763,ERR599148,SAT,DCM,SAT-126,S,Function unknown,0.07776774638907698,61.0,nan,nan
405967,0.752343490813881,ERR599148,SAT,DCM,SAT-126,nan,nan,0.07776774638907698,61.0,nan,nan
416928,0.11201308396553056,ERR599148,SAT,DCM,SAT-1,C,Energy production and conversion,0.04723880172155449,2663.0,0.04093613865033949,40.0
53885,0.1919200799201394,ERR599044,SAT,MES,SAT-69,P,Inorganic ion transport and metabolism,0.04292919808582165,1370.0,0.05722787172313671,29.0
421407,0.0656275836800135,ERR599044,SAT,MES,SAT-69,K,Transcription,0.04292919808582165,1370.0,0.05722787172313671,29.0
421409,0.09505646824647317,ERR599044,SAT,MES,SAT-69,I,Lipid transport and metabolism,0.04292919808582165,1370.0,0.05722787172313671,29.0
421410,0.057288438140121564,ERR599044,SAT,MES,SAT-69,T!!!T,Signal transduction mechanisms,0.04292919808582165,1370.0,0.05722787172313671,29.0
128401,0.0648986334754984,ERR598947,SAT,MES,SAT-1462,P,Inorganic ion transport and metabolism,0.035685931048267575,2005.0,0.03829154474841124,36.0
128402,0.013529836044774238,ERR598947,SAT,MES,SAT-1462,M,Cell wall/membrane/envelope biogenesis,0.035685931048267575,2005.0,0.03829154474841124,36.0
128404,0.047368261048617084,ERR598947,SAT,MES,SAT-1462,O!!!S,Function unknown,0.035685931048267575,2005.0,0.03829154474841124,36.0
366843,0.07760515578245396,ERR598947,SAT,MES,SAT-1462,L,"Replication, recombination and repair",0.035685931048267575,2005.0,0.03829154474841124,36.0
366844,0.030856312885803008,ERR598947,SAT,MES,SAT-1462,L,"Replication, recombination and repair",0.035685931048267575,2005.0,0.03829154474841124,36.0
418444,1.351157235367766,ERR598947,SAT,MES,SAT-1462,nan,nan,0.035685931048267575,2005.0,0.03829154474841124,36.0
202550,0.0,ERR599000,SAT,MES,SAT-112,C,Energy production and conversion,0.06368513304196834,21.0,0.12113736603532435,1.0
202550,0.05601936876556963,ERR599044,SAT,MES,SAT-112,C,Energy production and conversion,0.0707890189653082,46.0,0.05169244884246371,4.0
202552,1.246387564690252,ERR599044,SAT,MES,SAT-112,nan,nan,0.0707890189653082,46.0,0.05169244884246371,4.0
244906,0.2806496815304899,ERR599000,SAT,MES,SAT-26,L,"Replication, recombination and repair",0.0779893621465068,15.0,nan,nan
244906,0.455164040089425,ERR599044,SAT,MES,SAT-26,L,"Replication, recombination and repair",0.05355279145714049,11.0,nan,nan
244906,0.3965136987734259,ERR599159,SAT,MES,SAT-26,L,"Replication, recombination and repair",0.3045705418879906,5.0,nan,nan
259245,0.23159110836182786,ERR599044,SAT,MES,SAT-230,nan,nan,0.08259809258961938,1167.0,0.0527071620335136,7.0
265425,0.0,ERR599000,SAT,MES,SAT-109,V,Defense mechanisms,0.04460883177226508,637.0,0.06319203205837669,39.0
265426,0.049052869765943335,ERR599000,SAT,MES,SAT-109,V,Defense mechanisms,0.04460883177226508,637.0,0.06319203205837669,39.0
291070,0.02301674324321199,ERR599000,SAT,MES,SAT-109,V,Defense mechanisms,0.04460883177226508,637.0,0.06319203205837669,39.0
291071,0.23311353881450936,ERR599000,SAT,MES,SAT-109,X,"Mobilome: prophages, transposons",0.04460883177226508,637.0,0.06319203205837669,39.0
265425,0.0,ERR599044,SAT,MES,SAT-109,V,Defense mechanisms,0.046021380937701285,177.0,0.07834539149230313,24.0
265426,0.0339390456838816,ERR599044,SAT,MES,SAT-109,V,Defense mechanisms,0.046021380937701285,177.0,0.07834539149230313,24.0
291070,0.03783512115638122,ERR599044,SAT,MES,SAT-109,V,Defense mechanisms,0.046021380937701285,177.0,0.07834539149230313,24.0
291071,0.13835722018280736,ERR599044,SAT,MES,SAT-109,X,"Mobilome: prophages, transposons",0.046021380937701285,177.0,0.07834539149230313,24.0
291072,0.4067037761254146,ERR599044,SAT,MES,SAT-109,nan,nan,0.046021380937701285,177.0,0.07834539149230313,24.0
291070,0.16575503857821916,ERR598947,SAT,MES,SAT-109,V,Defense mechanisms,0.09992033686127268,7.0,nan,nan
291070,0.13785883977404234,ERR599005,SAT,MES,SAT-109,V,Defense mechanisms,0.06883034653307657,10.0,nan,nan
291070,0.04355887489376652,ERR599159,SAT,MES,SAT-109,V,Defense mechanisms,0.05407524268282757,50.0,0.08484400272144907,8.0
291071,0.1916737320491016,ERR599159,SAT,MES,SAT-109,X,"Mobilome: prophages, transposons",0.05407524268282757,50.0,0.08484400272144907,8.0
303748,0.2462995235807512,ERR599159,SAT,MES,SAT-62,L,"Replication, recombination and repair",0.06697333955088118,244.0,0.042451677722648684,2.0
405965,1.1078519082516365,ERR599000,SAT,MES,SAT-126,S,Function unknown,0.06280910608401273,22.0,nan,nan
405965,0.8314946028593782,ERR599044,SAT,MES,SAT-126,S,Function unknown,0.11576114552079425,17.0,nan,nan
405967,0.31647189430206163,ERR599044,SAT,MES,SAT-126,nan,nan,0.11576114552079425,17.0,nan,nan
416928,0.11734356653953194,ERR599000,SAT,MES,SAT-1,C,Energy production and conversion,0.05173039465591801,2822.0,0.041550342623925776,41.0
416928,0.30547312904418555,ERR599044,SAT,MES,SAT-1,C,Energy production and conversion,0.0457673773585607,2725.0,0.04218517769882674,40.0
416928,0.3625818732159676,ERR599159,SAT,MES,SAT-1,C,Energy production and conversion,0.039393989740546566,99.0,0.07471264367816075,3.0
421407,0.0668367346938774,ERR599005,SAT,MES,SAT-69,K,Transcription,0.03225222880412909,276.0,0.051460321720253534,16.0
94200,0.042295528879446674,ERR598968,NAT,SRF,NAT-280,J,"Translation, ribosomal structure and biogenesis",0.0837429030378622,515.0,0.14325304494955726,6.0
94200,0.14105735439625666,ERR598986,NAT,DCM,NAT-280,J,"Translation, ribosomal structure and biogenesis",0.04003341410035983,139.0,0.0,1.0
328131,0.14679522736408193,ERR599095,NAT,DCM,NAT-143,E,Amino acid transport and metabolism,0.07889571311152656,1015.0,0.03332079946779282,29.0
328132,0.0,ERR599095,NAT,DCM,NAT-143,nan,nan,0.07889571311152656,1015.0,0.03332079946779282,29.0
433399,0.06562050590246145,ERR598986,NAT,DCM,NAT-101,K,Transcription,0.06562050590246145,1.0,nan,nan
433399,0.06777571449589558,ERR598996,NAT,DCM,NAT-101,K,Transcription,0.06777571449589558,1.0,nan,nan
433399,0.0,ERR599095,NAT,DCM,NAT-101,K,Transcription,0.0,1.0,nan,nan
336850,0.04030236513925645,ERR598985,NAT,MES,NAT-64,L,"Replication, recombination and repair",0.0914878168128015,733.0,0.07476100690295527,8.0
395897,0.2127647629825551,ERR598944,NAT,MES,NAT-30,Q,"Secondary metabolites biosynthesis, transport and catabolism",0.07921488074414901,228.0,0.047729113822520895,19.0
427557,0.08124355104495548,ERR598985,NAT,MES,NAT-276,X,"Mobilome: prophages, transposons",0.07033229909781373,2786.0,0.0508310560648625,61.0
433399,0.0008022619878255285,ERR598944,NAT,MES,NAT-101,K,Transcription,0.09672475229030228,1247.0,0.09448887711025834,27.0
433400,1.7938163190632963,ERR598944,NAT,MES,NAT-101,nan,nan,0.09672475229030228,1247.0,0.09448887711025834,27.0
433401,0.05985806284236825,ERR598944,NAT,MES,NAT-101,nan,nan,0.09672475229030228,1247.0,0.09448887711025834,27.0
433399,0.002399783702291405,ERR598964,NAT,MES,NAT-101,K,Transcription,0.10615577974384646,1595.0,0.11996908835133335,36.0
433401,0.04618473072472782,ERR598964,NAT,MES,NAT-101,nan,nan,0.10615577974384646,1595.0,0.11996908835133335,36.0
433399,0.0041092659853516475,ERR598985,NAT,MES,NAT-101,K,Transcription,0.12554823881169758,1966.0,0.10958536482283282,62.0
433400,0.5378701643037276,ERR598985,NAT,MES,NAT-101,nan,nan,0.12554823881169758,1966.0,0.10958536482283282,62.0
433401,0.031664800895570375,ERR598985,NAT,MES,NAT-101,nan,nan,0.12554823881169758,1966.0,0.10958536482283282,62.0
