gene_callers_id,pnps,COG_accession,COG_category,sample_id,bin,ocean,depth,rank,total_pnps
128404,0.047368261048617084,O!!!S,Function unknown,ERR598947,SAT-1462,SAT,MES,814,2011
366843,0.07760515578245396,L,"Replication, recombination and repair",ERR598947,SAT-1462,SAT,MES,474,2011
366844,0.030856312885803008,L,"Replication, recombination and repair",ERR598947,SAT-1462,SAT,MES,1104,2011
418444,1.3511572353677657,,,ERR598947,SAT-1462,SAT,MES,17,2011
628147,0.4891743020762054,J,"Translation, ribosomal structure and biogenesis",ERR598948,SP-1,SP,DCM,21,2023
628148,0.12114337568057995,J,"Translation, ribosomal structure and biogenesis",ERR598948,SP-1,SP,DCM,399,2023
628149,0.38898877744162585,K!!!S,Function unknown,ERR598948,SP-1,SP,DCM,31,2023
340003,0.0,X,"Mobilome: prophages, transposons",ERR598948,SP-133,SP,DCM,17,17
790836,0.08762900784367714,,,ERR598948,SP-182,SP,DCM,26,76
15587,0.0,X,"Mobilome: prophages, transposons",ERR598949,ARS-1037,ARS,DCM,1,1
51829,0.0,H,Coenzyme transport and metabolism,ERR598949,IN-924,IN,DCM,211,254
86666,0.1179606200198065,X,"Mobilome: prophages, transposons",ERR598951,MED-592,MED,SRF,2,3
79551,1.7570968639453135,V,Defense mechanisms,ERR598960,IN-32,IN,MES,21,3093
79552,0.08644756994584295,X,"Mobilome: prophages, transposons",ERR598960,IN-32,IN,MES,1051,3093
433399,0.002399783702291405,K,Transcription,ERR598964,NAT-101,NAT,MES,1556,1598
433401,0.04618473072472782,,,ERR598964,NAT-101,NAT,MES,1337,1598
78137,0.09714548799333796,,,ERR598965,CPC-16,CPC,DCM,5,6
181696,0.7365745856353612,,,ERR598965,CPC-327,CPC,DCM,7,237
71595,0.2294768925011854,,,ERR598965,CPC-33,CPC,DCM,1,24
73258,0.04225304724373232,X,"Mobilome: prophages, transposons",ERR598965,CPC-6,CPC,DCM,11,16
94200,0.042295528879446674,J,"Translation, ribosomal structure and biogenesis",ERR598968,NAT-280,NAT,SRF,342,517
181696,0.7402690638948737,,,ERR598971,CPC-327,CPC,MES,6,485
70371,0.07883358471593753,,,ERR598971,CPC-48,CPC,MES,1216,3099
70373,0.4662992602459382,Q,"Secondary metabolites biosynthesis, transport and catabolism",ERR598971,CPC-48,CPC,MES,78,3099
70374,0.0,Q,"Secondary metabolites biosynthesis, transport and catabolism",ERR598971,CPC-48,CPC,MES,2988,3099
70375,0.11701104520481286,J!!!O,"Posttranslational modification, protein turnover, chaperones",ERR598971,CPC-48,CPC,MES,792,3099
316842,0.06976693180010309,K,Transcription,ERR598971,NP-1,NP,MES,600,1628
316843,0.09712619592926852,X,"Mobilome: prophages, transposons",ERR598971,NP-1,NP,MES,406,1628
428687,0.008816048450972079,,,ERR598971,NP-15,NP,MES,370,503
428785,0.19741886824320784,,,ERR598971,NP-15,NP,MES,43,503
428787,0.08880917247077748,X,"Mobilome: prophages, transposons",ERR598971,NP-15,NP,MES,110,503
133198,0.10445985795905348,V,Defense mechanisms,ERR598971,NP-2,NP,MES,23,120
272997,0.07192083064158405,X,"Mobilome: prophages, transposons",ERR598980,NP-125,NP,MES,8,15
428687,0.00314934565784761,,,ERR598980,NP-15,NP,MES,315,429
133198,0.12279689270907655,V,Defense mechanisms,ERR598980,NP-2,NP,MES,14,102
433399,0.0041092659853516475,K,Transcription,ERR598985,NAT-101,NAT,MES,1952,1968
433400,0.5378701643037276,,,ERR598985,NAT-101,NAT,MES,39,1968
433401,0.031664800895570375,,,ERR598985,NAT-101,NAT,MES,1885,1968
427557,0.08124355104495548,X,"Mobilome: prophages, transposons",ERR598985,NAT-276,NAT,MES,1237,2795
433399,0.06562050590246145,K,Transcription,ERR598986,NAT-101,NAT,DCM,1,1
94200,0.14105735439625666,J,"Translation, ribosomal structure and biogenesis",ERR598986,NAT-280,NAT,DCM,29,139
306776,0.5092485526628147,L,"Replication, recombination and repair",ERR598993,MED-581,MED,SRF,53,363
306777,0.6025649886686683,D,"Cell cycle control, cell division, chromosome partitioning",ERR598993,MED-581,MED,SRF,43,363
306778,0.43527252556866175,D,"Cell cycle control, cell division, chromosome partitioning",ERR598993,MED-581,MED,SRF,60,363
433399,0.06777571449589558,K,Transcription,ERR598996,NAT-101,NAT,DCM,1,1
340003,0.0,X,"Mobilome: prophages, transposons",ERR598999,SP-133,SP,MES,3,3
416928,0.11734356653953194,C,Energy production and conversion,ERR599000,SAT-1,SAT,MES,479,2826
265425,0.0,V,Defense mechanisms,ERR599000,SAT-109,SAT,MES,599,638
265426,0.049052869765943335,V,Defense mechanisms,ERR599000,SAT-109,SAT,MES,291,638
291070,0.02301674324321199,V,Defense mechanisms,ERR599000,SAT-109,SAT,MES,443,638
291071,0.23311353881450936,X,"Mobilome: prophages, transposons",ERR599000,SAT-109,SAT,MES,29,638
202550,0.0,C,Energy production and conversion,ERR599000,SAT-112,SAT,MES,20,21
405965,1.1078519082516365,S,Function unknown,ERR599000,SAT-126,SAT,MES,1,22
244906,0.2806496815304899,L,"Replication, recombination and repair",ERR599000,SAT-26,SAT,MES,3,16
316843,0.086861155041817,X,"Mobilome: prophages, transposons",ERR599004,NP-1,NP,MES,16,27
133198,0.06811363994929924,V,Defense mechanisms,ERR599004,NP-2,NP,MES,6,28
291070,0.13785883977404234,V,Defense mechanisms,ERR599005,SAT-109,SAT,MES,2,10
421407,0.0668367346938774,K,Transcription,ERR599005,SAT-69,SAT,MES,88,276
133198,0.1818388195509333,V,Defense mechanisms,ERR599015,NP-2,NP,MES,2,15
340003,0.014416699381719952,X,"Mobilome: prophages, transposons",ERR599020,SP-133,SP,MES,28,36
51828,0.2498129875747445,O,"Posttranslational modification, protein turnover, chaperones",ERR599023,IN-924,IN,DCM,101,1740
51829,0.035926640830158486,H,Coenzyme transport and metabolism,ERR599023,IN-924,IN,DCM,1323,1740
51830,0.06015435267717275,H,Coenzyme transport and metabolism,ERR599023,IN-924,IN,DCM,1029,1740
51831,0.013615830069507484,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599023,IN-924,IN,DCM,1613,1740
51828,0.2923232637277629,O,"Posttranslational modification, protein turnover, chaperones",ERR599026,IN-924,IN,DCM,76,1878
51829,0.05439257697053227,H,Coenzyme transport and metabolism,ERR599026,IN-924,IN,DCM,1359,1878
51830,0.06173373852074721,H,Coenzyme transport and metabolism,ERR599026,IN-924,IN,DCM,1255,1878
51831,0.04525026731736207,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599026,IN-924,IN,DCM,1464,1878
51828,0.370546135953077,O,"Posttranslational modification, protein turnover, chaperones",ERR599028,IN-924,IN,DCM,50,1620
51829,0.04465169484209381,H,Coenzyme transport and metabolism,ERR599028,IN-924,IN,DCM,1184,1620
51830,0.05019084695942196,H,Coenzyme transport and metabolism,ERR599028,IN-924,IN,DCM,1127,1620
51831,0.042411754543305966,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599028,IN-924,IN,DCM,1208,1620
340003,0.0,X,"Mobilome: prophages, transposons",ERR599033,SP-133,SP,MES,1,2
86666,0.14230605977591532,X,"Mobilome: prophages, transposons",ERR599043,MED-592,MED,SRF,73,450
86732,0.02785101861478577,X,"Mobilome: prophages, transposons",ERR599043,MED-592,MED,SRF,257,450
88583,0.0284246427635359,H!!!H,Coenzyme transport and metabolism,ERR599043,MED-592,MED,SRF,253,450
88584,0.0,H,Coenzyme transport and metabolism,ERR599043,MED-592,MED,SRF,365,450
88585,0.09658098833154867,K,Transcription,ERR599043,MED-592,MED,SRF,113,450
416928,0.30547312904418555,C,Energy production and conversion,ERR599044,SAT-1,SAT,MES,89,2730
265425,0.0,V,Defense mechanisms,ERR599044,SAT-109,SAT,MES,159,177
265426,0.0339390456838816,V,Defense mechanisms,ERR599044,SAT-109,SAT,MES,108,177
291070,0.03783512115638122,V,Defense mechanisms,ERR599044,SAT-109,SAT,MES,104,177
291071,0.13835722018280736,X,"Mobilome: prophages, transposons",ERR599044,SAT-109,SAT,MES,26,177
291072,0.4067037761254146,,,ERR599044,SAT-109,SAT,MES,8,177
202550,0.05601936876556963,C,Energy production and conversion,ERR599044,SAT-112,SAT,MES,29,46
202552,1.246387564690252,,,ERR599044,SAT-112,SAT,MES,2,46
405965,0.8314946028593782,S,Function unknown,ERR599044,SAT-126,SAT,MES,1,17
405967,0.31647189430206163,,,ERR599044,SAT-126,SAT,MES,4,17
259245,0.23159110836182786,,,ERR599044,SAT-230,SAT,MES,224,1173
244906,0.455164040089425,L,"Replication, recombination and repair",ERR599044,SAT-26,SAT,MES,3,12
53885,0.1919200799201394,P,Inorganic ion transport and metabolism,ERR599044,SAT-69,SAT,MES,155,1379
421407,0.0656275836800135,K,Transcription,ERR599044,SAT-69,SAT,MES,527,1379
421409,0.09505646824647317,I,Lipid transport and metabolism,ERR599044,SAT-69,SAT,MES,370,1379
421410,0.057288438140121564,T!!!T,Signal transduction mechanisms,ERR599044,SAT-69,SAT,MES,586,1379
433399,0.0010349103713707287,K,Transcription,ERR599047,NAT-101,NAT,MES,837,875
316843,0.0,X,"Mobilome: prophages, transposons",ERR599051,NP-1,NP,MES,26,26
133198,0.1053782034581778,V,Defense mechanisms,ERR599051,NP-2,NP,MES,3,27
272997,0.0622081586002666,X,"Mobilome: prophages, transposons",ERR599052,NP-125,NP,SRF,1,1
51828,0.2654181939972096,O,"Posttranslational modification, protein turnover, chaperones",ERR599057,IN-924,IN,SRF,124,1759
51829,0.06939822073963273,H,Coenzyme transport and metabolism,ERR599057,IN-924,IN,SRF,1041,1759
51830,0.12072801875889586,H,Coenzyme transport and metabolism,ERR599057,IN-924,IN,SRF,591,1759
51831,0.047800047791675536,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599057,IN-924,IN,SRF,1307,1759
316843,0.062109863554183076,X,"Mobilome: prophages, transposons",ERR599060,NP-1,NP,MES,20,27
133198,0.10262812371505467,V,Defense mechanisms,ERR599060,NP-2,NP,MES,5,28
79550,0.024949140330589925,V,Defense mechanisms,ERR599062,IN-32,IN,MES,2146,2997
79551,0.19099640046227048,V,Defense mechanisms,ERR599062,IN-32,IN,MES,428,2997
79552,1.3547341472212546,X,"Mobilome: prophages, transposons",ERR599062,IN-32,IN,MES,20,2997
78137,0.279967282887578,,,ERR599064,CPC-16,CPC,SRF,115,851
181696,0.5666154070713029,,,ERR599064,CPC-327,CPC,SRF,5,237
87795,1.1242794684993898,,,ERR599064,CPC-64,CPC,SRF,15,1089
87817,0.7048757438324039,,,ERR599064,CPC-64,CPC,SRF,33,1089
428785,0.19893428063943128,,,ERR599065,NP-15,NP,DCM,7,117
340003,0.0,X,"Mobilome: prophages, transposons",ERR599071,SP-133,SP,MES,3,3
133198,0.13663974891508024,V,Defense mechanisms,ERR599076,NP-2,NP,MES,2,16
15587,0.06294645750522296,X,"Mobilome: prophages, transposons",ERR599082,ARS-1037,ARS,DCM,17,26
79552,0.4408041401106999,X,"Mobilome: prophages, transposons",ERR599082,IN-32,IN,DCM,96,2946
51828,0.3594128753574936,O,"Posttranslational modification, protein turnover, chaperones",ERR599082,IN-924,IN,DCM,40,1856
51829,0.04394149134584187,H,Coenzyme transport and metabolism,ERR599082,IN-924,IN,DCM,1431,1856
51830,0.05629896395161424,H,Coenzyme transport and metabolism,ERR599082,IN-924,IN,DCM,1277,1856
51831,0.04306595727971287,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599082,IN-924,IN,DCM,1437,1856
340003,0.0017246798215836865,X,"Mobilome: prophages, transposons",ERR599083,SP-133,SP,MES,2,2
272997,0.11745462220346255,X,"Mobilome: prophages, transposons",ERR599087,NP-125,NP,DCM,2,3
428785,0.2661430563278272,,,ERR599087,NP-15,NP,DCM,10,195
133198,0.1093839671904539,V,Defense mechanisms,ERR599087,NP-2,NP,DCM,3,24
306776,0.4265203158929483,L,"Replication, recombination and repair",ERR599092,MED-581,MED,DCM,128,800
306778,0.2818396503431859,D,"Cell cycle control, cell division, chromosome partitioning",ERR599092,MED-581,MED,DCM,224,800
86666,0.11980367919304258,X,"Mobilome: prophages, transposons",ERR599094,MED-592,MED,DCM,3,6
433399,0.0,K,Transcription,ERR599095,NAT-101,NAT,DCM,2,2
328131,0.14679522736408193,E,Amino acid transport and metabolism,ERR599095,NAT-143,NAT,DCM,321,1020
328132,0.0,,,ERR599095,NAT-143,NAT,DCM,921,1020
340003,0.0,X,"Mobilome: prophages, transposons",ERR599096,SP-133,SP,MES,1,2
51828,0.3669107756820184,O,"Posttranslational modification, protein turnover, chaperones",ERR599102,IN-924,IN,SRF,59,1606
51830,0.04525035251411602,H,Coenzyme transport and metabolism,ERR599102,IN-924,IN,SRF,1146,1606
51831,0.011127655771169202,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599102,IN-924,IN,SRF,1447,1606
51828,0.37866736011120783,O,"Posttranslational modification, protein turnover, chaperones",ERR599110,IN-924,IN,DCM,48,1733
51829,0.05940834946072737,H,Coenzyme transport and metabolism,ERR599110,IN-924,IN,DCM,1165,1733
51830,0.08375774712098044,H,Coenzyme transport and metabolism,ERR599110,IN-924,IN,DCM,876,1733
51831,0.06557761619733513,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599110,IN-924,IN,DCM,1078,1733
316843,0.05427109237838042,X,"Mobilome: prophages, transposons",ERR599115,NP-1,NP,MES,34,68
272997,0.06609916708677413,X,"Mobilome: prophages, transposons",ERR599115,NP-125,NP,MES,23,41
420000,0.25810376227016435,C,Energy production and conversion,ERR599115,NP-151,NP,MES,72,2000
133198,0.12339318506427295,V,Defense mechanisms,ERR599115,NP-2,NP,MES,1,18
133198,0.1373599057510175,V,Defense mechanisms,ERR599127,NP-2,NP,MES,1,15
181696,0.6340306258873879,,,ERR599128,CPC-327,CPC,MES,6,232
181696,0.3180776936462338,,,ERR599132,CPC-327,CPC,MES,15,432
51828,0.4116088177884752,O,"Posttranslational modification, protein turnover, chaperones",ERR599146,IN-924,IN,SRF,39,1646
51829,0.0,H,Coenzyme transport and metabolism,ERR599146,IN-924,IN,SRF,1596,1646
51830,0.0322463447478041,H,Coenzyme transport and metabolism,ERR599146,IN-924,IN,SRF,1261,1646
51831,0.032701273238441096,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599146,IN-924,IN,SRF,1256,1646
416928,0.11201308396553056,C,Energy production and conversion,ERR599148,SAT-1,SAT,DCM,479,2665
291070,0.0,V,Defense mechanisms,ERR599148,SAT-109,SAT,DCM,109,127
202550,0.11220072573575056,C,Energy production and conversion,ERR599148,SAT-112,SAT,DCM,4,17
405965,0.5689202367503763,S,Function unknown,ERR599148,SAT-126,SAT,DCM,7,61
405967,0.752343490813881,,,ERR599148,SAT-126,SAT,DCM,2,61
244906,0.5181229027382935,L,"Replication, recombination and repair",ERR599148,SAT-26,SAT,DCM,3,7
51828,0.2717471263330641,O,"Posttranslational modification, protein turnover, chaperones",ERR599150,IN-924,IN,SRF,74,1894
51829,0.03969494912447742,H,Coenzyme transport and metabolism,ERR599150,IN-924,IN,SRF,1499,1894
51830,0.06760129402504647,H,Coenzyme transport and metabolism,ERR599150,IN-924,IN,SRF,1142,1894
51831,0.04164792791987493,K!!!J,"Translation, ribosomal structure and biogenesis",ERR599150,IN-924,IN,SRF,1471,1894
133198,0.13227076622378864,V,Defense mechanisms,ERR599152,NP-2,NP,MES,1,11
51828,0.6569489709362064,O,"Posttranslational modification, protein turnover, chaperones",ERR599158,IN-924,IN,SRF,6,191
416928,0.3625818732159676,C,Energy production and conversion,ERR599159,SAT-1,SAT,MES,5,99
291070,0.04355887489376652,V,Defense mechanisms,ERR599159,SAT-109,SAT,MES,30,50
291071,0.1916737320491016,X,"Mobilome: prophages, transposons",ERR599159,SAT-109,SAT,MES,6,50
244906,0.3965136987734259,L,"Replication, recombination and repair",ERR599159,SAT-26,SAT,MES,3,6
303748,0.2462995235807512,L,"Replication, recombination and repair",ERR599159,SAT-62,SAT,MES,48,250
433400,0.6644775092095572,,,ERR599166,NAT-101,NAT,MES,46,1960
433401,0.159526746994887,,,ERR599166,NAT-101,NAT,MES,831,1960
316843,0.0645187464868504,X,"Mobilome: prophages, transposons",ERR599175,NP-1,NP,MES,19,24
133198,0.10503034534668276,V,Defense mechanisms,ERR599175,NP-2,NP,MES,6,29
186755,0.12976369724288914,O,"Posttranslational modification, protein turnover, chaperones",ERR599346,CPC-12,CPC,MES,459,1913
191743,0.1312975432392264,L,"Replication, recombination and repair",ERR599346,CPC-69,CPC,MES,16,45
276767,0.04208339409861795,C,Energy production and conversion,ERR599376,EAC-50,EAC,SRF,214,475
277458,0.010792181551962907,H,Coenzyme transport and metabolism,ERR599376,EAC-50,EAC,SRF,364,475
277461,0.003073268226211688,L,"Replication, recombination and repair",ERR599376,EAC-50,EAC,SRF,438,475
278793,0.06900117174992444,X,"Mobilome: prophages, transposons",ERR599376,EAC-50,EAC,SRF,133,475
158011,0.03675165486855021,K,Transcription,ERR599376,EAC-69,EAC,SRF,2,3
164330,0.0745009000736299,X,"Mobilome: prophages, transposons",SRR3960572,deep-0108,NAT,deep,43,140
164331,0.11236633824883996,K,Transcription,SRR3960572,deep-0108,NAT,deep,29,140
672889,0.22475520062953835,,,SRR3960575,deep-0052,NAT,deep,101,278
557848,1.3203738050231648,S,Function unknown,SRR3960575,deep-0094,NAT,deep,395,954
559810,2.1063162101275625,,,SRR3960575,deep-0094,NAT,deep,243,954
164330,0.7429216300940464,X,"Mobilome: prophages, transposons",SRR3960575,deep-0108,NAT,deep,3,114
164331,0.05767472057174153,K,Transcription,SRR3960575,deep-0108,NAT,deep,54,114
338480,0.5224054356250698,C!!!C,Energy production and conversion,SRR3960575,deep-0275,NAT,deep,620,1841
758642,0.3326209641149887,H,Coenzyme transport and metabolism,SRR3960575,deep-0455,NAT,deep,146,526
672889,0.27268414785837525,,,SRR3960576,deep-0052,NAT,deep,31,127
164330,0.11210024321218692,X,"Mobilome: prophages, transposons",SRR3960576,deep-0108,NAT,deep,219,520
164331,0.10280680687379616,K,Transcription,SRR3960576,deep-0108,NAT,deep,228,520
758642,0.301833116484146,H,Coenzyme transport and metabolism,SRR3960576,deep-0455,NAT,deep,14,57
672889,0.2472549397910932,,,SRR3960577,deep-0052,NAT,deep,84,251
557498,0.12728551393504625,X,"Mobilome: prophages, transposons",SRR3960577,deep-0094,NAT,deep,53,68
164330,0.4069378720055107,X,"Mobilome: prophages, transposons",SRR3960577,deep-0108,NAT,deep,4,136
700341,0.8468584400843215,,,SRR3960577,deep-0228,NAT,deep,1044,1510
758642,0.49580896891170295,H,Coenzyme transport and metabolism,SRR3960577,deep-0455,NAT,deep,25,154
672889,0.2142184845139604,,,SRR3960578,deep-0052,NAT,deep,7,10
164329,0.5358348678518086,Q,"Secondary metabolites biosynthesis, transport and catabolism",SRR3960578,deep-0108,NAT,deep,377,2752
164330,0.14365455977917485,X,"Mobilome: prophages, transposons",SRR3960578,deep-0108,NAT,deep,1861,2752
164331,0.11724408810591505,K,Transcription,SRR3960578,deep-0108,NAT,deep,2072,2752
700341,0.7217137713646988,,,SRR3960578,deep-0228,NAT,deep,1245,1597
672889,0.2242432414509845,,,SRR3960579,deep-0052,NP,deep,67,202
672889,0.17044639545997056,,,SRR3960580,deep-0052,NAT,deep,5,5
164331,0.04192875899713781,K,Transcription,SRR3960580,deep-0108,NAT,deep,73,146
415841,1.1948828541825172,,,SRR3960581,deep-0527,NAT,deep,2221,2514
92682,0.14347430825268434,,,SRR3960684,deep-0036,NP,deep,3602,4187
92683,1.8424840351141905,,,SRR3960684,deep-0036,NP,deep,193,4187
92684,0.4439587280214147,,,SRR3960684,deep-0036,NP,deep,1616,4187
92685,0.7224866634113071,F!!!H,Coenzyme transport and metabolism,SRR3960684,deep-0036,NP,deep,992,4187
94966,1.7477016602566386,,,SRR3960684,deep-0036,NP,deep,214,4187
94981,0.19792178100668287,J!!!J,"Translation, ribosomal structure and biogenesis",SRR3960684,deep-0036,NP,deep,3073,4187
95731,2.251594279545852,,,SRR3960684,deep-0036,NP,deep,140,4187
95732,0.8043477065078088,V,Defense mechanisms,SRR3960684,deep-0036,NP,deep,855,4187
96589,1.2771090777394845,,,SRR3960684,deep-0036,NP,deep,400,4187
164330,0.08205390046483507,X,"Mobilome: prophages, transposons",SRR3960684,deep-0108,NP,deep,39,81
164331,0.25397496501857303,K,Transcription,SRR3960684,deep-0108,NP,deep,14,81
466437,0.21485138414669386,,,SRR3960684,deep-0378,NP,deep,104,171
672889,0.1619852598665686,,,SRR3961047,deep-0052,NP,deep,71,140
672889,0.21590976772820766,,,SRR3961906,deep-0052,NP,deep,22,54
758642,0.2510306972901848,H,Coenzyme transport and metabolism,SRR3961906,deep-0455,NP,deep,31,81
672889,0.18963783469235612,,,SRR3961935,deep-0052,NP,deep,70,162
758642,0.2766366427366995,H,Coenzyme transport and metabolism,SRR3961935,deep-0455,NP,deep,36,116
542113,0.8906544234031437,,,SRR3961936,deep-0345,NP,deep,795,1674
542196,0.3172886264857917,M,Cell wall/membrane/envelope biogenesis,SRR3961936,deep-0345,NP,deep,1426,1674
672889,0.21511389439399992,,,SRR3962293,deep-0052,NP,deep,34,99
758642,0.3843900487264778,H,Coenzyme transport and metabolism,SRR3962293,deep-0455,NP,deep,16,97
520110,4.087765562620267,,,SRR3962293,deep-0548,NP,deep,1,3
672889,0.16879426126999894,,,SRR3962680,deep-0052,SP,deep,57,122
603237,1.1612787356321808,,,SRR3962771,deep-0250,NP,deep,1,1
542113,1.4630101178593968,,,SRR3962771,deep-0345,NP,deep,500,2701
542114,0.8512174800134923,,,SRR3962771,deep-0345,NP,deep,971,2701
542117,0.6180726720789002,R,General function prediction only,SRR3962771,deep-0345,NP,deep,1323,2701
542196,0.9011123565823976,M,Cell wall/membrane/envelope biogenesis,SRR3962771,deep-0345,NP,deep,904,2701
542196,0.2680568247811875,M,Cell wall/membrane/envelope biogenesis,SRR3962772,deep-0345,SP,deep,97,111
672889,0.19844124574913508,,,SRR3962773,deep-0052,SP,deep,50,145
758642,0.3393313815258698,H,Coenzyme transport and metabolism,SRR3962773,deep-0455,SP,deep,50,223
