gene_callers_id,contig,start,stop,bin,bin_contig,source,integron,ocean,category_accession,COG_category,e_value,pnps,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,L,"Replication, recombination and repair",0,0.0928766457449276,ERR599109,MES,,,,,,,,
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,L,"Replication, recombination and repair",0,0.09400731635646717,ERR599167,MES,,,,,,,,
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,L,"Replication, recombination and repair",0,0.09760949107797824,ERR599172,MES,,,,,,,,
49648,CPC-8_MHASMcontig_742984,991,1984,CPC-8,MHASMcontig_742984,tara,complete,CPC,L,"Replication, recombination and repair",0,0.11920534521227018,ERR599346,MES,0.05989925617403246,3059.0,0.031823107173408666,53.0,0.05778964968171866,52.0,0.12911634186303764,5.0
68491,CPC-48_25101,1440,2409,CPC-48,25101,tara,In0,CPC,L,"Replication, recombination and repair",0,1.0802180332225635,ERR599064,SRF,0.0774823329730557,81.0,0.05125074918469015,6.0,0.06322526954560324,1.0,0.076706373552388,7.0
68491,CPC-48_25101,1440,2409,CPC-48,25101,tara,In0,CPC,L,"Replication, recombination and repair",0,2.9994855654550427,ERR598971,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0
70371,CPC-48_MHASMcontig_120922,2075,2474,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,nan,nan,nan,0.07883358471593753,ERR598971,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0
70373,CPC-48_MHASMcontig_120922,3781,4324,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,Q,"Secondary metabolites biosynthesis, transport and catabolism",0,0.4662992602459382,ERR598971,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0
70374,CPC-48_MHASMcontig_120922,4411,4798,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,Q,"Secondary metabolites biosynthesis, transport and catabolism",0,0.0,ERR598971,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0
70375,CPC-48_MHASMcontig_120922,4953,5427,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,J!!!O,"Translation, ribosomal structure and biogenesis",0,0.11701104520481286,ERR598971,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0
70375,CPC-48_MHASMcontig_120922,4953,5427,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,J!!!O,"Posttranslational modification, protein turnover, chaperones",0,0.11701104520481286,ERR598971,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0
71595,CPC-33_93899,3366,3828,CPC-33,93899,tara,CALIN,CPC,nan,nan,nan,0.2294768925011854,ERR598965,DCM,,,,,,,,
73258,CPC-6_92276,794,1838,CPC-6,92276,tara,CALIN,CPC,X,"Mobilome: prophages, transposons",0,0.042253047243732314,ERR598965,DCM,,,,,,,,
78137,CPC-16_24677,2819,3257,CPC-16,24677,tara,CALIN,CPC,nan,nan,nan,0.279967282887578,ERR599064,SRF,0.07665548221422666,844.0,0.07277119339323168,21.0,0.033126847685532645,24.0,0.14965090251372998,1.0
78137,CPC-16_24677,2819,3257,CPC-16,24677,tara,CALIN,CPC,nan,nan,nan,0.09714548799333797,ERR598965,DCM,,,,,,,,
87795,CPC-64_21130,38263,38701,CPC-64,21130,tara,CALIN,CPC,nan,nan,nan,1.1242794684993898,ERR599064,SRF,0.05787509159037822,1086.0,0.03323478901429687,13.0,0.0355530743814011,31.0,nan,nan
87817,CPC-64_21257,9550,10300,CPC-64,21257,tara,CALIN,CPC,nan,nan,nan,0.7048757438324039,ERR599064,SRF,0.05787509159037822,1086.0,0.03323478901429687,13.0,0.0355530743814011,31.0,nan,nan
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,nan,nan,nan,0.5666154070713029,ERR599064,SRF,0.041602217831456095,237.0,0.05604077802756322,29.0,0.1178985911725152,4.0,0.07989908365926453,2.0
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,nan,nan,nan,0.7365745856353612,ERR598965,DCM,0.04345212537569789,235.0,0.06969744544633337,21.0,0.0750207808154736,2.0,0.029814757457212893,2.0
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,nan,nan,nan,0.7402690638948737,ERR598971,MES,0.03138679282832012,485.0,0.041039332956503874,38.0,0.057135073994095474,7.0,0.02894776713191923,3.0
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,nan,nan,nan,0.6340306258873879,ERR599128,MES,0.017753962753758918,232.0,0.042224973730815435,31.0,0.039705484323792166,1.0,0.014680894183631797,2.0
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,nan,nan,nan,0.3180776936462338,ERR599132,MES,0.026922877142750084,432.0,0.040845576498950265,36.0,0.03785666186588511,7.0,0.028460274040301232,2.0
186755,CPC-12_118202,145243,146083,CPC-12,118202,tara,CALIN,CPC,O,"Posttranslational modification, protein turnover, chaperones",0,0.12976369724288914,ERR599346,MES,0.06440011465038673,1912.0,0.04849429945817345,26.0,0.08762446040199147,49.0,0.0954291536981542,1.0
191743,CPC-69_MHASMcontig_743989,17060,17864,CPC-69,MHASMcontig_743989,tara,CALIN,CPC,L,"Replication, recombination and repair",0,0.1312975432392264,ERR599346,MES,,,,,,,,
222838,CPC-45_13884,2055,3021,CPC-45,13884,tara,complete,CPC,L,"Replication, recombination and repair",0,0.47940738990455395,ERR598965,DCM,0.05630642718955652,1411.0,0.04265399226620482,24.0,0.0738994056932494,34.0,0.09088895701001952,3.0
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,nan,nan,nan,1.3952919783779154,ERR315857,SRF,0.06964007150228696,509.0,0.0864788526246054,29.0,0.12098040775069745,16.0,0.4069025602616091,8.0
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,nan,nan,nan,2.447308116441654,ERR594288,SRF,0.0472586853325958,129.0,0.04195696464399285,18.0,0.15127266530123618,2.0,0.051998467547808895,5.0
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,nan,nan,nan,3.896760816277818,ERR315856,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,nan,nan,nan,0.7342678010049281,ERR594405,DCM,0.041917345093507086,264.0,0.042206742383174484,24.0,0.0854859470812699,11.0,0.10327752796157093,7.0
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,nan,nan,nan,2.16935235758056,ERR594408,DCM,,,,,,,,
60551,MED-668_MHASMcontig_6913,846,1815,MED-668,MHASMcontig_6913,tara,complete,MED,L,"Replication, recombination and repair",0,0.04954230284019595,ERR315856,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0
61659,MED-668_MHASMcontig_40304,5895,8358,MED-668,MHASMcontig_40304,tara,CALIN,MED,Q,"Secondary metabolites biosynthesis, transport and catabolism",0,0.8183343962640095,ERR315856,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0
61661,MED-668_MHASMcontig_40304,9636,12123,MED-668,MHASMcontig_40304,tara,CALIN,MED,E,Amino acid transport and metabolism,0,0.9174475299621122,ERR315856,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0
62929,MED-668_5610,177618,178125,MED-668,5610,tara,In0,MED,L,"Replication, recombination and repair",0,1.0719681675129349,ERR315856,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.11170695210254383,ERR315858,SRF,,,,,,,,
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.11911329086825898,ERR315861,SRF,,,,,,,,
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.1179606200198065,ERR598951,SRF,,,,,,,,
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.14230605977591532,ERR599043,SRF,0.03816572590872835,448.0,0.05176443247388827,43.0,0.029197847646860783,6.0,0.12161395307688055,6.0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.1225309592269554,ERR315859,DCM,,,,,,,,
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.12265996163476828,ERR315860,DCM,,,,,,,,
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.0993535671252863,ERR594405,DCM,,,,,,,,
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,X,"Mobilome: prophages, transposons",0,0.11980367919304258,ERR599094,DCM,,,,,,,,
86732,MED-592_107888,14245,15601,MED-592,107888,tara,complete,MED,X,"Mobilome: prophages, transposons",0,0.02785101861478577,ERR599043,SRF,0.03816572590872835,448.0,0.05176443247388827,43.0,0.029197847646860783,6.0,0.12161395307688055,6.0
88583,MED-592_109940,9733,10846,MED-592,109940,tara,CALIN,MED,H!!!H,Coenzyme transport and metabolism,0,0.0284246427635359,ERR599043,SRF,0.03816572590872835,448.0,0.05176443247388827,43.0,0.029197847646860783,6.0,0.12161395307688055,6.0
88583,MED-592_109940,9733,10846,MED-592,109940,tara,CALIN,MED,H!!!H,Coenzyme transport and metabolism,0,0.0284246427635359,ERR599043,SRF,0.03816572590872835,448.0,0.05176443247388827,43.0,0.029197847646860783,6.0,0.12161395307688055,6.0
88584,MED-592_109940,10947,11412,MED-592,109940,tara,CALIN,MED,H,Coenzyme transport and metabolism,0,0.0,ERR599043,SRF,0.03816572590872835,448.0,0.05176443247388827,43.0,0.029197847646860783,6.0,0.12161395307688055,6.0
88585,MED-592_109940,11427,11838,MED-592,109940,tara,CALIN,MED,K,Transcription,0,0.09658098833154867,ERR599043,SRF,0.03816572590872835,448.0,0.05176443247388827,43.0,0.029197847646860783,6.0,0.12161395307688055,6.0
125810,MED-870_50978,8434,10780,MED-870,50978,tara,CALIN,MED,L,"Replication, recombination and repair",0,0.027587940480779446,ERR594315,DCM,0.05540636744761728,78.0,0.05590530587267488,5.0,nan,nan,nan,nan
125810,MED-870_50978,8434,10780,MED-870,50978,tara,CALIN,MED,L,"Replication, recombination and repair",0,0.011949639134824285,ERR594329,DCM,0.04373076643522966,1336.0,0.04386661771352066,38.0,0.030585982820924295,17.0,nan,nan
125811,MED-870_50978,10793,11933,MED-870,50978,tara,CALIN,MED,M,Cell wall/membrane/envelope biogenesis,0,0.03028246359363015,ERR594329,DCM,0.04373076643522966,1336.0,0.04386661771352066,38.0,0.030585982820924295,17.0,nan,nan
125812,MED-870_50978,11901,12441,MED-870,50978,tara,CALIN,MED,R,General function prediction only,0,0.5943252298011779,ERR594329,DCM,0.04373076643522966,1336.0,0.04386661771352066,38.0,0.030585982820924295,17.0,nan,nan
125813,MED-870_50978,12440,13034,MED-870,50978,tara,CALIN,MED,nan,nan,nan,0.05163801473233924,ERR594329,DCM,0.04373076643522966,1336.0,0.04386661771352066,38.0,0.030585982820924295,17.0,nan,nan
283605,MED-698_120,2888,3329,MED-698,120,tara,CALIN,MED,N,Cell motility,0,0.2591713439785609,ERR315856,DCM,0.31408608048763365,1653.0,0.27612092909594244,36.0,0.33905392000746515,63.0,nan,nan
283607,MED-698_120,3710,4682,MED-698,120,tara,CALIN,MED,N,Cell motility,0,0.025427781478877042,ERR315856,DCM,0.31408608048763365,1653.0,0.27612092909594244,36.0,0.33905392000746515,63.0,nan,nan
283608,MED-698_120,5303,6833,MED-698,120,tara,CALIN,MED,N,Cell motility,0,0.06255364104643088,ERR315856,DCM,0.31408608048763365,1653.0,0.27612092909594244,36.0,0.33905392000746515,63.0,nan,nan
306776,MED-581_84663,13454,15500,MED-581,84663,tara,CALIN,MED,L,"Replication, recombination and repair",0,0.5092485526628147,ERR598993,SRF,0.14083353650303934,361.0,0.05333203640015613,10.0,0.07769002130976628,6.0,nan,nan
306776,MED-581_84663,13454,15500,MED-581,84663,tara,CALIN,MED,L,"Replication, recombination and repair",0,0.4265203158929483,ERR599092,DCM,0.14918836016734802,795.0,0.06663740861260099,24.0,0.16380211276322149,17.0,nan,nan
306777,MED-581_84663,15527,17237,MED-581,84663,tara,CALIN,MED,D,"Cell cycle control, cell division, chromosome partitioning",0,0.6025649886686683,ERR598993,SRF,0.14083353650303934,361.0,0.05333203640015613,10.0,0.07769002130976628,6.0,nan,nan
306778,MED-581_84663,17341,20845,MED-581,84663,tara,CALIN,MED,D,"Cell cycle control, cell division, chromosome partitioning",0,0.43527252556866175,ERR598993,SRF,0.14083353650303934,361.0,0.05333203640015613,10.0,0.07769002130976628,6.0,nan,nan
306778,MED-581_84663,17341,20845,MED-581,84663,tara,CALIN,MED,D,"Cell cycle control, cell division, chromosome partitioning",0,0.2818396503431859,ERR599092,DCM,0.14918836016734802,795.0,0.06663740861260099,24.0,0.16380211276322149,17.0,nan,nan
332986,MED-610_6467,257,1334,MED-610,6467,tara,In0,MED,L,"Replication, recombination and repair",0,1.8322216765244088,ERR315856,DCM,1.0063306954626132,2697.0,0.14515666408631564,35.0,1.0885350836163128,80.0,0.2282615354287808,8.0
363039,MED-697_MHASMcontig_89617,4005,4467,MED-697,MHASMcontig_89617,tara,CALIN,MED,nan,nan,nan,0.031356992776055144,ERR594405,DCM,,,,,,,,
485,EAC-39_MHASMcontig_874537,11285,12014,EAC-39,MHASMcontig_874537,tara,CALIN,EAC,L,"Replication, recombination and repair",0,0.05195719705651565,ERR594382,DCM,,,,,,,,
485,EAC-39_MHASMcontig_874537,11285,12014,EAC-39,MHASMcontig_874537,tara,CALIN,EAC,L,"Replication, recombination and repair",0,0.0,ERR594414,DCM,,,,,,,,
4745,EAC-39_MHASMcontig_893677,1997,4346,EAC-39,MHASMcontig_893677,tara,CALIN,EAC,K,Transcription,0,0.055413311841633964,ERR594414,DCM,,,,,,,,
4746,EAC-39_MHASMcontig_893677,4368,4995,EAC-39,MHASMcontig_893677,tara,CALIN,EAC,nan,nan,nan,0.0,ERR594414,DCM,,,,,,,,
4747,EAC-39_MHASMcontig_893677,5328,6915,EAC-39,MHASMcontig_893677,tara,CALIN,EAC,L,"Replication, recombination and repair",0,0.2889200331184625,ERR594414,DCM,,,,,,,,
17577,EAC-102_MHASMcontig_1035584,2632,3598,EAC-102,MHASMcontig_1035584,tara,complete,EAC,L,"Replication, recombination and repair",0,0.22211375180216208,ERR594362,SRF,,,,,,,,
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,X,"Mobilome: prophages, transposons",0,0.03163317002247265,ERR594359,SRF,0.06621732644867713,706.0,0.05919516558515722,13.0,0.10740860961176912,15.0,0.04660379830122649,6.0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,X,"Mobilome: prophages, transposons",0,0.03039451223473214,ERR594361,SRF,0.06799630225889303,719.0,0.026041617024689285,14.0,0.054768507632874934,13.0,0.033511053057513326,6.0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,X,"Mobilome: prophages, transposons",0,0.033485193046974865,ERR594362,SRF,,,,,,,,
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,X,"Mobilome: prophages, transposons",0,0.035944363896833184,ERR594382,DCM,,,,,,,,
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,X,"Mobilome: prophages, transposons",0,0.032392170438966035,ERR594389,DCM,0.06360890058809915,742.0,0.05646755749473716,19.0,0.05954616952601504,13.0,0.032392170438966035,5.0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,X,"Mobilome: prophages, transposons",0,0.03041113622634105,ERR594414,DCM,,,,,,,,
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.05790135734535061,ERR594359,SRF,0.035237608009702305,1244.0,0.02398205104234745,28.0,0.030008174531528962,26.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.0,ERR594361,SRF,0.03585398595670738,1239.0,0.02153056911116744,26.0,0.02778563312218768,21.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Transcription,0,0.05790135734535061,ERR594359,SRF,0.035237608009702305,1244.0,0.02398205104234745,28.0,0.030008174531528962,26.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Transcription,0,0.0,ERR594361,SRF,0.03585398595670738,1239.0,0.02153056911116744,26.0,0.02778563312218768,21.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.05790135734535061,ERR594359,SRF,0.035237608009702305,1244.0,0.02398205104234745,28.0,0.030008174531528962,26.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.0,ERR594361,SRF,0.03585398595670738,1239.0,0.02153056911116744,26.0,0.02778563312218768,21.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.05790135734535061,ERR594359,SRF,0.035237608009702305,1244.0,0.02398205104234745,28.0,0.030008174531528962,26.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.0,ERR594361,SRF,0.03585398595670738,1239.0,0.02153056911116744,26.0,0.02778563312218768,21.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.05790135734535061,ERR594359,SRF,0.035237608009702305,1244.0,0.02398205104234745,28.0,0.030008174531528962,26.0,nan,nan
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0,0.0,ERR594361,SRF,0.03585398595670738,1239.0,0.02153056911116744,26.0,0.02778563312218768,21.0,nan,nan
143645,EAC-52_161299,63000,63333,EAC-52,161299,tara,complete,EAC,nan,nan,nan,0.0864420165850256,ERR594389,DCM,,,,,,,,
158011,EAC-69_MHASMcontig_662727,754,949,EAC-69,MHASMcontig_662727,tara,CALIN,EAC,K,Transcription,0,0.06619778990394384,ERR594392,SRF,,,,,,,,
158011,EAC-69_MHASMcontig_662727,754,949,EAC-69,MHASMcontig_662727,tara,CALIN,EAC,K,Transcription,0,0.03675165486855021,ERR599376,SRF,,,,,,,,
241232,EAC-47_MHASMcontig_621820,710,1262,EAC-47,MHASMcontig_621820,tara,CALIN,EAC,J!!!O,"Translation, ribosomal structure and biogenesis",0,0.7232926851202309,ERR594392,SRF,0.04569078899509702,1194.0,0.014821028919004706,17.0,0.038976124158067255,38.0,0.1816093423892448,2.0
241232,EAC-47_MHASMcontig_621820,710,1262,EAC-47,MHASMcontig_621820,tara,CALIN,EAC,J!!!O,"Posttranslational modification, protein turnover, chaperones",0,0.7232926851202309,ERR594392,SRF,0.04569078899509702,1194.0,0.014821028919004706,17.0,0.038976124158067255,38.0,0.1816093423892448,2.0
244110,EAC-47_127756,10921,11911,EAC-47,127756,tara,CALIN,EAC,V,Defense mechanisms,0,0.12009584850028747,ERR594392,SRF,0.04569078899509702,1194.0,0.014821028919004706,17.0,0.038976124158067255,38.0,0.1816093423892448,2.0
276751,EAC-50_MHASMcontig_666020,738,1071,EAC-50,MHASMcontig_666020,tara,CALIN,EAC,nan,nan,nan,0.8673802247862672,ERR594392,SRF,0.05384188914174536,215.0,0.03061936494639237,8.0,0.05515013559975382,5.0,0.06946461311002727,7.0
276767,EAC-50_MHASMcontig_666020,18669,19530,EAC-50,MHASMcontig_666020,tara,CALIN,EAC,C,Energy production and conversion,0,0.025663039981706787,ERR594392,SRF,0.05384188914174536,215.0,0.03061936494639237,8.0,0.05515013559975382,5.0,0.06946461311002727,7.0
276767,EAC-50_MHASMcontig_666020,18669,19530,EAC-50,MHASMcontig_666020,tara,CALIN,EAC,C,Energy production and conversion,0,0.04208339409861795,ERR599376,SRF,0.03429347997398792,475.0,0.04738843685302114,30.0,0.04453377062801251,8.0,0.0586720291303206,6.0
277458,EAC-50_44012,1445,1781,EAC-50,44012,tara,complete,EAC,H,Coenzyme transport and metabolism,0,0.010792181551962909,ERR599376,SRF,0.03429347997398792,475.0,0.04738843685302114,30.0,0.04453377062801251,8.0,0.0586720291303206,6.0
277461,EAC-50_44012,4020,7137,EAC-50,44012,tara,complete,EAC,L,"Replication, recombination and repair",0,0.003073268226211688,ERR599376,SRF,0.03429347997398792,475.0,0.04738843685302114,30.0,0.04453377062801251,8.0,0.0586720291303206,6.0
278286,EAC-50_128950,145508,145787,EAC-50,128950,tara,CALIN,EAC,V,Defense mechanisms,0,0.004743147664428598,ERR594392,SRF,0.05384188914174536,215.0,0.03061936494639237,8.0,0.05515013559975382,5.0,0.06946461311002727,7.0
278793,EAC-50_130074,4768,6340,EAC-50,130074,tara,CALIN,EAC,X,"Mobilome: prophages, transposons",0,0.07698818847366709,ERR594362,SRF,,,,,,,,
278793,EAC-50_130074,4768,6340,EAC-50,130074,tara,CALIN,EAC,X,"Mobilome: prophages, transposons",0,0.0528383437523462,ERR594392,SRF,0.05384188914174536,215.0,0.03061936494639237,8.0,0.05515013559975382,5.0,0.06946461311002727,7.0
278793,EAC-50_130074,4768,6340,EAC-50,130074,tara,CALIN,EAC,X,"Mobilome: prophages, transposons",0,0.06900117174992444,ERR599376,SRF,0.03429347997398792,475.0,0.04738843685302114,30.0,0.04453377062801251,8.0,0.0586720291303206,6.0
16286,IN-5_11176,7490,7796,IN-5,11176,tara,CALIN,IN,J,"Translation, ribosomal structure and biogenesis",0,0.08116568264799225,SRR3963498,deep,0.08531838375290834,143.0,0.05923096217012942,32.0,0.23487030056424305,3.0,nan,nan
16287,IN-5_11176,7826,8222,IN-5,11176,tara,CALIN,IN,J,"Translation, ribosomal structure and biogenesis",0,0.04643270989339837,SRR3963498,deep,0.08531838375290834,143.0,0.05923096217012942,32.0,0.23487030056424305,3.0,nan,nan
16288,IN-5_11176,8245,8779,IN-5,11176,tara,CALIN,IN,J,"Translation, ribosomal structure and biogenesis",0,0.05666718474760427,SRR3963498,deep,0.08531838375290834,143.0,0.05923096217012942,32.0,0.23487030056424305,3.0,nan,nan
