contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599051,pnps_ERR598952,pnps_ERR598997,pnps_ERR598989,pnps_ERR599052,pnps_ERR598987,pnps_ERR599004,pnps_ERR598942,pnps_ERR598980,pnps_ERR599015,pnps_ERR599030,pnps_ERR598971,pnps_ERR598995
c_6616,NP,79460,non-integron,N,Cell motility,,,,,0.15218147261859136,,,0.1463086295216257,,,,,
c_6616,NP,79461,non-integron,N,Cell motility,,,,,0.031032246813128262,,,0.07609024637910311,,,,,
c_6616,NP,79462,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,0.02422975403398006,,,,,,,,
c_6616,NP,79463,non-integron,,,,,,,0.852634753959025,,,0.8555873906151651,,,,,
c_6616,NP,79464,non-integron,N,Cell motility,,,,,0.2576282330922274,,,,,,,,
c_6616,NP,79465,non-integron,N,Cell motility,,,,,0.0,,,,,,,,
c_6616,NP,79466,non-integron,N,Cell motility,,,,,0.12316900307326555,,,,,,,,
c_6616,NP,79467,non-integron,N,Cell motility,,,,,0.017284514289858218,,,0.0,,,,,
c_6616,NP,79468,non-integron,,,,,,,0.2381566580094024,,,0.6843489461358352,,,,,
c_6616,NP,79469,non-integron,,,,,,,0.7786249200958469,,,,,,,,
c_6616,NP,79470,non-integron,K,Transcription,,,,,0.05907212469046533,,,,,,,,
c_6616,NP,79471,integron,D!!!N,"Cell cycle control, cell division, chromosome partitioning!!!Cell motility",,,,,0.13558029215880613,,,,,,,,
c_6616,NP,79472,integron,N,Cell motility,,,,,0.2004670738557324,,,0.0953749887804698,,,,,
c_6616,NP,79473,integron,N,Cell motility,,,,,0.01594794011680788,,,0.008324769604026986,,,,,
c_6616,NP,79474,non-integron,N,Cell motility,,,,,0.0782883161247299,,,0.034879240395398914,,,,,
c_6616,NP,79475,non-integron,,,,,,,0.10125558824693297,,,0.16713314209533567,,,,,
c_6616,NP,79476,non-integron,,,,,,,0.15268983190738422,,,0.20919020750976494,,,,,
c_6616,NP,79477,non-integron,,,,,,,0.10611517820065623,,,0.15263302937537668,,,,,
c_6748,NP,81102,non-integron,S,Function unknown,,,,,0.4736897141259606,,,,,,,,
c_6748,NP,81105,non-integron,P!!!R,Inorganic ion transport and metabolism!!!General function prediction only,,,,,0.08089103553014089,,,,,,,,
c_6748,NP,81106,non-integron,,,,,,,0.26883438158754064,,,,,,,,
c_6748,NP,81107,integron,S,Function unknown,,,,,0.1924448173521547,,,,,,,,
c_6748,NP,81109,non-integron,R,General function prediction only,,,,,0.051277881669980235,,,,,,,,
c_6748,NP,81110,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,0.05064736778440829,,,,,,,,
c_9466,NP,111565,non-integron,C,Energy production and conversion,,,,,0.02980996053198713,,,,,,,,
c_9466,NP,111566,non-integron,H,Coenzyme transport and metabolism,,,,,0.20287887840166227,,,,,,,,
c_9466,NP,111567,integron,,,,,,,0.12576704891921953,,,,,,,,
c_9466,NP,111568,integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,0.08487668941658509,,,,,,,,
c_9466,NP,111569,integron,,,,,,,0.16202191461703136,,,,,,,,
c_13360,NP,153470,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,0.009982353697758387,,0.0,
c_13360,NP,153471,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.336377287564213,,,,
c_13360,NP,153473,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.03968300393255663,0.0,,0.02097368957839467,
c_13360,NP,153474,non-integron,J,"Translation, ribosomal structure and biogenesis",0.12724436210667106,,,,,,0.2451567832080595,,0.05972443270581317,0.11365680355217275,,0.06223596051067009,
c_13360,NP,153475,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.13726683004180404,0.01854900053223407,,0.06267441558702284,
c_13360,NP,153476,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,0.13476209321440574,,0.06124579573886906,
c_13360,NP,153477,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,0.0352624398724393,
c_13360,NP,153549,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,0.012375762550026105,
c_13360,NP,153551,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,0.0,
c_15416,NP,174599,non-integron,R,General function prediction only,,,,,,,,0.08587938536987319,,,,,
c_15416,NP,174601,non-integron,I,Lipid transport and metabolism,,,,,0.043422239641173234,,,0.060805045488438327,,,,,
c_15416,NP,174602,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,0.2617952541075896,,,0.18020146467811202,,,,,
c_15416,NP,174603,non-integron,,,,,,,0.10283159463487364,,,0.041103557953147414,,,,,
c_15416,NP,174604,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,0.07526131616617236,,,0.14816410344804734,,,,,
c_15416,NP,174605,integron,,,,,,,,,,0.26385678637671417,,,,,
c_15416,NP,174606,integron,G!!!E!!!R,Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only,,,,,0.2960780051504288,,,0.2458282805765044,,,,,
c_15416,NP,174608,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,0.0,,,0.11903837856912268,,,,,
c_15416,NP,174609,non-integron,S,Function unknown,,,,,0.22285485050603449,,,0.17195318729775766,,,,,
c_15416,NP,174610,non-integron,I,Lipid transport and metabolism,,,,,0.19062311474571014,,,0.20054698515990216,,,,,
c_17831,NP,198532,non-integron,L,"Replication, recombination and repair",,,,,0.8681381812993756,,,,,,,,
c_17831,NP,198533,non-integron,K,Transcription,,,,,0.012259876965539094,,,,,,,,
c_17831,NP,198534,non-integron,P,Inorganic ion transport and metabolism,,,,,0.06227855833307725,,,,,,,,
c_17831,NP,198535,integron,G,Carbohydrate transport and metabolism,,,,,0.1684410913762937,,,,,,,,
c_17831,NP,198536,integron,P,Inorganic ion transport and metabolism,,,,,0.13122297500430294,,,,,,,,
c_17831,NP,198537,non-integron,H,Coenzyme transport and metabolism,,,,,0.12374663005659403,,,,,,,,
c_18330,NP,203161,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,0.18741550580394895,,,0.2191439466658356,,,,,
c_18330,NP,203162,non-integron,S,Function unknown,,,,,,,,0.02002095555349155,,,,,
c_18330,NP,203163,integron,,,,,,,0.1073703088405846,,,0.12174739965851135,,,,,
c_18330,NP,203164,non-integron,,,,,,,0.10686466553377208,,,0.15278568634358394,,,,,
c_18330,NP,203165,non-integron,H,Coenzyme transport and metabolism,,,,,0.12624049602926926,,,0.15118269466683826,,,,,
c_19740,NP,216266,integron,,,,,,,0.18566131736961572,,,,,,,,
c_20681,NP,224731,non-integron,,,,,,,,,0.0,,0.002205607082569904,0.0,,0.0010127931159746675,
c_22144,NP,237216,non-integron,I,Lipid transport and metabolism,,,,,0.027323318898441556,,,,,,,,
c_22144,NP,237217,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,0.13468856829863832,,,,,,,,
c_22144,NP,237219,non-integron,L,"Replication, recombination and repair",,,,,0.6160813962433404,,,,,,,,
c_22144,NP,237221,non-integron,,,,,,,1.6584398496240578,,,,,,,,
c_22144,NP,237222,non-integron,R,General function prediction only,,,,,0.5120542648521967,,,,,,,,
c_22144,NP,237223,non-integron,,,,,,,0.36818667312499176,,,,,,,,
c_22144,NP,237224,non-integron,N,Cell motility,,,,,0.05227700381781224,,,,,,,,
c_22144,NP,237225,non-integron,N,Cell motility,,,,,0.0,,,,,,,,
c_22144,NP,237227,non-integron,N,Cell motility,,,,,0.0,,,,,,,,
c_22144,NP,237229,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,0.0,,,,,,,,
c_22144,NP,237230,non-integron,N,Cell motility,,,,,0.0,,,,,,,,
c_22144,NP,237231,non-integron,N,Cell motility,,,,,0.13362441541792575,,,,,,,,
c_23303,NP,247123,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,2.958094989593253,,,
c_23303,NP,247131,non-integron,I,Lipid transport and metabolism,0.034761450061268205,,,,,,0.03853627669913065,,0.02517380149910277,0.0211260685578274,,0.02318160633369882,
c_23303,NP,247132,non-integron,I!!!I,Lipid transport and metabolism!!!Lipid transport and metabolism,0.018858720336152164,,,,,,0.0,,0.00960423977800248,0.010748284312043912,,0.01378244143849544,
c_25816,NP,274018,non-integron,F!!!F,Nucleotide transport and metabolism!!!Nucleotide transport and metabolism,,,,,,,,,0.0,,,,
c_25816,NP,274029,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,0.08566897567916694,,,,
c_25816,NP,274045,non-integron,R,General function prediction only,,,,,,,,,0.03353975125784158,,,,
c_25816,NP,274046,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,0.15727838008957698,,,,
c_25816,NP,274053,non-integron,E!!!E,Amino acid transport and metabolism!!!Amino acid transport and metabolism,,,,,,,,,0.0,,,,
c_25816,NP,274054,non-integron,E,Amino acid transport and metabolism,,,,,,,,,0.004934981209674084,,,,0.0
c_25816,NP,274055,non-integron,V,Defense mechanisms,,,,,,,,,0.0,,,,
c_25816,NP,274057,non-integron,V,Defense mechanisms,,,,,,,,,0.04966910861848657,,,,
c_25816,NP,274059,non-integron,R,General function prediction only,,,,,,,,,0.20221616756270452,,,,
c_25816,NP,274066,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,0.034599714045046866,,,,
c_25816,NP,274074,non-integron,I,Lipid transport and metabolism,,,,,,,,,0.0,,,,
c_25816,NP,274075,non-integron,C!!!E,Energy production and conversion!!!Amino acid transport and metabolism,,,,,,,,,0.060801508722301084,,,,
c_25816,NP,274079,non-integron,E,Amino acid transport and metabolism,,,,,,,,,0.005298745914943504,,,,
c_25816,NP,274089,non-integron,D,"Cell cycle control, cell division, chromosome partitioning",,,,,,,,,0.016861369406197382,,,,
c_25816,NP,274093,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,0.033880937048951995,,,,
c_25816,NP,274096,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.06756904986508064,,,,
c_25816,NP,274105,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,0.004836935420148774,,,,
c_25816,NP,274110,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,0.008535214640627078,,,,
c_25816,NP,274111,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.0,,,,
c_25816,NP,274112,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,0.01812076418393507,,,,
c_25816,NP,274119,non-integron,T!!!T!!!T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,0.01819385399618293,,,,
c_25816,NP,274121,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.07040500763500614,,,,
c_25816,NP,274125,non-integron,C,Energy production and conversion,,,,,,,,,0.0,,,,
c_25816,NP,274127,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.009416638821224229,,,,
c_25816,NP,274129,non-integron,R,General function prediction only,,,,,,,,,0.0445003599768526,,,,
c_25816,NP,274130,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.07736630330822923,,,,
c_27216,NP,291258,integron,,,,,,,,,,,0.631037494249783,,,0.3642548826406707,
c_28487,NP,305542,non-integron,E,Amino acid transport and metabolism,0.09471769547845144,,,,,,0.09559064239127676,,,,,,
c_28487,NP,305559,non-integron,O,"Posttranslational modification, protein turnover, chaperones",0.055918218788497835,,,,,,0.042741728504131216,,,,,,
c_28487,NP,305563,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,0.0,,,,,,
c_28487,NP,305565,non-integron,J,"Translation, ribosomal structure and biogenesis",0.08050211965611798,,,,,,,,,,,,
c_28487,NP,305606,non-integron,H,Coenzyme transport and metabolism,0.02417240552808625,,,,,,0.05373377607453675,,,,,,
c_28487,NP,305608,non-integron,J,"Translation, ribosomal structure and biogenesis",0.5963186268638573,,,,,,,,,,,,
c_28487,NP,305616,non-integron,T,Signal transduction mechanisms,0.16049134659987546,,,,,,0.3609127282859638,,,,,,
c_28487,NP,305618,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,,,,,,,,,,,0.004386554423054876,
c_28568,NP,306580,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,0.1158865431973638,
c_28568,NP,306581,non-integron,C,Energy production and conversion,,,,,,,,,,,,0.03256980797008372,
c_28568,NP,306582,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,0.0038203538474064244,
c_28568,NP,306583,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,0.030990328158305432,
c_28568,NP,306584,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,0.013359151646575916,
c_28568,NP,306585,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,0.002337610698341965,
c_28568,NP,306586,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,0.06856340212464403,
c_28568,NP,306587,non-integron,K,Transcription,,,,,,,,,,,,0.0,
c_28568,NP,306588,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,0.01870704234695772,
c_28568,NP,306589,integron,,,,,,,,,,,,,,0.2172932056023302,
c_28568,NP,306590,integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,0.025217621491365024,
c_29140,NP,313011,non-integron,P,Inorganic ion transport and metabolism,0.07053918825795863,,,,,,0.06914650058394146,,,,,,
c_29140,NP,313013,non-integron,P,Inorganic ion transport and metabolism,0.05984503536716896,,,,,,0.05270713703585984,,,,,,
c_29140,NP,313014,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,0.0019102475720757415,,,,,,0.011258516319332149,,,,,,
c_29140,NP,313015,non-integron,E!!!T,Amino acid transport and metabolism!!!Signal transduction mechanisms,0.12777826312183813,,,,,,0.11327839167321707,,,,,,
c_29140,NP,313016,non-integron,,,0.025020005760621432,,,,,,0.023463916739676082,,,,,,
c_29140,NP,313017,non-integron,F!!!F,Nucleotide transport and metabolism!!!Nucleotide transport and metabolism,0.07860893257812049,,,,,,,,,,,,
c_29140,NP,313018,non-integron,F,Nucleotide transport and metabolism,0.0061380209397976825,,,,,,0.0,,,,,,
c_29140,NP,313023,non-integron,X,"Mobilome: prophages, transposons",0.2423715232967421,,,,,,0.07351185934833675,,,,,0.8751237799242889,
c_29846,NP,320522,integron,,,,,,,,,,,,,,0.04994659194991656,
c_29865,NP,320793,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,0.12076265100364683,,,,
c_29865,NP,320794,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,0.18239622684608608,,,,
c_29865,NP,320795,non-integron,,,,,,,,,,,0.14596248093197742,,,,
c_29865,NP,320796,integron,,,,,,,,,,,0.39055330438406416,,,,
c_30434,NP,326933,non-integron,X,"Mobilome: prophages, transposons",0.10263927799722736,,,,,,0.1088955630151128,,,,,0.0914020692010956,
c_30822,NP,330809,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,0.08558679597039504,
c_31376,NP,336505,non-integron,X,"Mobilome: prophages, transposons",,,,,,0.2700205327923058,,,0.148777809332319,0.4479443546360699,,0.16693636690151853,0.14156964593531407
c_31399,NP,336800,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,0.0,
c_31399,NP,336803,non-integron,C,Energy production and conversion,,,,,,,,,,,,0.0,
c_31399,NP,336805,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,0.17056194832751942,
c_31650,NP,339577,integron,,,,,,,,,,,,,,0.4445350658100188,
c_32461,NP,347150,non-integron,F,Nucleotide transport and metabolism,0.0,,,,,,0.003800374092138471,,,,,,
c_34080,NP,363758,non-integron,,,,,,,,,,,,,,0.02678243590574319,
c_34080,NP,363762,non-integron,C,Energy production and conversion,,,,,,,,,,,,0.003915641155727771,
c_34080,NP,363763,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,0.0,
c_34080,NP,363770,integron,T,Signal transduction mechanisms,,,,,,,,,,,,0.026330306156847724,
c_34168,NP,364635,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,0.0
c_35177,NP,375760,non-integron,N,Cell motility,,,,,0.00890424842020894,,,,,,,,
c_36420,NP,390783,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",0.054531193043952035,,,0.033965853575044384,0.0651340556878553,,0.031799518743054464,0.061220389319094876,0.05845972100859447,0.03627823999729481,0.0021078082918908232,0.060121057302451215,0.07150368934957978
c_36420,NP,390784,integron,I!!!R,Lipid transport and metabolism!!!General function prediction only,,,,0.0,0.03655654497795575,,,,,,0.02832940885909253,,0.03038032303686077
c_36420,NP,390785,integron,P,Inorganic ion transport and metabolism,,,,,0.30180034968613695,,,,,,,,
c_36420,NP,390786,integron,I,Lipid transport and metabolism,,,,,0.10205094514493508,,,0.06552904944799512,,,,,0.12518237821267394
c_36420,NP,390788,integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,0.09152916722378554
c_36420,NP,390789,non-integron,R,General function prediction only,,,,,0.060213546908071264,,,,,,,,
c_39787,NP,428754,non-integron,L,"Replication, recombination and repair",,,,,0.0,,,,,,,,
c_41093,NP,442517,non-integron,C,Energy production and conversion,,,,,0.09311743080870727,,,,,,,,
c_41093,NP,442521,non-integron,F,Nucleotide transport and metabolism,,,,,0.06063199847610725,,,,,,,,
c_41093,NP,442522,non-integron,L,"Replication, recombination and repair",,,,,0.04194929148926839,,,,,,,,0.02480569418575669
c_41093,NP,442524,non-integron,L,"Replication, recombination and repair",,,,,0.478211057864629,,,,,,,,0.006403708866039868
c_41093,NP,442525,non-integron,S,Function unknown,,,,,0.26925904060945244,,,,,,,,0.0012889489459084226
c_41093,NP,442526,non-integron,,,,,,,,,,,,,,,0.2697147846771092
c_41093,NP,442527,non-integron,,,,,,,0.07991297392344543,,,,,,,,0.1438053457467946
c_41093,NP,442528,integron,S,Function unknown,,,,,0.12958231096877765,,,,,,,,0.0624709004147106
c_41093,NP,442529,non-integron,R,General function prediction only,,,,,0.055037712756382966,,,,,,,,0.012230511086073509
c_41093,NP,442530,non-integron,H,Coenzyme transport and metabolism,,,,,0.099985734134414,,,,,,,,0.0619025949422875
c_41102,NP,442590,integron,,,,,,,0.417930278712428,,,,,,,,
c_41102,NP,442591,integron,,,,,,,0.10482729125921048,,,,,,,,
c_41102,NP,442592,integron,R,General function prediction only,,,,,0.5550644609979651,,,,,,,,
c_43620,NP,472012,non-integron,,,0.15025200938559544,,,,,,,,,0.2530452249261461,,,
c_43620,NP,472013,integron,E!!!P,Amino acid transport and metabolism!!!Inorganic ion transport and metabolism,,,,,,,,,,0.08397743892926103,,,
c_44478,NP,484093,integron,R,General function prediction only,1.1370106726527849,,,,,0.2430382976283544,0.7593548777819327,,,,,0.022731336062257357,
c_44478,NP,484094,integron,H,Coenzyme transport and metabolism,0.13364539994954486,,,,,0.16357901738544142,0.0829114907335558,,0.04656035234624183,0.107929775464478,,0.05166405341087617,
c_44478,NP,484095,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,0.015347961438039744,,,,,0.0,0.028496139918312326,,,,,0.06219206757538489,
c_44478,NP,484096,non-integron,G!!!M,Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis,0.05612026582521438,,,,,0.09450038595797794,0.034151541197532845,,,0.04649875107155765,,0.03376618688096876,
c_44478,NP,484097,non-integron,G,Carbohydrate transport and metabolism,0.4757867615010512,,,,,0.2267265930755729,0.3883618540854235,,,,,,
c_44478,NP,484098,non-integron,G,Carbohydrate transport and metabolism,0.0505396382775433,,,,,0.05087363943243105,0.03686590501380226,,,0.01863444507057967,,0.05888270880316782,
c_44478,NP,484099,non-integron,Q!!!R,"Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only",1.800147660639152,,,,,0.13343529693122544,,,0.08488368923667453,,,0.08068490498249586,
c_47118,NP,520910,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.004480167637286278,,,,
c_47118,NP,520911,non-integron,I,Lipid transport and metabolism,,,,,,,,,0.0042345950995885725,,,,
c_47118,NP,520917,non-integron,R,General function prediction only,,,,,,,,,0.40952626918535895,,,,
c_47127,NP,521015,non-integron,,,,,,,,,,,,,,0.2829943796564666,
c_48098,NP,534488,non-integron,,,0.3194932168091117,,,,,0.25504365315531763,0.3629619995500361,,,0.30589713501467897,,,
c_48098,NP,534489,integron,M,Cell wall/membrane/envelope biogenesis,0.3847503871262141,,,,,0.3354878065801772,0.3357342007488404,,,0.3567265161938469,,,
c_48098,NP,534490,non-integron,S,Function unknown,0.7790563747625712,,,,,0.7272158027115895,1.1795679580882117,,,0.8982852191622211,,,
c_48098,NP,534491,non-integron,,,0.15324864820843115,,,,,0.2380971996447337,0.0714339164193731,,,0.19198641419173684,,,
c_48834,NP,542935,non-integron,R,General function prediction only,,,,,,,,,0.0011953634464967587,,,0.026967956283471588,
c_48834,NP,542936,integron,,,,,,,,,,,0.0759698755733803,,,0.07364591682587426,
c_48834,NP,542937,integron,L,"Replication, recombination and repair",0.0,,,,,,0.0,,0.015699925629670018,,,0.01941777075698416,
c_48834,NP,542938,non-integron,,,,,,,,,0.0,,0.07693853532904113,,,0.09025458859225333,
c_48834,NP,542939,non-integron,E,Amino acid transport and metabolism,,,,,,,,,0.06118565516624206,,,0.07346515899441179,
c_48834,NP,542940,non-integron,S,Function unknown,,,,,,,,,0.3996195306388372,,,0.12516344940180751,
c_48834,NP,542941,non-integron,N,Cell motility,,,,,,,,,0.4097933351338849,,,0.12859993137119916,
c_48834,NP,542942,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,0.013677686373864292,
c_48834,NP,542943,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.010799361513314785,,,0.0025376750813842783,
c_48834,NP,542944,non-integron,K,Transcription,,,,,,,,,0.014745058873787806,,,0.0014493346246408814,
c_48834,NP,542945,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,0.01466876586515364,,,0.020407945047148518,
c_51800,NP,576922,integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,0.2402329040682385,
c_51800,NP,576929,integron,,,,,,,,,,,,,,0.2566239770440134,
c_51800,NP,576930,integron,,,,,,,,,,,,,,2.555990712074308,
c_52171,NP,580691,integron,M!!!T,Cell wall/membrane/envelope biogenesis!!!Signal transduction mechanisms,,,,,,,,,0.05561157645353075,,,0.046613106802387234,
c_52171,NP,580692,non-integron,S,Function unknown,,,,,,,,,,,,0.01506864495857682,
c_52171,NP,580693,non-integron,L,"Replication, recombination and repair",,,,,,,,,0.08410612524110646,,,0.03812502276171182,
c_52171,NP,580694,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,0.007317377032079735,
c_52171,NP,580695,non-integron,M,Cell wall/membrane/envelope biogenesis,1.0667689183335922,,,,,,0.3144923017534513,,0.10076754475166362,,,0.20583645690809668,
c_52171,NP,580696,non-integron,R,General function prediction only,,,,,,,0.04856843108249466,,0.14560886049622776,,,0.11155590795126777,
c_52171,NP,580697,non-integron,,,,,,,,,,,0.009320713012442007,,,0.1132655109719014,
c_52171,NP,580698,non-integron,I,Lipid transport and metabolism,,,,,,,,,0.15905781956813966,,,0.2287535462469344,
c_52171,NP,580699,non-integron,T,Signal transduction mechanisms,,,,,,,,,0.07560841771802862,,,0.06175251859046783,
c_52171,NP,580700,non-integron,K!!!T,Transcription!!!Signal transduction mechanisms,,,,,,,,,0.0,,,0.003894696785043111,
c_52171,NP,580701,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,0.11305963322584625,,,0.006891918141549873,
c_54112,NP,600977,non-integron,,,,,,0.2390924154730077,,,,,,,,,
c_54112,NP,600978,integron,,,,,,0.27513733400169543,,,,,,,,,
c_54112,NP,600979,integron,,,,0.014910364977340109,,0.060950387797209925,,,,,,,0.04916116265634569,,
c_54721,NP,608758,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.0320377816124618,,,,,,,0.04219454804167121,,
c_54721,NP,608759,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.1458153535176926,,,,,,,0.1550224018370972,,
c_54721,NP,608760,integron,E,Amino acid transport and metabolism,,,,0.05572663301869637,,,,,,,0.08356977828614963,,
c_54721,NP,608761,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.1491703505317589,,,,,,,0.12184782122000976,,
c_54721,NP,608762,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.23017718039427046,,,,,,,0.16248529075245452,,
c_54721,NP,608763,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.12082837147991728,,,,,,,0.12970324717892792,,
