contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599056,pnps_ERR599126,pnps_ERR599148,pnps_ERR599000,pnps_ERR599048,pnps_ERR599035,pnps_ERR598984,pnps_ERR599010,pnps_ERR599009,pnps_ERR599103,pnps_ERR599131,pnps_ERR599017,pnps_ERR599122,pnps_ERR599027,pnps_ERR599133,pnps_ERR599149,pnps_ERR599044,pnps_ERR598947,pnps_ERR599129,pnps_ERR599005,pnps_ERR599040,pnps_ERR599137,pnps_ERR599105
c_54164,SAT,623220,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.0005930436216157129,,,,,,
c_54164,SAT,623222,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,0.01916742926555084,,,,,,
c_54164,SAT,623223,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,0.5561428579039919,,,,,,
c_54164,SAT,623225,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,0.034578885587977864,,,0.12984220073977334,,,
c_54164,SAT,623232,non-integron,J,"Translation, ribosomal structure and biogenesis",,,0.0020710370055550967,,,,,,,,,,,,,0.0059129083761403365,0.00027502731067964266,0.00505755703065069,,0.0,,,
c_55601,SAT,637087,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,0.005518766272438958,,,,,
c_55601,SAT,637088,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,0.2385679973429912,,,,,
c_55601,SAT,637091,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,0.19707175254246764,,,,,
c_55601,SAT,637092,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,0.010143936864212376,,,,,
c_55601,SAT,637100,non-integron,,,,,,,,,,,,,,,,,,,,0.05401876310040092,,,,,
c_55601,SAT,637101,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,0.3362667596673969,,,,,
c_55601,SAT,637102,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,0.3013846710500535,,,,,
c_55601,SAT,637103,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,0.16024346926278674,,,,,
c_55601,SAT,637104,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,0.016639021381887126,,,,,
c_55601,SAT,637113,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,0.017353471930388116,,,,,
c_55601,SAT,637116,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,0.1487596358831247,,,,,
c_55601,SAT,637120,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,0.0067490181037891655,,,,,
c_55601,SAT,637121,non-integron,,,,,,,,,,,,,,,,,,,,0.2280629139072836,,,,,
c_55601,SAT,637122,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,0.16576155369451148,,,,,
c_55601,SAT,637124,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,0.030975085398200437,,,,,
c_57265,SAT,652809,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,0.5205255641705482,,,,,
c_57265,SAT,652811,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,0.07268558217614575,,,,,
c_57265,SAT,652812,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,0.4727217962760138,,,,,
c_57265,SAT,652813,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,0.3720672175219171,,,,,
c_57265,SAT,652814,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,0.16202341735257048,,,,,
c_57265,SAT,652815,integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,0.13320636222084026,,,,,
c_57265,SAT,652816,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,0.3134421134421175,,,,,
c_58972,SAT,668763,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,0.1550792817125378,,,,,
c_58972,SAT,668764,non-integron,H!!!J,"Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,0.10377275643486238,,,,,
c_58972,SAT,668765,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,3.5495337041884936,,,,,
c_58972,SAT,668766,integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,0.0536776105994786,,,,,
c_59276,SAT,671991,integron,X,"Mobilome: prophages, transposons",,,,0.19205462024210468,,,,,,,,,,,,,0.3040618327586506,,,,,,
c_63971,SAT,713637,non-integron,I,Lipid transport and metabolism,,,,0.18198409758165326,,,,,,,,,,,,,,,,,,,
c_63971,SAT,713639,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,0.7021388695895868,,,,,,,,,,,,,,,,,,,
c_64027,SAT,714038,non-integron,F,Nucleotide transport and metabolism,,,,0.03516152945564393,,,,,,,,,,,,,,,,,,,
c_65010,SAT,723352,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,0.0,,,,,,
c_65010,SAT,723353,non-integron,L,"Replication, recombination and repair",,,0.017563721584562857,,,,,,,,,,,,,,0.020439441973336272,,,0.04603328857013339,,,
c_65201,SAT,725154,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,0.00911352456007052,,,,,,
c_65201,SAT,725169,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,0.035154456829906165,,,,,,
c_65201,SAT,725170,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.12157478916081545,,,,,,
c_65201,SAT,725172,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,0.021953472955273844,,,,,,
c_65201,SAT,725173,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,0.4956198519834674,,,,,,
c_69892,SAT,766500,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,0.007412716015372053,,,,,,,,,,,
c_69892,SAT,766502,integron,E!!!E,Amino acid transport and metabolism!!!Amino acid transport and metabolism,,,,,,,0.015119106840015084,,,,,,,,,,,,,,,,
c_69933,SAT,766798,non-integron,C!!!R,Energy production and conversion!!!General function prediction only,,,,,,,,,,,,,,,,,,0.07900001171545537,,,,,
c_69933,SAT,766799,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,0.07302282547654948,,,,,
c_69933,SAT,766800,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,0.03216564061446067,,,,,
c_69933,SAT,766809,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,0.1426132759958171,,,,,
c_69933,SAT,766810,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,0.005461908115557389,,,,,
c_69933,SAT,766811,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,0.0,,,,,
c_69933,SAT,766812,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,0.09377191994338484,,,,,
c_69933,SAT,766814,non-integron,,,,,,,,,,,,,,,,,,,,1.017194314487342,,,,,
c_69933,SAT,766815,non-integron,,,,,,,,,,,,,,,,,,,,0.3423545291058812,,,,,
c_69933,SAT,766816,non-integron,,,,,,,,,,,,,,,,,,,,0.045360649853682,,,,,
c_69933,SAT,766824,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,0.1442762535477768,,,,,
c_69933,SAT,766827,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,0.19324267478994034,,,,,
c_69933,SAT,766833,integron,,,,,,,,,,,,,,,,,,,,2.636517199017208,,,,,
c_69933,SAT,766837,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,0.2514145202553365,,,,,
c_70737,SAT,773808,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,0.05956145039130931,,,,,,
c_70737,SAT,773815,non-integron,,,,,,,,,,,,,,,,,,,0.7749903323718861,,,,,,
c_71307,SAT,778475,non-integron,,,,,,,,,,,,,,,,,,,0.1179880217848824,,,,,,
c_71307,SAT,778478,non-integron,,,,,,0.3843977938772751,,,,,,,,,,,,,,,,,,,
c_71307,SAT,778487,non-integron,F,Nucleotide transport and metabolism,,,,0.0473132991160168,,,,,,,,,,,,,,,,,,,
c_71307,SAT,778491,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,0.057333979206226425,,,,,,,,,,,,,0.05079698177212254,,,,,,
c_71307,SAT,778494,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,0.22462344110771054,,,,,,
c_73806,SAT,799640,non-integron,X,"Mobilome: prophages, transposons",,,,,,,0.22242793116886728,,,,,,,,,,,,,,,,
c_73806,SAT,799641,non-integron,M!!!O,"Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones",,,,,,,0.1042112025247338,,,,,,,,,,,,,,,,
c_77739,SAT,847460,non-integron,C!!!E,Energy production and conversion!!!Amino acid transport and metabolism,,,0.0,0.015403258584728447,,,,,,,,,,,,,0.08286926910574154,,,,,,
c_77739,SAT,847472,non-integron,P,Inorganic ion transport and metabolism,,,,0.06855724071860962,,,,,,,,,,,,,,,,,,,
c_77739,SAT,847473,non-integron,,,,,,0.02936852486084673,,,,,,,,,,,,,,,,,,,
c_77739,SAT,847480,non-integron,P,Inorganic ion transport and metabolism,,,,0.035249640215847984,,,,,,,,,,,,,,,,,,,
c_77739,SAT,847489,non-integron,F,Nucleotide transport and metabolism,,,,0.03424787413940722,,,,,,,,,,,,,,,,,,,
c_78243,SAT,853436,integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,0.16076436277636175,,,,,,,,,,,,,0.0330066062104842,,,,,,
c_80624,SAT,882233,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,0.3284857589271421,,,,,,,,,,,,,,,,,,,
c_80624,SAT,882236,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,0.0,,,,,,,,,,,,,,,,,,,
c_80624,SAT,882238,non-integron,P,Inorganic ion transport and metabolism,,,,0.0032695603708785357,,,,,,,,,,,,,,,,,,,
c_80624,SAT,882254,non-integron,L,"Replication, recombination and repair",,,,0.4194592096616757,,,,,,,,,,,,,,,,,,,
c_80624,SAT,882276,non-integron,F!!!F,Nucleotide transport and metabolism!!!Nucleotide transport and metabolism,,,,0.026594350977351744,,,,,,,,,,,,,,,,,,,
c_81875,SAT,895770,integron,,,,,0.04110541824338098,,,,,,,,,,,,,,,,,,,,
c_83419,SAT,913127,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,0.00952257207401228,,,,,,
c_83890,SAT,918612,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,0.06943952174856455,,,0.052725171788635936,,,
c_83890,SAT,918613,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,0.11813634077180647,,,0.14374266190979096,,,
c_83890,SAT,918621,integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,0.0,,,,,,
c_84232,SAT,922819,integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,0.03940743021263293,,,,,,
c_87161,SAT,954258,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,0.12194210372585328,,,,,,
c_87161,SAT,954259,non-integron,J!!!O,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,0.1000851995880217,,,,,,
c_87161,SAT,954260,non-integron,Q!!!R,"Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only",,,,,,,,,,,,,,,,,0.10438573676940577,,,,,,
c_93862,SAT,1020713,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,0.0105490175195698,,,,,,
c_93862,SAT,1020714,non-integron,G!!!R,Carbohydrate transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,0.0,,,
c_93862,SAT,1020715,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,0.0,,,
c_93862,SAT,1020716,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,0.0,,,0.0020149869549607393,,,
c_93862,SAT,1020717,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,0.007826501427170255,,,
c_93862,SAT,1020728,non-integron,,,,,,,,,,,,,,,,,,,0.05384237629416645,,,,,,
c_93862,SAT,1020769,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.0,,,,,,
c_93862,SAT,1020785,non-integron,M!!!V,Cell wall/membrane/envelope biogenesis!!!Defense mechanisms,,,,,,,,,,,,,,,,,0.0026958906402049358,,,0.0,,,
c_93862,SAT,1020797,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,0.11960911049838993,,,0.15157963518905584,,,
c_93862,SAT,1020798,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,0.0840104714438339,,,0.10987467575323606,,,
c_93862,SAT,1020799,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,0.0,,,0.018451273875948408,,,
c_93862,SAT,1020800,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,0.08687662245747989,,,0.08503992837052061,,,
c_93862,SAT,1020801,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,0.2199675255459169,,,,,,
c_93862,SAT,1020802,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,0.0011959524668244935,,,0.008214878289785276,,,
c_93862,SAT,1020803,non-integron,,,,,,,,,,,,,,,,,,,,,,0.18664713269150174,,,
c_93862,SAT,1020805,non-integron,,,,,,,,,,,,,,,,,,,0.06350465946500472,,,0.05344172181808212,,,
c_93862,SAT,1020807,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.0,,,,,,
c_93862,SAT,1020808,non-integron,E!!!H,Amino acid transport and metabolism!!!Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,0.04692725215439804,,,0.20935748976763305,,,
c_93862,SAT,1020809,non-integron,S!!!O,"Function unknown!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,0.20799233905292466,,,0.1917911734871136,,,
c_93862,SAT,1020810,non-integron,C!!!E,Energy production and conversion!!!Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.0,,,0.02334951399076238,,,
c_93862,SAT,1020811,non-integron,,,,,,,,,,,,,,,,,,,0.07558951323400702,,,0.0729944973477615,,,
c_93862,SAT,1020813,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,0.3034760110266796,,,0.4477676707306594,,,
c_93862,SAT,1020814,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,0.0016052650221379814,,,0.002007589125639721,,,
c_93862,SAT,1020815,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,0.04012769788007538,,,0.05529690780782438,,,
c_93862,SAT,1020816,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,0.07842202647624505,,,0.06963902191562121,,,
c_93862,SAT,1020817,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,0.1322785848825513,,,0.09991470161859192,,,
c_93862,SAT,1020818,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.02319012393695764,,,0.043956151891836,,,
c_93862,SAT,1020826,non-integron,E!!!E,Amino acid transport and metabolism!!!Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.0,,,,,,
c_93862,SAT,1020831,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,0.03509745465171656,,,,,,
c_93996,SAT,1021955,integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,0.0620453037517657,,,,,,
c_93996,SAT,1021956,non-integron,H!!!I,Coenzyme transport and metabolism!!!Lipid transport and metabolism,,,,,,,,,,,,,,,,,0.03221957958208235,,,,,,
c_93996,SAT,1021957,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,0.09196810559017596,,,,,,
c_93996,SAT,1021958,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,0.0,,,,,,
c_93996,SAT,1021960,non-integron,N,Cell motility,,,,,,,,,,,,,,,,,0.021504067079880482,,,,,,
c_93996,SAT,1021962,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,0.07061096014747016,,,,,,
c_97202,SAT,1052419,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,0.055565118496518164,,,,,,,,,,
c_97202,SAT,1052420,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,0.1766359686645534,,,,,,,,,,
c_97202,SAT,1052421,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,0.1179801780792888,,,,,,,,,,
c_97202,SAT,1052422,non-integron,C,Energy production and conversion,,,,,,,,,,,,,0.034757088753632336,,,,,,,,,,
c_97202,SAT,1052423,integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,,,,0.2866608447093138,,,0.2741906282237186,,,,0.11252424395601608,0.3382802682599799,,,,,,,,,
c_97202,SAT,1052424,integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,0.04256959924196994,,,0.0799526309898734,,,,0.121657397980873,0.0613459822964887,,,,,,,,,
