contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR598952,pnps_ERR599007,pnps_ERR598997,pnps_ERR599132,pnps_ERR599346,pnps_ERR594404,pnps_ERR599064,pnps_ERR599128,pnps_ERR598994,pnps_ERR594395,pnps_ERR599055,pnps_ERR599067,pnps_ERR599065,pnps_ERR599168,pnps_ERR594325,pnps_ERR598978,pnps_ERR599144,pnps_ERR599118,pnps_ERR599353,pnps_ERR598965,pnps_ERR599108,pnps_ERR598943,pnps_ERR598971,pnps_ERR599349,pnps_ERR594313,pnps_ERR598962
c_1154,CPC,20134,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.01487960420118961,,,,,,
c_1154,CPC,20135,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.18922749000452674,,,,,,
c_1154,CPC,20136,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.08807534066260331,,,,,,
c_1154,CPC,20137,non-integron,I,Lipid transport and metabolism,,,,,,,0.024113240873434912,,,,,,,,,,,,,0.08591348939874661,,,,,,
c_1154,CPC,20138,non-integron,H,Coenzyme transport and metabolism,,,,,,,0.04839435811490976,,,,,,,,,,,,,0.05252089011143775,,,,,,
c_1154,CPC,20139,non-integron,H,Coenzyme transport and metabolism,,,,,,,0.12165794393349527,,,,,,,,,,,,,0.1542923419791551,,,,,,
c_1154,CPC,20140,non-integron,E!!!P,Amino acid transport and metabolism!!!Inorganic ion transport and metabolism,,,,,,,0.2929751613962178,,,,,,,,,,,,,0.1629208183322066,,,,,,
c_1154,CPC,20141,integron,E!!!P,Amino acid transport and metabolism!!!Inorganic ion transport and metabolism,,,,,,,0.0,,,,,,,,,,,,,0.0350211898596184,,,,,,
c_1154,CPC,20142,integron,E,Amino acid transport and metabolism,,,,,,,0.10133581724034996,,,,,,,,,,,,,0.14433306554608033,,,,,,
c_1154,CPC,20143,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,0.18037293172219213,,,,,,,,,,,,,0.13363439031282698,,,,,,
c_1154,CPC,20144,non-integron,,,,,,,,,0.11256801805402884,,,,,,,,,,,,,0.15374924900818146,,,,,,
c_1154,CPC,20145,non-integron,R,General function prediction only,,,,,,,0.1802097007981168,,,,,,,,,,,,,0.42277610542270416,,,,,,
c_1154,CPC,20146,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,0.23639729628405484,,,,,,
c_1503,CPC,25225,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,0.12132648060364674,,,,,,,,,,,
c_1503,CPC,25226,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,0.25261258438137085,,,,,,,,,,,
c_1503,CPC,25230,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,0.2002183732009371,,,,,,,,,,,
c_1503,CPC,25231,non-integron,T!!!K,Signal transduction mechanisms!!!Transcription,,,,,,,,,,,,,,,0.006726442218663729,,,,,,,,,,,
c_1503,CPC,25234,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,0.13225365855610394,,,,,,,,,,,
c_2093,CPC,34290,non-integron,J!!!J,"Translation, ribosomal structure and biogenesis!!!Translation, ribosomal structure and biogenesis",,,,,,,0.06779310586319068,,,,,,,,,,,,,0.0309404429418928,,,,,,
c_2093,CPC,34291,non-integron,,,,,,,,,0.05396028912310784,,,,,,,,,,,,,0.06790074242654845,,,,,,
c_2093,CPC,34292,integron,T,Signal transduction mechanisms,,,,,,,0.0670543044708474,,,,,,,,,,,,,0.0879357122332141,,,,,,
c_2093,CPC,34293,integron,D!!!M,"Cell cycle control, cell division, chromosome partitioning!!!Cell wall/membrane/envelope biogenesis",,,,,,,0.09871152026775472,,,,,,,,,,,,,0.0044417648442871575,,,,,,
c_2093,CPC,34294,integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.024745817853399386,,,,,,,,,,,,,0.0,,,,,,
c_2179,CPC,35876,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,0.4227687445990087,,,,,,
c_2179,CPC,35878,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,0.019395885896564047,,,,,,
c_2179,CPC,35880,integron,,,,,,,,,,,,,,,,,,,,,,0.15836923512258974,,,,,,
c_2565,CPC,41085,integron,C,Energy production and conversion,,,,,,,,,,,,,,,0.09079278867725822,,,,,,,,,,,
c_2641,CPC,42601,non-integron,I,Lipid transport and metabolism,,,,,,,0.03820096472728717,,,,,,,,,,,,,0.03275654119398493,,,,,,
c_2641,CPC,42602,non-integron,I,Lipid transport and metabolism,,,,,,,0.11541354266836427,,,,,,,,,,,,,0.0957006908759994,,,,,,
c_2641,CPC,42603,non-integron,I,Lipid transport and metabolism,,,,,,,0.04290109441556112,,,,,,,,,,,,,0.0,,,,,,
c_2641,CPC,42604,non-integron,I,Lipid transport and metabolism,,,,,,,0.07998204509191932,,,,,,,,,,,,,,,,,,,
c_2641,CPC,42605,non-integron,,,,,,,,,0.4837243927818988,,,,,,,,,,,,,0.8264395509300643,,,,,,
c_2732,CPC,43983,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,0.0049694116945156385,,,,,,,,,,,,,0.006588445118842589,,,,,,
c_2732,CPC,43984,non-integron,E,Amino acid transport and metabolism,,,,,,,0.02325300624553509,,,,,,,,,,,,,0.03269006899845443,,,,,,
c_2732,CPC,43985,non-integron,R,General function prediction only,,,,,,,0.055439589844375164,,,,,,,,,,,,,0.06063933340388205,,,,,,
c_2732,CPC,43986,non-integron,,,,,,,,,0.8026640920379534,,,,,,,,,,,,,0.5140018647282446,,,,,,
c_2732,CPC,43987,non-integron,G,Carbohydrate transport and metabolism,,,,,,,0.037859644678983034,,,,,,,,,,,,,0.04451263296437125,,,,,,
c_2732,CPC,43988,non-integron,G,Carbohydrate transport and metabolism,,,,,,,0.015579006576734226,,,,,,,,,,,,,0.017931813225478124,,,,,,
c_2732,CPC,43989,non-integron,G,Carbohydrate transport and metabolism,,,,,,,0.04486455346898878,,,,,,,,,,,,,0.020698979503689853,,,,,,
c_2732,CPC,43990,non-integron,G,Carbohydrate transport and metabolism,,,,,,,0.02432751329224169,,,,,,,,,,,,,0.026830757802557705,,,,,,
c_2732,CPC,43991,non-integron,G,Carbohydrate transport and metabolism,,,,,,,0.03684818782279579,,,,,,,,,,,,,0.05164780096354708,,,,,,
c_2732,CPC,43992,non-integron,K,Transcription,,,,,,,0.04420314099440359,,,,,,,,,,,,,0.038035273958471685,,,,,,
c_2732,CPC,43994,non-integron,,,,,,,,,,,,,,,,,,,,,,1.0651672364559883,,,,,,
c_2732,CPC,43995,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,0.0116841457251968,,,,,,
c_2732,CPC,43996,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,0.09460538101567954,,,,,,,,,,,,,0.06928356803842685,,,,,,
c_2732,CPC,43997,non-integron,,,,,,,,,0.06525928472098605,,,,,,,,,,,,,0.059672789906347085,,,,,,
c_2732,CPC,43999,integron,V,Defense mechanisms,,,,,,,0.07590974804006398,,,,,,,,,,,,,0.07548459132439934,,,,,,
c_2732,CPC,44000,integron,V,Defense mechanisms,,,,,,,0.009512626100037943,,,,,,,,,,,,,0.12778235756620926,,,,,,
c_3146,CPC,50675,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.05385714479131452,,,,,,,,,,,,,0.0034758144983000603,,,,,,
c_3146,CPC,50676,non-integron,R,General function prediction only,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
c_3146,CPC,50679,non-integron,E!!!J!!!M,"Amino acid transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!Cell wall/membrane/envelope biogenesis",,,,,,,0.07662812234075222,,,,,,,,,,,,,,,,,,,
c_3146,CPC,50680,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.05002871720258648,,,,,,,,,,,,,0.05429982220692497,,,,,,
c_3146,CPC,50681,integron,,,,,,,,,0.13321981311747072,,,,,,,,,,,,,0.29967548629888024,,,,,,
c_3146,CPC,50682,non-integron,M,Cell wall/membrane/envelope biogenesis,,0.04562839602004103,,,,,0.02135789766944563,,,,,,,,,,,,,0.0,,,,,,
c_3146,CPC,50683,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.1128241299090859,,,,,,,,,,,,,0.10799394847106053,,,,,,
c_3472,CPC,55226,non-integron,P,Inorganic ion transport and metabolism,,,,,,,0.07022900007656664,,,,,,,,,,,,,0.025841504449662173,,,,,,
c_3472,CPC,55228,non-integron,S,Function unknown,,,,,,,0.029076596752260632,,,,,,,,,,,,,0.04022745442520465,,,,,,
c_3472,CPC,55229,non-integron,T,Signal transduction mechanisms,,,,,,,0.02620928313902823,,,,,,,,,,,,,0.01958190342452359,,,,,,
c_3472,CPC,55230,non-integron,T,Signal transduction mechanisms,,,,,,,0.03302919063124693,,,,,,,,,,,,,0.00621239789397963,,,,,,
c_3472,CPC,55231,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,0.00138521777025596,,,,,,,,,,,,,0.032289995677016466,,,,,,
c_3472,CPC,55232,non-integron,,,,,,,,,0.1338062761963883,,,,,,,,,,,,,0.15602429796515688,,,,,,
c_3472,CPC,55233,non-integron,,,,,,,,,0.109248474532645,,,,,,,,,,,,,0.03900413632574787,,,,,,
c_3472,CPC,55234,non-integron,L,"Replication, recombination and repair",,,,,,,0.023176454583009428,,,,,,,,,,,,,0.018581366142564483,,,,,,
c_3472,CPC,55235,non-integron,L,"Replication, recombination and repair",,,,,,,0.0636458779093224,,,,,,,,,,,,,0.06183546070273201,,,,,,
c_3472,CPC,55236,integron,L,"Replication, recombination and repair",,,,,,,0.03052075898145925,,,,,,,,,,,,,0.012653231004426887,,,,,,
c_4478,CPC,69002,non-integron,K,Transcription,,,,,,,0.0072072534699110765,,,,,,,,,,,,,0.014309126573428612,,,0.01974836269072833,,,
c_4478,CPC,69004,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,0.032257884692732164,,,
c_4478,CPC,69005,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
c_4753,CPC,73113,non-integron,G,Carbohydrate transport and metabolism,,,,,,,0.06838415355561415,,,,,,,,,,,,,0.09533759198464632,,,,,,
c_4753,CPC,73114,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,0.0697641157137149,,,,,,
c_4753,CPC,73116,non-integron,N!!!W,Cell motility!!!Extracellular structures,,,,,,,0.2696553331423036,,,,,,,,,,,,,0.1689592354785747,,,,,,
c_4753,CPC,73117,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,0.033506498633288036,,,,,,
c_4753,CPC,73118,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.08704565602836663,,,0.006424778500597039,,,,,,,,,,,,,0.027421575326697683,,,,,,
c_4753,CPC,73119,non-integron,E!!!E,Amino acid transport and metabolism!!!Amino acid transport and metabolism,,,,,,,0.1093262663565887,,,,,,,,,,,,,0.1307920147858255,,,,,,
c_4753,CPC,73120,non-integron,E,Amino acid transport and metabolism,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73122,non-integron,E,Amino acid transport and metabolism,,,,,,,0.2219515596395628,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73123,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.16999904906405972,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73125,non-integron,L,"Replication, recombination and repair",,,,,,,0.1244189453049563,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73127,non-integron,,,,,,,,,,,,,,,,,,,,,,0.3635285431704584,,,,,,
c_4753,CPC,73128,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,0.3388739168367183,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73129,non-integron,L,"Replication, recombination and repair",,,,,,,0.026180599799401287,,,,,,,,,,,,,0.09160412713910884,,,,,,
c_4753,CPC,73132,non-integron,P,Inorganic ion transport and metabolism,,,,,,,0.1205442820760075,,,,,,,,,,,,,0.04611506715716781,,,,,,
c_4753,CPC,73134,non-integron,H,Coenzyme transport and metabolism,,,,,,,0.2312118093332541,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73137,non-integron,F,Nucleotide transport and metabolism,,,,,,,0.08958423297590437,,,,,,,,,,,,,0.03402303837109896,,,,,,
c_4753,CPC,73139,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,0.20372616160081436,,,,,,,,,,,,,0.12033542590358295,,,,,,
c_4753,CPC,73141,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,0.18760050477453727,,,,,,,,,,,,,0.06039647915964212,,,,,,
c_4753,CPC,73142,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,0.08676036362774907,,,,,,,,,,,,,0.12017607758952994,,,,,,
c_4753,CPC,73143,non-integron,R,General function prediction only,,,,,,,0.6105506461462161,,,,,,,,,,,,,0.0,,,,,,
c_4753,CPC,73146,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.11896337873200855,,,,,,
c_4753,CPC,73149,non-integron,T!!!K,Signal transduction mechanisms!!!Transcription,,,,,,,,,,,,,,,,,,,,0.18181072784809105,,,,,,
c_4753,CPC,73154,non-integron,L,"Replication, recombination and repair",,,,,,,1.0590045271629738,,,,,,,,,,,,,0.09970626282156644,,,,,,
c_4753,CPC,73159,non-integron,E!!!M,Amino acid transport and metabolism!!!Cell wall/membrane/envelope biogenesis,,,,,,,0.06127659574468134,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73161,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,0.16580337372388482,,,,,,
c_4753,CPC,73164,non-integron,H!!!H,Coenzyme transport and metabolism!!!Coenzyme transport and metabolism,,,,,,,0.1921301682524519,,,,,,,,,,,,,0.13610808759648993,,,,,,
c_4753,CPC,73166,non-integron,L,"Replication, recombination and repair",,,,,,,0.044724326543607466,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73168,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.06161955817323625,,,,,,,,,,,,,0.2623181148477166,,,,,,
c_4753,CPC,73169,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,0.3114040361923687,,,,,,,,,,,,,0.1818661391361677,,,,,,
c_4753,CPC,73171,non-integron,E,Amino acid transport and metabolism,,,,,,,0.5484690086917711,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73172,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,0.6157159879707226,,,,,,
c_4753,CPC,73173,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,0.07031209700968656,,,,,,
c_4753,CPC,73178,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,0.06377428354923217,,,,,,
c_4753,CPC,73181,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,0.15766389582856022,,,,,,
c_4753,CPC,73182,non-integron,L,"Replication, recombination and repair",,,,,,,0.05508419605095853,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73185,non-integron,G!!!E!!!R,Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only,,,,,,,0.15520502628608926,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73186,non-integron,M!!!N,Cell wall/membrane/envelope biogenesis!!!Cell motility,,,,,,,0.07720216487181394,,,,,,,,,,,,,0.35411646858164275,,,,,,
c_4753,CPC,73187,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,0.07033089855033955,,,,,,,,,,,,,0.06610429458992108,,,,,,
c_4753,CPC,73188,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,0.6976891512224007,,,,,,
c_4753,CPC,73189,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,0.0069458578125326745,,,,,,
c_4753,CPC,73190,non-integron,,,,,,,,,0.14559299909749146,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73191,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,0.16196634052261671,,,,,,
c_4753,CPC,73192,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,0.2781083354237067,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73195,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,0.2930926523721579,,,,,,,,,,,,,0.6452361735469363,,,,,,
c_4753,CPC,73196,non-integron,,,,,,,,,,,,,,,,,,,,,,0.2384454101245999,,,,,,
c_4753,CPC,73197,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,0.7175655802569055,,,,,,
c_4753,CPC,73200,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,0.103716229818417,,,,,,
c_4753,CPC,73201,non-integron,R,General function prediction only,,,,,,,0.1495731867378894,,,,,,,,,,,,,0.04503821488307811,,,,,,
c_4753,CPC,73202,non-integron,,,,,,,,,0.03423772743098921,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73204,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
c_4753,CPC,73206,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,0.03281508124745204,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73208,non-integron,,,,,,,,,0.6424233864338299,,,,,,,,,,,,,0.1374009181350633,,,,,,
c_4753,CPC,73209,non-integron,F!!!T,Nucleotide transport and metabolism!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,0.008664730087883423,,,,,,
c_4753,CPC,73210,non-integron,,,,,,,,,0.1513421385403313,,,,,,,,,,,,,0.2480293428609573,,,,,,
c_4753,CPC,73211,non-integron,O!!!E,"Posttranslational modification, protein turnover, chaperones!!!Amino acid transport and metabolism",,,,,,,,,,,,,,,,,,,,0.10050118954745392,,,,,,
c_4753,CPC,73215,integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,0.7653901117734531,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73216,integron,G,Carbohydrate transport and metabolism,,,,,,,0.6724430767161065,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73217,integron,E!!!P,Amino acid transport and metabolism!!!Inorganic ion transport and metabolism,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73221,non-integron,V,Defense mechanisms,,,,,,,0.0456609521214322,,,,,,,,,,,,,0.102651115613581,,,,,,
c_4753,CPC,73223,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,0.10023463459308993,,,,,,
c_4753,CPC,73224,non-integron,,,,,,,,,0.26439000484099445,,,,,,,,,,,,,,,,,,,
c_4753,CPC,73225,non-integron,K,Transcription,,,,,,,0.18696159509190047,,,,,,,,,,,,,,,,,,,
c_5895,CPC,89161,non-integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,0.1747035301408415,,,,,,
c_5895,CPC,89162,non-integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,,,,,0.04253473900518378,,,,,,,,,,,,,0.4146397639835851,,,,,,
c_5895,CPC,89164,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.02357915173721169,,,,,,
c_5895,CPC,89165,non-integron,,,,,,,,,,,,,,,,,,,,,,0.25770804821196114,,,,,,
c_5895,CPC,89166,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,0.08066795025586912,,,,,,
c_5895,CPC,89167,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,0.0520484784867191,,,,,,
c_5895,CPC,89168,integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,0.1284536570852351,,,,,,
c_5895,CPC,89169,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,1.2322316793930124,,,,,,
c_6625,CPC,99699,integron,,,,,,,,,0.4466708088046573,,,,,,,,,,,,,,,,,,,
c_6625,CPC,99701,non-integron,,,,,,,,,0.12458862838927474,,,,,,,,,,,,,0.08913322444281213,,,,,,
c_6625,CPC,99702,non-integron,I,Lipid transport and metabolism,,,,,,,0.11279537428361912,,,,,,,,,,,,,0.11716554097809012,,,,,,
c_6625,CPC,99705,non-integron,T,Signal transduction mechanisms,,,,,,,0.5783503240497422,,,,,,,,,,,,,,,,,,,
c_6911,CPC,103341,non-integron,,,,,,,,,0.07458883158440302,,,,,,,,,,,,,0.0773619065094362,,,,,,
c_6911,CPC,103342,non-integron,E,Amino acid transport and metabolism,,,,,,,0.07224937114082833,,,,,,,,,,,,,0.06691269580228701,,,,,,
c_6911,CPC,103343,non-integron,M!!!R,Cell wall/membrane/envelope biogenesis!!!General function prediction only,,,,,,,0.11917142401488096,,,,,,,,,,,,,0.10483244660458477,,,,,,
c_6911,CPC,103344,non-integron,R,General function prediction only,,,,,,,0.15462590973917434,,,,,,,,,,,,,0.14447965054381862,,,,,,
c_6911,CPC,103345,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,0.059180059531999965,,,,,,,,,,,,,0.05718448959183073,,,,,,
c_6911,CPC,103346,integron,E,Amino acid transport and metabolism,,,,,,,0.05153779303952776,,,,,,,,,,,,,0.052056657164605,,,,,,
c_6911,CPC,103347,integron,G,Carbohydrate transport and metabolism,,,,,,,0.08207463178883516,,,,,,,,,,,,,0.060407092548480215,,,,,,
c_7475,CPC,109947,non-integron,H,Coenzyme transport and metabolism,,,,,,,0.041279007541254006,,,,,,,,,,,,,,,,,,,
c_7475,CPC,109949,non-integron,D,"Cell cycle control, cell division, chromosome partitioning",,,,,,,0.032469496611419686,,,,,,,,,,,,,,,,,,,
c_7475,CPC,109950,non-integron,R,General function prediction only,,,,,,,0.919024078510526,,,,,,,,,,,,,,,,,,,
c_7475,CPC,109951,non-integron,E!!!H,Amino acid transport and metabolism!!!Coenzyme transport and metabolism,,,,,,,0.032662728656609415,,,,,,,,,,,,,,,,,,,
c_7475,CPC,109952,non-integron,P,Inorganic ion transport and metabolism,,,,,,,0.011138187669781531,,,,,,,,,,,,,0.0,,,,,,
c_8616,CPC,125285,non-integron,,,,,,,,,,,,,,,,,,,,,,0.3224748006521917,,,,,,
c_8616,CPC,125343,non-integron,,,,,,,,,0.041381760199752086,,,,,,,,,,,,,,,,,,,
c_8922,CPC,129310,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,0.016439406684239963,,,,,0.023062303003086062,,,,,,0.022697450232288783,0.013011229626661873,,0.01777475707572014,,0.013325142923274635,,0.022083007146710448,0.0,0.006370467285566678,,,0.01794223287647405,0.0116901156953515
c_8922,CPC,129311,non-integron,,,,,,,,,0.5018364324227416,,,,,,,,,,,,,0.892014382865628,,,,,,
c_8922,CPC,129312,non-integron,,,,0.12871488609917858,,,,,0.09895439979625413,,,,,,,,,0.356517460039575,,,,0.2518748286746549,,,,,0.2391732479527058,
c_8922,CPC,129313,non-integron,V,Defense mechanisms,,0.02270083226106425,,0.06341555659829984,,,0.02546548553695136,,,,,,0.0628085761747694,0.01672021458891047,,0.02402438318069521,,0.06962843630198222,,0.03118808932099596,,,0.04713617979562863,,0.024060554581720763,
c_8922,CPC,129314,integron,G,Carbohydrate transport and metabolism,,0.07188322018910942,,,,,0.10813934453460808,,,,,,,,,0.16151675284670247,,,,0.0936943789117071,,,,,,
c_8922,CPC,129315,non-integron,L,"Replication, recombination and repair",,0.6629471971875092,,,,,0.37466485386513104,,,,,,,0.4085865311824151,,0.4936661723108335,,,,0.5877465591130021,,,,,,
c_9255,CPC,133565,non-integron,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,0.126521819223849,,,,,,
