contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599079,pnps_ERR598948,pnps_ERR599128,pnps_ERR599083,pnps_ERR599055,pnps_ERR598999,pnps_ERR599042,pnps_ERR599132,pnps_ERR599014,pnps_ERR599093,pnps_ERR598992,pnps_ERR598957,pnps_ERR598962,pnps_ERR599085,pnps_ERR599072,pnps_ERR599096,pnps_ERR598943,pnps_ERR599039,pnps_ERR599033,pnps_ERR599168,pnps_ERR598954,pnps_ERR599020,pnps_ERR599120,pnps_ERR598978,pnps_ERR599071
c_12628,SP,237194,integron,,,,0.023604837717090627,,,,,,,,,,,,,,,,,,,,,,,
c_12628,SP,237199,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,0.5050973902224867,,,,,,0.4281583176098286,,,,,,,,,,,,,,,,,
c_13436,SP,248979,non-integron,G!!!G!!!T,Carbohydrate transport and metabolism!!!Carbohydrate transport and metabolism!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,0.08305848638527741,,,
c_21910,SP,395099,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,0.16936196461914682,,,,,,,,,,,,,,,,,,,,,,,
c_21910,SP,395102,integron,,,,0.2485892121105175,,,,,,,,,,,,,,,,,,,,,,,
c_24702,SP,435556,integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,0.08006656002075117,,,,
c_24702,SP,435558,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,0.3747157833232645,,,,
c_24702,SP,435559,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,0.012830765067398643,,,,
c_31596,SP,539250,non-integron,L,"Replication, recombination and repair",,0.23475694730868074,,,,,,0.16393206516385778,,,,,,,,,,,,,,,,,
c_31596,SP,539251,non-integron,M,Cell wall/membrane/envelope biogenesis,,0.046026267754862384,,,,,,,,,,,,,,,,,,,,,,,
c_31596,SP,539252,non-integron,P,Inorganic ion transport and metabolism,,0.12784559522579508,0.15092125838837472,,0.11726538885089463,,,0.14228725493809646,0.10113380694741693,,,,,,0.037210983052370514,,,0.05170624028510944,,0.08744293621028074,,0.1352200493476397,,,0.11332763972213727
c_31596,SP,539253,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06726792054765117
c_33111,SP,562451,integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,0.07015245564662115,,,,,,,,,,,,,,,,,,,,,,,
c_33111,SP,562455,non-integron,,,,0.04431197118333965,,,,,,,,,,,,,,,,,,,,,,,
c_36141,SP,598030,integron,,,,,,,,,,,,,0.06858846393326888,,,,,,,,,,,,,,
c_44766,SP,747943,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.2781053183857707,,,0.3594404654531243,,,,,,,,,,,,,
c_44766,SP,747944,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,0.08882596969981171,,,,,,,,,,,,,,,,
c_44766,SP,747945,non-integron,,,,,,,,,,,0.09926398734611233,,,0.2203786161113696,,,,,,,,,,,,,
c_44766,SP,747946,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.02638629123045143,,,0.0031937347256165358,,,,,,,,,,,,,
c_44766,SP,747947,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.19268068839653332,,,0.24446823812979354,,,,,,,,,,,,,
c_44766,SP,747948,non-integron,,,,0.5288806523350609,,,,,,,0.0905689720613788,,,0.1073260166221361,,,,,,,,,,,,,
c_44766,SP,747949,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,0.0427700726987577,,,,,,,,,,,,,,,,
c_44766,SP,747950,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,0.34925678055593745,,,0.21921814854210464,,,,,,,,,,,,,
c_44766,SP,747951,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,0.06805414056555767,,,0.07304102295354392,,,,,,,,,,,,,
c_45606,SP,762429,non-integron,R,General function prediction only,,0.02585233301194487,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762430,non-integron,,,,0.0030786901798991488,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762431,non-integron,K,Transcription,,0.021599393292720183,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762432,non-integron,L,"Replication, recombination and repair",,0.470325764948346,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762433,non-integron,,,,0.02090795348745951,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762434,non-integron,,,,0.020814053997876024,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762435,non-integron,X!!!V,"Mobilome: prophages, transposons!!!Defense mechanisms",,0.017873613990855238,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762436,non-integron,,,,0.016496788051894546,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762437,non-integron,P,Inorganic ion transport and metabolism,,0.0,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762439,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,0.2446388271439997,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762440,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,0.0,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762444,non-integron,I,Lipid transport and metabolism,,0.0,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762447,non-integron,G,Carbohydrate transport and metabolism,,0.0,,,,,,,,,,,,,,,,,,,,,,,
c_45606,SP,762448,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,0.0798216120776786,,,,,,0.5217596129267036,,,,,,,,,,,,,,,,,
c_45606,SP,762449,non-integron,F,Nucleotide transport and metabolism,,0.06182092492891556,,,,,,0.010364448126344735,,,,,,,,,,,,,,,,,
c_45606,SP,762450,non-integron,F,Nucleotide transport and metabolism,,0.5020014778059709,,,,,,0.3008032573550484,,,,,,,,,,,,,,,,,
c_50144,SP,834230,non-integron,D,"Cell cycle control, cell division, chromosome partitioning",,,,,,,,,,,,,,,,,,,,,,0.0477513074244146,,,
c_50144,SP,834232,non-integron,,,,,,,,,,,,,,,,,,,,,,,,0.08255833052856336,,,
c_50144,SP,834236,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,0.06160614123188846,,,
c_50144,SP,834247,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,0.06612724867474844,,,
c_50144,SP,834248,non-integron,,,,,,,,,,,,,,,,,,,,,,,,0.14769673155844018,,,
c_50144,SP,834249,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,0.06525202151030872,,,
c_50144,SP,834251,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.12915965904919807,,,
c_50144,SP,834252,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,0.07495556725240649,,,
c_50144,SP,834254,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,0.20000804753924714,,,
c_50144,SP,834255,non-integron,F!!!R,Nucleotide transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,0.2090451567218955,,,
c_50144,SP,834257,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.11888613362913868,,,
c_50144,SP,834258,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.0,,,
c_50144,SP,834260,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,0.08537053128262519,,,
c_50144,SP,834261,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.03049767412731437,,,
c_50144,SP,834263,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,0.03606872403584671,,,
c_50144,SP,834264,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.029167213727052638,,,
c_50144,SP,834265,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,,,,,0.07809985414128821,,,
c_50144,SP,834267,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,0.1541126529124653,,,
c_50144,SP,834268,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,0.0,,,
c_50144,SP,834269,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,0.07866543626691197,,,
c_50144,SP,834270,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,0.027947375415529413,,,
c_50144,SP,834271,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,0.2246894521831827,,,
c_50144,SP,834273,non-integron,J!!!E,"Translation, ribosomal structure and biogenesis!!!Amino acid transport and metabolism",,,,,,,,,,,,,,,,,,,,,,0.1020440656416608,,,
c_50144,SP,834274,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.06455535582108457,,,
c_50144,SP,834275,non-integron,E!!!P,Amino acid transport and metabolism!!!Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,0.19475761540067804,,,
c_50817,SP,844950,non-integron,,,,,,,,,,,,,,,,,,,,,,,,0.07484943495546285,,,
c_50817,SP,844952,non-integron,S,Function unknown,,,,,,,,0.0587949013163846,,,,,,,,,,,,,,,,,
c_50817,SP,844967,non-integron,E,Amino acid transport and metabolism,,,,,,,,0.04284349259411045,,,,,,,,,,,,,,,,,
c_50817,SP,844968,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,0.024543563702207824,,,,,,,,,,,,,,,,,
c_51963,SP,862176,integron,M!!!U,"Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport",,,,,,,,0.06435671433003244,,,,,,,,,,,,,,,,,
c_51963,SP,862186,non-integron,R,General function prediction only,,,,,,,,0.0,,,,,,,,,,,,,,,,,
c_51963,SP,862189,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,0.14014381655105415,,,,,,,,,,,,,,,,,
c_53524,SP,884867,non-integron,M!!!R,Cell wall/membrane/envelope biogenesis!!!General function prediction only,,0.0019722375001696587,0.0036439369498086883,,,,,0.0028216097968570067,0.012265243447477541,,,0.0,,,0.004164292449737991,,,,,,,0.0,,,
c_53524,SP,884869,non-integron,G,Carbohydrate transport and metabolism,,0.0006498452877501805,,,,,,0.026962405631987704,,,,,,,0.03642774238273825,,,,,,,0.003835442141793712,,,
c_53524,SP,884870,non-integron,R,General function prediction only,,0.02099824840157037,0.00542916488524652,,,,,0.03297136098742907,,,,,,,,,,0.0,,,,0.0,,,
c_53524,SP,884871,non-integron,,,,0.012778584355606248,,,,,,0.04424352033332103,,,,,,,,,,,,,,0.04930151403484249,,,
c_53954,SP,892351,integron,I,Lipid transport and metabolism,,0.04193466219545404,,,,,,,,,,,,,,,,,,,,,,,
c_53954,SP,892354,integron,S,Function unknown,,0.0059608098986012065,,,,,,,,,,,,,,,,,,,,,,,
c_53954,SP,892355,integron,K,Transcription,,0.031604484640150574,0.04211827390628211,,,,,0.025359524511768646,0.1507569290967829,,,,,,0.08031279396225921,,,0.04969467256264349,,,,0.044466606734002,,,
c_55173,SP,909322,non-integron,D,"Cell cycle control, cell division, chromosome partitioning",,0.2229976974647637,,,,,,,,,,,,,,,,,,,,,,,
c_55173,SP,909363,non-integron,E,Amino acid transport and metabolism,,0.002860092090090665,,,,,,,,,,,,,,,,,,,,,,,
c_55173,SP,909364,non-integron,J,"Translation, ribosomal structure and biogenesis",,0.0036842215642523884,,,,,,,,,,,,,,,,,,,,,,,
c_55173,SP,909368,non-integron,I!!!M,Lipid transport and metabolism!!!Cell wall/membrane/envelope biogenesis,,0.3282757851285791,,,,,,,,,,,,,,,,,,,,,,,
c_57439,SP,956746,non-integron,,,,,,,,,,,,,,,,,,,,,,,,0.05873548966283671,,,
c_57484,SP,957902,non-integron,,,,0.06086123501322883,,,,,,0.02460647048408829,,,,,,,,,,,,,,,,,
c_57484,SP,957903,non-integron,,,,0.007493974682427778,,,,,,0.024905724986634445,,,,,,,,,,,,,,,,,
c_57484,SP,957904,non-integron,,,,0.10265978203628047,,,,,,0.2840168331001319,,,,,,,0.08462287465428135,,,,,,,,,,
c_57484,SP,957908,integron,,,,0.2267693367887452,,,,,,,,,,,,,,,,,,,,,,,
c_57484,SP,957910,integron,V,Defense mechanisms,,,,,,,,9.782430330573334,,,,,,,,,,,,,,,,,
c_59746,SP,995383,non-integron,,,,,,,,,,0.14082490643240514,,,,,,,,,,,,,,,,,
c_59746,SP,995384,non-integron,,,,,,,,,,0.20953373837237768,,,,,,,,,,,,,,0.17029960625974186,,,0.0903590852013905
c_59746,SP,995385,non-integron,O!!!O,"Posttranslational modification, protein turnover, chaperones!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,0.08424223022879378,,,,,,,,,,,,,,,,,0.3104298478555035
c_59746,SP,995386,non-integron,L,"Replication, recombination and repair",,,0.7026593272561708,,,,,0.33008437951071523,,,,,,,,,,,,,,0.3729402101302233,,,0.1456021626889721
c_59746,SP,995387,non-integron,L,"Replication, recombination and repair",,,0.07608246016229664,,,0.5039592760181008,,0.0919639564377504,,,,,,,,,,,,,,0.07223452080612852,,,0.07828916123067166
c_59746,SP,995388,non-integron,,,,,0.07908030139990332,,0.1326357945287723,,,0.07926991942383839,,,,,,,,,,,,,,0.0983249977515156,,,0.07777729432095913
c_59746,SP,995390,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,,,0.012382532062500682,,,
c_59746,SP,995391,non-integron,L,"Replication, recombination and repair",,,,,,,,0.052525681883407324,,,,,,,,,,,,,,0.07197050857354761,,,0.0545590171407442
c_59746,SP,995392,non-integron,,,,,,,,,,0.2951137001211324,,,,,,,,,,,,,,0.5004891852636721,,,0.03963875752369635
c_59746,SP,995393,integron,,,,,,,,,,4.033683145928209,,,,,,,,,,,,,,7.279687690310383,,,3.897244102996325
c_59746,SP,995394,integron,,,,,0.09011209143587594,,,,,0.14352285677041365,,,,,,,,,,,,,,0.301522611709906,,,0.15057562431167526
c_59765,SP,995606,non-integron,,,,,,,,,,0.12898317794214004,,,,,,,,,,,,,,0.0804697371070169,,,
c_59765,SP,995607,non-integron,,,,,,,,,,0.2455646477818513,,,,,,,,,,,,,,0.5903423922546016,,,
c_59765,SP,995608,non-integron,,,,,,,,,,0.2248979044934502,,,,,,,,,,,,,,0.07004022468239626,,,
c_59765,SP,995609,non-integron,,,,,,,,,,0.1503797867326798,,,,,,,,,,,,,,,,,
c_59765,SP,995610,non-integron,,,,,0.15129074781642862,,,,,0.07165374532706265,,,,,,,,,,,,,,0.2015088705479162,,,
c_59765,SP,995611,non-integron,,,,,,,,,,0.12600323863358456,,,,,,,,,,,,,,0.13436459783044133,,,
c_59765,SP,995612,integron,,,,,0.23704710630234424,,,,,0.15850241334752227,,,,,,,,,,,,,,0.17073269527286206,,,
c_59765,SP,995613,integron,,,,,0.061071069418994275,,,,,0.12259909049192515,,,,,,,,,,,,,,0.2273729777182644,,,
c_59765,SP,995614,integron,,,,,0.3318684949528462,,,,,0.1548615151547807,,,,,,,,,,,,,,0.14116300677973662,,,
c_60203,SP,1001421,non-integron,S,Function unknown,,0.2680215147046637,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001425,non-integron,,,,0.16223750952693702,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001426,non-integron,,,,0.10147345420115073,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001427,non-integron,,,,0.12087365185824085,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001428,non-integron,L!!!L,"Replication, recombination and repair!!!Replication, recombination and repair",,0.08095708419667237,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001429,non-integron,,,,0.0269697379196376,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001430,non-integron,,,,0.08477643314200738,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001431,non-integron,,,,0.06479301659412308,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001432,non-integron,L,"Replication, recombination and repair",,0.06125512530642739,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001433,non-integron,X!!!S,"Mobilome: prophages, transposons!!!Function unknown",,0.07173663717440593,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001434,non-integron,X!!!S,"Mobilome: prophages, transposons!!!Function unknown",,0.040763167082632855,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001435,non-integron,,,,0.0445742944236779,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001436,non-integron,,,,0.08182380683409403,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001437,non-integron,,,,0.08957826502190516,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001438,non-integron,,,,0.04693176390114074,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001439,non-integron,,,,0.15099537590713244,,,,,,,,,,,,,,,,,,,,,,,
c_60203,SP,1001440,non-integron,,,,0.7274808730979511,,,,,,,,,,,,,,,,,,,,,,,
c_65350,SP,1101274,non-integron,L!!!L,"Replication, recombination and repair!!!Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,0.1931596760889511,,,,
c_65350,SP,1101275,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,0.2968244229023111,,,,
c_65350,SP,1101276,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,0.03522037825748325,,,,
c_65350,SP,1101277,non-integron,C!!!C,Energy production and conversion!!!Energy production and conversion,,,,,,,,,,,,,,,,,,,,,0.2584242923314464,,,,
c_65350,SP,1101278,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,0.09644123814567876,,,,
c_65350,SP,1101279,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,0.1983027957391328,,,,
c_65350,SP,1101280,non-integron,,,,,,,,,,,,,,,,,,,,,,,0.14004246498225592,,,,
c_69352,SP,1181343,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,0.2157740112994357,,,,,,,,,,0.047228359439406585
c_69352,SP,1181344,non-integron,,,,,,,,,,,,,,,,,0.2530889469565339,,,,,,,,,,0.21582676103856385
c_69352,SP,1181345,integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,0.0710305255833917,,,,,,,,,,0.086432942444713
c_69352,SP,1181346,non-integron,,,,,,,,,,,,,,,,,0.08941701849620598,,,,,,,,,,0.11001039882927982
c_69955,SP,1192550,integron,L,"Replication, recombination and repair",,0.4566508293740155,,,,,,,,,,,,,,,,,,,,,,,
c_69955,SP,1192579,non-integron,H,Coenzyme transport and metabolism,,0.3289443520445053,,,,,,,,,,,,,,,,,,,,,,,
c_69955,SP,1192580,non-integron,,,,0.1331577430532696,,,,,,,,,,,,,,,,,,,,,,,
c_71254,SP,1215818,non-integron,,,,,,,,,,0.10160114329070044,,,,,,,0.18381042518854812,,,,,,,0.15898166608262732,,,
c_71254,SP,1215819,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,0.32660558346759777,,,,,,,,,,,,,,0.0928399313599238,,,0.0
c_71254,SP,1215822,non-integron,,,,,,,,,,0.15766566194231313,,,,,,,,,,,,,,0.2125279138547431,,,
c_71254,SP,1215823,non-integron,J,"Translation, ribosomal structure and biogenesis",,,0.09066293551015672,,,,,0.0862860182205737,,,,,,,,,,,,,,0.12273228195417366,,,
c_71254,SP,1215824,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,0.09905553484029113,,,,,,,,,,,,,,0.1079831995501188,,,
c_71254,SP,1215825,non-integron,N,Cell motility,,,0.4516855289729986,,,,,0.4237255545726472,,,,,,,0.3558786175924243,,,,,,,0.3102464119246758,,,0.4239992047298461
c_71254,SP,1215826,non-integron,,,,,0.11274197133229713,,,,,0.2027421062379128,,,,,,,0.1952648094845322,,,,,,,0.1945270411054828,,,0.13873065971961396
c_71254,SP,1215827,non-integron,N,Cell motility,,,0.07447182235694652,,,,,0.08422671996789799,,,,,,,0.07949629105242223,,,,,,,0.08254466028791692,,,0.11610162045106093
c_71254,SP,1215828,non-integron,N,Cell motility,,,0.020556655176905414,,,,,0.1761906493712642,,,,,,,0.1471856231538237,,,,,,,0.16904460466064786,,,0.16632572102832102
c_71254,SP,1215829,non-integron,N,Cell motility,,,,,,,,,,,,,,,0.2587599080480125,,,,,,,,,,0.17049180237955408
c_71254,SP,1215830,non-integron,N,Cell motility,,,,,,,,,,,,,,,,,,,,,,,,,0.6988327915398552
c_71254,SP,1215831,non-integron,,,,,,,,,,,,,,,,,0.10902116514845342,,,,,,,,,,
c_72372,SP,1231993,non-integron,I,Lipid transport and metabolism,,,,,,,,0.2680402611399124,,,,,,,,,,,,,,,,,0.4129237905192872
c_72372,SP,1231994,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,0.8968290589915551
c_72372,SP,1231995,non-integron,,,,,0.6486718233718018,0.6602091318990477,,,,0.5477560752524288,,,,,,,0.3340463989031673,0.4993144591929587,,,,,,0.2045660792900812,,,0.3398571632720246
c_78615,SP,1375296,non-integron,S,Function unknown,0.015226964115544566,0.030180445076524287,,,,,0.03701971449930447,,,,,0.019721517977069128,,,,,,,,,0.01118263661237966,,,,
c_78615,SP,1375297,non-integron,C,Energy production and conversion,0.15927937579925847,0.0977434428769102,,,,,0.048278785264359886,0.0,0.1301736826611728,,,0.1379583518205824,,,,,,,,,0.16240508929236774,0.0,,,
c_78615,SP,1375299,non-integron,C,Energy production and conversion,1.461770816401624,1.5061741531016752,,,,,,,,,,1.1127655953239424,,,,,,,,,0.7817588676134629,,,,
c_78615,SP,1375300,non-integron,,,0.034151853912373666,0.09212190138591643,,,,,,,,,,0.05887085268303376,,,,,,,,,,0.12886832366253842,,,
c_78615,SP,1375302,non-integron,,,,0.0,,,,,,,,,,0.0012768389443043493,,,,,,,,,0.0,0.08573842738327947,,,
c_78615,SP,1375308,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,0.03636723230804911,,,,,,,,,,,,,,,,,,,,,,,
c_78615,SP,1375309,non-integron,P,Inorganic ion transport and metabolism,,0.1568453357468784,,,,,,,,,,,,,,,,,,,,,,,
c_78615,SP,1375310,non-integron,V,Defense mechanisms,,0.06177201182327021,,,,,,,,,,0.25817655571635184,,,,,,,,,,,,,
c_78615,SP,1375311,non-integron,,,,0.04879584464354986,,,,,,,,,,,,,,,,,,,,,,,
c_78615,SP,1375314,non-integron,,,,0.15640317035415166,,,,,,,,,,0.13046534205111046,,,,,,,,,,,,,
c_78615,SP,1375315,non-integron,M,Cell wall/membrane/envelope biogenesis,0.04007307233653835,0.010191331501726342,,,,,,,,,,0.018484437210602868,,,,,,,,,,,,,
c_78615,SP,1375316,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,0.014738579706239053,,,,,,,,,,,,,
c_78615,SP,1375317,non-integron,L!!!L!!!X,"Replication, recombination and repair!!!Replication, recombination and repair!!!Mobilome: prophages, transposons",0.045170867313421424,0.004542241704502165,,,,,,,,,,0.0039088608546841664,,,,,,,,,0.0,,,,
c_78615,SP,1375320,non-integron,C,Energy production and conversion,,0.004200439957872796,,,,,,,,,,,,,,,,,,,,,,,
c_78615,SP,1375321,non-integron,,,,,,,,,,,,,,0.010975350691070812,,,,,,,,,,,,,
c_78615,SP,1375324,integron,,,,0.0646742518366011,,,,,,,,,,,,,,,,,,,,,,,
c_78615,SP,1375326,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,0.012853668065628512,,,,,,,,,,0.0,,,,,,,,,,,,,
c_78615,SP,1375327,non-integron,,,,0.08078987906823615,,,,,,,,,,,,,,,,,,,,,,,
c_78615,SP,1375329,non-integron,,,,0.06861871057616452,,,,,,,,,,0.031462852619089716,,,,,,,,,,,,,
c_80221,SP,1412908,non-integron,,,,0.06005161665585679,,,,,,,,,,,,,,,,,,,,,,,
c_80221,SP,1412909,non-integron,,,,0.17024861287268833,,,,,,,,,,,,,,,,,,,,,,,
c_80221,SP,1412910,non-integron,,,,0.08554143204686472,,,,,,,,,,,,,,,,,,,,,,,
c_80221,SP,1412911,non-integron,F,Nucleotide transport and metabolism,,0.3932303964620929,,,,,,,,,,,,,,,,,,,,,,,
c_80221,SP,1412912,non-integron,M,Cell wall/membrane/envelope biogenesis,,0.057795123186510165,,,,,,,,,,0.029783661305510207,,,,,,,,,,,,,
c_80221,SP,1412913,non-integron,M,Cell wall/membrane/envelope biogenesis,,0.0960403715198136,,,,,,,,,,,,,,,,,,,,,,,
c_80221,SP,1412914,non-integron,G,Carbohydrate transport and metabolism,,0.1920396015667218,,,,,,,,,,,,,,,,,,,,,,,
c_80221,SP,1412915,non-integron,M,Cell wall/membrane/envelope biogenesis,,0.3064017424571872,,,,,,,,,,,,,,,,,,,,,,,
