,contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_SRR3968777,pnps_SRR3963982,pnps_SRR3963456,pnps_SRR3962680,pnps_SRR3965585,pnps_SRR3960578,pnps_SRR3965592,pnps_SRR3964650,pnps_SRR3960580,pnps_SRR3960579,pnps_SRR3960581,pnps_SRR3961935,pnps_SRR3960577,pnps_SRR3967025,pnps_SRR3967700,pnps_SRR3965676,pnps_SRR3965874,pnps_SRR3967699,pnps_SRR3961604,pnps_SRR3960575,pnps_SRR3963449,pnps_SRR3962773,pnps_SRR3963804,pnps_SRR3963658,pnps_SRR3963498,pnps_SRR3968062,pnps_SRR3961047,pnps_SRR3965758,pnps_SRR3965873,pnps_SRR3967905,pnps_SRR3968061,pnps_SRR3965875,pnps_SRR3961906,pnps_SRR3962771,pnps_SRR3963599,pnps_SRR3960576,pnps_SRR3966130,pnps_SRR3967558,pnps_SRR3962772,pnps_SRR3963805,pnps_SRR3963571,pnps_SRR3968063,pnps_SRR3960572,pnps_SRR3963458,pnps_SRR3968060,pnps_SRR3962777,pnps_SRR3962293,pnps_SRR3967319,pnps_SRR3963457,pnps_SRR3967690,pnps_SRR3962508,pnps_SRR3965809,pnps_SRR3960684,pnps_SRR3961936,pnps_SRR3965647,pnps_SRR3963622,pnps_SRR3965586,pnps_SRR3968770
29,k127_9475360,deep,3449,non-integron,K,Transcription,,,,,,,,,,,,,0.4392455783643989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,k127_9475360,deep,3450,non-integron,,,,,,,,,,,,,,,,,,,,,,1.7568913800591448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,k127_9475360,deep,3451,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,5.940776993702114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,k127_9475360,deep,3452,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,0.6126297968101193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,k127_9475360,deep,3460,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,3.714619739439915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,k127_9475360,deep,3472,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,0.9561162707871104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,k127_9475360,deep,3474,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,,,,0.8202470055564407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,k127_9475360,deep,3480,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,1.4542856761660878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,k127_9475360,deep,3481,non-integron,N!!!W,Cell motility!!!Extracellular structures,,,,,,,,,,,,,,,,,,,,1.429999753938531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,k127_9475360,deep,3491,non-integron,T!!!T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,2.02597599349785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,k127_9475360,deep,3492,non-integron,T!!!T!!!T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,1.0317887461310002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,k127_9475360,deep,3494,non-integron,L,"Replication, recombination and repair",,,,,,2.2766946417043252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,k127_9475360,deep,3496,non-integron,T!!!O,"Signal transduction mechanisms!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,0.3006320230125144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,k127_9475360,deep,3497,non-integron,T!!!U,"Signal transduction mechanisms!!!Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,1.7653230771569248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,k127_9475360,deep,3501,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,1.3475006046340536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,k127_9475360,deep,3509,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,0.25811086576672143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,k127_9475360,deep,3510,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,1.8372840905944907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,k127_9475360,deep,3511,non-integron,,,,,,,,,,,,,,,,,,,,,,0.4415948659372614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,k127_9475360,deep,3520,non-integron,U!!!X!!!R,"Intracellular trafficking, secretion, and vesicular transport!!!Mobilome: prophages, transposons!!!General function prediction only",,,,,,,,,,,,,,,,,,,,2.1706909273150514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,k127_9475360,deep,3524,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,0.7253370220230394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,k127_9475360,deep,3525,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,0.6626384403162611,,,,,,,0.2707917590578786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,k127_9475360,deep,3529,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,,,,0.5253073035503996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,k127_9475360,deep,3533,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,0.8139086602358975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,k127_9475360,deep,3534,non-integron,,,,,,,,,,,,,,,,,,,,,,0.7209336871100328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,k127_9475360,deep,3540,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,0.3005718896021901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,k127_9475360,deep,3542,non-integron,,,,,,,,,,,,,,,,,,,,,,0.4906979000574977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,k127_9475360,deep,3545,non-integron,,,,,,,,,,,,,,,,,,,,,,0.5447467044306932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,k127_9475360,deep,3546,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,11.022021456804195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,k127_9475360,deep,3547,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,0.42915441323004216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,k127_9475360,deep,3548,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.7616774302410602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,k127_9475360,deep,3553,non-integron,H!!!K,Coenzyme transport and metabolism!!!Transcription,,,,,,,,,,,,,,,,,,,,1.1948916553610676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,k127_3344704,deep,4870,non-integron,P!!!V,Inorganic ion transport and metabolism!!!Defense mechanisms,,,,,,0.35177016750459217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,k127_3344704,deep,4871,non-integron,H,Coenzyme transport and metabolism,,,,,,0.06636468118587929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,k127_3344704,deep,4872,non-integron,I,Lipid transport and metabolism,,,,,,0.6450396115481162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,k127_3344704,deep,4874,non-integron,E,Amino acid transport and metabolism,,,,,,0.24182111395261036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,k127_3344704,deep,4875,non-integron,G,Carbohydrate transport and metabolism,,,,,,0.14651190473632966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,k127_3344704,deep,4876,non-integron,P,Inorganic ion transport and metabolism,,,,,,0.13266726546882426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,k127_3344704,deep,4877,non-integron,T!!!K,Signal transduction mechanisms!!!Transcription,,,,,,0.2502124676941175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,k127_3344704,deep,4878,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,0.4976921716818713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2844387755102065,,,,,,,,,,,,,,,,,,,,,,
168,k127_3344704,deep,4879,non-integron,E!!!T,Amino acid transport and metabolism!!!Signal transduction mechanisms,,,,,,0.3748582695102017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,k127_3344704,deep,4880,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,0.417376059995434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,k127_3344704,deep,4881,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,0.040980264700319985,,,0.005632767801828466,0.05339781823378505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01996936258927831,,,,,,0.02668113837699306,,,,,,,,,,,,,,,,
190,k127_1520,deep,10472,non-integron,,,,,,,,,,,,,,,,,,,,0.155560673846215,,,,,,,,,,,,,,,,,,,,0.2993696060993055,,,,0.1788025345849886,,,0.18216126458866694,,,,,,,,,,,,,0.2728131387420649
191,k127_559831,deep,15586,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12875353953588042,,,,,,,,,,,,,,,,,,,,,,
273,k127_2231720,deep,18389,non-integron,I,Lipid transport and metabolism,0.03655391773497802,,,,0.03659620386650548,,,,,,,,,,,,,,,,,,,,,0.07540800844125517,,,,,,,,,,,,,,,,0.04142745441903554,,,,,,,,,,,,,,,,0.03669625460677717
274,k127_4462345,deep,23748,non-integron,J,"Translation, ribosomal structure and biogenesis",0.4148974279966837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3459774155845635,,,,,,,,,,,,,,,,0.5345005287224138
275,k127_4462345,deep,23749,non-integron,O,"Posttranslational modification, protein turnover, chaperones",0.0062298006946958145,,,,0.022512092274613874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03548286240828613,,,,,,,,,,,,,,,0.0,0.013361452701692231
276,k127_4462345,deep,23750,non-integron,O,"Posttranslational modification, protein turnover, chaperones",0.04167975491487412,,,,0.04668495631948113,,,,,,,,,,,,,,,,,,,,,0.0588250650469465,,,,,,,,,,,,,,,,0.0477018295529751,,,,,,,,,,,,,,,0.009595423311508335,0.03058331291627544
277,k127_4462345,deep,23751,non-integron,T,Signal transduction mechanisms,0.050553307101409074,,,,0.04754087797770114,,,,,,,,,,,,,,,,,,,,,0.04036702486022363,,,,,,,,,,,,,,,,0.06116466567113471,,,,,,,,,,,,,,,0.05543984977072264,0.05952440840638658
278,k127_4462345,deep,23752,integron,C,Energy production and conversion,0.04327714862095725,,,,0.058778534059765276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060375106630350464,,,,,,,,,,,,,,,,0.03759418893282503
280,k127_4462345,deep,23754,integron,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,k127_4462345,deep,23755,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04894980537646,,,,,,,,,,,,,,,,
282,k127_4462345,deep,23756,integron,,,0.05157560946424182,,,,0.11340106065240632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06700551915202088,,,,,,,,,,,,,,,,0.07967461674408523
283,k127_4462345,deep,23757,integron,,,0.4051956998620631,,,,0.2710698175383382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3468442909724259,,,,,,,,,,,,,,,,0.3264673628732178
284,k127_4462345,deep,23758,integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,,,,,,,0.11065412823566577,,,,,,,,,,,,,,,,0.12525969098929726,,,,,,,,,,,,,,,,0.12136625225382865
291,k127_3347774,deep,26991,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02645010789093904
305,k127_6136699,deep,36559,non-integron,,,,,,,,0.14268522387638224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,k127_6136699,deep,36560,non-integron,T,Signal transduction mechanisms,,,,,,0.052610215277995705,,,,,,,0.027410141297185484,,,,,,,,,,,,,,,,,,,,,,,0.03996730833718479,,,,,,,,,,,,,,,,,,,,,,
308,k127_6136699,deep,36562,integron,H,Coenzyme transport and metabolism,,,,,0.0052879303139832575,0.023216307620903,,,,,,,0.01997404582759245,,,,,,,,,,,,,,,,,,,,,,,0.0148963711116753,,,,,,,,,,,,,,,,,,,,,0.004773284494803705,
309,k127_6136699,deep,36563,integron,,,,,,,0.01416809624322184,0.1719465170456231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10046877120759336,,,,,,,,,,,,,,,,,,,,,0.00575134643594755,
329,k127_6696245,deep,53711,non-integron,X,"Mobilome: prophages, transposons",,0.19513378467044187,,,0.1330761415287045,0.4217402548893991,,0.08607345305497446,0.17281475892827688,,,,0.2699945551418436,0.11038050743674056,0.11579013420552955,0.005846418136595642,,0.09861775443994628,,0.15793385857658682,,,,,,0.10146150153061398,,,,,,0.0918154488467392,,,,0.20602878530691784,0.14393161450304998,0.10856788496494056,,,,0.12507645431461994,0.13376630972241732,,0.13928983483457294,,,0.1079480465032814,,0.14614931456879834,,,0.11693223301009475,,,,0.012877941881573571,0.11445278796647465
332,k127_1123927,deep,60865,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6355037878309974,,,,,,,,,,,,,
337,k127_1123927,deep,60870,non-integron,,,,,,,,,,,,,,,,0.6173936750272645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,k127_7255089,deep,64596,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,0.8941481137909723,,,,,,,,,0.5551472541434528,,,,,,,,0.4278530440055903,,,,,,,,,,,0.5887380543984326,0.6273527827553318,,,,,,,,,
339,k127_7255089,deep,64597,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28124041326071403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,k127_7255089,deep,64599,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10204321580585601,,,,,,,,0.21686051666622386,,,,,,,,,,,,0.3988862638475926,,,,,,,,,
370,k127_10043565,deep,76517,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3643561797786575,,,,,,,,,,,,,,,,,,,,,,
371,k127_10601454,deep,78973,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3324423285415524,,,,,,,,,
375,k127_10601454,deep,78977,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649609801962741,,,,,,,,,
385,k127_10601454,deep,78987,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5923083503403413,,,,,,,,,
387,k127_10601454,deep,78989,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2630329783025878,,,,,,,,,
388,k127_10601454,deep,78990,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1196251910713078,,,,,,,,,
391,k127_10601454,deep,78993,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4985407931947554,,,,,,,,,
409,k127_8372426,deep,89970,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.022268485800579,,,,,,,,,,,,,,,,,,,,,,
416,k127_1128632,deep,92415,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6184545613117022,,,,,,,,,,,,,,,,0.8974500773951295
436,k127_9489452,deep,106799,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8989366495449223,,,,,,,,,,,,,,,,,,,,,,
437,k127_9489452,deep,106800,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2597593974480772,,,,,,,,,,,,,,,,,1.5025248830318398,,,,,
440,k127_9489452,deep,106803,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0870761424780275,,,,,,,,,,,,,,,,,,,,,,
473,k127_1691821,deep,122395,non-integron,X,"Mobilome: prophages, transposons",,0.49944715765710707,,,,0.7667587615441458,0.07818284983943047,0.17061308463282146,,,,,0.9597314688824584,,,,,,,,,,0.2537596472205097,,,,,,,,,,,,,0.3801853521364235,,,,,,,0.3794932899944933,,,,,,,,,,,,,,,
474,k127_1691821,deep,122396,non-integron,,,,4.019713169899231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,k127_1691821,deep,122402,non-integron,,,,0.740602707573561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,k127_1691821,deep,122403,non-integron,,,,2.2126968322741254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,k127_1691821,deep,122404,non-integron,F,Nucleotide transport and metabolism,,2.0955831589485694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,k127_1691821,deep,122406,non-integron,L!!!X,"Replication, recombination and repair!!!Mobilome: prophages, transposons",,1.4971365731185189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,k127_7821037,deep,124816,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,0.18870974370214247,,,,,,,0.01550489904808334,0.06629011136918635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,k127_7821415,deep,127350,non-integron,X,"Mobilome: prophages, transposons",,2.288085503554852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,k127_7821415,deep,127351,non-integron,M,Cell wall/membrane/envelope biogenesis,,0.7466263670715237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,k127_12283013,deep,145571,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.863706286534748,,,,,,,,,,,,,,,,,,,,,,,,
523,k127_12283013,deep,145572,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4968802603334967,,,,,,,,,,,,,,,,,,,,,,,,
547,k127_5598674,deep,161899,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7359640985701057,,,,,,,,,
548,k127_2253715,deep,164755,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
549,k127_2253715,deep,164756,non-integron,,,0.37801932049086784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2678167845397412,,,,,,,,,,,,,,,0.4313487675829117,0.32983772088088154
550,k127_2253715,deep,164757,integron,G,Carbohydrate transport and metabolism,0.0751264346811619,,,,0.05556053849886746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135898369163161,,,,,,,,,,,,,,,,0.12743416292448748
554,k127_2253715,deep,164761,non-integron,L,"Replication, recombination and repair",0.3227906076635269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2511637458926612,,,,,,,,,,,,,,,,0.2555721288917701
564,k127_10619530,deep,195171,non-integron,C!!!R,Energy production and conversion!!!General function prediction only,,,,,,0.03381220751672703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010595642335234664,,,,,,,,,,,,,,,,,,,,,0.02572237193167136,
586,k127_5046457,deep,205632,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2051377656972905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05168026919138123,
591,k127_588246,deep,206441,integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,0.9944680394207176,,,,,,,,,,,,,,,,,,,,,,0.9403789877280608,,,,,0.3677630189293338,,,,,,,,,,,,,,,0.9127417000118788,,,,
592,k127_588246,deep,206442,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1496049896049942,,,,
599,k127_1707136,deep,211261,non-integron,K,Transcription,0.020807097053505585,0.05782112177776715,,,0.0659174574004211,0.11983988001669155,,0.05273918160930638,0.06773837496349659,,,,0.0712897657693611,0.040098409494980204,0.03873550514560193,,,0.04728801695661879,,0.07387739170131995,,,,,,0.04243201620736412,,,,,0.003807813093093273,,,,,0.07369570778181406,0.05272578202353695,0.0536086555042502,,,,0.0902532061477052,0.0852620707958486,,0.05039568723530263,,,0.03747037482964759,,0.06738410706971583,,,0.02145573058120576,,,,0.05820281208938606,0.028794201579109682
600,k127_1707136,deep,211262,integron,O,"Posttranslational modification, protein turnover, chaperones",0.020239576708976064,0.12479392271681734,,,0.04197590855549645,0.07034789577305113,,0.02934076293486765,0.1082238216759259,,,,0.003059434958869807,0.05283513863454666,0.014829071657523209,,,0.02378221150579866,,0.009986653109540949,,,,,0.010641925147010931,0.03314571738537471,,,,0.09706000335102533,0.008296698363678842,,,,,0.2410437332886273,0.02916554405354464,0.029753508284318508,,,,0.04962954729101315,0.042900096751190414,,0.019980049030969886,,,0.03201700409961461,,0.052916431042928674,,,,,,,0.03105124468429145,0.022825754661364803
608,k127_7834761,deep,211328,integron,,,,,,,0.2876252959975724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036326576880822505,,,,,,,,,,,,,,,,
610,k127_2820677,deep,214833,non-integron,M,Cell wall/membrane/envelope biogenesis,0.025519269850479573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058504880455723385,,,,,,,,,,,,,,,0.023842449914741343,0.07113318152886801
611,k127_2820677,deep,214834,non-integron,O,"Posttranslational modification, protein turnover, chaperones",0.1536247457328506,,,,0.1637822335823585,,,,,,,,,,,,,,,,,,,,,0.2279608964335763,,,,,,,,,,,,,,,,0.18764254557209076,,,,,,,,,,,,,,,,0.15576360911927262
