gene_caller_id,pnps,gene_category,contig,start,stop,direction,COG20_CATEGORY,COG20_CATEGORY (ACCESSION),COG20_PATHWAY,COG20_PATHWAY (ACCESSION),COG20_FUNCTION,COG20_FUNCTION (ACCESSION)
68625,0.58919666,protein_CALIN,k127_1683145,1846,2320,r,,,,,,
68626,0.348464744,protein_CALIN,k127_1683145,2391,2871,r,,,,,,
68627,0.39779118,protein_CALIN,k127_1683145,2948,3671,r,,,,,,
68628,0.988848748,protein_CALIN,k127_1683145,3755,4046,r,,,,,,
71735,0.184045438,protein_CALIN,k127_7256209,131,677,f,"Translation, ribosomal structure and biogenesis",J,,,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),COG0456
71736,0.738020456,protein_CALIN,k127_7256209,789,1368,f,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",J!!!O,,,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",COG1670
71737,0.42589369,protein_CALIN,k127_7256209,1519,1975,f,"Translation, ribosomal structure and biogenesis",J,,,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),COG0456
72480,0.157048993,protein_CALIN,k127_11714648,2048,3740,f,Function unknown,S,,,"Uncharacterized conserved protein YydD, contains DUF2326 domain (YydB)",COG5293
72481,0.226946156,protein_CALIN,k127_11714648,3835,4390,f,General function prediction only,R,,,"Acetyltransferase, isoleucine patch superfamily (WbbJ)",COG0110
75499,0.548512583,protein_CALIN,k127_7256696,570,1233,f,,,,,,
75500,0.301357941,protein_CALIN,k127_7256696,1972,2449,f,,,,,,
76512,,protein_CALIN,k127_10043565,2302,2503,f,,,,,,
76513,,protein_CALIN,k127_10043565,2650,3403,f,,,,,,
76514,0.130404404,protein_CALIN,k127_10043565,3524,3941,f,,,,,,
78973,1.138673491,protein_CALIN,k127_10601454,51,417,f,,,,,,
78974,1.020480513,protein_CALIN,k127_10601454,604,928,f,,,,,,
78975,1.024822841,protein_CALIN,k127_10601454,930,1137,f,,,,,,
78976,0.915920512,protein_CALIN,k127_10601454,1182,1623,f,,,,,,
78977,0.768117599,protein_CALIN,k127_10601454,1803,2190,f,General function prediction only,R,,,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)",COG3324
78978,0.541121028,protein_CALIN,k127_10601454,2899,3415,f,,,,,,
78994,1.567419392,protein_CALIN,k127_10601454,13603,14578,f,General function prediction only,R,,,"Uncharacterized conserved protein, contains caspase domain (PDB:3UO8)",COG4249
89970,2.362144996,protein_CALIN,k127_8372426,4449,4776,r,,,,,,
89971,1.585676812,protein_CALIN,k127_8372426,5071,5824,f,,,,,,
89972,0.416487624,protein_CALIN,k127_8372426,6016,6700,f,"Posttranslational modification, protein turnover, chaperones",O,,,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)",COG0265
89973,0.27609007,protein_CALIN,k127_8372426,6696,7155,f,,,,,,
89974,,protein_CALIN,k127_8372426,7080,7500,r,,,,,,
89975,0.552618018,protein_CALIN,k127_8372426,8201,8813,f,,,,,,
89976,0.572979246,protein_CALIN,k127_8372426,9197,9416,f,,,,,,
116159,7.428435439,protein_CALIN,k127_9490964,2638,2893,f,,,,,,
116160,0.04502861,protein_CALIN,k127_9490964,3067,3346,f,Lipid transport and metabolism,I,Fatty acid biosynthesis,COG1028,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",COG1028
124532,0.672423556,protein_CALIN,k127_11720583,151,1510,f,General function prediction only,R,,,"Predicted RNA-binding protein, contains EVE domain (EVE) (PDB:1ZCE) (PUBMED:32652237)",COG2947
124869,1.247796529,protein_CALIN,k127_2806579,122,488,r,,,,,,
124870,1.899305143,protein_CALIN,k127_2806579,575,1319,r,Transcription,K,,,"Mn-dependent transcriptional regulator MntR, DtxR family (MntR) (PDB:1B1B)",COG1321
124871,1.691669471,protein_CALIN,k127_2806579,1400,1796,r,,,,,,
171410,,intI_In0,k127_2254634,27284,28247,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
175816,,intI_complete,k127_6155562,322,1288,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
175817,0.48294815,protein_complete,k127_6155562,1587,2316,f,,,,,,
175818,0.506671181,protein_complete,k127_6155562,2275,2905,f,,,,,,
175819,1.248211414,protein_complete,k127_6155562,3015,3573,f,,,,,,
175820,2.418754207,protein_complete,k127_6155562,3706,4495,f,,,,,,
205628,1.015167397,protein_CALIN,k127_5046457,176,470,f,,,,,,
205629,1.410612281,protein_CALIN,k127_5046457,564,1122,f,Function unknown,S,,,Uncharacterized conserved protein (PDB:2LA3),COG3575
205630,1.1863485,protein_CALIN,k127_5046457,1260,1737,f,,,,,,
206437,0.14249407,protein_CALIN,k127_588246,139,403,f,,,,,,
206438,0.839419255,protein_CALIN,k127_588246,508,850,f,,,,,,
206439,,protein_CALIN,k127_588246,941,1502,f,,,,,,
206440,0.365577267,protein_CALIN,k127_588246,1602,1956,f,,,,,,
206441,0.103694402,CALIN_transposase,k127_588246,1955,2225,f,"Mobilome: prophages, transposons",X,,,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),COG1943
206444,0.372077676,protein_CALIN,k127_588246,3500,3608,f,,,,,,
206964,0.476338603,intI_In0,k127_7275394,1194,2535,f,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
215320,1.204621742,protein_CALIN,k127_4491287,3557,3983,f,,,,,,
215321,4.988978401,protein_CALIN,k127_4491287,4095,4743,f,,,,,,
216513,0.688312958,attC_CALIN,k127_7276493,1,85,r,,,,,,
216514,0.617574844,protein_CALIN,k127_7276493,171,669,r,,,,,,
216515,0.251396504,protein_CALIN,k127_7276493,793,1075,r,,,,,,
216516,0.828470953,protein_CALIN,k127_7276493,1189,1759,r,,,,,,
216517,0.789764608,protein_CALIN,k127_7276493,1869,2307,r,,,,,,
220758,0.531565266,protein_CALIN,k127_3934402,380,836,r,,,,,,
220759,0.153714681,protein_CALIN,k127_3934402,944,1193,r,,,,,,
220760,0.144106016,protein_CALIN,k127_3934402,1256,1778,r,,,,,,
232009,0.97243861,intI_complete,k127_12296839,442,1429,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
232010,0.486773981,protein_complete,k127_12296839,1758,2622,f,,,,,,
232011,0.590599968,protein_complete,k127_12296839,2696,3023,f,Function unknown,S,,,"Uncharacterized protein, contains DUF2185 domain",COG4859
232012,0.371942852,protein_complete,k127_12296839,3095,3794,f,,,,,,
237024,0,protein_CALIN,k127_3936885,4148,5177,f,,,,,,
237025,0.181972661,protein_CALIN,k127_3936885,5259,6135,f,"Replication, recombination and repair!!!Replication, recombination and repair",L!!!L,,,"NAD-dependent DNA ligase (Lig) (PDB:5TT5)!!!DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)",COG0272!!!COG0847
237026,0.17427809,protein_CALIN,k127_3936885,6251,7088,f,,,,,,
237027,0.440663472,protein_CALIN,k127_3936885,7129,7699,f,,,,,,
237028,0.235288734,protein_CALIN,k127_3936885,7804,8692,f,,,,,,
237029,0.513509095,protein_CALIN,k127_3936885,8759,9053,r,"Mobilome: prophages, transposons",X,,,Plasmid stabilization system protein ParE (ParE) (PDB:3KXE),COG3668
237030,0.373711089,protein_CALIN,k127_3936885,9052,9292,r,Transcription,K,,,"Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain (ParD) (PDB:3KXE)",COG3609
237031,0.139975754,protein_CALIN,k127_3936885,9430,10048,f,Function unknown,S,,,"Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif (YecA)",COG3318
248467,0.685113775,protein_CALIN,k127_11186554,11850,12090,r,,,,,,
248468,0.915959471,protein_CALIN,k127_11186554,12206,12719,r,,,,,,
248469,1.430678762,protein_CALIN,k127_11186554,12784,13561,r,,,,,,
258576,0.416795307,protein_CALIN,k127_37902,1689,2250,r,,,,,,
268645,3.83494875,intI_In0,k127_598411,907,1906,f,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
273224,0.395592716,intI_complete,k127_40341,825,1791,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
273225,0.740649192,protein_complete,k127_40341,2100,2538,f,,,,,,
273226,0.576612839,protein_complete,k127_40341,2631,2973,f,,,,,,
273227,0.22980615,protein_complete,k127_40341,3134,3803,f,Coenzyme transport and metabolism,H,,,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)",COG1011
273228,,protein_complete,k127_40341,3869,4364,f,,,,,,
273229,0.523693626,protein_complete,k127_40341,4382,4694,f,,,,,,
273616,,protein_CALIN,k127_11190558,335,656,f,,,,,,
273617,0.11544409,protein_CALIN,k127_11190558,912,1194,f,,,,,,
273618,0.063983696,protein_CALIN,k127_11190558,1258,1981,f,Defense mechanisms,V,,,"Predicted restriction endonuclease, HNH family (PDB:6GHC)",COG3183
273619,,protein_CALIN,k127_11190558,1941,2613,f,,,,,,
273620,0.062514897,protein_CALIN,k127_11190558,2680,3109,f,,,,,,
273621,0.349582801,protein_CALIN,k127_11190558,3205,3595,f,,,,,,
273622,0.105039729,protein_CALIN,k127_11190558,3689,3974,f,,,,,,
273623,0.271187213,protein_CALIN,k127_11190558,4037,4499,f,,,,,,
273624,,protein_CALIN,k127_11190558,4549,5101,f,,,,,,
273625,,protein_CALIN,k127_11190558,5178,5601,f,,,,,,
273626,,protein_CALIN,k127_11190558,5629,5959,f,,,,,,
273627,,protein_CALIN,k127_11190558,6176,6596,f,Lipid transport and metabolism,I,,,"Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain (YndB) (PDB:2KTE) (PUBMED:20818668)",COG3832
278618,0.185660981,protein_CALIN,k127_2271520,0,633,r,,,,,,
278619,0.409842449,protein_CALIN,k127_2271520,770,1469,r,,,,,,
278620,0.956004392,protein_CALIN,k127_2271520,1576,2005,r,,,,,,
289077,,protein_CALIN,k127_7846648,535,802,f,,,,,,
289078,0.109299141,protein_CALIN,k127_7846648,1502,1907,f,,,,,,
289079,,protein_CALIN,k127_7846648,2485,2767,f,,,,,,
289080,1.366299542,protein_CALIN,k127_7846648,2895,2991,f,,,,,,
290485,0.083225629,protein_CALIN,k127_7846773,1583,1928,f,Energy production and conversion,C,,,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",COG2764
290486,0.048399819,protein_CALIN,k127_7846773,2050,2539,f,,,,,,
290487,0.34363706,protein_CALIN,k127_7846773,2596,2944,f,,,,,,
290488,0.481000481,protein_CALIN,k127_7846773,3058,3463,f,,,,,,
308525,1.500526322,protein_CALIN,k127_3392110,0,234,r,,,,,,
308526,1.714591961,protein_CALIN,k127_3392110,313,658,r,,,,,,
308527,0.837905893,protein_CALIN,k127_3392110,1072,1561,r,,,,,,
308528,1.575060876,protein_CALIN,k127_3392110,1704,2244,r,,,,,,
308529,1.187366865,protein_CALIN,k127_3392110,2402,3059,r,,,,,,
308530,1.118451653,CALIN_transposase,k127_3392110,3392,4301,r,"Mobilome: prophages, transposons",X,,,Transposase InsO and inactivated derivatives (Tra5),COG2801
308531,0.87322526,CALIN_transposase,k127_3392110,4435,4936,r,"Mobilome: prophages, transposons",X,,,Transposase InsO and inactivated derivatives (Tra5),COG2801
308532,4.860609483,protein_CALIN,k127_3392110,5308,5761,r,,,,,,
308533,0.298176129,protein_CALIN,k127_3392110,5903,6578,r,"Intracellular trafficking, secretion, and vesicular transport",U,,,"Predicted double-glycine leader peptidase, C39-like (CLD) domain (C39G) (PUBMED:27279651)",COG3271
309553,0.224303825,protein_CALIN,k127_605627,1179,1494,f,Defense mechanisms,V,,,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)",COG3093
309554,0.378492403,protein_CALIN,k127_605627,1591,1870,f,,,,,,
309555,0.591399911,protein_CALIN,k127_605627,2058,3939,f,"Intracellular trafficking, secretion, and vesicular transport",U,,,"Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion (PAAR) (PDB:4JIV)",COG4104
309676,0.15925397,protein_CALIN,k127_605635,695,1247,f,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",J!!!O,,,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",COG1670
309677,0.781149371,protein_CALIN,k127_605635,1352,2048,f,Cell wall/membrane/envelope biogenesis,M,,,Amino acid racemase YgeA (RacX) (PDB:5ELL),COG1794
309678,1.436297858,protein_CALIN,k127_605635,2134,2452,f,Coenzyme transport and metabolism,H,,,Heme-degrading monooxygenase HmoA and related ABM domain proteins (HmoA) (PDB:1IUJ) (PUBMED:21873409),COG2329
309679,0.574011344,protein_CALIN,k127_605635,2556,3234,f,,,,,,
309680,0.043486542,protein_CALIN,k127_605635,3320,3764,f,Inorganic ion transport and metabolism,P,,,Putative copper export protein (PcoD),COG1276
309681,0.184367996,protein_CALIN,k127_605635,3838,4207,f,,,,,,
309682,0.86240798,protein_CALIN,k127_605635,4193,4700,f,,,,,,
309683,0.202966442,protein_CALIN,k127_605635,4843,5170,f,,,,,,
309684,0.290263938,protein_CALIN,k127_605635,5300,5651,f,,,,,,
310843,0.156934598,protein_CALIN,k127_8406890,538,916,f,,,,,,
310844,0.190499262,protein_CALIN,k127_8406890,1033,1846,f,,,,,,
310845,0.053993846,protein_CALIN,k127_8406890,1953,3015,f,,,,,,
310846,0.305239665,protein_CALIN,k127_8406890,3112,4219,f,,,,,,
310847,0.810167092,protein_CALIN,k127_8406890,4253,4670,f,,,,,,
314435,,protein_CALIN,k127_5063971,2,137,r,Defense mechanisms,V,,,Plasmid maintenance system killer protein (HigB),COG3549
314436,,protein_CALIN,k127_5063971,248,791,r,"Secondary metabolites biosynthesis, transport and catabolism",Q,,,"Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB) (DinB) (PDB:2QE9) (PUBMED:22059487;24821014)",COG2318
314437,0.414540885,protein_CALIN,k127_5063971,915,1320,r,General function prediction only,R,,,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)",COG3324
314438,0.37252738,protein_CALIN,k127_5063971,1380,1824,r,,,,,,
314444,,protein_CALIN,k127_5063971,4919,5786,f,Transcription,K,,,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",COG0583
316690,,protein_CALIN,k127_3949372,1565,1928,f,,,,,,
316691,,protein_CALIN,k127_3949372,2058,2343,f,,,,,,
316692,,protein_CALIN,k127_3949372,2474,2846,f,,,,,,
316693,1.401229578,protein_CALIN,k127_3949372,2927,3278,f,,,,,,
318169,0.259183942,protein_complete,k127_11198272,513,1086,r,,,,,,
318170,0.302040087,intI_complete,k127_11198272,1309,2155,f,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
321200,0.738573694,intI_In0,k127_5065127,3629,4622,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
323333,1.496772285,protein_CALIN,k127_608048,147,522,f,,,,,,
323334,0.904326402,protein_CALIN,k127_608048,603,906,f,,,,,,
323335,0.988624779,protein_CALIN,k127_608048,969,1383,r,Defense mechanisms,V,,,"Ribonuclease/mRNA interferase VapC, contains PIN domain (VapC) (PDB:3TND)",COG1487
323336,1.571829912,protein_CALIN,k127_608048,1379,1574,r,Transcription,K,,,Transcription regulator of the Arc/MetJ class (VapB6) (PDB:6A7V),COG5450
323337,0.811087154,protein_CALIN,k127_608048,1760,2054,f,Function unknown,S,,,"Uncharacterized conserved protein, DUF497 family (PDB:3U97)",COG2929
325003,,protein_CALIN,k127_9522767,2,416,r,,,,,,
325004,0.691557772,protein_CALIN,k127_9522767,537,864,r,"Translation, ribosomal structure and biogenesis",J,tRNA modification,COG0566,tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0),COG0566
325005,0.929959839,protein_CALIN,k127_9522767,824,1160,r,"Translation, ribosomal structure and biogenesis",J,tRNA modification,COG0566,tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0),COG0566
325006,0.137315408,protein_CALIN,k127_9522767,1258,1786,r,,,,,,
325007,,protein_CALIN,k127_9522767,2292,2571,r,,,,,,
325008,0.437168158,protein_CALIN,k127_9522767,2656,2965,r,,,,,,
327198,0.402770719,protein_CALIN,k127_10639280,237,903,r,,,,,,
327199,1.032669835,protein_CALIN,k127_10639280,983,1370,f,,,,,,
327200,,protein_CALIN,k127_10639280,1478,2390,r,,,,,,
327201,0.183203211,protein_CALIN,k127_10639280,2584,3544,r,,,,,,
327202,0.399362134,protein_CALIN,k127_10639280,3857,4625,f,,,,,,
327203,0.129304012,protein_CALIN,k127_10639280,5726,6002,f,,,,,,
327204,0.208261366,protein_CALIN,k127_10639280,5988,6348,f,,,,,,
327205,0.164654977,CALIN_transposase,k127_10639280,6694,7009,f,"Mobilome: prophages, transposons",X,,,Transposase,COG3293
344443,,protein_CALIN,k127_6182136,1051,1612,r,,,,,,
344444,0.785918485,protein_CALIN,k127_6182136,1695,2019,r,,,,,,
344445,,protein_CALIN,k127_6182136,2089,2824,r,,,,,,
349450,4.71864655,protein_CALIN,k127_5630341,196,601,r,Function unknown,S,,,Uncharacterized conserved protein (PDB:1X6M),COG3791
349451,0.865662622,protein_CALIN,k127_5630341,772,1504,r,Lipid transport and metabolism,I,Fatty acid biosynthesis,COG1028,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",COG1028
353028,0.882280964,protein_CALIN,k127_6740264,150,1677,r,,,,,,
353029,0.46821328,attC_CALIN,k127_6740264,1663,1897,r,,,,,,
353030,0.913698915,protein_CALIN,k127_6740264,1899,2232,r,,,,,,
353031,1.704057643,protein_CALIN,k127_6740264,2350,2863,r,,,,,,
355714,1.898364143,intI_In0,k127_4513982,2,893,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
355719,,protein_CALIN,k127_4513982,4492,5245,f,General function prediction only,R,,,"Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)",COG0702
355720,1.241809185,protein_CALIN,k127_4513982,5317,5965,f,Coenzyme transport and metabolism,H,Ubiquinone biosynthesis,COG2227,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)",COG2227
355721,1.156879867,protein_CALIN,k127_4513982,6079,6628,f,"Translation, ribosomal structure and biogenesis",J,tRNA modification,COG0220,tRNA G46 N7-methylase TrmB (TrmB) (PDB:1YZH) (PUBMED:19373903;16600901),COG0220
358321,1.049908732,protein_CALIN,k127_9528483,1147,1621,r,,,,,,
358322,0.533393694,protein_CALIN,k127_9528483,1758,2217,r,,,,,,
358323,0.078642394,protein_CALIN,k127_9528483,2242,3082,r,,,,,,
358324,,protein_CALIN,k127_9528483,3082,3598,r,,,,,,
358325,,protein_CALIN,k127_9528483,3690,4185,r,,,,,,
363025,0.349570487,protein_CALIN,k127_5071798,57,948,f,Defense mechanisms,V,,,Restriction endonuclease Mrr (Mrr),COG1715
363026,0.423353575,protein_CALIN,k127_5071798,1040,1457,f,"Translation, ribosomal structure and biogenesis",J,,,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),COG0456
363027,,protein_CALIN,k127_5071798,1643,2102,f,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",J!!!O,,,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",COG1670
363028,,protein_CALIN,k127_5071798,2178,2640,f,,,,,,
363029,0.158600729,protein_CALIN,k127_5071798,2747,3293,f,,,,,,
368179,0.253350424,protein_CALIN,k127_615949,1,148,r,,,,,,
368180,0.008548177,protein_CALIN,k127_615949,712,1141,r,,,,,,
368182,,protein_CALIN,k127_615949,2351,2426,r,,,,,,
403377,0.6739558,intI_complete,k127_6191095,53839,54790,r,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
403378,1.350159811,protein_complete,k127_6191095,55042,55747,f,,,,,,
403584,,protein_CALIN,k127_2292310,3007,3553,r,,,,,,
403585,0.360006187,protein_CALIN,k127_2292310,3924,4743,r,General function prediction only,R,,,Predicted nucleotide-binding protein containing TIR -like domain,COG4271
403586,,protein_CALIN,k127_2292310,4852,5428,r,,,,,,
403587,0.858944819,protein_CALIN,k127_2292310,5486,6311,r,,,,,,
407540,,protein_CALIN,k127_11213422,46,619,f,,,,,,
407541,0.695072779,protein_CALIN,k127_11213422,1150,1402,f,,,,,,
410130,0.099203687,protein_CALIN,k127_10097270,862,1213,f,General function prediction only,R,,,Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF),COG4319
410131,0.539349759,protein_CALIN,k127_10097270,1302,1920,f,,,,,,
417080,0.417177399,protein_CALIN,k127_6750408,1398,1908,f,,,,,,
417081,0.234989493,protein_CALIN,k127_6750408,1976,2363,f,,,,,,
417082,0.679272935,protein_CALIN,k127_6750408,2455,2785,f,,,,,,
422758,0.467552443,protein_CALIN,k127_12327933,136,838,f,,,,,,
422759,0.403236035,protein_CALIN,k127_12327933,934,1291,f,,,,,,
422760,0.373107557,protein_CALIN,k127_12327933,2331,2955,f,,,,,,
422761,0.482932725,protein_CALIN,k127_12327933,2966,3995,f,"Translation, ribosomal structure and biogenesis",J,,,"O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain (YmdB) (PDB:1HJZ)",COG2110
422762,0.447787691,protein_CALIN,k127_12327933,3985,4738,f,General function prediction only,R,,,Predicted nucleotidyltransferase MJ0435 (MJ0435) (PDB:1WOT),COG1669
428048,0.879442602,protein_CALIN,k127_8984185,2253,3768,r,Function unknown,S,,,"Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif (YecA)",COG3318
428049,,protein_CALIN,k127_8984185,4165,4522,r,,,,,,
428198,0.023949741,protein_CALIN,k127_4526016,2069,2255,r,,,,,,
428199,0.19788808,protein_CALIN,k127_4526016,2397,2820,f,,,,,,
428200,0.041165253,protein_CALIN,k127_4526016,2947,3619,f,,,,,,
443924,,intI_In0,k127_3972319,1577,2645,f,"Replication, recombination and repair",L,,,Site-specific recombinase XerD (XerD) (PDB:1A0P),COG4974
446180,0.553248787,protein_CALIN,k127_3416254,799,1336,r,General function prediction only,R,,,Predicted N-acetyltransferase YhbS (yhbS) (PDB:4ZBG),COG3153
446181,0.322243981,protein_CALIN,k127_3416254,1784,2099,r,,,,,,
455937,,protein_CALIN,k127_70938,3985,4471,f,,,,,,
455938,0.245881778,protein_CALIN,k127_70938,4570,4708,f,,,,,,
455939,0.258697727,protein_CALIN,k127_70938,4728,4956,f,,,,,,
455940,0.157553437,protein_CALIN,k127_70938,5049,5349,f,,,,,,
467584,0.398748044,protein_CALIN,k127_1188126,80,1187,r,Energy production and conversion!!!Amino acid transport and metabolism,C!!!E,TCA cycle,COG0473,Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9),COG0473
467586,0.744612297,protein_CALIN,k127_1188126,2745,3093,f,,,,,,
467587,0.588419117,protein_CALIN,k127_1188126,3219,3840,r,,,,,,
476983,0.880812514,CALIN_transposase,k127_12336270,1011,2268,r,"Mobilome: prophages, transposons",X,,,Transposase,COG3547
476984,0.658407712,protein_CALIN,k127_12336270,2414,3326,r,,,,,,
476985,0.043084009,protein_CALIN,k127_12336270,3608,4301,r,,,,,,
476986,,protein_CALIN,k127_12336270,4451,4964,r,General function prediction only,R,,,Predicted N-acetyltransferase YhbS (yhbS) (PDB:4ZBG),COG3153
480088,1.691159373,protein_CALIN,k127_1190413,0,357,f,,,,,,
480089,0.899726192,protein_CALIN,k127_1190413,515,1631,f,,,,,,
480090,,protein_CALIN,k127_1190413,1706,2105,f,,,,,,
480091,3.133338887,protein_CALIN,k127_1190413,2200,2644,f,,,,,,
