bin,depth,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,Percent Transposases,Percent Integrases,Highest Relative Abundance,complete genome size (Mbp),tara_station,size_fraction,biofilm_count,percent_biofilm
ARS-1034,DCM,90.29,5.21,55.56,44.86,82,"139,868","38,545","22,716",1.86,94.78,NCBI Assembly,NZDQ00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_D,null,Hug et al. phylogenetic marker set,ARS,1817,0,3,0,0.001651073,tara039_bact_dcm,2.060028796,tara039,bact,0,0
ARS-1036,MES,93.52,5.71,83.78,64.03,116,"98,031","31,600","24,530",2.85,92.34,NCBI Assembly,NZDO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,null,Hug et al. phylogenetic marker set,ARS,2790,3,12,0.001075269,0.004301075,tara038_girus_meso,3.047476476,tara038,girus,9,0.003225806
ARS-1037,MES,74.52,4.13,91.84,61.23,106,"140,298","39,485","26,015",2.76,91.06,NCBI Assembly,NZDN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,null,null,null,Hug et al. phylogenetic marker set,ARS,2539,11,2,0.004332414,0.000787712,tara038_girus_meso,3.703703704,tara038,girus,5,0.001969279
ARS-104,MES,71.69,1.03,0,36.23,322,"44,016","12,948","11,884",3.83,85.39,NCBI Assembly,NZDL00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null,CheckM,ARS,3283,9,9,0.002741395,0.002741395,tara037_prot_meso,5.342446645,tara037,prot,5,0.001522997
ARS-11,SRF,100,6.7,0,44.49,23,"661,953","429,745","125,079",2.88,91.65,NCBI Assembly,NZDE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,InsertiaSedis,null,null,null,16S rRNA - SILVA SSURef128,ARS,2730,4,14,0.001465201,0.005128205,tara039_girus_surface,2.88,tara039,girus,9,0.003296703
ARS-112,MES,91.38,8.62,100,52.38,31,"750,301","220,152","112,791",3.5,93.39,NCBI Assembly,NZDD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,null,null,Hug et al. phylogenetic marker set,ARS,3283,5,13,0.001522997,0.003959793,tara038_girus_meso,3.830159772,tara038,girus,19,0.00578739
ARS-1134,SRF,73.14,0.8,50,37.92,53,"139,335","41,522","25,623",1.36,95.56,NCBI Assembly,NZDA00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,novelFamily_G,null,null,Hug et al. phylogenetic marker set,ARS,1151,0,1,0,0.00086881,tara038_girus_surface,1.859447635,tara038,girus,0,0
ARS-115,MES,76.81,3.51,0,47.37,117,"117,185","29,090","21,080",2.47,92.75,NCBI Assembly,NZCZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,null,null,Hug et al. phylogenetic marker set,ARS,2239,9,10,0.004019652,0.00446628,tara038_prot_meso,3.215727119,tara038,prot,4,0.001786512
ARS-1168,MES,75.41,0,0,52.13,43,"108,631","36,887","27,850",1.2,87.26,NCBI Assembly,NZCW00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,novelFamily_A,null,null,Hug et al. phylogenetic marker set,ARS,1195,4,17,0.00334728,0.014225941,tara039_girus_meso,1.591300888,tara039,girus,0,0
ARS-117,MES,73.85,3.41,0,63.95,214,"44,309","16,496","13,759",2.94,93.35,NCBI Assembly,NZCV00000000,n.a.,n.a.,Archaea,Woesearchaeota,null,null,null,null,null,16S rRNA - SILVA SSURef128,ARS,2370,0,1,0,0.000421941,tara038_prot_meso,3.981042654,tara038,prot,1,0.000421941
ARS-1176,MES,78.5,1.87,0,27.63,32,"224,511","37,593","30,062",0.96,94,NCBI Assembly,NZCT00000000,n.a.,n.a.,Archaea,null,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,1184,0,18,0,0.015202703,tara039_girus_meso,1.222929936,tara039,girus,0,0
ARS-1199,MES,86.21,0,0,36.77,15,"160,722","95,926","60,831",0.91,92.52,NCBI Assembly,NZCN00000000,n.a.,n.a.,Archaea,Woesearchaeota,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,1035,0,9,0,0.008695652,tara037_girus_meso,1.055562,tara037,girus,1,0.000966184
ARS-120,MES,89.55,8.73,5,65.41,207,"153,029","43,865","30,134",6.24,88.83,NCBI Assembly,NZCL00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,null,null,null,null,Hug et al. phylogenetic marker set,ARS,5420,7,8,0.001291513,0.001476015,tara038_prot_meso,6.968174204,tara038,prot,7,0.001291513
ARS-1203,MES,74.3,0.93,0,34.2,32,"209,954","50,548","33,446",1.07,90.6,NCBI Assembly,NZCK00000000,n.a.,n.a.,Archaea,null,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,1050,1,3,0.000952381,0.002857143,tara037_girus_meso,1.440107672,tara037,girus,0,0
ARS-1215,MES,74.67,2.14,0,68.62,26,"113,169","70,792","55,651",1.45,93.9,NCBI Assembly,NZCI00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,null,Hug et al. phylogenetic marker set,ARS,1389,0,1,0,0.000719942,tara039_bact_meso,1.941877595,tara039,bact,0,0
ARS-123,DCM,77.69,2.56,33.33,56.28,127,"55,964","17,964","14,652",1.86,94.58,NCBI Assembly,NZCG00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,null,null,null,null,CheckM,ARS,1879,0,4,0,0.002128792,tara039_bact_dcm,2.394130519,tara039,bact,0,0
ARS-125,MES,74.24,2.25,0,41.56,71,"72,527","15,045","14,809",1.05,88.04,NCBI Assembly,NZCD00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,987,0,0,0,0,tara039_bact_meso,1.414331897,tara039,bact,0,0
ARS-1279,MES,79.43,3.24,0,53.12,84,"106,947","41,005","31,023",2.61,90.59,NCBI Assembly,NZCC00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,null,null,null,Hug et al. phylogenetic marker set,ARS,2426,8,2,0.003297609,0.000824402,tara038_prot_meso,3.285912124,tara038,prot,4,0.001648805
ARS-1297,MES,71.61,0.87,0,44.77,5,"575,191","271,703","264,685",1.32,93.35,NCBI Assembly,NZBY00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,null,Micavibrio,null,Hug et al. phylogenetic marker set,ARS,1285,0,2,0,0.00155642,tara039_girus_meso,1.843317972,tara039,girus,3,0.00233463
ARS-13,SRF,97.32,4.46,60,37.74,63,"249,883","93,829","60,201",3.79,88.28,NCBI Assembly,NZBW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,null,null,Hug et al. phylogenetic marker set,ARS,3409,8,4,0.002346729,0.001173365,tara039_girus_surface,3.894369092,tara039,girus,2,0.000586682
ARS-1307,MES,74.69,0.93,0,41.28,12,"149,539","90,796","62,097",0.75,93.13,NCBI Assembly,NZBU00000000,n.a.,n.a.,Archaea,Diapherotrites,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,794,0,8,0,0.010075567,tara037_girus_meso,1.004150489,tara037,girus,0,0
ARS-1330,MES,85.48,0.99,100,48.36,46,"150,583","46,014","28,916",1.33,89.1,NCBI Assembly,NZBQ00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,novelFamily_A,null,null,Hug et al. phylogenetic marker set,ARS,1348,0,1,0,0.00074184,tara039_bact_meso,1.555919513,tara039,bact,0,0
ARS-1358,MES,89.72,1.87,100,41,11,"173,317","79,789","60,594",0.67,94.29,NCBI Assembly,NZBN00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,750,1,3,0.001333333,0.004,tara037_girus_meso,0.746767722,tara037,girus,0,0
ARS-1360,MES,84.77,0,0,40.97,18,"80,235","52,728","32,861",0.59,88.79,NCBI Assembly,NZBM00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,610,2,24,0.003278689,0.039344262,tara037_girus_meso,0.696000944,tara037,girus,0,0
ARS-1386,MES,72.31,1.12,0,39.21,23,"101,874","45,093","31,966",0.74,91.45,NCBI Assembly,NZBL00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,749,0,0,0,0,tara037_girus_meso,1.023371595,tara037,girus,0,0
ARS-14,MES,73.14,1.79,0,37.89,227,"44,508","16,182","13,899",3.16,92.59,NCBI Assembly,NZBJ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Halobacteriovoraceae,null,null,Hug et al. phylogenetic marker set,ARS,2815,7,3,0.002486679,0.001065719,tara038_girus_meso,4.320481269,tara038,girus,2,0.00071048
ARS-1414,MES,73.36,1.87,0,28.4,58,"41,636","15,001","14,122",0.82,94.37,NCBI Assembly,NZBH00000000,n.a.,n.a.,Archaea,null,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,964,0,0,0,0,tara037_girus_meso,1.117775354,tara037,girus,1,0.001037344
ARS-1419,MES,72.04,0.93,0,38.27,39,"93,088","28,579","23,729",0.93,92.01,NCBI Assembly,NZBG00000000,n.a.,n.a.,Archaea,Woesearchaeota,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,995,2,9,0.00201005,0.009045226,tara037_girus_meso,1.290949473,tara037,girus,0,0
ARS-1426,MES,90.6,1.28,0,65.29,38,"174,588","78,225","48,658",1.85,93.55,NCBI Assembly,NZBE00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,null,Hug et al. phylogenetic marker set,ARS,1793,0,2,0,0.001115449,tara039_bact_meso,2.041942605,tara039,bact,1,0.000557724
ARS-1427,MES,72.43,0,0,35.34,18,"119,174","49,485","30,661",0.55,93.06,NCBI Assembly,NZBD00000000,n.a.,n.a.,Archaea,Diapherotrites,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,616,1,11,0.001623377,0.017857143,tara037_girus_meso,0.759353859,tara037,girus,0,0
ARS-1434,MES,75.31,0,0,67.05,288,"74,926","27,159","20,216",5.82,92.48,NCBI Assembly,NZBC00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,null,null,null,null,Hug et al. phylogenetic marker set,ARS,4561,6,1,0.001315501,0.00021925,tara038_prot_meso,7.728057363,tara038,prot,1,0.00021925
ARS-1441,MES,77.57,0,0,30.16,51,"59,950","17,470","16,818",0.86,93.67,NCBI Assembly,NZBB00000000,n.a.,n.a.,Archaea,Woesearchaeota,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,898,1,2,0.001113586,0.002227171,tara039_bact_meso,1.108676035,tara039,bact,0,0
ARS-15,MES,97.85,2.69,0,68.35,135,"459,954","97,315","37,569",5.07,90.91,NCBI Assembly,NZBA00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,null,null,null,null,Hug et al. phylogenetic marker set,ARS,3836,18,1,0.004692388,0.000260688,tara038_prot_meso,5.181400102,tara038,prot,1,0.000260688
ARS-16,MES,94.61,3.14,31.25,58.35,167,"122,166","28,407","18,921",3.16,89,NCBI Assembly,NZAZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,null,null,Alternative phylogenetic marker set,ARS,2867,2,1,0.000697593,0.000348797,tara039_bact_meso,3.340027481,tara039,bact,6,0.00209278
ARS-17,MES,95.73,6.25,0,63.7,159,"225,202","88,603","29,661",4.72,92.06,NCBI Assembly,NZAY00000000,n.a.,n.a.,Bacteria,Acidobacteria,null,null,novelFamily_A,null,null,Hug et al. phylogenetic marker set,ARS,4072,6,13,0.001473477,0.003192534,tara039_bact_meso,4.930533793,tara039,bact,3,0.000736739
ARS-18,MES,83.13,4.89,63.64,39.68,196,"149,187","25,817","18,935",3.71,91.5,figshare,not applicable,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cytophagaceae,Leeuwenhoekiella,null,Hug et al. phylogenetic marker set,ARS,3280,6,10,0.001829268,0.00304878,tara039_girus_meso,4.46288945,tara039,girus,5,0.00152439
ARS-24,MES,89.41,4.98,76.92,65.05,139,"69,620","22,174","17,794",2.47,91.91,NCBI Assembly,NZAR00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,null,Hug et al. phylogenetic marker set,ARS,2424,4,10,0.001650165,0.004125413,tara038_prot_meso,2.762554524,tara038,prot,6,0.002475248
ARS-27,MES,86.43,3.84,38.46,59.77,96,"45,852","19,558","16,357",1.57,90.63,NCBI Assembly,NZAO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,null,null,Hug et al. phylogenetic marker set,ARS,1511,1,3,0.000661813,0.00198544,tara039_bact_meso,1.816498901,tara039,bact,6,0.00397088
ARS-28,DCM,81.25,1.2,0,40.42,253,"100,905","22,168","17,415",4.41,86.39,figshare,not applicable,n.a.,n.a.,Bacteria,Poribacteria,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,3470,1,5,0.000288184,0.001440922,tara038_prot_dcm,5.427692308,tara038,prot,1,0.000288184
ARS-29,MES,95.73,7.32,92.31,50.87,57,"277,912","62,528","39,763",2.27,90.18,NCBI Assembly,NZAN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,null,null,Hug et al. phylogenetic marker set,ARS,2149,0,9,0,0.004187994,tara039_bact_meso,2.371252481,tara039,bact,5,0.002326664
ARS-3,MES,97.95,3.32,93.75,63.76,51,"602,247","353,444","88,219",4.5,90.8,NCBI Assembly,NZAM00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,null,Hug et al. phylogenetic marker set,ARS,4237,20,8,0.004720321,0.001888128,tara038_girus_meso,4.594180704,tara038,girus,11,0.002596177
ARS-30,DCM,81.99,1.35,0,62.39,114,"103,750","19,780","16,163",1.84,94.18,NCBI Assembly,NZAL00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,novelFamily_A,null,null,Hug et al. phylogenetic marker set,ARS,1892,0,18,0,0.009513742,tara039_bact_dcm,2.244176119,tara039,bact,1,0.000528541
ARS-31,MES,85.24,4.13,77.78,60.19,181,"98,489","31,855","23,678",4.29,89.61,NCBI Assembly,NZAK00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,null,null,Hug et al. phylogenetic marker set,ARS,3844,12,18,0.003121748,0.004682622,tara038_prot_meso,5.032848428,tara038,prot,5,0.001300728
ARS-33,MES,84.35,1.32,25,43.56,94,"85,877","27,617","20,965",1.97,91.9,NCBI Assembly,NZAJ00000000,TARA_ION_MAG_00001,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,null,Micavibrio,null,Hug et al. phylogenetic marker set,ARS,1944,2,2,0.001028807,0.001028807,tara039_girus_meso,2.335506817,tara039,girus,5,0.002572016
ARS-34,MES,88.12,2.97,0,60.89,124,"141,074","39,269","28,027",3.48,85.38,NCBI Assembly,NZAI00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null,Hug et al. phylogenetic marker set,ARS,3169,13,9,0.00410224,0.002840013,tara037_girus_meso,3.949160236,tara037,girus,9,0.002840013
ARS-38,MES,98.28,6.9,13.33,61.97,79,"543,224","190,325","78,128",6.17,87.9,NCBI Assembly,NZAE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,null,Alternative phylogenetic marker set,ARS,5473,11,4,0.002009867,0.000730861,tara038_girus_meso,6.277981278,tara038,girus,19,0.003471588
ARS-4,MES,94.96,3.36,100,44.34,13,"802,501","278,926","138,029",1.79,89.96,NCBI Assembly,NZAD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,null,null,null,Hug et al. phylogenetic marker set,ARS,1790,2,6,0.001117318,0.003351955,tara038_girus_meso,1.885004212,tara038,girus,5,0.002793296
ARS-40,SRF,97.79,0.68,0,54.52,73,"240,994","86,692","54,105",3.95,92.59,NCBI Assembly,NZAC00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,null,Roseibacillus,null,Hug et al. phylogenetic marker set,ARS,3054,0,0,0,0,tara038_prot_surface,4.039267819,tara038,prot,2,0.000654879
ARS-42,DCM,90.6,2.56,25,52.82,72,"461,318","68,408","32,566",2.34,94.23,NCBI Assembly,NZAA00000000,"TARA_IOS_MAG_00046, TARA_ION_MAG_00055, TARA_PSW_MAG_00066",n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,null,Hug et al. phylogenetic marker set,ARS,2309,0,11,0,0.004763967,tara039_bact_dcm,2.582781457,tara039,bact,0,0
ARS-45,MES,78.52,0.89,0,47.99,204,"60,308","15,490","14,191",2.9,92.67,NCBI Assembly,NYZX00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,null,null,Hug et al. phylogenetic marker set,ARS,2689,5,2,0.001859427,0.000743771,tara039_girus_meso,3.693326541,tara039,girus,2,0.000743771
ARS-46,MES,82.32,4.27,12.5,57.98,77,"192,931","57,626","36,324",2.8,91.87,NCBI Assembly,NYZW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,null,null,Hug et al. phylogenetic marker set,ARS,2657,8,2,0.003010915,0.000752729,tara038_prot_meso,3.401360544,tara038,prot,2,0.000752729
ARS-49,MES,72.66,0,0,49.67,55,"75,051","27,688","19,772",1.09,94.52,NCBI Assembly,NYZT00000000,n.a.,n.a.,Archaea,Woesearchaeota,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,1298,2,4,0.001540832,0.003081664,tara037_girus_meso,1.500137627,tara037,girus,0,0
ARS-5,MES,88.73,2.37,7.14,63.47,325,"112,202","21,974","17,255",5.61,88.96,NCBI Assembly,NYZS00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,null,Hug et al. phylogenetic marker set,ARS,5078,24,1,0.00472627,0.000196928,tara038_prot_meso,6.322551561,tara038,prot,5,0.00098464
ARS-51,MES,98.81,7.14,0,40.02,203,"410,668","115,470","37,666",7.65,93.4,NCBI Assembly,NYZQ00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,novelGenus_F,null,Hug et al. phylogenetic marker set,ARS,6986,7,2,0.001002004,0.000286287,tara037_girus_meso,7.742131363,tara037,girus,18,0.002576582
ARS-52,MES,71.78,0.42,0,36.69,35,"224,421","70,345","31,889",1.12,88.93,NCBI Assembly,NYZP00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,1091,2,23,0.001833181,0.021081577,tara037_girus_meso,1.56032321,tara037,girus,0,0
ARS-59,SRF,94.86,4.35,90,64.07,77,"122,024","51,399","33,214",2.56,90.16,NCBI Assembly,NYZJ00000000,TARA_ION_MAG_00026,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,null,Geminicoccus,null,Hug et al. phylogenetic marker set,ARS,2297,0,14,0,0.006094906,tara036_bact_surface,2.698713894,tara036,bact,4,0.001741402
ARS-60,SRF,82.8,1.6,0,46.3,73,"88,845","43,180","30,160",2.2,94.56,NCBI Assembly,NYZH00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,novelFamily_C,null,null,Hug et al. phylogenetic marker set,ARS,1781,0,2,0,0.001122965,tara038_girus_surface,2.657004831,tara038,girus,0,0
ARS-61,MES,83.27,2.35,0,66.58,457,"42,544","12,287","11,683",5.34,90.54,NCBI Assembly,NYZG00000000,n.a.,n.a.,Bacteria,Poribacteria,null,null,null,null,null,Hug et al. phylogenetic marker set,ARS,4464,12,6,0.002688172,0.001344086,tara038_prot_meso,6.412873784,tara038,prot,4,0.000896057
ARS-62,MES,82.04,2.29,0,63.81,223,"51,700","16,359","14,224",3.17,90.53,NCBI Assembly,NYZF00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,null,Hug et al. phylogenetic marker set,ARS,2958,21,17,0.007099391,0.005747126,tara038_prot_meso,3.863968796,tara038,prot,8,0.00270453
ARS-63,MES,89.08,3.41,0,65.06,167,"101,137","29,334","21,400",3.57,93.19,NCBI Assembly,NYZE00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,null,null,null,null,Hug et al. phylogenetic marker set,ARS,2982,6,6,0.002012072,0.002012072,tara038_prot_meso,4.007633588,tara038,prot,1,0.000335345
ARS-65,MES,80.68,0.57,0,66.53,446,"108,019","20,605","17,496",7.8,90.5,NCBI Assembly,NYZC00000000,n.a.,n.a.,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,novelGenus_B,null,Hug et al. phylogenetic marker set,ARS,5753,6,9,0.001042934,0.001564401,tara038_prot_meso,9.6678235,tara038,prot,4,0.000695289
ARS-66,MES,85.68,4.52,12.5,69.77,279,"72,406","21,544","17,496",4.88,92.1,NCBI Assembly,NYZB00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,null,null,null,null,Hug et al. phylogenetic marker set,ARS,4502,8,7,0.001776988,0.001554865,tara038_prot_meso,5.695611578,tara038,prot,4,0.000888494
ARS-67,MES,89.56,2.4,0,63.44,270,"81,642","17,800","15,846",4.28,91.7,NCBI Assembly,NYZA00000000,n.a.,n.a.,Bacteria,Gemmatimonadetes,Gemmatimonadetes,null,null,null,null,Hug et al. phylogenetic marker set,ARS,3630,8,11,0.002203857,0.003030303,tara038_prot_meso,4.77891916,tara038,prot,2,0.000550964
ARS-68,MES,88.71,1.08,0,60.86,53,"282,561","109,679","53,251",2.82,93.05,NCBI Assembly,NYYZ00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,null,null,null,null,Hug et al. phylogenetic marker set,ARS,2266,0,2,0,0.000882613,tara038_prot_meso,3.178897531,tara038,prot,1,0.000441306
