bin,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,percent_trans,Highest Relative Abundance,complete genome size (Mbp),tara_station,biofilm_count,percent_biofilm,defense_count,percent_defense,prot,prot_normalized,bact,bact_over_prot
ARS-1034,90.29,5.21,55.56,44.86,82,"139,868","38,545","22,716",1.86,94.78,NCBI Assembly,NZDQ00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_D,,Hug et al. phylogenetic marker set,ARS,1817,0,3,0,tara039_bact_dcm,2.060028796,tara039,0,0,50,2.7517887,0.563349299,12.68350267,35.42607689,12.68350267
ARS-1036,93.52,5.71,83.78,64.03,116,"98,031","31,600","24,530",2.85,92.34,NCBI Assembly,NZDO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,,Hug et al. phylogenetic marker set,ARS,2790,3,12,0.1075269,tara038_girus_meso,3.047476476,tara038,9,0.3225806,62,2.2222222,2.764722579,0.30761265,4.2165946,0.30761265
ARS-1037,74.52,4.13,91.84,61.23,106,"140,298","39,485","26,015",2.76,91.06,NCBI Assembly,NZDN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,,,Hug et al. phylogenetic marker set,ARS,2539,11,2,0.4332414,tara038_girus_meso,3.703703704,tara038,5,0.1969279,60,2.3631351,7.486036337,0.225732337,8.3782209,0.225732337
ARS-104,71.69,1.03,0,36.23,322,"44,016","12,948","11,884",3.83,85.39,NCBI Assembly,NZDL00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,,,CheckM,ARS,3283,9,9,0.2741395,tara037_prot_meso,5.342446645,tara037,5,0.1522997,97,2.9546147,66.66013767,0.051780409,17.11345826,0.051780409
ARS-11,100,6.7,0,44.49,23,"661,953","429,745","125,079",2.88,91.65,NCBI Assembly,NZDE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,InsertiaSedis,,,,16S rRNA - SILVA SSURef128,ARS,2730,4,14,0.1465201,tara039_girus_surface,2.88,tara039,9,0.3296703,63,2.3076923,0.54277659,0.645473404,1.73702296,0.645473404
ARS-112,91.38,8.62,100,52.38,31,"750,301","220,152","112,791",3.5,93.39,NCBI Assembly,NZDD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,,,Hug et al. phylogenetic marker set,ARS,3283,5,13,0.1522997,tara038_girus_meso,3.830159772,tara038,19,0.578739,72,2.1931161,0.519875493,0.65549934,1.689575884,0.65549934
ARS-1134,73.14,0.8,50,37.92,53,"139,335","41,522","25,623",1.36,95.56,NCBI Assembly,NZDA00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_G,,,Hug et al. phylogenetic marker set,ARS,1151,0,1,0,tara038_girus_surface,1.859447635,tara038,0,0,14,1.2163336,0.418832902,8.933433953,18.55091434,8.933433953
ARS-115,76.81,3.51,0,47.37,117,"117,185","29,090","21,080",2.47,92.75,NCBI Assembly,NZCZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,,,Hug et al. phylogenetic marker set,ARS,2239,9,10,0.4019652,tara038_prot_meso,3.215727119,tara038,4,0.1786512,54,2.411791,1.696529726,0.278405134,2.34177309,0.278405134
ARS-1168,75.41,0,0,52.13,43,"108,631","36,887","27,850",1.2,87.26,NCBI Assembly,NZCW00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,1195,4,17,0.334728,tara039_girus_meso,1.591300888,tara039,0,0,16,1.3389121,0.550432838,0.208225219,0.568255647,0.208225219
ARS-117,73.85,3.41,0,63.95,214,"44,309","16,496","13,759",2.94,93.35,NCBI Assembly,NZCV00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,16S rRNA - SILVA SSURef128,ARS,2370,0,1,0,tara038_prot_meso,3.981042654,tara038,1,0.0421941,46,1.9409283,1.711852442,0.013485159,0.114453346,0.013485159
ARS-1176,78.5,1.87,0,27.63,32,"224,511","37,593","30,062",0.96,94,NCBI Assembly,NZCT00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,1184,0,18,0,tara039_girus_meso,1.222929936,tara039,0,0,22,1.8581081,0.003421623,4.728515719,0.080216386,4.728515719
ARS-1199,86.21,0,0,36.77,15,"160,722","95,926","60,831",0.91,92.52,NCBI Assembly,NZCN00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,1035,0,9,0,tara037_girus_meso,1.055562,tara037,1,0.0966184,21,2.0289855,0.01441848,2.145238599,0.153356144,2.145238599
ARS-120,89.55,8.73,5,65.41,207,"153,029","43,865","30,134",6.24,88.83,NCBI Assembly,NZCL00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,Hug et al. phylogenetic marker set,ARS,5420,7,8,0.1291513,tara038_prot_meso,6.968174204,tara038,7,0.1291513,136,2.5092251,0.601712717,0.026091334,0.077837982,0.026091334
ARS-1203,74.3,0.93,0,34.2,32,"209,954","50,548","33,446",1.07,90.6,NCBI Assembly,NZCK00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,1050,1,3,0.0952381,tara037_girus_meso,1.440107672,tara037,0,0,14,1.3333333,0.035599226,0.873039469,0.154092156,0.873039469
ARS-1215,74.67,2.14,0,68.62,26,"113,169","70,792","55,651",1.45,93.9,NCBI Assembly,NZCI00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,ARS,1389,0,1,0,tara039_bact_meso,1.941877595,tara039,0,0,22,1.5838733,2.650643904,1.518931964,19.96162104,1.518931964
ARS-123,77.69,2.56,33.33,56.28,127,"55,964","17,964","14,652",1.86,94.58,NCBI Assembly,NZCG00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,,,,,CheckM,ARS,1879,0,4,0,tara039_bact_dcm,2.394130519,tara039,0,0,41,2.1820117,0.127079583,7.467667255,4.705078109,7.467667255
ARS-125,74.24,2.25,0,41.56,71,"72,527","15,045","14,809",1.05,88.04,NCBI Assembly,NZCD00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,987,0,0,0,tara039_bact_meso,1.414331897,tara039,0,0,13,1.3171226,0.049327743,2.174951044,0.531920623,2.174951044
ARS-1279,79.43,3.24,0,53.12,84,"106,947","41,005","31,023",2.61,90.59,NCBI Assembly,NZCC00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,,Hug et al. phylogenetic marker set,ARS,2426,8,2,0.3297609,tara038_prot_meso,3.285912124,tara038,4,0.1648805,52,2.143446,0.639189029,0.009507096,0.030128902,0.009507096
ARS-1297,71.61,0.87,0,44.77,5,"575,191","271,703","264,685",1.32,93.35,NCBI Assembly,NZBY00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Micavibrio,,Hug et al. phylogenetic marker set,ARS,1285,0,2,0,tara039_girus_meso,1.843317972,tara039,3,0.233463,25,1.9455253,0.188780634,2.281858193,2.135758728,2.281858193
ARS-13,97.32,4.46,60,37.74,63,"249,883","93,829","60,201",3.79,88.28,NCBI Assembly,NZBW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,,,Hug et al. phylogenetic marker set,ARS,3409,8,4,0.2346729,tara039_girus_surface,3.894369092,tara039,2,0.0586682,48,1.4080375,0.369163387,1.032527738,1.889846138,1.032527738
ARS-1307,74.69,0.93,0,41.28,12,"149,539","90,796","62,097",0.75,93.13,NCBI Assembly,NZBU00000000,n.a.,n.a.,Archaea,Diapherotrites,,,,,,Hug et al. phylogenetic marker set,ARS,794,0,8,0,tara037_girus_meso,1.004150489,tara037,0,0,9,1.1335013,0.016890604,0.036745835,0.003077226,0.036745835
ARS-1330,85.48,0.99,100,48.36,46,"150,583","46,014","28,916",1.33,89.1,NCBI Assembly,NZBQ00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,1348,0,1,0,tara039_bact_meso,1.555919513,tara039,0,0,22,1.6320475,0.351840165,0.311771707,0.543861373,0.311771707
ARS-1358,89.72,1.87,100,41,11,"173,317","79,789","60,594",0.67,94.29,NCBI Assembly,NZBN00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,750,1,3,0.1333333,tara037_girus_meso,0.746767722,tara037,0,0,5,0.6666667,0.061990408,0.593767652,0.182493385,0.593767652
ARS-1360,84.77,0,0,40.97,18,"80,235","52,728","32,861",0.59,88.79,NCBI Assembly,NZBM00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,610,2,24,0.3278689,tara037_girus_meso,0.696000944,tara037,0,0,2,0.3278689,0.041561728,1.025509795,0.211319467,1.025509795
ARS-1386,72.31,1.12,0,39.21,23,"101,874","45,093","31,966",0.74,91.45,NCBI Assembly,NZBL00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,749,0,0,0,tara037_girus_meso,1.023371595,tara037,0,0,15,2.0026702,0.059159026,2.970281991,0.871213899,2.970281991
ARS-14,73.14,1.79,0,37.89,227,"44,508","16,182","13,899",3.16,92.59,NCBI Assembly,NZBJ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Halobacteriovoraceae,,,Hug et al. phylogenetic marker set,ARS,2815,7,3,0.2486679,tara038_girus_meso,4.320481269,tara038,2,0.071048,40,1.4209591,0.02522218,4.546163095,0.56850427,4.546163095
ARS-1414,73.36,1.87,0,28.4,58,"41,636","15,001","14,122",0.82,94.37,NCBI Assembly,NZBH00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,964,0,0,0,tara037_girus_meso,1.117775354,tara037,1,0.1037344,6,0.6224066,0.236627506,0.109127044,0.128027633,0.109127044
ARS-1419,72.04,0.93,0,38.27,39,"93,088","28,579","23,729",0.93,92.01,NCBI Assembly,NZBG00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,995,2,9,0.201005,tara037_girus_meso,1.290949473,tara037,0,0,8,0.8040201,0.014238496,2.689110717,0.189836142,2.689110717
ARS-1426,90.6,1.28,0,65.29,38,"174,588","78,225","48,658",1.85,93.55,NCBI Assembly,NZBE00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,ARS,1793,0,2,0,tara039_bact_meso,2.041942605,tara039,1,0.0557724,35,1.9520357,2.891410968,1.191019399,17.07397957,1.191019399
ARS-1427,72.43,0,0,35.34,18,"119,174","49,485","30,661",0.55,93.06,NCBI Assembly,NZBD00000000,n.a.,n.a.,Archaea,Diapherotrites,,,,,,Hug et al. phylogenetic marker set,ARS,616,1,11,0.1623377,tara037_girus_meso,0.759353859,tara037,0,0,3,0.487013,0.010922902,0.315993395,0.017112842,0.315993395
ARS-1434,75.31,0,0,67.05,288,"74,926","27,159","20,216",5.82,92.48,NCBI Assembly,NZBC00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,,,,,Hug et al. phylogenetic marker set,ARS,4561,6,1,0.1315501,tara038_prot_meso,7.728057363,tara038,1,0.021925,75,1.6443762,0.642899934,0.019882396,0.063375032,0.019882396
ARS-1441,77.57,0,0,30.16,51,"59,950","17,470","16,818",0.86,93.67,NCBI Assembly,NZBB00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,898,1,2,0.1113586,tara039_bact_meso,1.108676035,tara039,0,0,15,1.6703786,0.03634149,2.688640353,0.484441723,2.688640353
ARS-15,97.85,2.69,0,68.35,135,"459,954","97,315","37,569",5.07,90.91,NCBI Assembly,NZBA00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,,,,,Hug et al. phylogenetic marker set,ARS,3836,18,1,0.4692388,tara038_prot_meso,5.181400102,tara038,1,0.0260688,71,1.8508863,1.544613576,0.01424649,0.109102276,0.01424649
ARS-16,94.61,3.14,31.25,58.35,167,"122,166","28,407","18,921",3.16,89,NCBI Assembly,NZAZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Alternative phylogenetic marker set,ARS,2867,2,1,0.0697593,tara039_bact_meso,3.340027481,tara039,6,0.209278,50,1.7439833,0.640900367,1.234671025,3.923267086,1.234671025
ARS-17,95.73,6.25,0,63.7,159,"225,202","88,603","29,661",4.72,92.06,NCBI Assembly,NZAY00000000,n.a.,n.a.,Bacteria,Acidobacteria,,,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,4072,6,13,0.1473477,tara039_bact_meso,4.930533793,tara039,3,0.0736739,126,3.0943026,0.261035062,1.524087137,1.972489687,1.524087137
ARS-24,89.41,4.98,76.92,65.05,139,"69,620","22,174","17,794",2.47,91.91,NCBI Assembly,NZAR00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,,Hug et al. phylogenetic marker set,ARS,2424,4,10,0.1650165,tara038_prot_meso,2.762554524,tara038,6,0.2475248,65,2.6815182,5.966855033,0.294023048,8.698271508,0.294023048
ARS-27,86.43,3.84,38.46,59.77,96,"45,852","19,558","16,357",1.57,90.63,NCBI Assembly,NZAO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,ARS,1511,1,3,0.0661813,tara039_bact_meso,1.816498901,tara039,6,0.397088,23,1.5221707,1.792045899,0.894166302,7.944627253,0.894166302
ARS-29,95.73,7.32,92.31,50.87,57,"277,912","62,528","39,763",2.27,90.18,NCBI Assembly,NZAN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,,Hug et al. phylogenetic marker set,ARS,2149,0,9,0,tara039_bact_meso,2.371252481,tara039,5,0.2326664,36,1.6751978,1.697628813,1.68172534,14.15480543,1.68172534
ARS-3,97.95,3.32,93.75,63.76,51,"602,247","353,444","88,219",4.5,90.8,NCBI Assembly,NZAM00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,,Hug et al. phylogenetic marker set,ARS,4237,20,8,0.4720321,tara038_girus_meso,4.594180704,tara038,11,0.2596177,125,2.9502006,0.726278047,0.221407143,0.797261225,0.221407143
ARS-30,81.99,1.35,0,62.39,114,"103,750","19,780","16,163",1.84,94.18,NCBI Assembly,NZAL00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,1892,0,18,0,tara039_bact_dcm,2.244176119,tara039,1,0.0528541,21,1.1099366,0.72768242,2.70415514,9.756175069,2.70415514
ARS-31,85.24,4.13,77.78,60.19,181,"98,489","31,855","23,678",4.29,89.61,NCBI Assembly,NZAK00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,ARS,3844,12,18,0.3121748,tara038_prot_meso,5.032848428,tara038,5,0.1300728,66,1.7169615,0.615290492,0.226212161,0.690084465,0.226212161
ARS-33,84.35,1.32,25,43.56,94,"85,877","27,617","20,965",1.97,91.9,NCBI Assembly,NZAJ00000000,TARA_ION_MAG_00001,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Micavibrio,,Hug et al. phylogenetic marker set,ARS,1944,2,2,0.1028807,tara039_girus_meso,2.335506817,tara039,5,0.2572016,32,1.6460905,0.022855602,4.338473413,0.491626974,4.338473413
ARS-34,88.12,2.97,0,60.89,124,"141,074","39,269","28,027",3.48,85.38,NCBI Assembly,NZAI00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,,,,Hug et al. phylogenetic marker set,ARS,3169,13,9,0.410224,tara037_girus_meso,3.949160236,tara037,9,0.2840013,68,2.1457873,0.207738875,1.305470531,1.34459331,1.305470531
ARS-38,98.28,6.9,13.33,61.97,79,"543,224","190,325","78,128",6.17,87.9,NCBI Assembly,NZAE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,,Alternative phylogenetic marker set,ARS,5473,11,4,0.2009867,tara038_girus_meso,6.277981278,tara038,19,0.3471588,105,1.918509,0.303836058,0.352218007,0.530587442,0.352218007
ARS-4,94.96,3.36,100,44.34,13,"802,501","278,926","138,029",1.79,89.96,NCBI Assembly,NZAD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,,,,Hug et al. phylogenetic marker set,ARS,1790,2,6,0.1117318,tara038_girus_meso,1.885004212,tara038,5,0.2793296,39,2.1787709,0.595536412,1.249428074,3.689144601,1.249428074
ARS-40,97.79,0.68,0,54.52,73,"240,994","86,692","54,105",3.95,92.59,NCBI Assembly,NZAC00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,,Roseibacillus,,Hug et al. phylogenetic marker set,ARS,3054,0,0,0,tara038_prot_surface,4.039267819,tara038,2,0.0654879,52,1.702685,2.654572609,0.254282947,3.346708931,0.254282947
ARS-42,90.6,2.56,25,52.82,72,"461,318","68,408","32,566",2.34,94.23,NCBI Assembly,NZAA00000000,"TARA_IOS_MAG_00046, TARA_ION_MAG_00055, TARA_PSW_MAG_00066",n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,,Hug et al. phylogenetic marker set,ARS,2309,0,11,0,tara039_bact_dcm,2.582781457,tara039,0,0,41,1.7756605,0.494935463,5.019479984,12.31723983,5.019479984
ARS-45,78.52,0.89,0,47.99,204,"60,308","15,490","14,191",2.9,92.67,NCBI Assembly,NYZX00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,,,Hug et al. phylogenetic marker set,ARS,2689,5,2,0.1859427,tara039_girus_meso,3.693326541,tara039,2,0.0743771,38,1.4131647,0.033417507,2.343612027,0.388298635,2.343612027
ARS-46,82.32,4.27,12.5,57.98,77,"192,931","57,626","36,324",2.8,91.87,NCBI Assembly,NYZW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,,Hug et al. phylogenetic marker set,ARS,2657,8,2,0.3010915,tara038_prot_meso,3.401360544,tara038,2,0.0752729,56,2.1076402,2.177087884,0.462817733,4.995650525,0.462817733
ARS-49,72.66,0,0,49.67,55,"75,051","27,688","19,772",1.09,94.52,NCBI Assembly,NYZT00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,1298,2,4,0.1540832,tara037_girus_meso,1.500137627,tara037,0,0,14,1.0785824,0.019400095,1.742649264,0.167617725,1.742649264
ARS-5,88.73,2.37,7.14,63.47,325,"112,202","21,974","17,255",5.61,88.96,NCBI Assembly,NYZS00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,,Hug et al. phylogenetic marker set,ARS,5078,24,1,0.472627,tara038_prot_meso,6.322551561,tara038,5,0.098464,126,2.4812918,3.041757826,0.09598891,1.447610723,0.09598891
ARS-51,98.81,7.14,0,40.02,203,"410,668","115,470","37,666",7.65,93.4,NCBI Assembly,NYZQ00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,novelGenus_F,,Hug et al. phylogenetic marker set,ARS,6986,7,2,0.1002004,tara037_girus_meso,7.742131363,tara037,18,0.2576582,177,2.5336387,1.058575273,0.109412034,0.574239333,0.109412034
ARS-52,71.78,0.42,0,36.69,35,"224,421","70,345","31,889",1.12,88.93,NCBI Assembly,NYZP00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,1091,2,23,0.1833181,tara037_girus_meso,1.56032321,tara037,0,0,15,1.3748854,0.036390758,0.965370127,0.1741771,0.965370127
ARS-59,94.86,4.35,90,64.07,77,"122,024","51,399","33,214",2.56,90.16,NCBI Assembly,NYZJ00000000,TARA_ION_MAG_00026,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Geminicoccus,,Hug et al. phylogenetic marker set,ARS,2297,0,14,0,tara036_bact_surface,2.698713894,tara036,4,0.1741402,35,1.5237266,1.902235882,0.157332741,1.483848545,0.157332741
ARS-60,82.8,1.6,0,46.3,73,"88,845","43,180","30,160",2.2,94.56,NCBI Assembly,NYZH00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_C,,,Hug et al. phylogenetic marker set,ARS,1781,0,2,0,tara038_girus_surface,2.657004831,tara038,0,0,23,1.2914093,0.108525514,5.844646907,3.144823157,5.844646907
ARS-61,83.27,2.35,0,66.58,457,"42,544","12,287","11,683",5.34,90.54,NCBI Assembly,NYZG00000000,n.a.,n.a.,Bacteria,Poribacteria,,,,,,Hug et al. phylogenetic marker set,ARS,4464,12,6,0.2688172,tara038_prot_meso,6.412873784,tara038,4,0.0896057,113,2.531362,0.599221875,0.059213679,0.175920236,0.059213679
ARS-62,82.04,2.29,0,63.81,223,"51,700","16,359","14,224",3.17,90.53,NCBI Assembly,NYZF00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,,Hug et al. phylogenetic marker set,ARS,2958,21,17,0.7099391,tara038_prot_meso,3.863968796,tara038,8,0.270453,81,2.7383367,1.504444125,0.571585708,4.263473048,0.571585708
