gene_callers_id,contig,start,stop,direction,partial,call_type,accession,gene_function,e_value,category,element,cassette_begin,cassette_end,type_molecule,from_integron_type
78973,k127_10601454,51,417,f,0,1,,,,,k127_10601454_1,52,417,protein,CALIN
78974,k127_10601454,604,928,f,0,1,,,,,k127_10601454_2,605,928,protein,CALIN
78975,k127_10601454,930,1137,f,0,1,,,,,k127_10601454_3,931,1137,protein,CALIN
78976,k127_10601454,1182,1623,f,0,1,,,,,k127_10601454_4,1183,1623,protein,CALIN
78977,k127_10601454,1803,2190,f,0,1,COG3324,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)",3.9e-38,General function prediction only,k127_10601454_5,1804,2190,protein,CALIN
78978,k127_10601454,2899,3415,f,0,1,,,,,k127_10601454_6,2900,3415,protein,CALIN
78994,k127_10601454,13603,14578,f,0,1,COG4249,"Uncharacterized conserved protein, contains caspase domain (PDB:3UO8)",5.499999999999998e-166,General function prediction only,k127_10601454_22,13604,14578,protein,CALIN
89970,k127_8372426,4449,4776,r,0,1,,,,,k127_8372426_5,4450,4776,protein,CALIN
89971,k127_8372426,5071,5824,f,0,1,,,,,k127_8372426_6,5072,5824,protein,CALIN
89972,k127_8372426,6016,6700,f,0,1,COG0265,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)",3.4e-45,"Posttranslational modification, protein turnover, chaperones",k127_8372426_7,6017,6700,protein,CALIN
89973,k127_8372426,6696,7155,f,0,1,,,,,k127_8372426_8,6697,7155,protein,CALIN
89974,k127_8372426,7080,7500,r,0,1,,,,,k127_8372426_9,7081,7500,protein,CALIN
89975,k127_8372426,8201,8813,f,0,1,,,,,k127_8372426_10,8202,8813,protein,CALIN
89976,k127_8372426,9197,9416,f,1,1,,,,,k127_8372426_11,9198,9416,protein,CALIN
116159,k127_9490964,2638,2893,f,0,1,,,,,k127_9490964_3,2639,2893,protein,CALIN
116160,k127_9490964,3067,3346,f,1,1,COG1028,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",2.0000000000000002e-20,Lipid transport and metabolism,k127_9490964_4,3068,3346,protein,CALIN
124532,k127_11720583,151,1510,f,0,1,COG2947,"Predicted RNA-binding protein, contains EVE domain (EVE) (PDB:1ZCE) (PUBMED:32652237)",1.2999999999999998e-91,General function prediction only,k127_11720583_1,152,1510,protein,CALIN
124869,k127_2806579,122,488,r,0,1,,,,,k127_2806579_1,123,488,protein,CALIN
124870,k127_2806579,575,1319,r,0,1,COG1321,"Mn-dependent transcriptional regulator MntR, DtxR family (MntR) (PDB:1B1B)",1.8999999999999998e-73,Transcription,k127_2806579_2,576,1319,protein,CALIN
124871,k127_2806579,1400,1796,r,0,1,,,,,k127_2806579_3,1401,1796,protein,CALIN
175816,k127_6155562,322,1288,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.2999999999999998e-90,"Replication, recombination and repair",k127_6155562_1,323,1288,protein,complete
175817,k127_6155562,1587,2316,f,0,1,,,,,k127_6155562_2,1588,2316,protein,complete
175818,k127_6155562,2275,2905,f,0,1,,,,,k127_6155562_3,2276,2905,protein,complete
175819,k127_6155562,3015,3573,f,0,1,,,,,k127_6155562_4,3016,3573,protein,complete
175820,k127_6155562,3706,4495,f,0,1,,,,,k127_6155562_5,3707,4495,protein,complete
205628,k127_5046457,176,470,f,0,1,,,,,k127_5046457_1,177,470,protein,CALIN
205629,k127_5046457,564,1122,f,0,1,COG3575,Uncharacterized conserved protein (PDB:2LA3),2.7e-40,Function unknown,k127_5046457_2,565,1122,protein,CALIN
205630,k127_5046457,1260,1737,f,0,1,,,,,k127_5046457_3,1261,1737,protein,CALIN
206437,k127_588246,139,403,f,0,1,,,,,k127_588246_1,140,403,protein,CALIN
206438,k127_588246,508,850,f,0,1,,,,,k127_588246_2,509,850,protein,CALIN
206439,k127_588246,941,1502,f,0,1,,,,,k127_588246_3,942,1502,protein,CALIN
206440,k127_588246,1602,1956,f,0,1,,,,,k127_588246_4,1603,1956,protein,CALIN
206441,k127_588246,1955,2225,f,0,1,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.5e-09,"Mobilome: prophages, transposons",k127_588246_5,1956,2225,protein,CALIN
206444,k127_588246,3500,3608,f,1,1,,,,,k127_588246_8,3501,3608,protein,CALIN
215320,k127_4491287,3557,3983,f,0,1,,,,,k127_4491287_7,3558,3983,protein,CALIN
215321,k127_4491287,4095,4743,f,0,1,,,,,k127_4491287_8,4096,4743,protein,CALIN
216513,k127_7276493,1,85,r,1,1,,,,,k127_7276493_1,2,85,protein,CALIN
216514,k127_7276493,171,669,r,0,1,,,,,k127_7276493_2,172,669,protein,CALIN
216515,k127_7276493,793,1075,r,0,1,,,,,k127_7276493_3,794,1075,protein,CALIN
216516,k127_7276493,1189,1759,r,0,1,,,,,k127_7276493_4,1190,1759,protein,CALIN
216517,k127_7276493,1869,2307,r,0,1,,,,,k127_7276493_5,1870,2307,protein,CALIN
220758,k127_3934402,380,836,r,0,1,,,,,k127_3934402_2,381,836,protein,CALIN
220759,k127_3934402,944,1193,r,0,1,,,,,k127_3934402_3,945,1193,protein,CALIN
220760,k127_3934402,1256,1778,r,0,1,,,,,k127_3934402_4,1257,1778,protein,CALIN
232009,k127_12296839,442,1429,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),3.0999999999999994e-92,"Replication, recombination and repair",k127_12296839_2,443,1429,protein,complete
232010,k127_12296839,1758,2622,f,0,1,,,,,k127_12296839_3,1759,2622,protein,complete
232011,k127_12296839,2696,3023,f,0,1,COG4859,"Uncharacterized protein, contains DUF2185 domain",7e-33,Function unknown,k127_12296839_4,2697,3023,protein,complete
232012,k127_12296839,3095,3794,f,0,1,,,,,k127_12296839_5,3096,3794,protein,complete
237024,k127_3936885,4148,5177,f,0,1,,,,,k127_3936885_9,4149,5177,protein,CALIN
237025,k127_3936885,5259,6135,f,0,1,COG0272!!!COG0847,"NAD-dependent DNA ligase (Lig) (PDB:5TT5)!!!DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)",2.2999999999999994e-107,"Replication, recombination and repair!!!Replication, recombination and repair",k127_3936885_10,5260,6135,protein,CALIN
237026,k127_3936885,6251,7088,f,0,1,,,,,k127_3936885_11,6252,7088,protein,CALIN
237027,k127_3936885,7129,7699,f,0,1,,,,,k127_3936885_12,7130,7699,protein,CALIN
237028,k127_3936885,7804,8692,f,0,1,,,,,k127_3936885_13,7805,8692,protein,CALIN
237029,k127_3936885,8759,9053,r,0,1,COG3668,Plasmid stabilization system protein ParE (ParE) (PDB:3KXE),1.1999999999999998e-23,"Mobilome: prophages, transposons",k127_3936885_14,8760,9053,protein,CALIN
237030,k127_3936885,9052,9292,r,0,1,COG3609,"Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain (ParD) (PDB:3KXE)",1.3000000000000002e-28,Transcription,k127_3936885_15,9053,9292,protein,CALIN
237031,k127_3936885,9430,10048,f,0,1,COG3318,"Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif (YecA)",1.9e-31,Function unknown,k127_3936885_16,9431,10048,protein,CALIN
248467,k127_11186554,11850,12090,r,0,1,,,,,k127_11186554_11,11851,12090,protein,CALIN
248468,k127_11186554,12206,12719,r,0,1,,,,,k127_11186554_12,12207,12719,protein,CALIN
248469,k127_11186554,12784,13561,r,0,1,,,,,k127_11186554_13,12785,13561,protein,CALIN
258576,k127_37902,1689,2250,r,0,1,,,,,k127_37902_3,1690,2250,protein,CALIN
273224,k127_40341,825,1791,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.3999999999999997e-116,"Replication, recombination and repair",k127_40341_2,826,1791,protein,complete
273225,k127_40341,2100,2538,f,0,1,,,,,k127_40341_3,2101,2538,protein,complete
273226,k127_40341,2631,2973,f,0,1,,,,,k127_40341_4,2632,2973,protein,complete
273227,k127_40341,3134,3803,f,0,1,COG1011,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)",1.8e-30,Coenzyme transport and metabolism,k127_40341_5,3135,3803,protein,complete
273228,k127_40341,3869,4364,f,0,1,,,,,k127_40341_6,3870,4364,protein,complete
273229,k127_40341,4382,4694,f,0,1,,,,,k127_40341_7,4383,4694,protein,complete
273616,k127_11190558,335,656,f,0,1,,,,,k127_11190558_2,336,656,protein,CALIN
273617,k127_11190558,912,1194,f,0,1,,,,,k127_11190558_3,913,1194,protein,CALIN
273618,k127_11190558,1258,1981,f,0,1,COG3183,"Predicted restriction endonuclease, HNH family (PDB:6GHC)",1.3999999999999999e-36,Defense mechanisms,k127_11190558_4,1259,1981,protein,CALIN
273619,k127_11190558,1941,2613,f,0,1,,,,,k127_11190558_5,1942,2613,protein,CALIN
273620,k127_11190558,2680,3109,f,0,1,,,,,k127_11190558_6,2681,3109,protein,CALIN
273621,k127_11190558,3205,3595,f,0,1,,,,,k127_11190558_7,3206,3595,protein,CALIN
273622,k127_11190558,3689,3974,f,0,1,,,,,k127_11190558_8,3690,3974,protein,CALIN
273623,k127_11190558,4037,4499,f,0,1,,,,,k127_11190558_9,4038,4499,protein,CALIN
273624,k127_11190558,4549,5101,f,0,1,,,,,k127_11190558_10,4550,5101,protein,CALIN
273625,k127_11190558,5178,5601,f,0,1,,,,,k127_11190558_11,5179,5601,protein,CALIN
273626,k127_11190558,5629,5959,f,0,1,,,,,k127_11190558_12,5630,5959,protein,CALIN
273627,k127_11190558,6176,6596,f,0,1,COG3832,"Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain (YndB) (PDB:2KTE) (PUBMED:20818668)",7.599999999999999e-48,Lipid transport and metabolism,k127_11190558_13,6177,6596,protein,CALIN
278618,k127_2271520,0,633,r,1,1,,,,,k127_2271520_1,1,633,protein,CALIN
278619,k127_2271520,770,1469,r,0,1,,,,,k127_2271520_2,771,1469,protein,CALIN
278620,k127_2271520,1576,2005,r,1,1,,,,,k127_2271520_3,1577,2005,protein,CALIN
289077,k127_7846648,535,802,f,0,1,,,,,k127_7846648_1,536,802,protein,CALIN
289078,k127_7846648,1502,1907,f,0,1,,,,,k127_7846648_2,1503,1907,protein,CALIN
289079,k127_7846648,2485,2767,f,0,1,,,,,k127_7846648_3,2486,2767,protein,CALIN
289080,k127_7846648,2895,2991,f,1,1,,,,,k127_7846648_4,2896,2991,protein,CALIN
290485,k127_7846773,1583,1928,f,0,1,COG2764,"Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)",9.400000000000001e-12,Energy production and conversion,k127_7846773_3,1584,1928,protein,CALIN
290486,k127_7846773,2050,2539,f,0,1,,,,,k127_7846773_4,2051,2539,protein,CALIN
290487,k127_7846773,2596,2944,f,0,1,,,,,k127_7846773_5,2597,2944,protein,CALIN
290488,k127_7846773,3058,3463,f,0,1,,,,,k127_7846773_6,3059,3463,protein,CALIN
308525,k127_3392110,0,234,r,1,1,,,,,k127_3392110_1,1,234,protein,CALIN
308526,k127_3392110,313,658,r,0,1,,,,,k127_3392110_2,314,658,protein,CALIN
308527,k127_3392110,1072,1561,r,0,1,,,,,k127_3392110_3,1073,1561,protein,CALIN
308528,k127_3392110,1704,2244,r,0,1,,,,,k127_3392110_4,1705,2244,protein,CALIN
308529,k127_3392110,2402,3059,r,0,1,,,,,k127_3392110_5,2403,3059,protein,CALIN
308530,k127_3392110,3392,4301,r,0,1,COG2801,Transposase InsO and inactivated derivatives (Tra5),7.899999999999998e-90,"Mobilome: prophages, transposons",k127_3392110_6,3393,4301,protein,CALIN
308531,k127_3392110,4435,4936,r,0,1,COG2801,Transposase InsO and inactivated derivatives (Tra5),3.4999999999999993e-39,"Mobilome: prophages, transposons",k127_3392110_7,4436,4936,protein,CALIN
308532,k127_3392110,5308,5761,r,0,1,,,,,k127_3392110_8,5309,5761,protein,CALIN
308533,k127_3392110,5903,6578,r,0,1,COG3271,"Predicted double-glycine leader peptidase, C39-like (CLD) domain (C39G) (PUBMED:27279651)",1.1e-64,"Intracellular trafficking, secretion, and vesicular transport",k127_3392110_9,5904,6578,protein,CALIN
309553,k127_605627,1179,1494,f,0,1,COG3093,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)",1.8e-49,Defense mechanisms,k127_605627_4,1180,1494,protein,CALIN
309554,k127_605627,1591,1870,f,0,1,,,,,k127_605627_5,1592,1870,protein,CALIN
309555,k127_605627,2058,3939,f,0,1,COG4104,"Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion (PAAR) (PDB:4JIV)",8.7e-43,"Intracellular trafficking, secretion, and vesicular transport",k127_605627_6,2059,3939,protein,CALIN
309676,k127_605635,695,1247,f,0,1,COG1670,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",5.099999999999999e-92,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",k127_605635_2,696,1247,protein,CALIN
309677,k127_605635,1352,2048,f,0,1,COG1794,Amino acid racemase YgeA (RacX) (PDB:5ELL),6.899999999999999e-94,Cell wall/membrane/envelope biogenesis,k127_605635_3,1353,2048,protein,CALIN
309678,k127_605635,2134,2452,f,0,1,COG2329,Heme-degrading monooxygenase HmoA and related ABM domain proteins (HmoA) (PDB:1IUJ) (PUBMED:21873409),2.2999999999999996e-41,Coenzyme transport and metabolism,k127_605635_4,2135,2452,protein,CALIN
309679,k127_605635,2556,3234,f,0,1,,,,,k127_605635_5,2557,3234,protein,CALIN
309680,k127_605635,3320,3764,f,0,1,COG1276,Putative copper export protein (PcoD),2.2999999999999997e-34,Inorganic ion transport and metabolism,k127_605635_6,3321,3764,protein,CALIN
309681,k127_605635,3838,4207,f,0,1,,,,,k127_605635_7,3839,4207,protein,CALIN
309682,k127_605635,4193,4700,f,0,1,,,,,k127_605635_8,4194,4700,protein,CALIN
309683,k127_605635,4843,5170,f,0,1,,,,,k127_605635_9,4844,5170,protein,CALIN
309684,k127_605635,5300,5651,f,0,1,,,,,k127_605635_10,5301,5651,protein,CALIN
310843,k127_8406890,538,916,f,0,1,,,,,k127_8406890_1,539,916,protein,CALIN
310844,k127_8406890,1033,1846,f,0,1,,,,,k127_8406890_2,1034,1846,protein,CALIN
310845,k127_8406890,1953,3015,f,0,1,,,,,k127_8406890_3,1954,3015,protein,CALIN
310846,k127_8406890,3112,4219,f,0,1,,,,,k127_8406890_4,3113,4219,protein,CALIN
310847,k127_8406890,4253,4670,f,0,1,,,,,k127_8406890_5,4254,4670,protein,CALIN
314435,k127_5063971,2,137,r,1,1,COG3549,Plasmid maintenance system killer protein (HigB),9.199999999999999e-11,Defense mechanisms,k127_5063971_1,3,137,protein,CALIN
314436,k127_5063971,248,791,r,0,1,COG2318,"Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB) (DinB) (PDB:2QE9) (PUBMED:22059487;24821014)",2.799999999999999e-66,"Secondary metabolites biosynthesis, transport and catabolism",k127_5063971_2,249,791,protein,CALIN
314437,k127_5063971,915,1320,r,0,1,COG3324,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)",1.1999999999999999e-61,General function prediction only,k127_5063971_3,916,1320,protein,CALIN
314438,k127_5063971,1380,1824,r,0,1,,,,,k127_5063971_4,1381,1824,protein,CALIN
314444,k127_5063971,4919,5786,f,1,1,COG0583,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",8.299999999999998e-81,Transcription,k127_5063971_10,4920,5786,protein,CALIN
316690,k127_3949372,1565,1928,f,0,1,,,,,k127_3949372_4,1566,1928,protein,CALIN
316691,k127_3949372,2058,2343,f,0,1,,,,,k127_3949372_5,2059,2343,protein,CALIN
316692,k127_3949372,2474,2846,f,0,1,,,,,k127_3949372_6,2475,2846,protein,CALIN
316693,k127_3949372,2927,3278,f,0,1,,,,,k127_3949372_7,2928,3278,protein,CALIN
318169,k127_11198272,513,1086,r,0,1,,,,,k127_11198272_1,514,1086,protein,complete
318170,k127_11198272,1309,2155,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),6.399999999999998e-70,"Replication, recombination and repair",k127_11198272_2,1310,2155,protein,complete
323333,k127_608048,147,522,f,0,1,,,,,k127_608048_1,148,522,protein,CALIN
323334,k127_608048,603,906,f,0,1,,,,,k127_608048_2,604,906,protein,CALIN
323335,k127_608048,969,1383,r,0,1,COG1487,"Ribonuclease/mRNA interferase VapC, contains PIN domain (VapC) (PDB:3TND)",4.999999999999999e-52,Defense mechanisms,k127_608048_3,970,1383,protein,CALIN
323336,k127_608048,1379,1574,r,0,1,COG5450,Transcription regulator of the Arc/MetJ class (VapB6) (PDB:6A7V),2e-19,Transcription,k127_608048_4,1380,1574,protein,CALIN
323337,k127_608048,1760,2054,f,0,1,COG2929,"Uncharacterized conserved protein, DUF497 family (PDB:3U97)",3.6999999999999997e-41,Function unknown,k127_608048_5,1761,2054,protein,CALIN
325003,k127_9522767,2,416,r,1,1,,,,,k127_9522767_1,3,416,protein,CALIN
325004,k127_9522767,537,864,r,0,1,COG0566,tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0),7.299999999999999e-38,"Translation, ribosomal structure and biogenesis",k127_9522767_2,538,864,protein,CALIN
325005,k127_9522767,824,1160,r,0,1,COG0566,tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0),8.8e-39,"Translation, ribosomal structure and biogenesis",k127_9522767_3,825,1160,protein,CALIN
325006,k127_9522767,1258,1786,r,0,1,,,,,k127_9522767_4,1259,1786,protein,CALIN
325007,k127_9522767,2292,2571,r,0,1,,,,,k127_9522767_5,2293,2571,protein,CALIN
325008,k127_9522767,2656,2965,r,0,1,,,,,k127_9522767_6,2657,2965,protein,CALIN
327198,k127_10639280,237,903,r,0,1,,,,,k127_10639280_1,238,903,protein,CALIN
327199,k127_10639280,983,1370,f,0,1,,,,,k127_10639280_2,984,1370,protein,CALIN
327200,k127_10639280,1478,2390,r,0,1,,,,,k127_10639280_3,1479,2390,protein,CALIN
327201,k127_10639280,2584,3544,r,0,1,,,,,k127_10639280_4,2585,3544,protein,CALIN
327202,k127_10639280,3857,4625,f,0,1,,,,,k127_10639280_5,3858,4625,protein,CALIN
327203,k127_10639280,5726,6002,f,0,1,,,,,k127_10639280_6,5727,6002,protein,CALIN
327204,k127_10639280,5988,6348,f,0,1,,,,,k127_10639280_7,5989,6348,protein,CALIN
327205,k127_10639280,6694,7009,f,1,1,COG3293,Transposase,2.6e-24,"Mobilome: prophages, transposons",k127_10639280_8,6695,7009,protein,CALIN
344443,k127_6182136,1051,1612,r,0,1,,,,,k127_6182136_3,1052,1612,protein,CALIN
344444,k127_6182136,1695,2019,r,0,1,,,,,k127_6182136_4,1696,2019,protein,CALIN
344445,k127_6182136,2089,2824,r,0,1,,,,,k127_6182136_5,2090,2824,protein,CALIN
349450,k127_5630341,196,601,r,0,1,COG3791,Uncharacterized conserved protein (PDB:1X6M),2.2000000000000002e-20,Function unknown,k127_5630341_1,197,601,protein,CALIN
349451,k127_5630341,772,1504,r,0,1,COG1028,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",9.999999999999997e-96,Lipid transport and metabolism,k127_5630341_2,773,1504,protein,CALIN
353028,k127_6740264,150,1677,r,0,1,,,,,k127_6740264_2,151,1677,protein,CALIN
353029,k127_6740264,1663,1897,r,0,1,,,,,k127_6740264_3,1664,1897,protein,CALIN
353030,k127_6740264,1899,2232,r,0,1,,,,,k127_6740264_4,1900,2232,protein,CALIN
353031,k127_6740264,2350,2863,r,0,1,,,,,k127_6740264_5,2351,2863,protein,CALIN
355719,k127_4513982,4492,5245,f,0,1,COG0702,"Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)",1.8e-76,General function prediction only,k127_4513982_6,4493,5245,protein,CALIN
355720,k127_4513982,5317,5965,f,0,1,COG2227,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)",3.4999999999999997e-84,Coenzyme transport and metabolism,k127_4513982_7,5318,5965,protein,CALIN
355721,k127_4513982,6079,6628,f,1,1,COG0220,tRNA G46 N7-methylase TrmB (TrmB) (PDB:1YZH) (PUBMED:19373903;16600901),8.199999999999998e-42,"Translation, ribosomal structure and biogenesis",k127_4513982_8,6080,6628,protein,CALIN
358321,k127_9528483,1147,1621,r,0,1,,,,,k127_9528483_4,1148,1621,protein,CALIN
358322,k127_9528483,1758,2217,r,0,1,,,,,k127_9528483_5,1759,2217,protein,CALIN
358323,k127_9528483,2242,3082,r,0,1,,,,,k127_9528483_6,2243,3082,protein,CALIN
358324,k127_9528483,3082,3598,r,0,1,,,,,k127_9528483_7,3083,3598,protein,CALIN
358325,k127_9528483,3690,4185,r,0,1,,,,,k127_9528483_8,3691,4185,protein,CALIN
363025,k127_5071798,57,948,f,0,1,COG1715,Restriction endonuclease Mrr (Mrr),2.0999999999999997e-148,Defense mechanisms,k127_5071798_1,58,948,protein,CALIN
363026,k127_5071798,1040,1457,f,0,1,COG0456,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),2.3e-52,"Translation, ribosomal structure and biogenesis",k127_5071798_2,1041,1457,protein,CALIN
363027,k127_5071798,1643,2102,f,0,1,COG1670,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",2e-65,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",k127_5071798_3,1644,2102,protein,CALIN
