bin,depth,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,Percent Transposases,Percent Integrases,Highest Relative Abundance,complete genome size (Mbp),tara_station,size_fraction,biofilm_count,percent_biofilm,defense_count,percent_defense,prot,prot_normalized,bact,bact_over_prot,lifestyle
ARS-120,MES,89.55,8.73,5.0,65.41,207,"153,029","43,865","30,134",6.24,88.83,NCBI Assembly,NZCL00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,,,,,Hug et al. phylogenetic marker set,ARS,5420,7,8,0.001291513,0.001476015,tara038_prot_meso,6.968174203999999,tara038,prot,7,0.001291513,136,0.025092250922509225,0.6017127170000001,0.026091333721567116,0.07783798200000003,0.026091333721567116,particle
ARS-1203,MES,74.3,0.93,0.0,34.2,32,"209,954","50,548","33,446",1.07,90.6,NCBI Assembly,NZCK00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,1050,1,3,0.0009523810000000001,0.002857143,tara037_girus_meso,1.440107672,tara037,girus,0,0.0,14,0.013333333333333334,0.035599226000000005,0.8730394688335493,0.15409215599999992,0.8730394688335493,mixed
ARS-1215,MES,74.67,2.14,0.0,68.62,26,"113,169","70,792","55,651",1.45,93.9,NCBI Assembly,NZCI00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,ARS,1389,0,1,0.0,0.000719942,tara039_bact_meso,1.941877595,tara039,bact,0,0.0,22,0.01583873290136789,2.650643904,1.5189319637957912,19.961621042999997,1.5189319637957912,mixed
ARS-123,DCM,77.69,2.56,33.33,56.28,127,"55,964","17,964","14,652",1.86,94.58,NCBI Assembly,NZCG00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,,,,,CheckM,ARS,1879,0,4,0.0,0.002128792,tara039_bact_dcm,2.394130519,tara039,bact,0,0.0,41,0.021820117083555083,0.127079583,7.467667255148048,4.705078109,7.467667255148048,mixed
ARS-125,MES,74.24,2.25,0.0,41.56,71,"72,527","15,045","14,809",1.05,88.04,NCBI Assembly,NZCD00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,987,0,0,0.0,0.0,tara039_bact_meso,1.4143318969999998,tara039,bact,0,0.0,13,0.013171225937183385,0.04932774299999999,2.174951043728645,0.531920623,2.174951043728645,mixed
ARS-1279,MES,79.43,3.24,0.0,53.12,84,"106,947","41,005","31,023",2.61,90.59,NCBI Assembly,NZCC00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,,Hug et al. phylogenetic marker set,ARS,2426,8,2,0.0032976090000000004,0.000824402,tara038_prot_meso,3.2859121239999998,tara038,prot,4,0.001648805,52,0.021434460016488046,0.639189029,0.009507096332812987,0.030128902000000003,0.009507096332812987,particle
ARS-1297,MES,71.61,0.87,0.0,44.77,5,"575,191","271,703","264,685",1.32,93.35,NCBI Assembly,NZBY00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Micavibrio,,Hug et al. phylogenetic marker set,ARS,1285,0,2,0.0,0.00155642,tara039_girus_meso,1.843317972,tara039,girus,3,0.00233463,25,0.019455252918287938,0.188780634,2.2818581925933388,2.1357587280000003,2.2818581925933388,mixed
ARS-13,SRF,97.32,4.46,60.0,37.74,63,"249,883","93,829","60,201",3.79,88.28,NCBI Assembly,NZBW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,,,Hug et al. phylogenetic marker set,ARS,3409,8,4,0.002346729,0.001173365,tara039_girus_surface,3.894369092,tara039,girus,2,0.0005866819999999999,48,0.014080375476679377,0.369163387,1.0325277380973161,1.8898461379999998,1.0325277380973161,mixed
ARS-1307,MES,74.69,0.93,0.0,41.28,12,"149,539","90,796","62,097",0.75,93.13,NCBI Assembly,NZBU00000000,n.a.,n.a.,Archaea,Diapherotrites,,,,,,Hug et al. phylogenetic marker set,ARS,794,0,8,0.0,0.010075566999999999,tara037_girus_meso,1.0041504890000001,tara037,girus,0,0.0,9,0.011335012594458438,0.01689060399999999,0.036745834534885786,0.003077226,0.036745834534885786,particle
ARS-1330,MES,85.48,0.99,100.0,48.36,46,"150,583","46,014","28,916",1.33,89.1,NCBI Assembly,NZBQ00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,1348,0,1,0.0,0.00074184,tara039_bact_meso,1.555919513,tara039,bact,0,0.0,22,0.016320474777448073,0.351840165,0.3117717071076023,0.5438613730000001,0.3117717071076023,mixed
ARS-1358,MES,89.72,1.87,100.0,41.0,11,"173,317","79,789","60,594",0.67,94.29,NCBI Assembly,NZBN00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,750,1,3,0.001333333,0.004,tara037_girus_meso,0.7467677220000001,tara037,girus,0,0.0,5,0.006666666666666667,0.06199040799999999,0.5937676521332668,0.182493385,0.5937676521332668,mixed
ARS-1360,MES,84.77,0.0,0.0,40.97,18,"80,235","52,728","32,861",0.59,88.79,NCBI Assembly,NZBM00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,610,2,24,0.0032786890000000004,0.039344262000000005,tara037_girus_meso,0.696000944,tara037,girus,0,0.0,2,0.003278688524590164,0.041561728000000006,1.0255097947573282,0.21131946699999998,1.0255097947573282,mixed
ARS-1386,MES,72.31,1.12,0.0,39.21,23,"101,874","45,093","31,966",0.74,91.45,NCBI Assembly,NZBL00000000,n.a.,n.a.,Bacteria,CandidatePhylaRadiation,,,,,,Hug et al. phylogenetic marker set,ARS,749,0,0,0.0,0.0,tara037_girus_meso,1.023371595,tara037,girus,0,0.0,15,0.020026702269692925,0.05915902600000001,2.970281991409954,0.8712138989999998,2.970281991409954,mixed
ARS-14,MES,73.14,1.79,0.0,37.89,227,"44,508","16,182","13,899",3.16,92.59,NCBI Assembly,NZBJ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Halobacteriovoraceae,,,Hug et al. phylogenetic marker set,ARS,2815,7,3,0.002486679,0.001065719,tara038_girus_meso,4.320481269,tara038,girus,2,0.00071048,40,0.014209591474245116,0.025222179999999997,4.54616309537146,0.56850427,4.54616309537146,mixed
ARS-1414,MES,73.36,1.87,0.0,28.4,58,"41,636","15,001","14,122",0.82,94.37,NCBI Assembly,NZBH00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,964,0,0,0.0,0.0,tara037_girus_meso,1.1177753540000002,tara037,girus,1,0.001037344,6,0.006224066390041493,0.23662750600000004,0.10912704410792655,0.128027633,0.10912704410792655,mixed
ARS-1419,MES,72.04,0.93,0.0,38.27,39,"93,088","28,579","23,729",0.93,92.01,NCBI Assembly,NZBG00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,995,2,9,0.00201005,0.009045226,tara037_girus_meso,1.290949473,tara037,girus,0,0.0,8,0.008040201005025126,0.014238496,2.6891107172057325,0.18983614199999999,2.6891107172057325,mixed
ARS-1426,MES,90.6,1.28,0.0,65.29,38,"174,588","78,225","48,658",1.85,93.55,NCBI Assembly,NZBE00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,ARS,1793,0,2,0.0,0.001115449,tara039_bact_meso,2.041942605,tara039,bact,1,0.000557724,35,0.019520356943669825,2.891410968,1.191019398834049,17.073979567,1.191019398834049,mixed
ARS-1427,MES,72.43,0.0,0.0,35.34,18,"119,174","49,485","30,661",0.55,93.06,NCBI Assembly,NZBD00000000,n.a.,n.a.,Archaea,Diapherotrites,,,,,,Hug et al. phylogenetic marker set,ARS,616,1,11,0.001623377,0.017857143,tara037_girus_meso,0.7593538590000001,tara037,girus,0,0.0,3,0.00487012987012987,0.010922902000000003,0.31599339526326614,0.017112842,0.31599339526326614,mixed
ARS-1434,MES,75.31,0.0,0.0,67.05,288,"74,926","27,159","20,216",5.82,92.48,NCBI Assembly,NZBC00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,,,,,Hug et al. phylogenetic marker set,ARS,4561,6,1,0.001315501,0.00021925,tara038_prot_meso,7.728057363,tara038,prot,1,0.00021925,75,0.01644376233282175,0.6428999339999999,0.019882395675392905,0.063375032,0.019882395675392905,particle
ARS-1441,MES,77.57,0.0,0.0,30.16,51,"59,950","17,470","16,818",0.86,93.67,NCBI Assembly,NZBB00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,898,1,2,0.001113586,0.002227171,tara039_bact_meso,1.108676035,tara039,bact,0,0.0,15,0.01670378619153675,0.036341490000000004,2.6886403533820005,0.484441723,2.6886403533820005,mixed
ARS-15,MES,97.85,2.69,0.0,68.35,135,"459,954","97,315","37,569",5.07,90.91,NCBI Assembly,NZBA00000000,n.a.,n.a.,Bacteria,Planctomycetes,OM190,,,,,Hug et al. phylogenetic marker set,ARS,3836,18,1,0.004692388,0.00026068799999999997,tara038_prot_meso,5.181400102,tara038,prot,1,0.00026068799999999997,71,0.01850886339937435,1.5446135760000002,0.014246489581565132,0.109102276,0.014246489581565132,particle
ARS-16,MES,94.61,3.14,31.25,58.35,167,"122,166","28,407","18,921",3.16,89.0,NCBI Assembly,NZAZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Alternative phylogenetic marker set,ARS,2867,2,1,0.000697593,0.000348797,tara039_bact_meso,3.3400274810000004,tara039,bact,6,0.00209278,50,0.017439832577607256,0.640900367,1.2346710252404258,3.923267086,1.2346710252404258,mixed
ARS-17,MES,95.73,6.25,0.0,63.7,159,"225,202","88,603","29,661",4.72,92.06,NCBI Assembly,NZAY00000000,n.a.,n.a.,Bacteria,Acidobacteria,,,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,4072,6,13,0.0014734770000000002,0.0031925340000000003,tara039_bact_meso,4.930533793,tara039,bact,3,0.0007367389999999999,126,0.03094302554027505,0.261035062,1.5240871372345803,1.9724896870000002,1.5240871372345803,mixed
ARS-24,MES,89.41,4.98,76.92,65.05,139,"69,620","22,174","17,794",2.47,91.91,NCBI Assembly,NZAR00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,,Hug et al. phylogenetic marker set,ARS,2424,4,10,0.001650165,0.004125413,tara038_prot_meso,2.7625545239999996,tara038,prot,6,0.0024752479999999998,65,0.026815181518151814,5.966855032999999,0.2940230476541668,8.698271508000001,0.2940230476541668,mixed
ARS-27,MES,86.43,3.84,38.46,59.77,96,"45,852","19,558","16,357",1.57,90.63,NCBI Assembly,NZAO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,ARS,1511,1,3,0.000661813,0.00198544,tara039_bact_meso,1.8164989009999999,tara039,bact,6,0.00397088,23,0.015221707478491065,1.792045899,0.8941663018893139,7.944627252999999,0.8941663018893139,mixed
ARS-29,MES,95.73,7.32,92.31,50.87,57,"277,912","62,528","39,763",2.27,90.18,NCBI Assembly,NZAN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,,Hug et al. phylogenetic marker set,ARS,2149,0,9,0.0,0.0041879940000000004,tara039_bact_meso,2.371252481,tara039,bact,5,0.002326664,36,0.01675197766402978,1.697628813,1.681725339981569,14.154805427,1.681725339981569,mixed
ARS-3,MES,97.95,3.32,93.75,63.76,51,"602,247","353,444","88,219",4.5,90.8,NCBI Assembly,NZAM00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,,Hug et al. phylogenetic marker set,ARS,4237,20,8,0.0047203209999999995,0.001888128,tara038_girus_meso,4.594180703999999,tara038,girus,11,0.0025961770000000003,125,0.029502006136417278,0.7262780470000001,0.22140714275291165,0.7972612249999999,0.22140714275291165,mixed
ARS-30,DCM,81.99,1.35,0.0,62.39,114,"103,750","19,780","16,163",1.84,94.18,NCBI Assembly,NZAL00000000,n.a.,n.a.,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,1892,0,18,0.0,0.009513742,tara039_bact_dcm,2.244176119,tara039,bact,1,0.000528541,21,0.011099365750528542,0.72768242,2.704155139511506,9.756175069,2.704155139511506,mixed
ARS-31,MES,85.24,4.13,77.78,60.19,181,"98,489","31,855","23,678",4.29,89.61,NCBI Assembly,NZAK00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,ARS,3844,12,18,0.0031217479999999997,0.004682622,tara038_prot_meso,5.032848428,tara038,prot,5,0.0013007280000000001,66,0.01716961498439126,0.615290492,0.22621216103857664,0.6900844649999999,0.22621216103857664,mixed
ARS-33,MES,84.35,1.32,25.0,43.56,94,"85,877","27,617","20,965",1.97,91.9,NCBI Assembly,NZAJ00000000,TARA_ION_MAG_00001,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Micavibrio,,Hug et al. phylogenetic marker set,ARS,1944,2,2,0.001028807,0.001028807,tara039_girus_meso,2.3355068169999997,tara039,girus,5,0.002572016,32,0.01646090534979424,0.022855602,4.338473412815959,0.491626974,4.338473412815959,mixed
ARS-34,MES,88.12,2.97,0.0,60.89,124,"141,074","39,269","28,027",3.48,85.38,NCBI Assembly,NZAI00000000,n.a.,n.a.,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,,,,Hug et al. phylogenetic marker set,ARS,3169,13,9,0.00410224,0.0028400129999999997,tara037_girus_meso,3.9491602360000004,tara037,girus,9,0.0028400129999999997,68,0.02145787314610287,0.207738875,1.3054705306131082,1.3445933099999994,1.3054705306131082,mixed
ARS-38,MES,98.28,6.9,13.33,61.97,79,"543,224","190,325","78,128",6.17,87.9,NCBI Assembly,NZAE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,,Alternative phylogenetic marker set,ARS,5473,11,4,0.0020098670000000003,0.0007308610000000001,tara038_girus_meso,6.2779812779999995,tara038,girus,19,0.003471588,105,0.01918509044399781,0.303836058,0.3522180074578169,0.530587442,0.3522180074578169,mixed
ARS-4,MES,94.96,3.36,100.0,44.34,13,"802,501","278,926","138,029",1.79,89.96,NCBI Assembly,NZAD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,,,,Hug et al. phylogenetic marker set,ARS,1790,2,6,0.001117318,0.003351955,tara038_girus_meso,1.885004212,tara038,girus,5,0.002793296,39,0.021787709497206705,0.595536412,1.2494280742042836,3.689144601,1.2494280742042836,mixed
ARS-40,SRF,97.79,0.68,0.0,54.52,73,"240,994","86,692","54,105",3.95,92.59,NCBI Assembly,NZAC00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,,Roseibacillus,,Hug et al. phylogenetic marker set,ARS,3054,0,0,0.0,0.0,tara038_prot_surface,4.039267819,tara038,prot,2,0.000654879,52,0.017026850032743943,2.654572609,0.2542829468210119,3.346708931,0.2542829468210119,mixed
ARS-42,DCM,90.6,2.56,25.0,52.82,72,"461,318","68,408","32,566",2.34,94.23,NCBI Assembly,NZAA00000000,"TARA_IOS_MAG_00046, TARA_ION_MAG_00055, TARA_PSW_MAG_00066",n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_A,,Hug et al. phylogenetic marker set,ARS,2309,0,11,0.0,0.004763967,tara039_bact_dcm,2.582781457,tara039,bact,0,0.0,41,0.017756604590731917,0.49493546299999996,5.0194799837643975,12.317239830999998,5.0194799837643975,mixed
