gene_callers_id,contig,start,stop,direction,partial,call_type,accession,gene_function,e_value,category,element,cassette_begin,cassette_end,type_molecule,from_integron_type,ocean
566886,c_50135,2618,3107,r,0,1,,,,,50135_5,2619,3107,protein,CALIN,ARS
566887,c_50135,3249,3816,r,0,1,,,,,50135_6,3250,3816,protein,CALIN,ARS
566888,c_50135,3934,4294,r,0,1,,,,,50135_7,3935,4294,protein,CALIN,ARS
568059,c_50242,5482,6451,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),6.599999999999997e-127,"Replication, recombination and repair",50242_5,5483,6451,protein,In0,ARS
568068,c_50242,12032,12362,f,0,1,,,,,50242_14,12033,12362,protein,CALIN,ARS
568069,c_50242,12463,12862,f,0,1,COG3791,Uncharacterized conserved protein (PDB:1X6M),9.4e-56,Function unknown,50242_15,12464,12862,protein,CALIN,ARS
568070,c_50242,12941,13397,f,0,1,COG0790,TPR repeat (TPR) (PDB:1KLX),2.3e-37,General function prediction only,50242_16,12942,13397,protein,CALIN,ARS
575051,c_50772,6086,6434,f,0,1,,,,,50772_8,6087,6434,protein,CALIN,ARS
577431,c_50953,35183,35345,r,0,1,,,,,50953_47,35184,35345,protein,CALIN,ARS
577431,c_50953,35183,35345,r,0,1,,,,,attc_001,35202,35331,attC,CALIN,ARS
577432,c_50953,35393,35636,f,0,1,COG0864,"Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain (NikR) (PDB:1Q5V)",1.3e-12,Transcription,50953_48,35394,35636,protein,CALIN,ARS
577433,c_50953,35620,35962,f,0,1,COG2337,"mRNA-degrading endonuclease MazF, toxin component of the MazEF toxin-antitoxin module (MazF) (PDB:2MF2)",1.3e-37,Defense mechanisms,50953_49,35621,35962,protein,CALIN,ARS
577434,c_50953,36086,36866,f,0,1,COG2226,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW),2e-81,Coenzyme transport and metabolism,50953_50,36087,36866,protein,CALIN,ARS
583299,c_51540,1,718,f,1,1,,,,,51540_1,2,718,protein,CALIN,ARS
583302,c_51540,4770,5058,r,0,1,,,,,51540_4,4771,5058,protein,CALIN,ARS
583303,c_51540,5137,5776,r,0,1,COG4832,"Cyclopropanoid cyclopropyl hydrolase, GyrI-like domain (MA1133) (PDB:3B49) (PUBMED:29133784)",5.9e-76,Defense mechanisms!!!Signal transduction mechanisms,51540_5,5138,5776,protein,CALIN,ARS
583304,c_51540,5923,6319,r,0,1,,,,,51540_6,5924,6319,protein,CALIN,ARS
583305,c_51540,6415,6859,r,0,1,,,,,51540_7,6416,6859,protein,CALIN,ARS
583306,c_51540,6930,7029,r,1,1,,,,,51540_8,6931,7029,protein,CALIN,ARS
585249,c_51726,6284,6635,f,0,1,,,,,51726_6,6285,6635,protein,CALIN,ARS
585250,c_51726,7195,7705,f,0,1,,,,,51726_7,7196,7705,protein,CALIN,ARS
585251,c_51726,7850,8141,f,0,1,,,,,51726_8,7851,8141,protein,CALIN,ARS
585642,c_51759,1700,2057,f,0,1,,,,,51759_2,1701,2057,protein,CALIN,ARS
585643,c_51759,2182,2440,r,0,1,,,,,51759_3,2183,2440,protein,CALIN,ARS
590574,c_52223,1375,2338,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.8e-108,"Replication, recombination and repair",52223_3,1376,2338,protein,In0,ARS
594595,c_52603,989,1676,r,0,1,,,,,52603_2,990,1676,protein,CALIN,ARS
594596,c_52603,1910,2528,r,0,1,,,,,52603_3,1911,2528,protein,CALIN,ARS
594597,c_52603,3523,3769,f,0,1,,,,,52603_4,3524,3769,protein,CALIN,ARS
594598,c_52603,3682,3871,r,0,1,,,,,52603_5,3683,3871,protein,CALIN,ARS
594599,c_52603,3867,3984,r,0,1,,,,,52603_6,3868,3984,protein,CALIN,ARS
600866,c_53196,2,173,r,1,1,,,,,53196_1,3,173,protein,CALIN,ARS
600867,c_53196,289,601,r,0,1,,,,,53196_2,290,601,protein,CALIN,ARS
600868,c_53196,717,1113,r,0,1,,,,,53196_3,718,1113,protein,CALIN,ARS
600869,c_53196,1234,1567,r,0,1,,,,,53196_4,1235,1567,protein,CALIN,ARS
600870,c_53196,1695,2115,r,0,1,,,,,53196_5,1696,2115,protein,CALIN,ARS
600871,c_53196,2188,2476,r,0,1,,,,,53196_6,2189,2476,protein,CALIN,ARS
600872,c_53196,2596,3199,r,0,1,COG4106,Trans-aconitate methyltransferase (Tam) (PDB:2P35),6.799999999999998e-90,Energy production and conversion,53196_7,2597,3199,protein,CALIN,ARS
601562,c_53241,1374,1839,f,0,1,,,,,53241_2,1375,1839,protein,CALIN,ARS
601563,c_53241,1943,2420,f,0,1,,,,,53241_3,1944,2420,protein,CALIN,ARS
601564,c_53241,2520,3069,f,0,1,,,,,53241_4,2521,3069,protein,CALIN,ARS
601565,c_53241,3190,3736,f,0,1,,,,,53241_5,3191,3736,protein,CALIN,ARS
605793,c_53655,2252,2561,r,0,1,,,,,53655_3,2253,2561,protein,CALIN,ARS
605794,c_53655,2776,3151,r,0,1,COG0810,"Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)",2.1e-20,Cell wall/membrane/envelope biogenesis,53655_4,2777,3151,protein,CALIN,ARS
605795,c_53655,3299,3623,r,0,1,,,,,53655_5,3300,3623,protein,CALIN,ARS
605796,c_53655,3789,4035,r,0,1,,,,,53655_6,3790,4035,protein,CALIN,ARS
607648,c_53789,1763,1985,r,0,1,,,,,53789_6,1764,1985,protein,CALIN,ARS
607649,c_53789,2065,2233,r,0,1,,,,,53789_7,2066,2233,protein,CALIN,ARS
607650,c_53789,2308,2572,r,0,1,,,,,53789_8,2309,2572,protein,CALIN,ARS
607651,c_53789,2644,2857,r,0,1,,,,,53789_9,2645,2857,protein,CALIN,ARS
607652,c_53789,2926,3154,r,0,1,,,,,53789_10,2927,3154,protein,CALIN,ARS
625251,c_55052,1,430,r,1,1,,,,,55052_1,2,430,protein,CALIN,ARS
625252,c_55052,474,837,r,0,1,,,,,55052_2,475,837,protein,CALIN,ARS
625253,c_55052,964,1399,r,0,1,,,,,55052_3,965,1399,protein,CALIN,ARS
625254,c_55052,1478,1925,r,0,1,,,,,55052_4,1479,1925,protein,CALIN,ARS
625255,c_55052,2238,2898,r,0,1,,,,,55052_5,2239,2898,protein,CALIN,ARS
625256,c_55052,2942,3305,r,0,1,,,,,55052_6,2943,3305,protein,CALIN,ARS
635573,c_55857,2442,2736,f,0,1,,,,,55857_3,2443,2736,protein,CALIN,ARS
635574,c_55857,2838,3168,f,0,1,,,,,55857_4,2839,3168,protein,CALIN,ARS
635575,c_55857,3275,4106,f,0,1,COG3183,"Predicted restriction endonuclease, HNH family (PDB:6GHC)",7.8e-52,Defense mechanisms,55857_5,3276,4106,protein,CALIN,ARS
635576,c_55857,4203,4764,f,0,1,,,,,55857_6,4204,4764,protein,CALIN,ARS
641614,c_56321,193258,194188,f,0,1,,,,,56321_148,193259,194188,protein,CALIN,ARS
641615,c_56321,194210,194732,f,0,1,,,,,56321_149,194211,194732,protein,CALIN,ARS
641616,c_56321,194893,195175,f,0,1,COG3549,Plasmid maintenance system killer protein (HigB),4.3e-31,Defense mechanisms,56321_150,194894,195175,protein,CALIN,ARS
641617,c_56321,195185,195482,f,0,1,COG3093,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)",2.4e-24,Defense mechanisms,56321_151,195186,195482,protein,CALIN,ARS
641618,c_56321,195587,195872,f,0,1,,,,,56321_152,195558,195872,protein,CALIN,ARS
655838,c_57442,177820,178192,f,0,1,,,,,57442_164,177821,178192,protein,CALIN,ARS
655839,c_57442,178279,178945,f,0,1,,,,,57442_165,178280,178945,protein,CALIN,ARS
655840,c_57442,179026,179644,f,0,1,,,,,57442_166,179027,179644,protein,CALIN,ARS
655841,c_57442,179764,179983,f,0,1,,,,,57442_167,179765,179983,protein,CALIN,ARS
655842,c_57442,180056,180575,f,0,1,,,,,57442_168,180057,180575,protein,CALIN,ARS
655843,c_57442,180674,181364,f,0,1,,,,,57442_169,180675,181364,protein,CALIN,ARS
655844,c_57442,181456,182185,f,0,1,,,,,57442_170,181457,182185,protein,CALIN,ARS
655845,c_57442,182267,183407,f,0,1,COG4916,Uncharacterized conserved protein,3.4e-42,Function unknown,57442_171,182268,183407,protein,CALIN,ARS
655846,c_57442,183482,184460,f,0,1,,,,,57442_172,183483,184460,protein,CALIN,ARS
655847,c_57442,184449,185688,f,0,1,,,,,57442_173,184450,185688,protein,CALIN,ARS
655848,c_57442,185756,186770,f,0,1,,,,,57442_174,185757,186770,protein,CALIN,ARS
661221,c_57836,2779,3772,r,0,1,COG4586,"ABC-type uncharacterized transport system, ATPase component",2.3e-90,General function prediction only,57836_5,2780,3772,protein,CALIN,ARS
671431,c_58668,27314,28160,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),6.399999999999997e-70,"Replication, recombination and repair",58668_29,27315,28160,protein,complete,ARS
671432,c_58668,28383,28956,f,0,1,,,,,58668_30,28384,28956,protein,complete,ARS
671433,c_58668,29017,29695,f,0,1,,,,,58668_31,29018,29695,protein,complete,ARS
671434,c_58668,29802,30168,f,0,1,COG5395,Uncharacterized membrane protein,6.3e-22,Function unknown,58668_32,29803,30168,protein,complete,ARS
764826,c_69696,2735,3533,f,0,1,COG4588,"Accessory colonization factor AcfC, contains ABC-type periplasmic domain (AcfC) (PDB:4JB7)",2.3999999999999986e-135,Cell wall/membrane/envelope biogenesis,69696_4,2736,3533,protein,CALIN,ARS
764827,c_69696,3708,3951,f,0,1,COG2161,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",7.8e-37,Defense mechanisms,69696_5,3709,3951,protein,CALIN,ARS
764828,c_69696,3947,4211,f,0,1,COG4115,"Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family (PDB:2A6Q)",7.399999999999998e-41,Defense mechanisms,69696_6,3948,4211,protein,CALIN,ARS
764829,c_69696,4297,5299,r,0,1,COG4977,"Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)",1.9999999999999997e-70,Transcription,69696_7,4298,5299,protein,CALIN,ARS
786461,c_71176,2,155,f,1,1,,,,,71176_1,3,155,protein,CALIN,ARS
786462,c_71176,82,418,r,0,1,,,,,71176_2,83,418,protein,CALIN,ARS
786463,c_71176,644,1115,r,0,1,,,,,71176_3,645,1115,protein,CALIN,ARS
786464,c_71176,1210,1576,r,0,1,,,,,71176_4,1211,1576,protein,CALIN,ARS
786465,c_71176,1620,1968,r,0,1,,,,,71176_5,1621,1968,protein,CALIN,ARS
786466,c_71176,2119,2320,r,0,1,,,,,71176_6,2120,2320,protein,CALIN,ARS
786467,c_71176,2467,2917,r,0,1,,,,,71176_7,2468,2917,protein,CALIN,ARS
786468,c_71176,2989,3304,r,0,1,,,,,71176_8,2990,3304,protein,CALIN,ARS
786469,c_71176,3406,3721,r,0,1,,,,,71176_9,3407,3721,protein,CALIN,ARS
786470,c_71176,3824,4133,r,0,1,,,,,71176_10,3825,4133,protein,CALIN,ARS
786471,c_71176,4229,4718,r,0,1,COG2453,Protein-tyrosine phosphatase (CDC14) (PDB:1D5R),7.799999999999999e-36,Signal transduction mechanisms,71176_11,4230,4718,protein,CALIN,ARS
787097,c_71224,1613,1868,r,0,1,,,,,71224_3,1614,1868,protein,CALIN,ARS
787098,c_71224,1997,2399,r,0,1,,,,,71224_4,1998,2399,protein,CALIN,ARS
787099,c_71224,2494,3067,r,0,1,,,,,71224_5,2495,3067,protein,CALIN,ARS
792006,c_71584,51712,52357,r,0,1,,,,,71584_50,51713,52357,protein,CALIN,ARS
792007,c_71584,52590,52971,r,0,1,COG4091,"Predicted homoserine dehydrogenase, contains C-terminal SAF domain (PDB:3UPL)",4.7000000000000005e-28,Amino acid transport and metabolism,71584_51,52591,52971,protein,CALIN,ARS
807707,c_72894,7587,8082,r,0,1,COG1247,L-amino acid N-acyltransferase MnaT (MnaT) (PDB:3DR6) (PUBMED:27941785),3.8e-54,Amino acid transport and metabolism,72894_12,7588,8082,protein,CALIN,ARS
807708,c_72894,8160,8679,r,0,1,,,,,72894_13,8161,8679,protein,CALIN,ARS
807709,c_72894,8988,9234,r,0,1,COG5460,"Uncharacterized conserved protein, DUF2164 family",4.3e-27,Function unknown,72894_14,8989,9234,protein,CALIN,ARS
807710,c_72894,9248,9425,r,0,1,,,,,72894_15,9249,9425,protein,CALIN,ARS
807711,c_72894,9372,9786,r,0,1,COG3791,Uncharacterized conserved protein (PDB:1X6M),8e-50,Function unknown,72894_16,9373,9786,protein,CALIN,ARS
807712,c_72894,9922,10360,r,0,1,COG0456,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),8.2e-61,"Translation, ribosomal structure and biogenesis",72894_17,9923,10360,protein,CALIN,ARS
807719,c_72894,15695,16133,r,0,1,,,,,72894_24,15696,16133,protein,CALIN,ARS
807720,c_72894,16266,16611,r,0,1,,,,,72894_25,16267,16611,protein,CALIN,ARS
807721,c_72894,16782,17034,r,0,1,,,,,72894_26,16783,17034,protein,CALIN,ARS
808086,c_72916,1522,2476,r,0,1,,,,,72916_3,1523,2476,protein,CALIN,ARS
808087,c_72916,2662,2962,r,0,1,COG3093,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)",2.1e-28,Defense mechanisms,72916_4,2663,2962,protein,CALIN,ARS
808088,c_72916,3391,3652,r,0,1,COG4115,"Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family (PDB:2A6Q)",3.6999999999999996e-37,Defense mechanisms,72916_5,3392,3652,protein,CALIN,ARS
808252,c_72931,1366,2728,r,0,1,COG0402,Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U),4.899999999999998e-136,Nucleotide transport and metabolism!!!General function prediction only,72931_3,1367,2728,protein,CALIN,ARS
808253,c_72931,2889,3684,r,0,1,COG0596,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)",2.6e-41,Coenzyme transport and metabolism!!!General function prediction only,72931_4,2890,3684,protein,CALIN,ARS
808254,c_72931,3722,4028,r,0,1,COG2105,"Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family (YtfP) (PDB:1V30) (PUBMED:16754964;20110353)",2.3e-17,Amino acid transport and metabolism,72931_5,3723,4028,protein,CALIN,ARS
815094,c_73513,61023,61509,r,1,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),2e-36,"Replication, recombination and repair",73513_59,61024,61509,protein,In0,ARS
881400,c_80621,262,961,f,0,1,COG2226,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW),5.7e-48,Coenzyme transport and metabolism,80621_2,263,961,protein,CALIN,ARS
881401,c_80621,1131,1404,f,0,1,COG2119,"Putative Ca2+/H+ antiporter, TMEM165/GDT1 family (Gdt1) (PUBMED:23569283)",2.2e-32,General function prediction only,80621_3,1132,1404,protein,CALIN,ARS
881402,c_80621,1595,2471,f,0,1,COG0189,"Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily (LysX) (PDB:1GLV)",9.599999999999997e-77,"Amino acid transport and metabolism!!!Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!Secondary metabolites biosynthesis, transport and catabolism",80621_4,1596,2471,protein,CALIN,ARS
890952,c_81418,37340,38276,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),5.099999999999997e-100,"Replication, recombination and repair",81418_36,37341,38276,protein,In0,ARS
909147,c_82964,146,647,f,0,1,,,,,82964_1,147,647,protein,CALIN,ARS
909148,c_82964,770,1820,f,0,1,,,,,82964_2,771,1820,protein,CALIN,ARS
909149,c_82964,1906,2269,f,0,1,,,,,82964_3,1907,2269,protein,CALIN,ARS
909150,c_82964,2273,2588,f,0,1,,,,,82964_4,2274,2588,protein,CALIN,ARS
909151,c_82964,2791,5254,r,0,1,COG4774,Outer membrane receptor for monomeric catechols (Fiu),0.0,Inorganic ion transport and metabolism,82964_5,2792,5254,protein,CALIN,ARS
911796,c_83156,352,1345,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),7.199999999999996e-105,"Replication, recombination and repair",83156_1,353,1345,protein,In0,ARS
916040,c_83494,13410,13632,f,0,1,,,,,83494_25,13411,13632,protein,CALIN,ARS
916041,c_83494,13741,14098,r,0,1,,,,,83494_26,13742,14098,protein,CALIN,ARS
916042,c_83494,14150,14417,r,0,1,,,,,83494_27,14151,14417,protein,CALIN,ARS
916043,c_83494,14781,15057,r,0,1,,,,,83494_28,14782,15057,protein,CALIN,ARS
916044,c_83494,15259,15490,r,0,1,,,,,83494_29,15260,15490,protein,CALIN,ARS
925184,c_84252,711,1875,f,0,1,COG0183,Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW),5.199999999999995e-203,Lipid transport and metabolism,84252_2,712,1875,protein,complete,ARS
925185,c_84252,1981,2914,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),9.999999999999995e-114,"Replication, recombination and repair",84252_3,1982,2914,protein,complete,ARS
995927,c_MHASMcontig_36223,575,1529,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.9999999999999996e-99,"Replication, recombination and repair",MHASMcontig_36223_2,576,1529,protein,In0,ARS
1102580,c_MHASMcontig_103075,2,182,r,1,1,COG3119,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",1.4e-11,Inorganic ion transport and metabolism,MHASMcontig_103075_1,3,182,protein,CALIN,ARS
1102584,c_MHASMcontig_103075,1717,3271,r,0,1,COG3119,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",2.3999999999999998e-86,Inorganic ion transport and metabolism,MHASMcontig_103075_5,1718,3271,protein,CALIN,ARS
1102585,c_MHASMcontig_103075,3322,3742,r,0,1,COG3119,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",5.5e-06,Inorganic ion transport and metabolism,MHASMcontig_103075_6,3323,3742,protein,CALIN,ARS
1102586,c_MHASMcontig_103075,3738,3981,r,0,1,,,,,MHASMcontig_103075_7,3739,3981,protein,CALIN,ARS
1102586,c_MHASMcontig_103075,3738,3981,r,0,1,,,,,attc_002,3822,3923,attC,CALIN,ARS
1139519,c_MHASMcontig_126279,86,437,r,0,1,,,,,MHASMcontig_126279_1,87,437,protein,CALIN,ARS
1139520,c_MHASMcontig_126279,575,1310,r,0,1,COG0388,"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)",1.6e-61,Energy production and conversion,MHASMcontig_126279_2,576,1310,protein,CALIN,ARS
1139521,c_MHASMcontig_126279,1461,1884,r,0,1,COG3791,Uncharacterized conserved protein (PDB:1X6M),7.5e-19,Function unknown,MHASMcontig_126279_3,1462,1884,protein,CALIN,ARS
1167330,c_MHASMcontig_132968,947,1595,r,0,1,,,,,MHASMcontig_132968_3,948,1595,protein,CALIN,ARS
1167331,c_MHASMcontig_132968,1627,1975,r,0,1,,,,,MHASMcontig_132968_4,1628,1975,protein,CALIN,ARS
1167332,c_MHASMcontig_132968,2097,3258,r,0,1,,,,,MHASMcontig_132968_5,2098,3258,protein,CALIN,ARS
1172804,c_MHASMcontig_134367,100,631,r,0,1,,,,,MHASMcontig_134367_1,101,631,protein,CALIN,ARS
1172805,c_MHASMcontig_134367,675,1275,r,0,1,,,,,MHASMcontig_134367_2,676,1275,protein,CALIN,ARS
1172806,c_MHASMcontig_134367,1415,1724,r,0,1,,,,,MHASMcontig_134367_3,1416,1724,protein,CALIN,ARS
1172807,c_MHASMcontig_134367,1812,2394,r,0,1,COG0655,"Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase (WrbA) (PDB:4DY4)",2.0999999999999996e-56,Energy production and conversion,MHASMcontig_134367_4,1813,2394,protein,CALIN,ARS
1172808,c_MHASMcontig_134367,2441,2909,r,0,1,,,,,MHASMcontig_134367_5,2442,2909,protein,CALIN,ARS
