magId,domain,phylum,Class,Order,Family,Genus,Species,Completeness,Contamination,genomeSize,contigCount,N50,meanContigLen,minContigLen,maxContigLen,complete genome size (Mbp),is_tara
mp-deep_mag-0029,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Henriciella,undef,95.93,2.38,3070040,248,17921,12379,2025,75728,3.200291879,Deep_Malaspina
mp-deep_mag-0031,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,UBA1547,undef,64.25,1.71,866261,18,72845,48126,4511,277621,1.348266148,Deep_Malaspina
mp-deep_mag-0035,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,UBA2705,UBA2705 sp002690045,91.75,3.48,2550310,50,91878,51006,2395,226753,2.779629428,Deep_Malaspina
mp-deep_mag-0036,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas_A,undef,92.08,6.54,5235474,272,30386,19248,2052,151777,5.685788445,Deep_Malaspina
mp-deep_mag-0037,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,GCA-2707495,undef,94.35,0.94,4316699,91,112495,47436,2109,342637,4.575197668,Deep_Malaspina
mp-deep_mag-0038,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,undef,undef,78.25,0,3373499,337,14896,10010,2010,56721,4.311180831,Deep_Malaspina
mp-deep_mag-0039,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,undef,undef,undef,52.33,2.49,2137196,411,5937,5200,2000,39858,4.084074145,Deep_Malaspina
mp-deep_mag-0040,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Limimaricola,Limimaricola cinnabarinus,92.35,0.3,3777470,67,117342,56380,2053,317133,4.090384407,Deep_Malaspina
mp-deep_mag-0042,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,TMED161,TMED161,undef,57.23,3.85,1033882,233,5205,4437,2005,27829,1.806538529,Deep_Malaspina
mp-deep_mag-0044,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,undef,undef,undef,90.99,2.14,4098530,553,9849,7411,2001,54472,4.504374107,Deep_Malaspina
mp-deep_mag-0045,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter manganoxydans,81.52,7.65,3883005,438,13053,8865,2014,73007,4.763254416,Deep_Malaspina
mp-deep_mag-0047,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp002354605,86.74,2.23,2761332,339,11992,8146,2012,43141,3.183458612,Deep_Malaspina
mp-deep_mag-0048,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,Marinisomataceae,Marinisoma,undef,86.81,0,866870,32,46193,27090,2136,155837,0.998583113,Deep_Malaspina
mp-deep_mag-0050,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,UBA6522,UBA6522 sp002311835,84.33,3.01,2674622,136,56576,19666,2022,236382,3.171613898,Deep_Malaspina
mp-deep_mag-0052,Bacteria,SAR324,SAR324,SAR324,NAC60-12,Arctic96AD-7,undef,91.26,0.84,2841864,276,19173,10297,2005,77656,3.114030243,Deep_Malaspina
mp-deep_mag-0053,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp002862755,99.29,0.95,3885530,108,66243,35977,2071,306415,3.913314533,Deep_Malaspina
mp-deep_mag-0055,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,TCS55,undef,undef,69.07,7.69,2342853,362,8855,6472,2002,42704,3.391997973,Deep_Malaspina
mp-deep_mag-0058,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,undef,undef,93.53,2.08,6376896,766,10456,8325,2007,77024,6.818022025,Deep_Malaspina
mp-deep_mag-0060,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter sp003008475,95.33,0.67,3019188,143,41352,21113,2010,100535,3.167091157,Deep_Malaspina
mp-deep_mag-0064,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola_B,Pseudooceanicola_B sp002706905,85.41,3.21,4079134,56,174962,72842,2084,308982,4.775944269,Deep_Malaspina
mp-deep_mag-0067,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,UBA2137,UBA2137 sp002328415,88.96,0,1601673,143,15119,11201,2062,85322,1.800441772,Deep_Malaspina
mp-deep_mag-0070,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA2962,UBA2962,UBA2962 sp002311285,96.43,6.14,2061337,135,95276,15269,2004,194736,2.137651146,Deep_Malaspina
mp-deep_mag-0075,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,undef,98.64,0.75,3838843,32,323201,119964,2714,677120,3.891771087,Deep_Malaspina
mp-deep_mag-0077,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,UBA1611,GCA-2722105,undef,85.16,6.66,1981077,303,9267,6538,2000,35506,2.326299906,Deep_Malaspina
mp-deep_mag-0078,Bacteria,Proteobacteria,Gammaproteobacteria,UBA11654,UBA11654,undef,undef,56.72,7.8,1440582,240,8235,6002,2002,35928,2.539813117,Deep_Malaspina
mp-deep_mag-0081,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,Ketobacter,Ketobacter sp002471665,97.78,2.39,5507091,63,192598,87414,2748,432420,5.632124156,Deep_Malaspina
mp-deep_mag-0082,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002729755,84.56,0,1195917,40,67050,29898,2022,164039,1.414282167,Deep_Malaspina
mp-deep_mag-0084,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassococcus,Thalassococcus halodurans,98.95,0.6,3676255,21,307392,175060,2167,676045,3.715265285,Deep_Malaspina
mp-deep_mag-0093,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002317795,94.17,3.62,1317362,61,31319,21596,2183,130629,1.398918976,Deep_Malaspina
mp-deep_mag-0094,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Oleibacter,undef,98.71,1.35,3652949,28,361226,130462,2122,665951,3.700687874,Deep_Malaspina
mp-deep_mag-0095,Bacteria,Proteobacteria,Alphaproteobacteria,TMED109,TMED109,MarineAlpha9-Bin2,MarineAlpha9-Bin2 sp002937675,84.92,3.23,1611572,135,22057,11938,2001,94275,1.897753179,Deep_Malaspina
mp-deep_mag-0096,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2717185,MarineAlpha4-Bin1,MarineAlpha4-Bin1 sp002937525,82.83,2.08,3525624,310,17997,11373,2008,105107,4.256457805,Deep_Malaspina
mp-deep_mag-0098,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,undef,84.74,0.93,3617344,168,38796,21532,2132,161886,4.268756195,Deep_Malaspina
mp-deep_mag-0101,Bacteria,Proteobacteria,Alphaproteobacteria,HIMB59,GCA-002718135,undef,undef,89.16,6.02,2072846,262,14813,7912,2006,84190,2.324860924,Deep_Malaspina
mp-deep_mag-0102,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,UBA1611,UBA1611,undef,91.21,2.2,2578442,193,38362,13360,2000,115292,2.826929065,Deep_Malaspina
mp-deep_mag-0103,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,undef,undef,92.56,0.99,2936268,29,221082,101251,2350,307080,3.172286085,Deep_Malaspina
mp-deep_mag-0105,Bacteria,Patescibacteria,GCA-002792135,undef,undef,undef,undef,51.29,2.25,395139,58,8254,6813,2082,21658,0.770401638,Deep_Malaspina
mp-deep_mag-0108,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alteromonas,Alteromonas australica,93.55,5,4054307,164,47336,24721,2085,145221,4.333839658,Deep_Malaspina
mp-deep_mag-0111,Bacteria,Myxococcota,UBA9160,SZUA-336,SZUA-336,undef,undef,68.77,5.88,3162490,760,4660,4161,2000,19716,4.598647666,Deep_Malaspina
mp-deep_mag-0112,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassoarchaeaceae,undef,undef,69.87,0.8,1466350,284,6490,5163,2018,20342,2.098683269,Deep_Malaspina
mp-deep_mag-0118,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Fulvimarina,undef,95.99,1.21,4909857,91,88507,53954,2246,292737,5.114967184,Deep_Malaspina
mp-deep_mag-0122,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,undef,undef,88.07,3.58,3867028,649,7913,5958,2000,34284,4.390857273,Deep_Malaspina
mp-deep_mag-0123,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,GCA-2712585,GCA-2712585,undef,58.1,0,846915,31,43931,27320,2038,152618,1.457685026,Deep_Malaspina
mp-deep_mag-0126,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas aquamarina,77.24,9.19,2635615,391,9638,6741,2008,53096,3.412241067,Deep_Malaspina
mp-deep_mag-0127,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia alni,87.93,3.58,6317431,594,15786,10635,2016,74183,7.184613897,Deep_Malaspina
mp-deep_mag-0128,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,UBA1859,SZUA-127,undef,86.66,1.04,1670635,197,10879,8480,2060,45913,1.927804062,Deep_Malaspina
mp-deep_mag-0130,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,undef,undef,61.05,0.56,617501,70,10038,8821,2457,31162,1.011467649,Deep_Malaspina
mp-deep_mag-0131,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,undef,undef,79.57,3.47,1276830,138,13355,9252,2016,61265,1.604662561,Deep_Malaspina
mp-deep_mag-0132,Bacteria,UBA8248,UBA8248,UBA8248,UBA8248,UBA8248,undef,96.58,1.71,4099343,236,36436,17370,2008,164948,4.244505074,Deep_Malaspina
mp-deep_mag-0134,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp000369565,95.26,4.75,4009222,378,15874,10606,2011,59167,4.208715096,Deep_Malaspina
mp-deep_mag-0137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola_B,Pseudooceanicola_B lipolyticus,98.24,0.98,4998194,71,97988,70397,2324,366153,5.087738192,Deep_Malaspina
mp-deep_mag-0140,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,undef,undef,98.99,0.07,3950216,71,97004,55637,2259,254649,3.990520255,Deep_Malaspina
mp-deep_mag-0142,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,UBA60,undef,67.37,0.8,1316066,220,7289,5982,2005,24309,1.953489684,Deep_Malaspina
mp-deep_mag-0144,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,undef,86.53,4.17,4363784,171,45012,25519,2031,129805,5.043087946,Deep_Malaspina
mp-deep_mag-0146,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,undef,89.32,3.48,3345342,524,8195,6384,2000,28025,3.745344828,Deep_Malaspina
mp-deep_mag-0149,Bacteria,Myxococcota,UBA9160,UBA9160,undef,undef,undef,92.9,0,3076839,103,57099,29872,2012,180365,3.311990312,Deep_Malaspina
mp-deep_mag-0150,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86,SAR86,AEGEAN-183,undef,59.74,1.6,1216078,99,28904,12284,2013,85603,2.035617677,Deep_Malaspina
mp-deep_mag-0152,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas sp002366715,91.06,4.64,3896061,481,12791,8100,2001,81357,4.278564683,Deep_Malaspina
mp-deep_mag-0153,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium xenophagum,98.6,2.62,3551796,59,97904,60200,2102,240336,3.602227181,Deep_Malaspina
mp-deep_mag-0155,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,GCA-002718515,undef,61.79,0,984312,184,6436,5350,2026,24381,1.59299563,Deep_Malaspina
mp-deep_mag-0156,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Kangiella,Kangiella geojedonensis,64.5,2.03,2068550,274,9527,7549,2012,46033,3.207054264,Deep_Malaspina
mp-deep_mag-0161,Bacteria,Gemmatimonadota,Gemmatimonadetes,SG8-23,UBA6960,UBA1138,UBA1138 sp003447875,97.74,4.4,4089531,142,65847,28800,2063,249495,4.184091467,Deep_Malaspina
mp-deep_mag-0162,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,UBA11996,undef,88.45,2.07,1886196,144,19302,13099,2001,65263,2.132499717,Deep_Malaspina
mp-deep_mag-0165,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas agarivorans,90.79,5.64,3918652,392,16281,9997,2010,59032,4.316171385,Deep_Malaspina
mp-deep_mag-0166,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia,Ahrensia sp002706335,99.57,9.11,5189477,63,131301,82373,3723,324979,5.211888119,Deep_Malaspina
mp-deep_mag-0167,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2696645,GCA-2696645,GCA-2696645 sp002696645,76.64,0.43,3534891,663,6059,5332,2000,30309,4.612331681,Deep_Malaspina
mp-deep_mag-0169,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Oleibacter,Oleibacter sp002724925,84.5,6.81,3164153,247,22634,12810,2007,92948,3.744559763,Deep_Malaspina
mp-deep_mag-0173,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,GCA-2712005,undef,93.9,1.79,3779983,77,110585,49091,2040,180277,4.025541001,Deep_Malaspina
mp-deep_mag-0175,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Citromicrobium,undef,92.75,2.16,2672213,93,49699,28733,2052,122639,2.881092183,Deep_Malaspina
mp-deep_mag-0176,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,LS-NOB sp003545625,82.43,9.05,2505300,211,22090,11873,2005,73493,3.039306078,Deep_Malaspina
mp-deep_mag-0177,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp000813185,99.42,1.84,5086028,161,55157,31590,2082,278040,5.115699055,Deep_Malaspina
mp-deep_mag-0178,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,GCA-2706205,undef,88.99,2.98,3527060,420,12235,8398,2005,37080,3.963434094,Deep_Malaspina
mp-deep_mag-0181,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,undef,undef,82.23,1.49,1209712,189,7864,6401,2014,41808,1.47113219,Deep_Malaspina
mp-deep_mag-0182,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Methylophaga aminisulfidivorans,88.7,2.99,2780482,277,17010,10038,2002,68735,3.134703495,Deep_Malaspina
mp-deep_mag-0183,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,UBA57,UBA57,UBA57 sp002494565,100,0.97,936963,29,71305,32309,2009,196125,0.936963,Deep_Malaspina
mp-deep_mag-0184,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas marina,92.92,2.65,3704489,183,35887,20243,2054,141809,3.986750969,Deep_Malaspina
mp-deep_mag-0185,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,undef,94.2,3.02,4007149,112,68196,35778,2040,153548,4.253873673,Deep_Malaspina
mp-deep_mag-0186,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter_A,undef,95.38,2.69,2917105,134,38039,21769,2061,121894,3.058403229,Deep_Malaspina
mp-deep_mag-0188,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,undef,69.17,2.99,1600933,222,11078,7211,2001,41077,2.314490386,Deep_Malaspina
mp-deep_mag-0191,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,S15-B10,UBA2146,UBA2146 sp002311975,82.97,0,2099446,144,25006,14579,2005,82722,2.530367603,Deep_Malaspina
mp-deep_mag-0192,Bacteria,Patescibacteria,Paceibacteria,Spechtbacterales,H02-43-30,undef,undef,67.87,4.32,723783,76,13733,9523,2022,54829,1.066425519,Deep_Malaspina
mp-deep_mag-0193,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter vinifirmus,72.41,0,2680525,285,14426,9405,2009,46471,3.701871288,Deep_Malaspina
mp-deep_mag-0194,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-2705205,undef,77.44,2.33,1372107,273,5981,5026,2000,24524,1.771832386,Deep_Malaspina
mp-deep_mag-0195,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,UBA2165,GCA-2687515,undef,97.26,3.15,5761499,427,29892,13493,2012,132868,5.923811433,Deep_Malaspina
mp-deep_mag-0196,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,UBA57,undef,undef,72.58,0.97,832540,131,8694,6355,2003,38475,1.147065307,Deep_Malaspina
mp-deep_mag-0200,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,UBA2128,UBA2128,UBA2128 sp002402135,87.91,0,1456967,149,14944,9778,2051,41507,1.657339324,Deep_Malaspina
mp-deep_mag-0202,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,B7,undef,99.51,3.88,6127118,52,206673,117829,2978,769587,6.157288715,Deep_Malaspina
mp-deep_mag-0203,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,TCS55,TCS55,undef,91.21,0,1793684,115,25911,15597,2018,126245,1.966543142,Deep_Malaspina
mp-deep_mag-0208,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Kangiella,undef,54.48,3.45,2281103,171,18493,13340,2011,78492,4.187046623,Deep_Malaspina
mp-deep_mag-0209,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella marinoflava,87.02,3.11,4121174,807,6116,5107,2000,43799,4.735892898,Deep_Malaspina
mp-deep_mag-0210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,Porticoccus,undef,92.09,5.66,2734841,111,44723,24638,2035,137301,2.969748073,Deep_Malaspina
mp-deep_mag-0212,Bacteria,Proteobacteria,Alphaproteobacteria,UBA1280,UBA2136,UBA2136,UBA2136 sp002689455,92.02,3.36,1799506,229,11198,7858,2031,46088,1.955559661,Deep_Malaspina
mp-deep_mag-0213,Bacteria,Latescibacterota,undef,undef,undef,undef,undef,92.79,1.1,5678778,216,51988,26291,2022,202794,6.120032331,Deep_Malaspina
mp-deep_mag-0214,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA1096,UBA1096,undef,88.24,2.03,2762714,360,10078,7674,2009,38580,3.130908885,Deep_Malaspina
mp-deep_mag-0218,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,UBA1611,GCA-2722105,undef,95.6,0.92,1997300,180,18637,11096,2105,104972,2.089225941,Deep_Malaspina
mp-deep_mag-0222,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,GCA-002723415,undef,undef,95.71,5.15,2063263,119,63980,17338,2023,175170,2.155744436,Deep_Malaspina
mp-deep_mag-0223,Bacteria,Acidobacteriota,UBA6911,undef,undef,undef,undef,92.68,3.42,2923567,160,30793,18272,2028,98899,3.154474536,Deep_Malaspina
mp-deep_mag-0226,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Algiphilaceae,undef,undef,76.6,1.2,3244435,749,4824,4332,2006,18887,4.23555483,Deep_Malaspina
mp-deep_mag-0228,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,Spongiibacter,Spongiibacter tropicus,98.28,0.48,3405332,79,74001,43105,2114,390619,3.464928775,Deep_Malaspina
mp-deep_mag-0229,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,undef,87.61,1.49,4923418,830,7236,5932,2002,25063,5.619698665,Deep_Malaspina
mp-deep_mag-0231,Bacteria,Planctomycetota,UBA8108,UBA1146,UBA1146,UBA1146,undef,66.47,1.08,1597151,233,8741,6855,2007,42185,2.402814804,Deep_Malaspina
mp-deep_mag-0233,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,TMED27,TMED27 sp002167715,92.74,1.23,2348827,48,84931,48934,2458,185414,2.5327011,Deep_Malaspina
mp-deep_mag-0238,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,TCS55,UBA2126,undef,82.99,5.49,1558883,206,10774,7567,2041,49665,1.878398602,Deep_Malaspina
mp-deep_mag-0239,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,undef,undef,undef,95.78,1.31,3601523,129,42341,27919,2169,134836,3.760203592,Deep_Malaspina
mp-deep_mag-0241,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688925,undef,79.21,8.09,1020381,138,11161,7394,2004,34291,1.288197197,Deep_Malaspina
mp-deep_mag-0242,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium sp002313585,86.88,4.88,2401365,338,9449,7105,2002,49101,2.764002072,Deep_Malaspina
mp-deep_mag-0246,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,UBA10102,01-FULL-49-22b,undef,78.74,2.82,479131,64,8839,7486,2026,25790,0.608497587,Deep_Malaspina
mp-deep_mag-0250,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,Marinicella,undef,72.96,1.1,3119174,338,12390,9228,2025,55553,4.275183662,Deep_Malaspina
mp-deep_mag-0251,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,undef,97.01,2.14,2659596,143,28349,18599,2075,76317,2.74156891,Deep_Malaspina
mp-deep_mag-0255,Bacteria,Planctomycetota,UBA8108,UBA1146,UBA1146,UBA1146,UBA1146 sp002311345,92.01,7.37,2527200,285,13296,8867,2007,51786,2.746657972,Deep_Malaspina
mp-deep_mag-0258,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,undef,undef,85.2,2.52,2482471,194,23050,12796,2007,90298,2.913698357,Deep_Malaspina
mp-deep_mag-0262,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas,undef,96.47,0.2,5513709,523,14923,10542,2012,65319,5.715464911,Deep_Malaspina
mp-deep_mag-0263,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,Casp-alpha2,Casp-alpha2,Casp-alpha2 sp002938315,96.14,2.74,2859012,235,21221,12166,2015,116887,2.973800707,Deep_Malaspina
mp-deep_mag-0265,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA11650,UBA11650 sp002710215,55.32,4.16,2166874,421,5949,5147,2002,30323,3.9169812,Deep_Malaspina
mp-deep_mag-0267,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp000153545,89.05,2.89,3092275,188,28571,16448,2042,77079,3.472515441,Deep_Malaspina
mp-deep_mag-0269,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Rhodococcus,Rhodococcus sp001942265,99.47,3.49,5233928,71,107530,73717,3356,572502,5.261815623,Deep_Malaspina
