gene_callers_id,contig,pNpS,bin_name,accession,function,e_value
1068376,c_MHASMcontig_50368,0.07710114977548667,CPC-14,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.099999999999999e-57
1157560,c_MHASMcontig_90931,0.15399317543233734,CPC-16,COG5659,SRSO17 transposase (Srso17),3.7e-57
1356368,c_MHASMcontig_207326,0.10505287083010942,CPC-17,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.5e-07
1373457,c_MHASMcontig_218100,0.04794362101286005,CPC-17,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.799999999999999e-14
2068964,c_MHASMcontig_546263,0.21176249369622804,CPC-24,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.799999999999999e-64
2289052,c_MHASMcontig_693349,0.1466330961770067,CPC-95,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.9e-14
2473888,c_MHASMcontig_743524,1.136838013106781,CPC-34,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.7000000000000003e-42
305411,c_MHASMcontig_135004,0.15977629167217244,EAC-108,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.5999999999999998e-77
716293,c_MHASMcontig_383358,0.058776618673206986,EAC-41,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6999999999999998e-60
1151833,c_MHASMcontig_624310,0.2585500271151653,EAC-49,COG3385,IS4 transposase InsG (InsG),1.6e-37
1329543,c_MHASMcontig_672961,0.306531275328262,EAC-37,COG3385,IS4 transposase InsG (InsG),2e-126
1659002,c_MHASMcontig_881577,0.06162771272536015,EAC-39,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.599999999999999e-27
1689423,c_MHASMcontig_892288,0.4898713020278103,EAC-102,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.899999999999997e-69
2036284,c_1165,0.143680682226258,EAC-37,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.5e-14
2044447,c_1770,0.007397196978325916,EAC-37,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.099999999999999e-12
2049865,c_2220,0.009737031436791685,EAC-37,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.5e-11
2077803,c_4533,0.42787544812255,EAC-66,COG3385,IS4 transposase InsG (InsG),1.6999999999999996e-100
2077818,c_4533,0.2531349958977928,EAC-66,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2e-41
2194438,c_16036,0.11627413998296295,EAC-86,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.1999999999999998e-121
2214703,c_18429,0.21183398668349748,EAC-37,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.5e-14
2373647,c_33753,0.2329766547703301,EAC-16,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.7999999999999998e-31
2875689,c_84063,0.09035322626592396,EAC-77,COG5659,SRSO17 transposase (Srso17),1.2999999999999997e-94
2996812,c_95987,0.10921421100637248,EAC-81,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.1e-61
3040587,c_101292,0.5464642680682525,EAC-3,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.9e-39
3044695,c_101723,1.5763853711471791,EAC-3,COG3385,IS4 transposase InsG (InsG),8.899999999999996e-230
3082924,c_106254,0.21898230773992688,EAC-37,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6999999999999995e-92
3220509,c_121197,0.18746194722266296,EAC-37,COG3385,IS4 transposase InsG (InsG),2e-126
3293204,c_127434,0.6014762668726292,EAC-49,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5e-36
3337455,c_130910,0.0807032000220022,EAC-50,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.1999999999999998e-60
3461918,c_145138,0.12005972622292277,EAC-55,COG3385,IS4 transposase InsG (InsG),9.999999999999998e-171
3462364,c_145155,0.09770175496834664,EAC-670,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.2999999999999996e-67
3684361,c_166561,0.32567827674100136,EAC-58,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.4e-50
10050,c_816,0.2579935852262095,IN-32,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.099999999999999e-126
238686,c_19510,0.08676272874131125,IN-32,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.1e-09
280751,c_23685,0.3235338467503529,IN-32,COG3385,IS4 transposase InsG (InsG),5.299999999999999e-103
419246,c_38232,0.12505284099240566,IN-9,COG3385,IS4 transposase InsG (InsG),4.1e-59
461948,c_42657,0.15915834702252388,IN-928,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.8e-25
488952,c_44650,0.04384030450709845,IN-928,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.4e-22
488953,c_44650,0.11261401461347538,IN-928,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6999999999999998e-60
504355,c_46084,0.2067536807346589,IN-9,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.899999999999997e-69
992956,c_MHASMcontig_124490,0.18191042530926368,IN-32,COG3385,IS4 transposase InsG (InsG),9.999999999999998e-107
1490507,c_MHASMcontig_310626,0.21828323854464515,IN-9,COG1743!!!COG1943,"Adenine-specific DNA methylase, contains a Zn-ribbon domain!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)",3.6e-25
694373,c_MHASMcontig_384635,0.13279561542816162,NAT-64,COG1743!!!COG1943,"Adenine-specific DNA methylase, contains a Zn-ribbon domain!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)",2.5e-26
777147,c_MHASMcontig_441751,0.14347531542125652,NAT-70,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.199999999999997e-89
1578965,c_MHASMcontig_920302,0.1921567066618076,NAT-133,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),2.5999999999999996e-19
1624898,c_MHASMcontig_939591,0.21864047713092852,NAT-19,COG5659,SRSO17 transposase (Srso17),1.6999999999999997e-112
2115200,c_MHASMcontig_1244915,0.4449444249808917,NAT-26,COG3385,IS4 transposase InsG (InsG),1.4999999999999996e-68
2823492,c_MHASMcontig_1897196,0.08050888608332588,NAT-32,COG5659,SRSO17 transposase (Srso17),1.2999999999999998e-63
3408801,c_41438,0.0945221176618269,NAT-69,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2e-12
3417241,c_41996,0.2114825255158725,NAT-70,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.2999999999999996e-128
3488683,c_47043,0.1486720360416979,NAT-70,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.0999999999999997e-109
3506487,c_48529,0.3114620533884226,NAT-70,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.8000000000000005e-09
3683424,c_63109,0.1258072179077197,NAT-46,COG3385,IS4 transposase InsG (InsG),1.6999999999999997e-64
3866622,c_77694,0.13681699383234575,NAT-225,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9e-16
4017703,c_90594,0.014994482219708519,NAT-94,COG5659,SRSO17 transposase (Srso17),8.799999999999999e-91
4365138,c_126821,0.20302276516578446,NAT-10,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),2.3999999999999987e-202
4443245,c_134040,0.2840523973901336,NAT-32,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.0999999999999996e-84
4472881,c_138335,0.09627865261210078,NAT-32,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.2e-49
3831,c_MHASMcontig_2033,1.1663189835376782,MED-610,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.8e-13
12045,c_MHASMcontig_6343,0.9146367050524352,MED-668,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.099999999999999e-13
21294,c_MHASMcontig_11217,1.0678522340310037,MED-668,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),2.7e-64
59008,c_MHASMcontig_31048,0.2214778740390593,MED-698,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-53
1168057,c_MHASMcontig_687289,1.55437947935209,MED-728,COG5659,SRSO17 transposase (Srso17),9.999999999999999e-84
2079384,c_2093,1.4647879803925192,MED-610,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.8e-13
2109490,c_4363,0.1682803030928391,MED-610,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.799999999999999e-64
2199522,c_11934,3.4760297890802225,MED-610,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.2e-08
2611106,c_48378,0.010270216327904714,MED-928,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.9e-62
2972358,c_79102,0.10806219994131563,MED-581,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.499999999999999e-123
3021637,c_82604,0.2893578353336849,MED-581,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.7e-16
3309203,c_108988,0.1260029890336809,MED-592,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.2e-12
3311863,c_109174,0.11587795073864575,MED-592,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.2e-13
3325192,c_110192,0.07709309230763896,MED-828,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.899999999999998e-116
3331299,c_110714,0.11317983318957267,MED-592,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.7e-13
3396458,c_117036,1.4957194783038017,MED-728,COG5659,SRSO17 transposase (Srso17),2.3999999999999996e-125
3396523,c_117036,1.73309005799922,MED-728,COG5659,SRSO17 transposase (Srso17),4.1999999999999985e-109
261864,c_24861,0.3805732016688654,NP-939,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.899999999999997e-69
314226,c_29275,0.11043921834778828,NP-42,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5000000000000003e-12
330434,c_30788,0.10020331386842818,NP-42,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-17
349364,c_32666,0.15693361895207533,NP-42,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.1e-16
350834,c_32810,0.0659490623607648,NP-151,COG1743!!!COG1943,"Adenine-specific DNA methylase, contains a Zn-ribbon domain!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)",2.5e-26
428787,c_39790,0.3434728821985076,NP-1391,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.7999999999999994e-129
465985,c_43243,0.30622475506897395,NP-936,COG5659,SRSO17 transposase (Srso17),8.199999999999998e-66
477340,c_43981,0.11740426683359867,NP-955,COG3385,IS4 transposase InsG (InsG),3.699999999999999e-100
483156,c_44403,0.18827957128553047,NP-964,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.599999999999999e-67
489315,c_44812,2.155827164067289,NP-936,COG3385,IS4 transposase InsG (InsG),2.1999999999999997e-61
505256,c_45940,0.2611589937565619,NP-955,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.2e-20
506208,c_45994,0.34942272916956285,NP-21,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.200000000000001e-12
516999,c_46788,0.2114439191460064,NP-21,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.300000000000001e-16
523884,c_47334,0.09823295658095003,NP-936,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.8e-54
528519,c_47665,0.3265262480315125,NP-936,COG5659,SRSO17 transposase (Srso17),8.199999999999998e-66
551988,c_49605,0.7613564538412255,NP-21,COG3385,IS4 transposase InsG (InsG),1.1999999999999998e-78
720038,c_65590,0.4388766244496872,NP-119,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5999999999999997e-47
744665,c_68134,0.31125942466817824,NP-119,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3e-48
818906,c_76133,0.5194669245427083,NP-86,COG3385,IS4 transposase InsG (InsG),2.7e-44
832826,c_77088,0.04829830703737496,NP-13,COG5659,SRSO17 transposase (Srso17),1.4999999999999993e-157
860518,c_78949,0.028241584527426013,NP-1,COG5659,SRSO17 transposase (Srso17),1.0999999999999997e-152
866624,c_79397,0.17845537516757598,NP-939,COG3385,IS4 transposase InsG (InsG),1.3e-08
876911,c_80173,1.1009249879918024,NP-72,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-09
880655,c_80478,0.2310519913534083,NP-39,COG3385,IS4 transposase InsG (InsG),5.5999999999999986e-68
884944,c_80842,0.07194944405474843,NP-939,COG1743!!!COG1943,"Adenine-specific DNA methylase, contains a Zn-ribbon domain!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)",9.400000000000001e-26
972443,c_93702,0.34958154505463995,NP-127,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.7e-45
972444,c_93702,0.5691900528602292,NP-127,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.3e-06
980060,c_94151,0.2044007035789342,NP-127,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6999999999999997e-23
1068946,c_103658,0.0,NP-51,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.3e-17
1189188,c_MHASMcontig_35717,0.12581788993952864,NP-973,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.799999999999999e-14
1859668,c_MHASMcontig_252344,0.0752271266965573,NP-53,COG5659,SRSO17 transposase (Srso17),1.7999999999999997e-88
2111001,c_MHASMcontig_327726,0.1117889734638292,NP-81,COG3385,IS4 transposase InsG (InsG),8.499999999999998e-56
2152372,c_MHASMcontig_339291,0.09312177401841594,NP-150,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.9999999999999996e-37
2283060,c_MHASMcontig_376191,0.3481661027388211,NP-931,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.9999999999999998e-15
2315863,c_MHASMcontig_385371,0.6013103959347236,NP-942,COG3385,IS4 transposase InsG (InsG),6.699999999999998e-130
2677136,c_MHASMcontig_503040,0.5889930251498067,NP-23,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.9999999999999996e-64
2803269,c_MHASMcontig_561715,0.1576821711081265,NP-23,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),4.7e-44
2805288,c_MHASMcontig_562655,0.0018629602087408086,NP-23,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.499999999999999e-123
3463344,c_MHASMcontig_874736,0.41120422046456695,NP-94,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.7e-10
3475285,c_MHASMcontig_876702,0.5862083074683339,NP-109,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),1.6e-37
3500659,c_MHASMcontig_881088,0.4262533670755552,NP-109,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),7e-44
3508674,c_MHASMcontig_882523,0.16760087457761882,NP-109,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.6000000000000005e-10
3510004,c_MHASMcontig_882814,0.1438823018198052,NP-90,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.6999999999999995e-12
3510793,c_MHASMcontig_882986,0.031088914686949576,NP-94,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2e-61
3717847,c_MHASMcontig_965158,0.028674895677391756,NP-39,COG3385,IS4 transposase InsG (InsG),8.4e-84
3867249,c_MHASMcontig_1032423,0.13406207966913886,NP-12,COG3385,IS4 transposase InsG (InsG),2.699999999999999e-172
3899467,c_MHASMcontig_1044357,0.31903952209382697,NP-41,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.5e-15
4020279,c_MHASMcontig_1089824,0.0008773831868854749,NP-39,COG3385,IS4 transposase InsG (InsG),6.8e-41
42657,c_2250,0.2625808472372245,RS-821,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.4e-15
168140,c_10393,0.17201379018515042,RS-376,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2e-55
182296,c_11480,0.5459853967500334,RS-821,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.299999999999999e-08
784209,c_TaraRedSea_contig_21668,0.14066799117293136,RS-665,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.8e-51
821329,c_TaraRedSea_contig_39952,0.4125980663020356,RS-426,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.2999999999999994e-66
890310,c_TaraRedSea_contig_73746,0.2237340521516302,RS-382,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1e-55
619006,c_53745,0.117210735197395,SAT-1462,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2e-45
685152,c_60796,0.09912059827899318,SAT-200,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.099999999999998e-121
711298,c_63715,0.3231205867852983,SAT-1462,COG3385,IS4 transposase InsG (InsG),5.699999999999999e-182
1535786,c_147806,4.381573720228261,SAT-113,COG3385,IS4 transposase InsG (InsG),1.7999999999999997e-156
1537930,c_147998,0.21979424820122287,SAT-230,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.499999999999999e-13
1589009,c_153061,0.11917179984085137,SAT-1462,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.9999999999999995e-15
1949044,c_186480,0.13094638817097812,SAT-1358,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.0999999999999997e-121
2020103,c_194346,0.18877960946816905,SAT-108,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-17
2034370,c_194920,0.06495372225971748,SAT-113,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),6.399999999999998e-126
2037874,c_195048,0.3244632985636004,SAT-113,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),3.599999999999999e-169
2163222,c_205233,0.13627137815063664,SAT-1358,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.4999999999999996e-118
2422052,c_232376,0.0971462435022456,SAT-1,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6999999999999995e-68
2575387,c_245460,0.2817747760861917,SAT-14,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.2999999999999999e-11
2648249,c_250887,0.2671692064832413,SAT-18,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.9999999999999996e-63
2810245,c_265450,0.2524978959062667,SAT-176,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.3e-55
2847580,c_268854,0.2192862232323168,SAT-1609,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.1e-49
2857488,c_269848,0.2119169091189277,SAT-19,COG3385,IS4 transposase InsG (InsG),5.599999999999998e-224
2892149,c_273362,0.2453414044955435,SAT-3,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),3.8999999999999993e-69
2896128,c_273784,0.29419091839180395,SAT-3,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),1.4000000000000001e-55
2919110,c_276189,0.2208997878492656,SAT-19,COG3385,IS4 transposase InsG (InsG),5.599999999999998e-224
3129048,c_298070,0.061274381039030684,SAT-109,COG5659,SRSO17 transposase (Srso17),6.699999999999998e-91
3133539,c_298412,0.01887858327602986,SAT-109,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.4999999999999998e-28
4936416,c_MHASMcontig_683002,0.053789509545219535,SAT-121,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.0999999999999995e-59
5251127,c_MHASMcontig_820850,1.6960880916793153,SAT-39,COG3385,IS4 transposase InsG (InsG),6.8e-33
5313789,c_MHASMcontig_852188,0.0359132382750746,SAT-39,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.1e-20
6957524,c_MHASMcontig_1598722,0.1000382712558343,SAT-129,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.899999999999999e-81
7504190,c_MHASMcontig_1866217,0.08848103647693391,SAT-62,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.1e-33
7828829,c_MHASMcontig_2086797,0.17578570009485736,SAT-19,COG3385,IS4 transposase InsG (InsG),5.599999999999998e-224
7867844,c_MHASMcontig_2106913,1.6148079126327115,SAT-63,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.6e-31
7867857,c_MHASMcontig_2106913,0.6994660749310154,SAT-63,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-17
332521,c_18212,0.10472822948069624,SP-285,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.099999999999999e-66
593734,c_35594,0.5347932148146899,SP-157,COG3385,IS4 transposase InsG (InsG),9.999999999999998e-107
819459,c_49280,0.3093361339209157,SP-284,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9.1e-51
860518,c_51843,0.0,SP-284,COG5659,SRSO17 transposase (Srso17),1.0999999999999997e-152
876911,c_53011,0.19955725976962527,SP-284,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-09
973256,c_58338,0.17272462135958155,SP-3021,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2e-35
1014629,c_61382,0.2528025290243172,SP-269,COG5659,SRSO17 transposase (Srso17),1.6e-81
1017085,c_61466,0.10963554073368242,SP-269,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.0999999999999997e-46
1051731,c_63182,0.16791102130777605,SP-3023,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.2e-26
1053896,c_63356,0.2548677847503373,SP-3023,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.6e-57
