ocean,gene_callers_id,gene_function,category,pnps,from_integron_type,log_pnps,gene_type
CPC,1186511,,,0.383719797,CALIN,-0.415985794,no_call
CPC,1186514,,,0.207470483,CALIN,-0.683043682,no_call
CPC,1216749,,,0.210236599,CALIN,-0.677291679,no_call
CPC,1216750,,,0.138574262,CALIN,-0.858317425,no_call
CPC,1222763,,,0.09149543,CALIN,-1.038600598,no_call
CPC,1222765,"Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB) (DinB) (PDB:2QE9) (PUBMED:22059487;24821014)","Secondary metabolites biosynthesis, transport and catabolism",0.201799316,CALIN,-0.69508031,non_defense
CPC,1222766,"Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family (PptA) (PDB:1BJP)","Secondary metabolites biosynthesis, transport and catabolism",0.062075756,CALIN,-1.207077981,non_defense
CPC,1222767,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)","Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",0.088884376,CALIN,-1.051174572,non_defense
CPC,1222793,,,0.137632463,CALIN,-0.861279118,no_call
CPC,1225030,,,0.443435869,CALIN,-0.35316918,no_call
CPC,1227804,,,3.357081039,CALIN,0.525961825,no_call
CPC,1227805,Transposase,"Mobilome: prophages, transposons",0.230506156,CALIN,-0.637317471,non_defense
CPC,1232981,,,1.315233442,CALIN,0.119002843,no_call
CPC,1232982,,,1.37076928,CALIN,0.136964363,no_call
CPC,1851059,,,82.25331744,CALIN,1.915153423,no_call
CPC,1879567,,,0.598150925,CALIN,-0.223189222,no_call
CPC,1879568,,,2.007305439,CALIN,0.302613461,no_call
CPC,1879569,,,0.013755575,CALIN,-1.861521256,no_call
CPC,1879570,,,0.062371723,CALIN,-1.205012258,no_call
CPC,1879573,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",Defense mechanisms,0.29228844,CALIN,-0.534188361,defense
CPC,1898587,,,0.076296537,CALIN,-1.117495173,no_call
CPC,1953273,,,0.187062023,CALIN,-0.728014372,no_call
CPC,1970703,,,0.086398194,CALIN,-1.063495335,no_call
CPC,1974421,Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW),Lipid transport and metabolism,0.0151069,complete,-1.820824645,non_defense
CPC,1974422,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.060600888,complete,-1.217521009,non_defense
CPC,2018873,,,0.068529157,CALIN,-1.164124608,no_call
CPC,2039114,Plasmid stabilization system protein ParE (ParE) (PDB:3KXE),"Mobilome: prophages, transposons",0.364439513,CALIN,-0.438374542,non_defense
CPC,2039116,,,0.011008977,CALIN,-1.958253051,no_call
CPC,2054835,,,inf,CALIN,inf,no_call
CPC,2054838,,,3.959825703,CALIN,0.59767607,no_call
CPC,2054840,,,1.236832843,CALIN,0.092311009,no_call
CPC,2054840,,,1.236832843,CALIN,0.092311009,no_call
CPC,2062217,,,0.270477365,CALIN,-0.567869073,no_call
CPC,2073718,,,0.030492874,complete,-1.51580164,no_call
CPC,2248387,,,0.114466855,complete,-0.941320248,no_call
CPC,2393989,,,0.069036763,CALIN,-1.160919581,no_call
CPC,2460717,,,0.060356133,CALIN,-1.21927859,no_call
CPC,2485451,"Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain (EGL9) (PDB:2G19)","Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",0.024397704,CALIN,-1.612651042,non_defense
CPC,2562533,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.03746125,complete,-1.426417741,non_defense
CPC,2562537,"Predicted RNA-binding protein, contains PUA-like EVE domain (PDB:1WMM)",General function prediction only,0.038497527,complete,-1.414567173,non_defense
CPC,2611838,"Ribonuclease/mRNA interferase VapC, contains PIN domain (VapC) (PDB:3TND)",Defense mechanisms,0.330906245,CALIN,-0.480295036,defense
CPC,2611839,Transcription regulator of the Arc/MetJ class (VapB6) (PDB:6A7V),Transcription,0.092558821,CALIN,-1.033582186,non_defense
CPC,2630872,,,0.073646438,CALIN,-1.132848254,no_call
CPC,2630873,,,1.919150199,CALIN,0.283108965,no_call
CPC,2633075,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",Defense mechanisms,0.004911513,CALIN,-2.308784705,defense
CPC,2633076,Plasmid stabilization system protein ParE (ParE) (PDB:3KXE),"Mobilome: prophages, transposons",0.175767811,CALIN,-0.755060657,non_defense
CPC,2633077,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",Defense mechanisms,0.035030947,CALIN,-1.455548127,defense
CPC,2639851,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.030958,complete,-1.509227111,non_defense
CPC,2665307,,,0.412785332,CALIN,-0.384275743,no_call
CPC,2665310,,,0.389969745,CALIN,-0.408969086,no_call
CPC,2668971,,,0.222538482,CALIN,-0.652594878,no_call
CPC,2681551,,,0.263342305,CALIN,-0.579479367,no_call
CPC,2929217,,,2.11982677,CALIN,0.326300372,no_call
CPC,2956479,,,2.147106357,CALIN,0.331853558,no_call
CPC,2956481,,,0.734990167,CALIN,-0.133718471,no_call
CPC,2966306,Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW),Lipid transport and metabolism,0.018675109,complete,-1.72873686,non_defense
CPC,2966307,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.082942652,complete,-1.081222083,non_defense
CPC,2966319,,,0.237077438,complete,-0.625109775,no_call
CPC,2966322,,,1.189324249,complete,0.075300274,no_call
CPC,2973582,,,0.341368728,complete,-0.466776266,no_call
CPC,3000142,,,0.450697342,CALIN,-0.346115003,no_call
CPC,3116521,Multidrug transporter EmrE and related cation transporters (EmrE) (PDB:2I68),Defense mechanisms,0.033532658,complete,-1.474532017,defense
CPC,3116523,Predicted N-acetyltransferase YhbS (yhbS) (PDB:4ZBG),General function prediction only,0.224019904,complete,-0.649713393,non_defense
CPC,3116524,Phosphoserine phosphatase (SerB) (PDB:3N28),Amino acid transport and metabolism,0.022181586,complete,-1.654007411,non_defense
EAC,48075,,,0.491675247,CALIN,-0.308321655,no_call
EAC,48076,,,0.566913969,CALIN,-0.246482841,no_call
EAC,179207,,,0.049293687,CALIN,-1.307208695,no_call
EAC,234121,,,4.371475769,complete,0.640628075,no_call
EAC,234122,,,0.163236041,complete,-0.787183946,no_call
EAC,234127,,,0.949321735,complete,-0.022586576,no_call
EAC,253923,,,0.243571601,CALIN,-0.613373349,no_call
EAC,333597,,,0.094624811,CALIN,-1.023994975,no_call
EAC,344436,,,0.144542575,CALIN,-0.840004212,no_call
EAC,351108,,,0.320723956,CALIN,-0.4938686,no_call
EAC,693684,,,0.220513459,CALIN,-0.656564898,no_call
EAC,718125,"Transposase, IS1182 family","Mobilome: prophages, transposons",0.0553839,CALIN,-1.256616465,non_defense
EAC,718126,,,0.124829702,CALIN,-0.903682066,no_call
EAC,801067,,,1.183968749,CALIN,0.073340239,no_call
EAC,807106,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",Defense mechanisms,0.066464076,CALIN,-1.177413031,defense
EAC,807112,Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473),Energy production and conversion,0.157617367,CALIN,-0.802395933,non_defense
EAC,810357,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.066766866,complete,-1.175439007,non_defense
EAC,811667,,,inf,CALIN,inf,no_call
EAC,811668,,,0.066328546,CALIN,-1.178299524,no_call
EAC,811669,,,0.101952448,CALIN,-0.99160234,no_call
EAC,816056,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)",Defense mechanisms,0.016996129,CALIN,-1.769649982,defense
EAC,1043223,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.161861842,CALIN,-0.790855522,non_defense
EAC,1085880,,,0.283416845,CALIN,-0.547574341,no_call
EAC,1089776,Plasmid maintenance system killer protein (HigB),Defense mechanisms,0.158301411,CALIN,-0.800515213,defense
EAC,1134895,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.710550781,complete,-0.148404879,non_defense
EAC,1139040,"N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)",Amino acid transport and metabolism,0.308219608,CALIN,-0.511139737,non_defense
EAC,1174069,"Uncharacterized inner membrane protein YnfA, drug/metabolite transporter superfamily (YnfA) (PUBMED:25560019)",General function prediction only,0.060906479,CALIN,-1.215336508,non_defense
EAC,1176104,,,0.169215276,CALIN,-0.771560434,no_call
EAC,1189922,,,0.161421066,CALIN,-0.792039789,no_call
EAC,1201868,,,0.674871388,CALIN,-0.170778984,no_call
EAC,1213453,,,inf,CALIN,inf,no_call
EAC,1225880,,,inf,CALIN,inf,no_call
EAC,1225882,,,0.849393411,CALIN,-0.070891113,no_call
EAC,1242723,,,1.587857441,CALIN,0.200811509,no_call
EAC,1242727,"Ribonuclease/mRNA interferase VapC, contains PIN domain (VapC) (PDB:3TND)",Defense mechanisms,0.0829408,CALIN,-1.08123178,defense
EAC,1260054,,,0.395856928,CALIN,-0.40246175,no_call
