B8I6W2_CLOCE,Q8TJI6_METAC,B8DUT4_BIFA0,F8GF60_NITSI,F8IBC4_SULAT,B9Q0L9_TOXGV,A9IG79_BORPD,Q92SH3_RHIME,A1VLR6_POLNA,A5N1I3_CLOK5,Q7MPJ3_VIBVY,Q9S2F2_STRCO,Q8YR24_NOSS1,F6DMF0_DESRL,C7LQ62_DESBD,F6CRJ1_DESK7,E0CUK5_VITVI,D0MDA7_RHOM4,Q1QJS0_NITHX,
B8HYT3_CYAP4,F1MXY5_BOVIN,Q01Y39_SOLUE,R7EPD1_9FIRM,A5FWM2_ACICJ,Q0DJ09_ORYSJ,Q8EQ75_OCEIH,C5A973_BURGB,F8I9C7_SULAT,M5DUW0_9GAMM,Q9SKI6_ARATH,OIO02807.1 transposase [Elusimicrobia bacterium CG1_02_56_21],R4KCJ3_CLOPA,B0UVA1_HISS2,W6S128_9CLOT,R6YN19_9BACT,A8XTP5_CAEBR,Q9WXY8_THEMA,K4AKP9_SETIT,
R5UXC4_9FIRM,F8GF49_NITSI,B4U689_HYDS0,A5VHF0_SPHWW,Q5LW63_RUEPO,A7ID36_XANP2,M0S8S7_MUSAM,A4VQ12_PSEU5,Q1GR45_SPHAL,B8M3F4_TALSN,Q0ACG4_ALKEH,I4EAK6_METSZ,U5N554_9BURK,Q1QFV5_NITHX,Q0RYK3_RHOJR,A5FU83_ACICJ,Q186S7_PEPD6,M0YBP7_HORVD,A9B8K8_HERA2,
I0IRI6_LEPFC,Q52136_9PROT,A0A0B5QZD8_BACTU,Q9HHX7_HALSA,B8FD28_DESAA,R6SCQ1_9BACE,A3LRT2_PICST,J7LIS7_NOCAA,Q2JGU7_FRASC,V6K059_STRNV,A0R7Y6_PELPD,Q01XA5_SOLUE,Q5AL59_CANAL,Q9H5R2_HUMAN,A5G657_GEOUR,Q7US03_RHOBA,Q92199_ASCIM,Q2GYU8_CHAGB,A1WUN6_HALHL,
Q5P663_AROAE,Q5P589_AROAE,Q97XR9_SULSO,D2B543_STRRD,Q1G8J3_LACDA,Q9HKN3_THEAC,F5YCI6_TREAZ,K9PFA7_9CYAN,B9S4Y0_RICCO,B4J2R8_DROGR,G8M2X3_CLOCD,Q9SQN5_ARATH,F9ZUJ5_ACICS,A1TMF8_ACIAC,G2PQA5_MURRD,Q11ZB0_POLSJ,Q326U6_SHIDS,O81450_ARATH,B6QEL4_TALMQ,
F6YHK7_XENTR,M0X7N0_HORVD,B4SG22_PELPB,G0A6L5_METMM,F4CXC1_PSEUX,A7HKH9_FERNB,F4CK47_PSEUX,D4H2I8_DENA2,B2UM39_AKKM8,H6NCT4_9BACL,D2QVP2_SPILD,A5G3E6_GEOUR,F9ZNZ5_ACICS,W0BIF3_9GAMM,Q9RZM2_DEIRA,R7L290_9FIRM,F9ZUK3_ACICS,L0F8J9_DESDL,Q9X0B6_THEMA,
Q47977_HALSI,A5BH99_VITVI,F9ZBC6_ODOSD,B3SDN6_TRIAD,Q8EDT9_SHEON,F4KS03_HALH1,A6WWS6_OCHA4,A5VHM5_LACRD,A4VLM8_PSEU5,Q9W709_PLEPL,INSG_ECOLI,A8L9Q9_FRASN,Q9X5L9_RHIML,A5FLH9_FLAJ1,F4BXD7_METCG,F4GP57_PUSST,Q1D4X0_MYXXD,G8MG17_9BURK,D2QZY9_PIRSD,
I3LMP7_PIG,R5IX36_9FIRM,H3FQT0_PRIPA,C7N5D5_SLAHD,B8P3F2_POSPM,Q12TS2_METBU,A6KXC4_BACV8,B1WQK8_CYAA5,A7E8E5_SCLS1,V9W126_9RHOB,J3N0G0_ORYBR,B8F7V2_HAEPS,I1MHP5_SOYBN,K9TH16_9CYAN,B0WVD1_CULQU,YFCI_ECOLI,A0B5M1_METTP,B9SN75_RICCO,A5CZI8_PELTS,
Q9N5Z0_CAEEL,Q8F852_LEPIN,F6CRA3_DESK7,R6WIL0_9FIRM,Q10843_MYCTU,K7SED8_GLUOY,A5CZF5_PELTS,Q97LA5_CLOAB,Q21TY4_RHOFT,D5SKQ9_STRC2,A7I3K5_CAMHC,Q13TB5_BURXL,Q9X3R8_RIEAN,A5FTS5_ACICJ,K9WHC0_9CYAN,U5S0Z3_9CLOT,B3RU47_TRIAD,Q9M3F0_ARATH,Q3STH3_NITWN,
Q981D9_SULSO,R7I3T0_9CLOT,J7QED5_METSZ,I0IBR2_PHYMF,B1X2Z4_CYAA5,S5UM60_STRC3,A8L426_FRASN,A7YY82_RAT,Q08536_BACFG,A6QB17_SULNB,B4E7S8_BURCJ,C7NF70_KYTSD,A6TNF2_ALKMQ,B5J2L2_9RHOB,L0EJ29_THECK,Q7MZV8_PHOLL,Q99Q09_CAUCR,Q6W4R9_VIBA7,F6B724_DESCC,
Q7WXQ6_CUPNH,H6L5Q3_SAPGL,K9TSC3_9CYAN,Q8R6J4_FUSNN,B1I2U2_DESAP,I3U2V5_ENTFC,Q99XV1_STRP1,Q6NA92_RHOPA,Q490H4_STRP1,B0TA18_CAUSK,A0R804_PELPD,F9ZUC2_ACICS,D3S9B6_THISK,H2ZS50_LATCH,A6TK98_ALKMQ,F2J3U5_POLGS,Q2HGJ9_CHAGB,B9LSV3_HALLT,W1NG90_AMBTC,
K7UQ89_MAIZE,G4RDZ0_PELHB,Q7LXH2_SULSO,B7VNZ3_VIBTL,F4HQA2_ARATH,F6HXG3_VITVI,D3VKT4_XENNA,D2U9J9_XANAP,B9JRL2_AGRVS,A2XRJ9_ORYSI,Q11ZA7_POLSJ,K8ET59_CARML,O51966_HALSA,Q5HXH0_GLUOX,E6UDT7_RUMA7,Q3IPA5_NATPD,G8RKF6_MYCRN,L0A7M9_DEIPD,D5CU98_SIDLE,
Q989U9_RHILO,G2P0I1_STRVO,C8WSQ5_ALIAD,Q7N1D0_PHOLL,Q5FHW9_LACAC,B3PDG1_CELJU,K7UQ06_MAIZE,F7V719_CLOSS,S0J257_9ENTE,TIGD5_RAT,B0WJI7_CULQU,B8MC88_TALSN,B9HTG1_POPTR,Q9RU04_DEIRA,A3DCS3_CLOTH,C7JH74_ACEP3,D7CX63_TRURR,A5FNU2_FLAJ1,V5XR97_ENTMU,
M1NBP6_DESSD,R7FEX2_9FIRM,A1VVX9_POLNA,B7KMB9_CYAP7,K9TRK5_9CYAN,TRA2_ECOLX,A5FU16_ACICJ,V5UJY5_9BURK,I3U3F7_ENTFC,Q94GM8_ORYSJ,F6DTI1_DESRL,Q9HHX8_HALSA,C3KQS3_SINFN,H8N0Y6_CORCM,R6W5S9_9BACT,Q5FID9_LACAC,K3XRI6_SETIT,C7JHX5_ACEP3,I1YLQ9_METFJ,
Q9FHE7_ARATH,B0C0G8_ACAM1,Q880E7_PSESM,G8X5J4_FLACA,Q8R791_CALS4,A5VHC4_SPHWW,T402_BURCE,Q9HKW8_THEAC,O96916_ANOGA,G2KUJ1_LACSM,Q2K8N7_RHIEC,TRA1_MYCTU,A1U0M3_MARHV,A1VWY5_POLNA,C7JC03_ACEP3,Q9HSW7_HALSA,K3XSV5_SETIT,B2AVR0_PODAN,Q47YX3_COLP3,
F6B884_DESCC,A1TZA6_MARHV,Q981F1_RHILO,C5BJH2_TERTT,Q8ABT3_BACTN,G7Z5K4_AZOL4,B8M5W1_TALSN,K9U2T7_9CYAN,W5H676_WHEAT,Q9ZU73_ARATH,H1XQH5_9BACT,A9F243_SORC5,Q5LW54_RUEPO,I6Y560_MYCTU,Q8TKP7_METAC,B6QMK9_TALMQ,A4VUY6_STRSY,A1AY41_PARDP,G6G790_DESMD,
F9GE37_FUSOF,C8VVJ3_DESAS,Q2LQX9_SYNAS,A6X2I5_OCHA4,A1VVP8_POLNA,R5QFC0_9FIRM,Q9X6G5_ENTFC,M7WPI7_RHOT1,A8I7J2_AZOC5,L0EKM5_THECK,F4HC53_GALAU,Q97WZ3_SULSO,K4AIL3_SETIT,S5XY44_PARAH,Q12TD3_METBU,Q9S1C5_PORGN,E8RMA6_ASTEC,A1WRY7_VEREI,Q9JY46_NEIMB,
D3HN90_LEGLN,M1E014_SOLTU,C9ZBC3_STRSW,B0US35_HISS2,A5VHU9_LACRD,B1V316_CLOPF,L0EA58_THECK,F9YQA6_CAPCC,B9ECB5_MACCJ,Q3A715_PELCD,Q02BC1_SOLUE,K7K813_SOYBN,H6LC85_ACEWD,W8T239_EUBAC,A8LEA1_FRASN,Q12AQ3_POLSJ,Q8DQZ8_STRR6,M0W1K7_HORVD,Q7M793_GLOVI,
A1SHE8_NOCSJ,I1EI32_AMPQE,D5WY41_KYRT2,I1L581_SOYBN,Q7WXQ8_CUPNH,A3RNP8_RALSL,S0KGE4_9ENTE,S5ZI24_THELN,I3YGS5_THIV6,K4D6X7_SOLLC,Q2SM06_HAHCH,G1QSW3_NOMLE,Q16925_ANOAL,F8IBH4_SULAT,E6SEJ4_INTC7,Q024F7_SOLUE,D2B081_STRRD,D4FLP5_STAEP,F0R4R5_BACSH,
A0BP99_PARTE,Q9X307_BACAN,W0L9P3_9GAMM,A0DFW0_PARTE,F9ZWB5_METMM,E3FGE2_STIAD,A0P9K9_ONCMY,Q24W02_DESHY,Q72EJ4_DESVH,A0R7Y8_PELPD,B9JPU6_AGRRK,Q18KK1_HALWD,Q92385_TOLIN,B2WJR8_PYRTR,Q0W2F9_METAR,P52K_HUMAN,D3HLS2_LEGLN,C0Z9Y2_BREBN,A5FCA3_FLAJ1,
G2SX21_ROSHA,A5DRE6_PICGU,Q3IM00_NATPD,J9L8X3_ACYPI,K0J1F7_AMPXN,D9SRZ2_CLOC7,Q5Z810_ORYSJ,Q6W4T4_VIBA7,A6TM44_ALKMQ,Q9Z3F3_XANCE,A5CAB0_VITVI,R4KIF6_9FIRM,V6EWH3_9PROT,Q948N8_DAUCA,T1NE90_TRIUA,Q9LZN8_ARATH,W8U6T4_YEREN,B4MU89_DROWI,A5UWB3_ROSS1,
A1SUP8_PSYIN,Q9ZAA3_MYCMI,J3M531_ORYBR,D5AV53_RHOCB,G2P834_STRVO,A5CZL3_PELTS,A7TGZ7_VANPO,X1XR80_ACYPI,E8SEF2_STAPH,A6WWL0_OCHA4,Q04218_ANTMA,D3VAU2_XENNA,B0T9V6_CAUSK,A0JQH2_LACS1,G0VR23_MEGEL,A8KZ16_FRASN,Q144L9_BURXL,B2B3A8_PODAN,Q8A590_BACTN,
C1D5Y4_LARHH,B2HMH6_MYCMM,Q3Y111_ENTFC,D3DZ66_METRM,F1MNE2_BOVIN,I1IK71_BRADI,REPC_BPMU,E3N364_CAERE,Q2YKH5_BRUA2,W5GI92_WHEAT,A1SFF8_NOCSJ,A0R0Y3_MYCS2,Q2J5E9_FRASC,R6P701_9CLOT,K0CEH9_ALCDB,A7H9W3_ANADF,M0TRY6_MUSAM,D2RLI2_ACIFV,O33754_STREE,
B3EBW5_GEOLS,Q72AJ0_DESVH,E0SJJ4_DICD3,T0LVF7_9EURY,D3G123_BACPE,A6TIZ2_KLEP7,Q2QMP0_ORYSJ,Q7TTN7_RHOBA,E6UFG5_RUMA7,B9K391_AGRVS,Q1GW54_SPHAL,Q981L3_RHILO,B0SWR3_CAUSK,G8LZY1_CLOCD,F5ZCD3_ALTNA,Q3ASF0_CHLCH,A6Q7D8_SULNB,G1QFL4_MYOLU,J9K229_ACYPI,
A5FTI1_ACICJ,Q44566_KOMXY,A5G455_GEOUR,B9JYV8_AGRVS,M4NGL6_9GAMM,Y4UH_SINFN,Q5KYQ1_GEOKA,E4RTX1_LEAB4,E9FE73_METRA,I1YFG9_METFJ,I6Y941_MYCTU,O06367_MYCTU,Q74KQ8_LACJO,F8KYG0_PARAV,TRA3_RHIME,C1DIG1_AZOVD,A4G5G3_HERAR,Q08VL3_STIAD,F8A552_CELGA,
Q82RD4_STRAW,A1VVT0_POLNA,H6R965_NOCCG,Q67TF6_SYMTH,B2UE95_RALPJ,O48730_ARATH,E8RBZ0_DESPD,V6JSW3_STRNV,ABP1_SCHPO,Q9KBM5_BACHD,A5UPG0_ROSS1,E3M5A3_CAERE,Q11ZA3_POLSJ,A4XPD4_PSEMY,Q2LS71_SYNAS,M1AIG4_SOLTU,E6SG98_THEM7,Q9X0D4_THEMA,Q6LQP5_PHOPR,
B7J707_ACIF2,A1TYA9_MARHV,B3EP03_CHLPB,Q94I85_ORYSA,Q6ACG7_LEIXX,Q1QKN3_NITHX,TRA5_LACLA,Q9R3J8_DEIRA,Q32ER4_SHIDS,Q9LPA7_ARATH,A6T625_KLEP7,Q8P7A4_XANCP,Q9XAG8_STRCO,M4SNN2_9SPHN,C3XQM4_BRAFL,F9ZR27_ACICS,Q8R941_CALS4,Q8YLC6_NOSS1,Q9LDB0_ARATH,
Q39WR5_GEOMG,Q5WE63_BACSK,M9X8J2_MANHA,Q5JI87_THEKO,B7Q211_IXOSC,Q32FA4_SHIDS,B3M8I7_DROAN,K4LI35_THEPS,I3TNA4_TISMK,Q2W8U4_MAGSA,Q7DAX3_LACLA,L0A7V0_DEIPD,Q72EL6_DESVH,D2A2R4_TRICA,B3RKT1_TRIAD,A5FTL3_ACICJ,Q9KM89_VIBCH,O81431_ARATH,C4Y5G8_CLAL4,
C5AKW4_BURGB,Q6LR47_PHOPR,Q024Q9_SOLUE,Q9ZR00_ARATH,Q7TTD6_RHOBA,B3EJR4_CHLPB,Q2GWL4_CHAGB,D5AQR7_RHOCB,B8PP05_POSPM,K3YC99_SETIT,L0G6P1_ECHVK,A3DGX2_CLOTH,K7L1W5_SOYBN,Q21BE0_RHOPB,Q0SKI0_RHOJR,M4NGM8_9GAMM,Q9FZ78_ARATH,A4FHC9_SACEN,O69923_STRCO,
E0SK65_DICD3,M4SAP4_9SPHN,D3PC81_DEFDS,A5EVZ3_DICNV,H7DQS4_DESAJ,F8JCU8_HYPSM,Q9SY99_ARATH,Q9CAS8_ARATH,Q3JE33_NITOC,G8UIS6_TANFA,G1QAJ2_MYOLU,R4KLY5_9FIRM,A1VV93_POLNA,A4J2W0_DESRM,Q0W714_METAR,T1LNT9_TRIUA,Q9JRT9_NEIMB,Q1QFB0_NITHX,Q7M7A3_PHOLL,
C5CCU3_MICLC,L0F4X9_DESDL,F8A3J2_CELGA,G2TI57_BACCO,A9AVK4_HERA2,A5G9R6_GEOUR,V4JXV1_9GAMM,D3VLZ9_XENNA,Q7NPA6_GLOVI,B9LMY5_HALLT,Q6W1K1_SINFN,C4ZJI9_THASP,Q8R6Y7_CALS4,TH11_HALSA,D3G1Y3_BACPE,A1VJB4_POLNA,A0A0N1KAC4_9ACTN,B3E336_GEOLS,W8WXU5_CASDE,
C8X049_DESRD,D7BWB8_STRBB,Q217V6_RHOPB,F6IP37_9SPHN,Q1WR17_LACS1,Q9ZA61_PORGN,Q1VRT6_PSYTT,E0UFJ1_CYAP2,Q8T648_BACDO,E0UM56_CYAP2,Q2LS59_SYNAS,A4VPG3_PSEU5,Q1DBF5_MYXXD,P71168_ENTAG,D0IVC0_COMT2,F8E900_FLESM,Q9PFX1_XYLFA,Q8DGA6_THEEB,Q7WXR9_CUPNH,
Q2JE05_FRASC,A8ZW27_DESOH,Q1QF32_NITHX,Q69Q36_ORYSJ,D5AQV9_RHOCB,A6TNC5_ALKMQ,Q25438_MUSDO,A0C9I6_PARTE,C7MV27_SACVD,Q9LHP8_ARATH,A1W269_ACISJ,Q882Y7_PSESM,D3VCU7_XENNA,A9B2J1_HERA2,A0E1K1_PARTE,D2U9A2_XANAP,I1QDU7_ORYGL,Q0AUN2_SYNWW,Q7MZP4_PHOLL,
E6WTH8_PSEUU,O66931_AQUAE,O85803_XANEU,Q877S4_BACTN,Q1KZY0_ANOGA,H3H5W0_PHYRM,Q2GTJ0_CHAGB,Q2LVB1_SYNAS,E3FYA9_STIAD,Q8RCM3_CALS4,O22369_PETHY,Q5ZXT4_LEGPH,B4SFJ7_PELPB,I1YEB5_METFJ,Q6W1C6_SINFN,F1MHE8_BOVIN,Q11AJ8_CHESB,Q24Y06_DESHY,A2WVP5_ORYSI,
B3PCD7_CELJU,B8P9P7_POSPM,TCB2_CAEBR,Q92W24_RHIME,R7R019_9FIRM,R5RMY5_9FIRM,W5EAB0_WHEAT,B9TK62_RICCO,R4LHF2_9ACTN,I4EB98_METSZ,L0G4D0_ECHVK,Q1IXN5_DEIGD,W6FRM7_NODSP,U6EEP9_9EURY,T2GDD9_DESGI,K3ZEJ6_SETIT,Q2H0C3_CHAGB,I0HTI8_RUBGI,Q9LJA5_ARATH,
V4JUP8_9GAMM,B9JP94_AGRRK,U3I6B1_ANAPL,R6ZJQ4_9FIRM,Q5AQD5_EMENI,G4L1V3_OSCVS,Q11SK3_CYTH3,A625_PBCV1,R5HRR1_9FIRM,Q24RY6_DESHY,Q4JXT2_CORJK,F3YVY6_DESAF,Q3AA53_CARHZ,D4YY99_SPHJU,Q896T1_CLOTE,J7TV56_MORMO,O07796_MYCTU,Y751_METJA,A3HZW2_9BACT,
U5D175_AMBTC,A0LBD9_MAGMM,Q9LUU2_ARATH,D1AMJ4_SEBTE,G4KYK6_OSCVS,V9VQY8_9RHOB,Q03AJ6_LACC3,A9B8J8_HERA2,E6UAL3_RUMA7,C4LF51_TOLAT,B7GI78_ANOFW,Y1635_METJA,T2G9K2_DESGI,D6D6Y0_9BACE,E3J3M4_FRASU,M4FGM2_BRARP,Q7DB05_CAUCR,O50546_STRTR,E5AQF1_PARRH,
Q79ZS9_STRAW,D9SD48_GALCS,Q5P5H7_AROAE,K7L793_SOYBN,E1VKH1_9GAMM,Q9XI39_ARATH,Q82PQ1_STRAW,C4JK66_UNCRE,R7I8E9_9FIRM,K9Y092_STAC7,K7TEG5_GLUOY,A0A0D1E7Y5_USTMA,B8GUZ8_THISH,G3XCP7_RHIME,Q9HSW8_HALSA,A4FD12_SACEN,E6UIR3_RUMA7,K3ZMR1_SETIT,Q9LH75_ARATH,
Q5KUN9_GEOKA,Q9X8Z6_STRCO,CENPB_HUMAN,F8E5J2_FLESM,B0KBC5_THEP3,I1QWJ2_ORYGL,E6TZM0_BACCJ,Q88FK3_PSEPK,Q1VPE4_PSYTT,A0L5T8_MAGMM,F2Z6D1_KLULA,B0TA27_CAUSK,G7ZI34_AZOL4,TRA5_RHIME,Q7S886_NEUCR,Q9FN98_ARATH,A8ZUQ7_DESOH,P73816_SYNY3,V9XQ73_9NOCA,
Q9X5K3_RHOER,Q0B0L1_SYNWW,Q96ZC6_SULTO,R5F1L2_9CLOT,A0A068X1X4_HYMMI,A7IP73_XANP2,Q2S639_SALRD,A7HGL2_ANADF,B9TCG2_RICCO,E8RCP6_DESPD,K9URS1_9CYAN,M0QW31_BOVIN,E3FEE9_STIAD,G0J0I1_CYCMS,F2ND40_DESAR,D0IXW2_COMT2,Q2LRL7_SYNAS,Q54C89_DICDI,Q28MC9_JANSC,
I3U6G4_ENTFC,D8K1R9_DEHLB,W0E4P1_9FIRM,F8JS56_STREN,D7CBW3_STRBB,Q5P579_AROAE,Q8A6A5_BACTN,Q972S9_SULTO,M1DTK7_SOLTU,U5CTY0_AMBTC,D3RR57_ALLVD,F1MJW1_BOVIN,R6D913_9FIRM,Q97Y67_SULSO,B7J9H7_ACIF2,Q9HSD4_HALSA,F3ZUC3_9BACE,Q7MP33_VIBVY,A1TZB1_MARHV,
F8J7K3_HYPSM,M5DZG3_9GAMM,G1Q9Q4_MYOLU,C1F4S5_ACIC5,C3YG49_BRAFL,B8C3I4_THAPS,A9NGB3_ACHLI,J9AWH7_WUCBA,A1ARL6_PELPD,Q6LJ21_PHOPR,Q97TK6_CLOAB,Q02881_DROHE,C7RJH1_ACCPU,L0EDA0_THECK,Q9P313_CRYPA,J9MAI1_ACYPI,Q972N6_SULTO,Q1QFY0_NITHX,G2J495_PSEUL,
Q7MP08_VIBVY,Q3L999_RHOE4,G3N0W9_BOVIN,F2J739_POLGS,R7A7Z5_9FIRM,Q036F8_LACC3,Q9RC76_BACHO,C7PYP2_CATAD,G3MWL6_BOVIN,O74636_FUSOX,A5PJT5_BOVIN,M0RS01_MUSAM,D3VJA7_XENNA,D3V9L2_XENNA,Q6MDH9_PARUW,Q7UVV9_RHOBA,Q5AL58_CANAL,K9W0W6_9CYAN,Q27281_DROVI,
C7RVY1_ACCPU,Q5L2G6_GEOKA,A5D5B5_PELTS,D5UMJ9_TSUPD,Q0SKT7_RHOJR,Q67TF4_SYMTH,Q31F34_THICR,U5GH91_POPTR,Q3A753_PELCD,A9I2I8_BORPD,Q2QSV4_ORYSJ,Q6C298_YARLI,A1VQ96_POLNA,M0Z7G8_HORVD,F9ZUG1_ACICS,Q2SAN0_HAHCH,Q13ZV0_BURXL,B7GEZ1_ANOFW,B2JXN8_PARP8,
Q8YRS1_NOSS1,I1G2D6_AMPQE,W1P2N8_AMBTC,Q9LSK4_ARATH,U2SY49_9FIRM,C7Q663_CATAD,A8LRI7_DINSH,Q8R994_CALS4,F2JVJ3_MARM1,Q981X5_RHILO,A9TQJ9_PHYPA,Q9XYD5_HAECO,G2ITV9_9SPHN,Q98AE0_RHILO,I1L0A1_SOYBN,G0L034_ZOBGA,Q2G1A0_STAA8,Q21J99_SACD2,B8P3F1_POSPM,
C5MBB9_CANTT,Q0D1G9_ASPTN,K9ZIY0_ANACC,T1MR50_TRIUA,B8F0G2_THASP,B3MAE5_DROAN,A1TA31_MYCVP,C6VZ24_DYAFD,F2L6S0_PSEUX,A5N477_CLOK5,C4ZDR4_AGARV,A5VGU0_SPHWW,W5E6D8_WHEAT,V4J9Z0_9DELT,Q25BL3_BRAOL,Q5AW14_EMENI,E3FG97_STIAD,K7LPF2_SOYBN,G4KVU3_OSCVS,
K4LFE2_THEPS,Q6W4N6_VIBA7,A6X8A0_OCHA4,G4KTZ9_OSCVS,A4YIS2_METS5,W4XHS4_STRPU,Y85A_METJA,A4VH92_PSEU5,R6CUZ1_9BACE,F9ZWB2_METMM,O86607_STRCO,A8MBQ7_CALMQ,Q9HSD5_HALSA,Q0A7P5_ALKEH,J3KUR5_ORYBR,B3E813_GEOLS,Q1KUP1_9ROSI,A0LAX3_MAGMM,F2J665_POLGS,
S6AY43_PSERE,Q877S8_BACTN,Q0RXP8_RHOJR,C3YD23_BRAFL,U5GKT3_POPTR,Q5HXP4_GLUOX,R5FY92_9PORP,B7PK98_IXOSC,B0U9Y5_METS4,F7YSI7_VIBA7,A8LTC2_DINSH,G7Y949_CLOSI,A9BSQ1_DELAS,Q0AU64_SYNWW,B2UDG4_RALPJ,D3FX46_BACPE,Q602V4_METCA,R7C239_9FIRM,E8RMA1_ASTEC,
